NO_GR_FOR,NM_GFO,DT_CRE,STATUT,DTMAJ_STA
044,Groupement forestier Grand-Portage Inc.,2020-04-24,A,
001,Aménagement forestier coopératif des Appalaches,2016-05-10,A,
002,Groupement forestier Arthabaska-Drummond Inc.,2016-05-10,A,2023-10-03
003,Groupement forestier coopératif Baie-des-Chaleurs,2016-05-10,A,
004,Société d'exploitation des ressources des Basques Inc.,2016-05-10,A,
005,Groupement forestier et agricole de Beauce-Sud Inc.,2016-05-10,A,2017-11-10
006,Groupement forestier de Bellechasse-Lévis Inc.,2016-05-10,A,
007,Société sylvicole Chambord Ltée,2016-05-10,A,
008,Groupement forestier de Champlain Inc.,2016-05-10,A,2017-11-10
009,Groupement des propriétaires de boisés privés de Charlevoix Inc.,2016-05-10,A,
010,Groupement forestier Chaudière Inc.,2016-05-10,A,2017-11-10
011,Société d'exploitation des ressources des Monts Inc.,2016-05-10,A,2017-11-10
012,Le Groupement forestier du Sud de Dorchester Inc.,2016-05-10,A,2017-11-10
013,Groupement forestier des Cantons Inc.,2016-05-10,A,2022-11-25
014,Groupement agro-forestier Côte-Nord Inc.,2016-05-10,A,2023-10-03
015,Société sylvicole de la Haute Gatineau Limitée,2016-05-10,A,2017-11-10
018,Société d'exploitation des ressources agro-forestières de Labelle Inc.,2016-05-10,A,2017-11-10
019,Groupement agro-forestier de Lotbinière-Mégantic Inc.,2016-05-10,A,2023-10-03
021,Société sylvicole Mistassini Ltée,2016-05-10,A,2017-11-10
022,Groupement forestier Montmagny-L'Islet,2016-05-10,A,2023-10-04
023,Groupement forestier Métis-Neigette Inc.,2016-05-10,A,2018-03-26
025,Groupement forestier de Nicolet-Yamaska Inc.,2016-05-10,A,2017-11-10
026,"Terra-Bois, Coopérative de propriétaires de boisés",2016-05-10,A,2023-10-03
027,Groupement forestier Rocher Percé Inc.,2016-05-10,A,2017-11-10
028,Groupement forestier du Pontiac Inc.,2016-05-10,A,2017-11-10
029,Groupement forestier de Portneuf Inc.,2016-05-10,A,2017-11-10
030,Groupement forestier coopératif de la Péninsule,2016-05-10,A,2020-11-19
031,Groupement forestier de Québec-Montmorency Inc.,2016-05-10,A,2017-11-10
032,Groupement coopératif agro-forestier de la Ristigouche,2016-05-10,A,2017-11-10
033,Groupement forestier coopératif Abitibi,2016-05-10,A,
034,La Société sylvicole du Saguenay Ltée,2016-05-10,A,2017-11-10
035,Groupement forestier coopératif St-François,2016-05-10,A,2023-10-03
036,Groupement forestier coopératif Shick Shock,2016-05-10,A,
040,Groupement forestier de Témiscouata Inc.,2016-05-10,A,2023-10-03
041,"Société d'exploitation des ressources de la Vallée, coopérative de solidarité",2016-05-10,A,2017-11-10
042,"Laforêt, Coopérative de services forestiers",2016-05-10,A,2023-10-04
043,Société d'exploitation sylvicole du Témiscamingue Ltée,2017-11-10,A,2023-10-03
