Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,1139,656,22842,51487,35516,3433,0,153,338,8691,50709,64364,9319,13524,47.671843091,243.91302043
Situation familiale,Couples sans enfants,97,50,769,1592,2994,274,4070,55,314,1166,4938,4908,98,1526,54.539406866,260.97460898
Situation familiale,Familles monoparentales,51,49,243,1357,1814,57,0,11,23,643,3025,546,49,457,44.930551666,196.11957435
Situation familiale,Couples avec enfants,60,29,210,488,1002,48,1663,14,135,1249,1758,1742,87,599,44.715428571,174.89914286
Situation familiale,Conjoint d'étudiant,0,0,1,9,22,0,0,0,4,9,10,22,3,6,43.09375,103.53125
Sexe,Hommes,781,366,12906,31493,21292,2049,2695,127,328,6110,0,71582,6147,9500,46.882582213,231.65752563
Sexe,Femmes,566,418,11159,23440,20056,1763,3038,106,486,5648,60440,0,3409,6612,49.389774983,254.312591
Âge,Moins de 20 ans,14,12,728,1023,320,47,4,1,14,135,761,1387,2148,2093,18.583798883,12.132216015
Âge,De 20 à 24 ans,52,51,2569,3262,1309,76,89,11,43,482,2648,4760,7408,1311,22.068304536,47.135799136
Âge,De 25 à 29 ans,62,57,2779,3186,1573,110,149,7,38,534,2983,4933,0,1029,26.991030824,93.964249621
Âge,De 30 à 34 ans,91,60,2308,3490,1547,105,254,14,44,672,3040,4815,0,932,32.074856779,137.40292807
Âge,De 35 à 39 ans,99,46,2318,4411,2069,124,370,18,51,794,3821,5616,0,1056,37.126099396,177.68528134
Âge,De 40 à 44 ans,99,77,2372,4900,2612,218,478,16,63,960,4740,6016,0,1116,42.020267758,213.86723689
Âge,De 45 à 49 ans,136,55,2217,5399,3792,277,677,21,47,1311,5965,6588,0,1279,47.147773441,249.90615789
Âge,De 50 à 54 ans,212,91,2704,7854,6366,537,1018,18,54,1751,9118,9664,0,1845,52.226067511,284.70226813
Âge,55 ans et plus,582,335,6070,21408,21760,2318,2694,127,460,5119,27364,27803,0,5451,59.763499918,313.47140501
Âge,35 ans et moins,236,187,8821,11717,5122,359,561,35,155,1967,10099,16904,9556,5572,26.947709514,91.296929971
Âge,36 ans et plus,1111,597,15244,43216,36226,3453,5172,198,659,9791,50341,54678,0,10540,53.4512612,280.78605776
Scolarité,Primaire,115,104,4113,3283,3186,222,561,8,142,1060,5206,6378,1416,1603,46.96296616,265.88933011
Scolarité,Secondaire I à IV,402,291,4708,18915,15025,867,2459,3,63,2341,19095,23572,2211,4740,48.874024422,264.06822603
Scolarité,Secondaire V,270,137,916,11978,8783,655,1168,6,54,2210,11642,12265,571,3146,50.91814113,231.2042498
Scolarité,Collégiale,77,42,43,4882,2478,233,271,3,24,954,3993,4033,103,1141,50.656117618,212.26900075
Scolarité,Universitaire,61,24,11,3313,1481,132,231,6,56,1234,2556,2697,3,809,52.888254331,197.66000381
Scolarité,Inconnue,422,186,14274,12562,10395,1703,1043,207,475,3959,17948,22637,5252,4673,44.599039054,230.05351731
Diplôme maximum obtenu,Aucun diplôme,601,440,9264,25079,20405,1257,3329,16,232,4570,27244,33131,3842,7112,48.745490683,261.30562319
Diplôme maximum obtenu,Secondaire - DES,166,75,357,8455,5289,408,654,1,28,1073,7531,7873,385,2145,49.696052973,221.33556219
Diplôme maximum obtenu,Secondaire - DEP,38,20,114,2210,1925,135,267,1,3,205,2303,2406,26,576,53.199830113,254.30600977
Diplôme maximum obtenu,Secondaire - ASP,5,5,15,216,181,14,16,0,0,20,183,269,1,46,53.637168142,248.92035398
Diplôme maximum obtenu,Collégial - AEC,11,6,1,665,464,47,39,0,1,120,626,607,4,195,52.119221411,195.13463098
Diplôme maximum obtenu,Collégial - DEC général,14,7,8,1013,354,33,39,0,4,159,684,784,13,194,50.701634877,220.45980926
Diplôme maximum obtenu,Collégial - DEC professionnel,20,13,5,1069,529,49,48,0,3,159,951,782,11,278,51.115983843,185.41027121
Diplôme maximum obtenu,Universitaire - Certificat,5,4,1,396,189,20,26,0,6,100,340,301,1,105,52.917316693,201.99687988
Diplôme maximum obtenu,Universitaire - Baccalauréat,18,5,4,1327,534,49,80,1,21,430,1010,1007,1,324,52.741695588,183.96975706
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,7,5,0,221,116,11,18,0,5,134,178,200,0,81,54.03968254,158.44708995
Diplôme maximum obtenu,Inconnu,462,204,14296,14282,11362,1789,1217,214,511,4788,19390,24222,5272,5056,45.165871778,229.55496194
Durée cumulative,Premier mois,2,0,30,56,23,15,9,3,6,14,57,78,92,135,27.8,1
Durée cumulative,De 2 à 5 mois,7,4,154,255,165,55,57,20,54,80,265,432,445,697,29.157819225,3.5925394548
Durée cumulative,De 6 à 11 mois,13,8,251,482,308,71,69,42,65,138,478,724,758,1202,30.175540765,8.5465890183
Durée cumulative,De 12 à 23 mois,38,29,523,1149,843,130,171,63,195,328,1170,1713,1620,2883,32.431494971,17.565730142
Durée cumulative,De 24 à 47 mois,68,47,1183,2511,1893,274,350,32,433,696,2566,3760,3079,1383,34.580619665,35.476130256
Durée cumulative,De 48 à 119 mois,176,145,3543,8620,6610,875,977,46,61,2960,8639,12307,3562,3226,38.681705338,84.375632579
Durée cumulative,120 mois et plus,1043,551,18381,41860,31506,2392,4100,27,0,7542,47265,52568,0,6586,51.66864664,299.47866938
Types de diagnostics,Visuel,1347,0,0,0,0,0,0,6,30,193,566,781,66,163,49.354120267,250.10022272
Types de diagnostics,Auditif et de la parole,0,784,0,0,0,0,0,3,19,95,418,366,63,121,47.422193878,227.98979592
Types de diagnostics,Intellectuel et d'apprentissage,0,0,24065,0,0,0,0,5,61,1033,11159,12906,3297,2385,41.938915437,267.60157906
Types de diagnostics,Santé mentale,0,0,0,54933,0,0,0,36,67,4766,23440,31493,4285,6326,47.283072106,238.61871735
Types de diagnostics,Physique,0,0,0,0,41348,0,0,146,396,4219,20056,21292,1629,4870,51.566532843,238.05741511
Types de diagnostics,Autres,0,0,0,0,0,3812,0,5,6,325,1763,2049,123,1222,53.393231899,205.07266527
Types de diagnostics,Conjoints sans contraintes sévères,0,0,0,0,0,0,5733,32,235,1127,3038,2695,93,1025,51.463282749,220.60422118
Région,01 - Bas-Saint-Laurent,28,18,841,1628,1307,81,242,0,0,23,1904,2241,214,481,50.037394451,268.68612786
Région,02 - Saguenay - Lac-St-Jean,38,26,1000,1790,1690,90,243,0,0,24,2346,2531,302,479,48.339758048,267.37297519
Région,03 - Capitale-Nationale,109,54,1490,4584,2645,221,280,0,37,302,4139,5244,596,1049,48.889694128,256.453906
Région,04 - Mauricie,57,29,1039,2583,1909,108,268,0,3,90,2823,3170,354,523,48.96128817,265.06090439
Région,05 - Estrie,58,38,1200,2634,1867,130,310,0,26,263,2845,3392,425,683,48.287798621,246.48308482
Région,06 - Île-de-Montréal,385,255,3977,14921,10528,581,1508,221,369,7788,14343,17812,2078,3891,48.709718551,227.42500389
Région,07 - Outaouais,59,35,1077,2380,1955,172,309,1,38,285,2809,3178,380,638,47.73058293,230.86771338
Région,08 - Abitibi-Témiscamingue,26,13,516,780,802,61,111,0,0,10,1071,1238,145,271,49.098744045,261.39887397
Région,09 - Côte-Nord,15,8,257,429,416,22,55,0,0,10,565,637,79,104,48.522462562,271.11896839
Région,10 - Nord-du-Québec,6,1,51,135,120,11,10,0,0,1,129,205,40,56,42.05988024,184.78443114
Région,11 - Gaspésie - Îles-de-la-Madeleine,28,13,453,759,841,63,160,0,0,11,1077,1240,119,235,49.890807078,272.42900302
Région,12 - Chaudières-Appalaches,44,27,1210,2065,1636,146,197,0,3,61,2489,2836,358,595,47.956244131,246.08150235
Région,13 - Laval,59,36,911,1808,1511,88,246,2,266,889,2208,2451,502,680,46.541317879,197.75853187
Région,14 - Lanaudière,68,41,1294,2433,2298,197,313,0,10,166,3161,3483,699,803,46.225015051,226.89148104
Région,15 - Laurentides,55,35,1457,3251,2656,219,385,0,6,207,3787,4271,728,963,46.903822288,226.77959792
Région,16 - Montérégie,227,119,3753,8197,6688,391,860,0,38,1076,9622,10613,1855,2369,46.627575982,227.7913022
Région,17 - Centre-du-Québec,52,23,759,1633,1412,144,202,0,5,77,1977,2248,271,401,48.391005917,244.27242604
Région,99 - Central,33,13,2780,2923,1067,1087,34,9,13,475,3145,4792,411,1891,48.631094872,312.19541388
