Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,1104,623,22343,50830,34610,3513,0,175,391,8670,49693,63330,9053,13131,47.692699716,244.79820921
Situation familiale,Couples sans enfants,99,52,741,1573,2878,256,3729,58,356,1134,4679,4649,70,1250,54.863957976,264.01640223
Situation familiale,Familles monoparentales,49,47,252,1285,1717,64,0,9,24,608,2904,510,42,446,44.805799649,194.83391916
Situation familiale,Couples avec enfants,57,38,203,474,973,50,1583,16,144,1231,1698,1680,72,573,45.074008289,177.03167555
Situation familiale,Conjoint d'étudiant,0,0,2,6,15,0,0,0,2,10,10,13,2,8,45.391304348,121.52173913
Sexe,Hommes,744,363,12626,31271,20586,2108,2484,143,374,6024,0,70182,6000,9216,46.900658288,232.78172466
Sexe,Femmes,565,397,10915,22897,19607,1775,2828,115,543,5629,58984,0,3239,6192,49.451241015,255.31427167
Âge,Moins de 20 ans,14,7,638,1006,275,124,5,1,20,132,673,1396,2069,2025,18.568873852,11.753020783
Âge,De 20 à 24 ans,51,43,2470,3308,1161,70,67,18,43,453,2566,4604,7170,1203,22.053277545,47.208647141
Âge,De 25 à 29 ans,59,54,2748,3281,1591,107,127,7,42,549,3025,4942,0,1011,26.999497929,94.927450734
Âge,De 30 à 34 ans,87,60,2349,3359,1520,106,233,17,44,634,2977,4737,0,906,32.044075707,137.85986518
Âge,De 35 à 39 ans,103,45,2248,4296,1977,150,360,17,53,796,3733,5446,0,1059,37.085739187,178.473581
Âge,De 40 à 44 ans,99,71,2365,5048,2598,217,463,15,60,976,4687,6174,0,1126,42.020440107,214.63631341
Âge,De 45 à 49 ans,133,58,2181,5244,3550,287,615,25,62,1248,5756,6312,0,1202,47.141117004,251.24859132
Âge,De 50 à 54 ans,181,93,2542,7353,5897,453,890,22,67,1688,8521,8888,0,1668,52.210695617,284.44551669
Âge,55 ans et plus,582,329,6000,21273,21624,2369,2552,136,526,5177,27046,27683,0,5208,59.839408723,315.38396463
Âge,35 ans et moins,229,175,8634,11776,4903,438,502,45,162,1931,9922,16735,9239,5376,26.995873504,92.514386465
Âge,36 ans et plus,1080,585,14907,42392,35290,3445,4810,213,755,9722,49062,53447,0,10032,53.54442049,282.22290726
Scolarité,Primaire,108,102,4074,3261,3034,220,534,10,168,1072,5066,6267,1449,1457,46.59322333,264.05497221
Scolarité,Secondaire I à IV,403,277,4710,18734,14714,903,2278,4,68,2328,18721,23298,2123,4587,48.998096099,266.42223756
Scolarité,Secondaire V,269,137,902,11842,8689,683,1066,6,64,2213,11505,12083,522,2984,51.097973546,232.96180261
Scolarité,Collégiale,76,43,42,4866,2435,244,263,1,27,959,3969,4000,96,1074,50.950809386,213.75756055
Scolarité,Universitaire,61,24,8,3247,1443,132,209,3,65,1219,2501,2623,5,733,53.112802498,199.96135831
Scolarité,Inconnue,392,177,13805,12218,9878,1701,962,234,525,3862,17222,21911,5044,4573,44.413819538,229.62905987
Diplôme maximum obtenu,Aucun diplôme,597,427,9210,24789,19895,1315,3095,20,270,4558,26650,32678,3778,6800,48.773681904,262.78880124
Diplôme maximum obtenu,Secondaire - DES,163,71,362,8418,5240,417,603,1,31,1089,7515,7759,338,1997,49.935183973,223.19516826
Diplôme maximum obtenu,Secondaire - DEP,40,22,111,2177,1899,134,239,0,4,195,2258,2364,22,527,53.440501947,257.06533968
Diplôme maximum obtenu,Secondaire - ASP,5,5,14,209,175,12,14,0,0,23,165,269,1,41,53.760368664,253.37096774
Diplôme maximum obtenu,Collégial - AEC,11,4,1,660,468,44,37,0,2,119,627,598,4,182,52.428571429,197.60489796
