ï»¿Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,986,517,20654,47540,30411,3758,0,141,189,8447,45223,58643,7803,11666,47.7383937,251.50100129
Situation familiale,Couples sans enfants,89,43,606,1201,2177,207,2873,55,152,1213,3606,3590,47,784,55.413702057,271.03627015
Situation familiale,Familles monoparentales,42,41,242,1028,1373,52,0,3,18,494,2344,434,33,305,45.058315335,200.63426926
Situation familiale,Couples avec enfants,40,28,148,351,668,33,1122,5,59,948,1202,1188,36,345,45.8958159,190.97824268
Situation familiale,Conjoint d'Ã©tudiant,0,0,1,9,7,0,0,0,1,8,8,9,1,5,42.176470588,111.58823529
Sexe,Hommes,662,291,11582,29558,17659,2220,1892,118,184,5740,0,63864,5145,7884,46.885757234,239.84166354
Sexe,Femmes,495,338,10069,20571,16977,1830,2103,86,235,5370,52383,0,2775,5221,49.604280015,262.8950041
Ãge,Moins de 20 ans,6,4,403,728,169,379,4,1,14,123,588,1105,1693,1658,18.565859421,11.679267572
Ãge,De 20 Ã  24 ans,40,24,1838,3124,838,323,40,9,38,427,2187,4040,6227,1021,22.103581179,48.233338686
Ãge,De 25 Ã  29 ans,55,48,2523,3306,1382,100,107,11,20,564,2779,4742,0,898,27.030714001,97.739928201
Ãge,De 30 Ã  34 ans,69,48,2470,3287,1531,113,149,10,30,572,2953,4714,0,893,31.966479718,141.90583018
Ãge,De 35 Ã  39 ans,88,46,2187,3803,1620,126,247,8,25,725,3187,4930,0,898,37.054700012,184.61512874
Ãge,De 40 Ã  44 ans,95,57,2234,4865,2300,188,335,13,28,900,4204,5870,0,953,42.056283502,221.05737542
Ãge,De 45 Ã  49 ans,122,60,2218,5060,2883,290,430,11,32,1119,5070,5993,0,1039,46.993582211,256.37168942
Ãge,De 50 Ã  54 ans,145,73,2175,6046,4631,404,645,21,29,1486,6832,7287,0,1391,52.135632835,288.77420497
Ãge,55 ans et plus,537,269,5603,19910,19282,2127,2038,120,203,5194,24583,25183,0,4354,60.1783547,327.66075232
Ãge,35 ans et moins,193,130,7667,11152,4203,926,338,33,105,1828,9103,15506,7920,4633,27.225445975,97.463976594
Ãge,36 ans et plus,964,499,13984,38977,30433,3124,3657,171,314,9282,43280,48358,0,8472,53.719439534,291.25456688
ScolaritÃ©,Primaire,94,85,3854,3158,2542,288,382,5,72,1121,4547,5856,1380,1424,45.348649428,258.64212246
ScolaritÃ©,Secondaire I Ã  IV,366,221,4475,17538,12849,933,1734,5,31,2217,16760,21356,1805,4004,49.366040508,276.79819498
ScolaritÃ©,Secondaire V,246,120,874,11069,7641,737,812,5,33,2081,10350,11149,474,2417,51.715056514,243.06084004
ScolaritÃ©,CollÃ©giale,69,36,37,4574,2168,252,191,1,5,916,3670,3657,58,882,51.640234748,224.42855193
ScolaritÃ©,Universitaire,56,22,9,2896,1223,137,160,3,18,1115,2206,2297,2,584,53.771263602,208.15856096
ScolaritÃ©,Inconnue,326,145,12402,10894,8213,1703,716,185,260,3660,14850,19549,4201,3794,43.809790982,233.73039914
DiplÃ´me maximum obtenu,Aucun diplÃ´me,537,345,8743,23176,17212,1395,2327,15,119,4382,23792,29943,3353,5946,48.823839211,270.26163581
DiplÃ´me maximum obtenu,Secondaire - DES,155,69,363,8074,4672,475,463,1,18,1062,6945,7326,307,1709,50.570037138,233.52133698
DiplÃ´me maximum obtenu,Secondaire - DEP,33,17,94,2018,1710,163,179,0,0,181,1994,2220,18,461,54.433080209,265.78476507
DiplÃ´me maximum obtenu,Secondaire - ASP,4,4,13,181,142,8,10,0,0,21,138,224,0,30,54.682320442,276.17403315
