Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,1086,600,21973,49928,33349,3495,0,172,371,8524,48345,62086,8743,11728,47.729070641,247.43417156
Situation familiale,Couples sans enfants,101,48,708,1458,2657,237,3467,52,313,1115,4355,4321,62,1002,54.972913785,267.18245735
Situation familiale,Familles monoparentales,46,48,246,1222,1624,59,0,8,18,571,2752,493,40,365,45.029892142,198.05793529
Situation familiale,Couples avec enfants,54,36,193,441,901,48,1479,17,128,1166,1585,1567,71,444,45.346763959,181.79917513
Situation familiale,Conjoint d'étudiant,0,0,3,6,14,1,0,0,2,10,9,15,2,11,44.708333333,130.79166667
Sexe,Hommes,731,344,12398,30826,19747,2112,2324,135,330,5916,0,68482,5773,8186,46.929324494,235.64511843
Sexe,Femmes,556,388,10725,22229,18798,1728,2622,114,502,5470,57046,0,3145,5364,49.504399958,258.10568664
Âge,Moins de 20 ans,12,5,549,954,236,205,4,1,21,124,656,1309,1965,1918,18.564885496,12.011195929
Âge,De 20 à 24 ans,52,39,2369,3263,1097,71,62,17,36,443,2489,4464,6953,1026,22.090752193,48.058967352
Âge,De 25 à 29 ans,57,57,2628,3256,1515,106,128,11,49,558,2916,4831,0,882,27.016780689,95.660642829
Âge,De 30 à 34 ans,85,57,2392,3285,1509,103,218,17,42,618,2943,4706,0,813,32.012681396,139.29703229
Âge,De 35 à 39 ans,88,48,2239,4151,1861,147,309,11,38,754,3533,5310,0,911,37.068981115,180.37340269
Âge,De 40 à 44 ans,114,65,2322,5030,2511,213,430,21,53,962,4578,6107,0,962,42.03603182,216.94347216
Âge,De 45 à 49 ans,124,55,2174,5081,3364,283,554,19,50,1210,5500,6135,0,1058,47.092651483,253.88354104
Âge,De 50 à 54 ans,177,90,2409,6978,5405,450,814,27,59,1607,7935,8388,0,1406,52.164062979,285.84849599
Âge,55 ans et plus,578,316,6041,21057,21047,2262,2427,125,484,5110,26496,27232,0,4574,59.880285884,319.46286852
Âge,35 ans et moins,220,169,8373,11587,4665,510,460,47,152,1880,9641,16343,8918,4815,27.043218904,93.742803264
Âge,36 ans et plus,1067,563,14750,41468,33880,3330,4486,202,680,9506,47405,52139,0,8735,53.595907337,285.55747207
Scolarité,Primaire,100,99,3987,3214,2886,228,492,8,144,1067,4890,6116,1425,1258,46.491913502,265.71742686
Scolarité,Secondaire I à IV,398,266,4612,18372,14132,889,2127,5,61,2289,18073,22723,1991,4005,49.155701539,270.03914599
Scolarité,Secondaire V,265,136,886,11615,8321,670,1006,5,63,2158,11140,11759,495,2525,51.29839731,236.81959911
Scolarité,Collégiale,75,36,42,4742,2343,251,233,0,19,914,3836,3886,73,867,51.197358197,217.33164983
Scolarité,Universitaire,64,25,10,3129,1372,129,185,4,50,1187,2393,2521,0,591,53.341269841,203.75376475
Scolarité,Inconnue,385,170,13586,11983,9491,1673,903,227,495,3771,16714,21477,4934,4304,44.21588856,230.8902621
Diplôme maximum obtenu,Aucun diplôme,584,412,9019,24346,19036,1298,2888,18,238,4480,25732,31851,3619,5912,48.870117917,266.03341264
Diplôme maximum obtenu,Secondaire - DES,160,71,361,8251,5054,419,568,1,30,1075,7298,7586,314,1677,50.160373555,227.2714996
Diplôme maximum obtenu,Secondaire - DEP,38,21,102,2132,1841,138,221,0,5,183,2177,2316,14,438,53.767193412,260.50945916
Diplôme maximum obtenu,Secondaire - ASP,5,5,12,200,165,10,15,0,0,22,161,251,0,41,54.002427184,254.58009709
Diplôme maximum obtenu,Collégial - AEC,11,4,1,637,445,43,32,0,2,105,601,572,4,132,52.612958227,202.94799659
Diplôme maximum obtenu,Collégial - DEC général,14,5,8,961,333,38,32,0,2,151,647,744,4,141,51.374550683,224.31775701
Diplôme maximum obtenu,Collégial - DEC professionnel,15,13,5,1052,492,51,46,0,0,160,907,767,4,223,51.657706093,191.09080048
Diplôme maximum obtenu,Universitaire - Certificat,5,3,0,366,180,17,19,0,3,94,318,272,0,53,53.852542373,213.87288136
Diplôme maximum obtenu,Universitaire - Baccalauréat,23,7,5,1251,512,53,67,1,20,423,959,959,0,263,53.007820647,185.83785193
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,8,5,0,211,107,12,13,0,5,127,177,179,0,45,54.120786517,165.86235955
Diplôme maximum obtenu,Inconnu,424,186,13610,13648,10380,1761,1045,229,527,4566,18069,22985,4959,4625,44.842914211,230.73610367
Durée cumulative,Premier mois,0,0,9,38,24,18,3,1,1,10,23,69,78,92,21.293478261,1
Durée cumulative,De 2 à 5 mois,6,2,90,216,81,75,18,8,21,51,192,296,367,488,25.702868852,3.5471311475
Durée cumulative,De 6 à 11 mois,18,7,165,456,243,116,45,22,72,95,383,667,686,1050,28.560952381,8.5
Durée cumulative,De 12 à 23 mois,26,21,470,1011,594,197,128,69,143,294,956,1491,1460,2447,31.452390682,17.561503882
Durée cumulative,De 24 à 47 mois,68,47,1030,2357,1767,248,327,87,494,707,2393,3451,2831,1026,35.182067077,36.102327173
Durée cumulative,De 48 à 119 mois,174,136,3373,8231,5966,832,847,39,101,2712,8029,11530,3496,2413,38.309525027,84.347717163
Durée cumulative,120 mois et plus,995,519,17986,40746,29870,2354,3578,23,0,7517,45070,50978,0,6034,51.656328086,301.37937281
Types de diagnostics,Visuel,1287,0,0,0,0,0,0,8,29,198,556,731,64,127,49.452214452,251.66588967
Types de diagnostics,Auditif et de la parole,0,732,0,0,0,0,0,8,17,102,388,344,44,103,48.020491803,234.07513661
Types de diagnostics,Intellectuel et d'apprentissage,0,0,23123,0,0,0,0,10,69,1027,10725,12398,2918,2197,42.256800588,272.42040393
Types de diagnostics,Santé mentale,0,0,0,53055,0,0,0,44,62,4691,22229,30826,4217,5557,47.246197342,241.50119687
Types de diagnostics,Physique,0,0,0,0,38545,0,0,146,432,3996,18798,19747,1333,3600,51.876300428,243.264055
Types de diagnostics,Autres,0,0,0,0,0,3840,0,1,5,317,1728,2112,276,1263,51.856510417,198.91588542
Types de diagnostics,Conjoints sans contraintes sévères,0,0,0,0,0,0,4946,32,218,1055,2622,2324,66,703,51.879094218,225.1589163
Région,01 - Bas-Saint-Laurent,26,16,791,1551,1173,85,178,0,1,25,1745,2075,206,365,50.00052356,271.65706806
Région,02 - Saguenay - Lac-St-Jean,39,23,947,1726,1541,103,190,0,1,30,2191,2378,295,435,48.315386299,269.11534253
Région,03 - Capitale-Nationale,106,48,1420,4373,2468,223,234,0,30,315,3923,4949,571,810,48.922114518,260.36158702
Région,04 - Mauricie,50,32,1009,2485,1765,112,240,0,3,100,2655,3038,315,471,48.986474618,268.02792904
Région,05 - Estrie,57,32,1146,2536,1741,152,289,0,45,240,2733,3220,369,546,48.387703679,250.32874181
Région,06 - Île-de-Montréal,369,240,3822,14260,9673,572,1342,244,353,7394,13389,16889,2004,3133,48.744567012,231.03517405
Région,07 - Outaouais,63,36,1031,2299,1875,189,257,0,36,283,2694,3056,342,503,48.068,235.52695652
Région,08 - Abitibi-Témiscamingue,25,13,480,753,715,61,84,0,0,14,975,1156,140,223,48.949319568,263.19943688
Région,09 - Côte-Nord,14,9,235,412,382,23,50,0,0,11,517,608,67,101,48.72,274.62844444
Région,10 - Nord-du-Québec,4,0,47,141,113,12,9,0,0,2,128,198,41,53,41.895705521,189.13496933
Région,11 - Gaspésie - Îles-de-la-Madeleine,24,11,432,733,777,69,128,0,0,12,1016,1158,121,200,49.868905244,275.29392824
Région,12 - Chaudières-Appalaches,40,22,1185,1993,1510,138,161,0,3,56,2339,2710,339,516,47.978609626,250.76430976
Région,13 - Laval,58,35,865,1751,1492,94,232,2,272,900,2151,2376,447,526,47.166998012,202.03203004
Région,14 - Lanaudière,64,33,1235,2406,2250,186,289,0,6,186,3033,3430,632,650,46.444685131,232.7607922
Région,15 - Laurentides,53,28,1408,3193,2470,213,306,0,9,212,3578,4093,682,733,46.965845392,231.23790901
Région,16 - Montérégie,220,116,3663,8046,6306,414,764,0,59,1080,9163,10366,1730,1904,46.737825798,231.95463157
Région,17 - Centre-du-Québec,49,24,718,1617,1296,132,161,0,5,59,1831,2166,256,287,48.40830623,249.25544158
Région,99 - Central,26,14,2689,2780,998,1062,32,3,9,467,2985,4616,361,2094,48.572293119,316.20602552
