Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,1165,674,23216,51748,36088,3447,0,123,325,8683,51405,64933,9546,13443,47.612852207,242.50920593
Situation familiale,Couples sans enfants,103,53,781,1706,3107,308,4244,26,294,1210,5172,5130,108,1666,54.295379538,257.99864104
Situation familiale,Familles monoparentales,55,56,245,1460,1882,64,0,4,19,687,3193,569,64,512,44.85380117,194.00850611
Situation familiale,Couples avec enfants,55,37,209,506,1046,50,1723,8,134,1278,1820,1806,84,606,44.780474352,176.79867623
Situation familiale,Conjoint d'étudiant,1,0,2,8,18,0,0,0,1,9,12,17,3,8,39.448275862,113.75862069
Sexe,Hommes,790,387,13091,31517,21745,2116,2809,87,309,6151,0,72455,6289,9522,46.839596991,229.83012905
Sexe,Femmes,589,433,11362,23911,20396,1753,3158,74,464,5716,61602,0,3516,6713,49.300834388,253.12209019
Âge,Moins de 20 ans,17,17,781,1119,352,15,4,2,24,130,805,1500,2305,2243,18.564425163,11.960086768
Âge,De 20 à 24 ans,53,57,2679,3140,1401,89,81,2,38,470,2711,4789,7500,1323,22.069066667,46.7852
Âge,De 25 à 29 ans,68,52,2768,3084,1582,100,167,10,37,515,2999,4822,0,1004,26.963048204,92.700933384
Âge,De 30 à 34 ans,89,62,2281,3581,1589,105,266,10,55,683,3075,4898,0,934,32.069233664,136.11915214
Âge,De 35 à 39 ans,97,60,2363,4482,2110,128,403,15,52,800,3944,5699,0,1050,37.087109821,176.60095406
Âge,De 40 à 44 ans,109,72,2367,4817,2640,217,485,8,57,972,4738,5969,0,1066,42.011954796,213.67815448
Âge,De 45 à 49 ans,139,61,2292,5499,3905,288,719,16,43,1337,6171,6732,0,1295,47.160117802,250.12260715
Âge,De 50 à 54 ans,232,113,2888,8307,6878,610,1090,11,46,1800,9748,10370,0,1974,52.227110051,284.57336713
Âge,55 ans et plus,575,326,6034,21399,21684,2317,2752,87,421,5160,27411,27676,0,5346,59.7101494,310.65815891
Âge,35 ans et moins,245,197,8983,11694,5277,331,593,27,162,1944,10292,17028,9805,5671,26.907393851,90.29557101
Âge,36 ans et plus,1134,623,15470,43734,36864,3538,5374,134,611,9923,51310,55427,0,10564,53.36184266,278.98754883
Scolarité,Primaire,112,111,4089,3338,3298,223,592,6,116,1067,5301,6462,1376,1546,47.283686134,267.61897475
Scolarité,Secondaire I à IV,409,303,4743,18952,15224,873,2550,4,52,2309,19398,23656,2251,4752,48.739582849,261.50580666
Scolarité,Secondaire V,280,136,912,12018,8768,633,1217,6,46,2239,11675,12289,558,3125,50.762727424,229.12172425
Scolarité,Collégiale,78,45,42,4834,2470,219,269,1,23,953,3956,4001,104,1111,50.465376398,211.22282267
Scolarité,Universitaire,66,22,13,3334,1507,130,247,2,51,1271,2564,2755,5,881,52.76499342,196.3250611
Scolarité,Inconnue,434,203,14654,12952,10874,1791,1092,142,485,4028,18708,23292,5511,4820,44.701738095,229.11119048
Diplôme maximum obtenu,Aucun diplôme,613,457,9269,25234,20776,1251,3463,16,185,4607,27723,33340,3838,7063,48.709742397,259.59330527
Diplôme maximum obtenu,Secondaire - DES,173,74,363,8369,5172,382,684,0,27,1036,7403,7814,377,2100,49.471314977,219.40973911
Diplôme maximum obtenu,Secondaire - DEP,38,23,111,2235,1916,146,272,0,5,208,2332,2409,24,589,52.966462772,251.88757646
