Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,1163,679,23305,51358,35923,3272,0,100,297,8494,51281,64419,9473,12888,47.576274849,242.48358686
Situation familiale,Couples sans enfants,105,49,776,1721,3119,306,4272,19,259,1212,5200,5148,125,1421,53.944723618,255.0305373
Situation familiale,Familles monoparentales,54,61,251,1471,1888,52,0,3,10,678,3206,571,73,469,44.635689701,194.09531374
Situation familiale,Couples avec enfants,57,35,210,519,1047,53,1735,8,133,1238,1835,1821,94,613,44.38047046,175.56400438
Situation familiale,Conjoint d'étudiant,0,0,0,9,15,1,0,0,1,8,12,13,3,6,40.6,98.04
Sexe,Hommes,790,389,13157,31140,21651,2015,2830,68,278,6024,0,71972,6230,9016,46.778413828,229.66095148
Sexe,Femmes,589,435,11385,23938,20341,1669,3177,62,422,5606,61534,0,3538,6381,49.207235025,252.58653752
Âge,Moins de 20 ans,14,11,828,1058,342,13,8,1,18,112,798,1476,2274,2232,18.553210202,11.737027265
Âge,De 20 à 24 ans,54,62,2745,2990,1459,84,100,3,40,464,2740,4754,7494,1288,22.055644516,46.602748866
Âge,De 25 à 29 ans,71,57,2669,2981,1538,92,167,10,35,512,2929,4646,0,925,26.957755776,92.659273927
Âge,De 30 à 34 ans,86,57,2320,3582,1580,101,275,8,51,646,3080,4921,0,937,32.056617923,135.80127484
Âge,De 35 à 39 ans,92,67,2353,4484,2136,121,415,7,55,819,3986,5682,0,1036,37.054199421,175.89366984
Âge,De 40 à 44 ans,116,66,2345,4724,2584,215,497,7,60,970,4682,5865,0,1047,41.991371954,213.87854366
Âge,De 45 à 49 ans,144,67,2342,5578,4015,299,727,12,40,1326,6308,6864,0,1296,47.143713939,250.02771029
Âge,De 50 à 54 ans,236,114,3034,8634,7145,602,1128,10,44,1811,10081,10812,0,1916,52.211889149,285.29550567
Âge,55 ans et plus,566,323,5906,21047,21193,2157,2690,72,357,4970,26930,26952,0,4720,59.640065328,309.88244683
Âge,35 ans et moins,248,198,9022,11421,5308,313,622,23,156,1888,10280,16852,9768,5576,26.932957393,90.275062657
Âge,36 ans et plus,1131,626,15520,43657,36684,3371,5385,107,544,9742,51254,55120,0,9821,53.245238498,278.47476827
Scolarité,Primaire,112,102,4016,3260,3346,213,587,5,102,1039,5294,6342,1255,1393,47.596854589,269.82863527
Scolarité,Secondaire I à IV,404,303,4663,18830,15131,784,2575,4,43,2271,19245,23445,2178,4471,48.655657063,260.74296088
Scolarité,Secondaire V,275,143,903,11824,8610,596,1227,4,45,2162,11587,11991,534,2985,50.633896005,228.74412588
Scolarité,Collégiale,74,46,40,4782,2410,206,279,0,22,929,3874,3963,91,1041,50.334566799,210.44583386
Scolarité,Universitaire,69,24,10,3321,1452,122,240,2,42,1217,2496,2742,3,804,52.778732341,198.29839633
Scolarité,Inconnue,445,206,14910,13061,11043,1763,1099,115,446,4012,19038,23489,5707,4703,44.652432572,228.55350718
Diplôme maximum obtenu,Aucun diplôme,612,453,9106,24998,20731,1153,3488,13,163,4515,27584,32957,3642,6640,48.694488033,259.26985018
Diplôme maximum obtenu,Secondaire - DES,165,73,358,8185,5034,353,694,0,26,978,7275,7587,343,1987,49.377203607,219.29733549
Diplôme maximum obtenu,Secondaire - DEP,35,26,116,2234,1863,135,262,0,3,195,2317,2354,25,532,52.778205952,252.2209377
Diplôme maximum obtenu,Secondaire - ASP,4,5,15,222,196,11,19,0,0,24,196,276,0,47,53.266949153,243.01271186
Diplôme maximum obtenu,Collégial - AEC,11,8,0,624,441,45,41,0,1,110,587,583,3,173,51.447008547,189.35042735
Diplôme maximum obtenu,Collégial - DEC général,30,22,9,2054,848,74,92,0,8,306,1564,1565,23,419,50.724193033,202.042186
Diplôme maximum obtenu,Collégial - DEC professionnel,6,3,0,409,185,16,24,0,2,106,331,312,1,101,52.200622084,199.38880249
Diplôme maximum obtenu,Universitaire - Certificat,21,7,4,1291,546,45,81,1,16,415,989,1006,0,312,52.715789474,183.89974937
Diplôme maximum obtenu,Universitaire - Baccalauréat,8,4,0,208,103,12,23,0,5,117,168,190,0,84,53.891061453,154.97486034
