ï»¿Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,972,510,20518,47228,30197,3745,0,130,182,8458,44876,58294,7772,11754,47.732645149,251.70211302
Situation familiale,Couples sans enfants,86,41,592,1167,2144,204,2832,53,142,1211,3540,3526,50,804,55.36739315,270.9646193
Situation familiale,Familles monoparentales,44,40,232,984,1344,52,0,2,17,476,2273,423,30,316,44.987017804,199.3245549
Situation familiale,Couples avec enfants,39,28,147,341,633,32,1074,5,55,920,1153,1141,37,337,45.803400174,189.76634699
Situation familiale,Conjoint d'Ã©tudiant,0,0,1,8,7,0,0,0,0,9,7,9,1,4,43.25,134.25
Sexe,Hommes,653,287,11505,29387,17489,2221,1851,107,167,5733,0,63393,5123,7931,46.86654678,240.03456218
Sexe,Femmes,488,332,9985,20341,16836,1812,2055,83,229,5341,51849,0,2767,5284,49.60253814,263.09249937
Ãge,Moins de 20 ans,6,4,397,707,181,390,3,1,15,123,592,1096,1688,1654,18.576421801,11.653436019
Ãge,De 20 Ã  24 ans,39,26,1792,3123,833,347,42,8,36,431,2175,4027,6202,1020,22.121412448,48.443889068
Ãge,De 25 Ã  29 ans,52,43,2502,3301,1351,95,107,14,21,552,2749,4702,0,927,27.044691988,98.060528788
Ãge,De 30 Ã  34 ans,66,49,2462,3282,1528,114,152,6,27,574,2950,4703,0,898,31.965895727,142.53691363
Ãge,De 35 Ã  39 ans,90,46,2189,3772,1595,128,236,11,26,717,3140,4916,0,913,37.067527309,184.45630586
Ãge,De 40 Ã  44 ans,91,56,2214,4788,2307,181,330,14,26,900,4142,5825,0,962,42.066218521,221.95505167
Ãge,De 45 Ã  49 ans,117,58,2200,5062,2862,286,426,9,29,1109,5035,5976,0,1030,46.998456089,256.47979293
Ãge,De 50 Ã  54 ans,145,70,2135,5964,4575,403,620,18,25,1486,6720,7192,0,1386,52.14153249,288.73483324
Ãge,55 ans et plus,535,267,5599,19729,19093,2089,1990,109,191,5182,24346,24956,0,4425,60.187639447,328.11662813
