Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,1163,666,23251,51707,36128,3463,0,114,309,8648,51424,64954,9488,13495,47.611103473,242.43749678
Situation familiale,Couples sans enfants,106,53,799,1747,3140,310,4301,24,281,1228,5251,5205,113,1627,54.27276205,258.79265493
Situation familiale,Familles monoparentales,58,62,246,1476,1882,59,0,4,18,675,3219,564,67,510,44.782712133,193.98017446
Situation familiale,Couples avec enfants,57,35,214,512,1038,54,1720,6,130,1265,1822,1808,96,637,44.685674931,176.70055096
Situation familiale,Conjoint d'étudiant,1,0,2,8,16,0,0,0,1,8,13,14,2,6,41.074074074,115.62962963
Sexe,Hommes,797,386,13143,31475,21778,2133,2833,79,294,6146,0,72545,6256,9566,46.850727135,229.88609828
Sexe,Femmes,588,430,11369,23975,20426,1753,3188,69,445,5678,61729,0,3510,6709,49.284874208,253.06763434
Âge,Moins de 20 ans,15,13,769,1098,346,16,5,2,22,128,800,1462,2262,2219,18.563218391,11.971706454
Âge,De 20 à 24 ans,57,60,2692,3098,1418,86,93,2,37,467,2710,4794,7504,1331,22.055836887,46.666444563
Âge,De 25 à 29 ans,68,57,2778,3057,1569,97,167,9,35,520,2997,4796,0,990,26.955986141,92.989221096
Âge,De 30 à 34 ans,88,57,2294,3547,1603,111,276,9,61,683,3090,4886,0,951,32.058174524,135.71201103
Âge,De 35 à 39 ans,92,62,2354,4519,2127,127,393,13,49,795,3962,5712,0,1073,37.078871201,176.37151127
Âge,De 40 à 44 ans,112,68,2358,4813,2637,223,493,8,57,973,4731,5973,0,1077,42.009622571,213.88714499
Âge,De 45 à 49 ans,141,63,2319,5498,3940,296,714,15,41,1320,6211,6760,0,1340,47.155192352,250.22403824
Âge,De 50 à 54 ans,239,116,2931,8403,7001,613,1106,11,45,1814,9877,10532,0,2009,52.21902102,284.43363222
Âge,55 ans et plus,573,320,6017,21417,21563,2317,2774,79,392,5124,27351,27630,0,5285,59.694639967,310.43455012
Âge,35 ans et moins,247,196,9014,11591,5292,333,604,25,164,1939,10295,16982,9766,5672,26.917586245,90.402500275
Âge,36 ans et plus,1138,620,15498,43859,36912,3553,5417,123,575,9885,51434,55563,0,10603,53.336644953,278.81893885
Scolarité,Primaire,115,105,4059,3338,3312,223,604,6,110,1074,5313,6443,1340,1534,47.453895883,268.72388568
Scolarité,Secondaire I à IV,405,304,4722,18930,15225,847,2582,4,49,2296,19391,23624,2212,4716,48.721260026,261.42136464
Scolarité,Secondaire V,285,137,912,11991,8789,642,1221,5,46,2231,11691,12286,557,3170,50.748467281,228.78779664
Scolarité,Collégiale,78,45,41,4823,2465,223,265,1,25,942,3944,3996,98,1106,50.451259446,210.78790932
Scolarité,Universitaire,67,21,14,3341,1493,130,249,2,46,1256,2547,2768,5,889,52.748447789,196.39623706
Scolarité,Inconnue,435,204,14764,13027,10920,1821,1100,130,463,4025,18843,23428,5554,4860,44.705400866,229.26815074
Diplôme maximum obtenu,Aucun diplôme,615,454,9216,25221,20830,1234,3510,15,178,4606,27754,33326,3763,7050,48.730697446,259.61899149
Diplôme maximum obtenu,Secondaire - DES,176,73,362,8321,5148,387,686,0,24,1025,7388,7765,368,2097,49.46908203,219.21520491
Diplôme maximum obtenu,Secondaire - DEP,37,23,113,2243,1906,146,268,0,5,201,2330,2406,27,590,52.915962838,251.94615709
Diplôme maximum obtenu,Secondaire - ASP,4,5,15,221,195,14,21,0,0,22,196,279,0,50,53.425263158,243.05473684
Diplôme maximum obtenu,Collégial - AEC,11,7,0,646,462,48,38,0,0,111,615,597,5,203,51.669966997,189.96534653
Diplôme maximum obtenu,Collégial - DEC général,12,8,7,997,349,29,37,0,5,152,662,777,12,178,50.580958999,222.42251564
Diplôme maximum obtenu,Collégial - DEC professionnel,21,14,5,1060,520,46,53,0,4,162,930,789,10,275,50.919139034,184.9168121
Diplôme maximum obtenu,Universitaire - Certificat,5,3,1,408,188,17,26,0,5,105,342,306,2,110,52.344135802,199.08333333
Diplôme maximum obtenu,Universitaire - Baccalauréat,20,5,6,1306,560,49,81,0,17,434,1003,1024,1,343,52.620621608,181.75037
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,9,3,0,223,118,12,24,0,5,136,181,208,0,96,54.16966581,155.0874036
Diplôme maximum obtenu,Inconnu,475,221,14787,14804,11928,1904,1277,133,496,4870,20328,25068,5578,5283,45.255881575,228.76059565
Durée cumulative,Premier mois,0,3,32,59,43,8,13,0,10,20,50,108,100,158,27.879746835,1
Durée cumulative,De 2 à 5 mois,8,4,145,324,215,47,41,13,42,88,282,502,481,784,30.8125,3.5599489796
Durée cumulative,De 6 à 11 mois,19,8,287,520,362,58,82,22,91,151,551,785,828,1336,29.805389222,8.5606287425
Durée cumulative,De 12 à 23 mois,33,24,577,1218,896,132,186,19,305,316,1204,1862,1702,3066,32.886497065,17.510110894
Durée cumulative,De 24 à 47 mois,62,55,1236,2417,1839,267,357,14,228,696,2494,3739,3054,1391,33.763035456,35.732071234
Durée cumulative,De 48 à 119 mois,198,162,3608,8554,6810,892,1001,53,63,3056,8817,12408,3601,3152,38.811260306,84.028127208
Durée cumulative,120 mois et plus,1065,560,18627,42358,32039,2482,4341,27,0,7497,48331,53141,0,6388,51.616859823,297.8596263
Types de diagnostics,Visuel,1385,0,0,0,0,0,0,6,27,195,588,797,72,172,49.117689531,248.14079422
Types de diagnostics,Auditif et de la parole,0,816,0,0,0,0,0,1,19,89,430,386,73,131,47.00122549,225.01960784
Types de diagnostics,Intellectuel et d'apprentissage,0,0,24512,0,0,0,0,3,56,1005,11369,13143,3461,2299,41.845300261,265.62887565
Types de diagnostics,Santé mentale,0,0,0,55450,0,0,0,29,61,4755,23975,31475,4196,6313,47.351199279,237.75733093
Types de diagnostics,Physique,0,0,0,0,42204,0,0,87,352,4284,20426,21778,1764,5101,51.347715856,235.58591603
Types de diagnostics,Autres,0,0,0,0,0,3886,0,6,4,345,1753,2133,102,1179,53.423314462,208.85460628
Types de diagnostics,Conjoints sans contraintes sévères,0,0,0,0,0,0,6021,16,220,1151,3188,2833,98,1080,51.269390467,219.6299618
Région,01 - Bas-Saint-Laurent,30,17,867,1653,1386,83,261,0,0,23,2007,2290,215,450,50.110076798,267.21061205
Région,02 - Saguenay - Lac-St-Jean,41,25,1022,1810,1716,84,265,0,1,27,2407,2556,296,483,48.265363691,265.51742897
Région,03 - Capitale-Nationale,115,59,1505,4620,2714,223,309,0,33,292,4261,5284,579,1042,48.846621268,254.57328444
Région,04 - Mauricie,61,34,1061,2601,1937,110,290,1,4,82,2892,3202,359,534,49.016409583,263.68674106
Région,05 - Estrie,59,38,1197,2671,1923,134,315,0,27,260,2918,3419,444,669,48.062805744,243.28830677
Région,06 - Île-de-Montréal,387,262,4010,15275,10765,620,1532,133,363,7889,14719,18132,2140,4119,48.586679249,225.84451006
Région,07 - Outaouais,61,39,1113,2388,2005,181,322,1,35,284,2870,3239,405,691,47.646914389,228.86560812
Région,08 - Abitibi-Témiscamingue,29,15,535,815,826,61,125,0,0,12,1124,1282,158,274,48.990024938,259.85660848
Région,09 - Côte-Nord,16,10,263,417,442,28,54,0,0,9,569,661,86,115,48.490243902,265.27560976
Région,10 - Nord-du-Québec,8,1,48,131,136,13,14,0,0,1,136,215,46,74,42.096866097,179.5954416
Région,11 - Gaspésie - Îles-de-la-Madeleine,31,14,471,775,868,59,184,0,0,10,1125,1277,127,235,49.76519567,272.33721898
Région,12 - Chaudières-Appalaches,43,23,1251,2088,1709,139,213,0,1,54,2554,2912,379,619,47.995243322,244.09915843
Région,13 - Laval,49,34,912,1785,1527,92,255,1,210,889,2218,2436,513,752,46.354103997,196.72260421
Région,14 - Lanaudière,64,38,1279,2422,2274,192,317,0,7,171,3144,3442,685,728,46.211661099,227.06316429
Région,15 - Laurentides,56,39,1465,3224,2648,209,401,0,8,196,3772,4270,725,930,46.89032579,225.99365829
Région,16 - Montérégie,243,131,3829,8146,6823,375,912,1,38,1085,9741,10718,1920,2502,46.513563713,224.8986754
Région,17 - Centre-du-Québec,59,28,782,1660,1436,137,216,0,3,82,2029,2289,281,393,48.343909217,244.58221399
Région,99 - Central,33,9,2902,2969,1069,1146,36,11,9,458,3243,4921,408,1665,48.72611465,312.12285644
