Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,1112,624,22315,50901,34441,3515,0,178,394,8663,49522,63386,9091,13150,47.662335707,245.06506182
Situation familiale,Couples sans enfants,100,54,733,1552,2833,260,3676,55,333,1146,4620,4588,69,1227,54.873045178,264.47491312
Situation familiale,Familles monoparentales,47,47,251,1287,1703,63,0,9,24,601,2889,509,39,435,44.882872278,195.68599176
Situation familiale,Couples avec enfants,56,39,206,466,959,50,1568,14,144,1220,1682,1662,74,557,45.174342105,178.01794258
Situation familiale,Conjoint d'étudiant,0,0,3,6,18,0,0,0,1,13,10,17,2,10,46.481481481,129.07407407
Sexe,Hommes,747,362,12614,31374,20481,2122,2462,144,364,6030,0,70162,6023,9255,46.868760868,233.06641772
Sexe,Femmes,568,402,10894,22838,19473,1766,2782,112,532,5613,58723,0,3252,6124,49.438107726,255.71586942
Âge,Moins de 20 ans,13,4,631,1003,265,145,5,1,23,128,669,1397,2066,2026,18.554695063,11.719264279
Âge,De 20 à 24 ans,52,47,2463,3339,1165,73,70,18,39,451,2583,4626,7209,1211,22.062976835,47.358718269
Âge,De 25 à 29 ans,61,55,2731,3320,1577,108,128,8,46,555,3018,4962,0,1024,27.006390977,94.86754386
Âge,De 30 à 34 ans,88,62,2372,3378,1540,108,229,18,46,642,2997,4780,0,960,32.030860229,137.94033689
Âge,De 35 à 39 ans,98,44,2253,4254,1942,150,351,17,47,791,3682,5410,0,1044,37.074461065,178.83853938
Âge,De 40 à 44 ans,102,71,2352,5090,2590,221,451,14,60,972,4673,6204,0,1099,42.014066379,215.35506114
Âge,De 45 à 49 ans,135,59,2187,5241,3522,280,605,26,62,1260,5718,6311,0,1223,47.124948042,251.53420899
Âge,De 50 à 54 ans,179,95,2495,7270,5834,471,873,24,64,1667,8403,8814,0,1654,52.19294883,284.3903119
Âge,55 ans et plus,587,327,6024,21317,21519,2332,2532,130,509,5177,26980,27658,0,5138,59.848804861,316.31672096
Âge,35 ans et moins,233,180,8628,11883,4888,462,492,48,163,1934,9940,16826,9275,5434,27.000336247,92.597885377
Âge,36 ans et plus,1082,584,14880,42329,35066,3426,4752,208,733,9709,48783,53336,0,9945,53.553883215,282.9085087
Scolarité,Primaire,105,105,4079,3263,3017,223,523,10,155,1085,5047,6268,1471,1471,46.509058772,264.07247017
Scolarité,Secondaire I à IV,407,276,4734,18770,14659,909,2249,4,64,2335,18684,23320,2147,4627,48.987025045,266.80582802
Scolarité,Secondaire V,272,138,908,11881,8623,671,1058,6,66,2220,11454,12097,531,2953,51.098424695,233.50099783
Scolarité,Collégiale,76,43,43,4873,2421,254,257,1,26,951,3955,4012,88,1052,51.030124263,214.49228066
Scolarité,Universitaire,61,25,11,3230,1453,132,211,5,62,1224,2490,2633,3,740,53.140737849,199.87116924
Scolarité,Inconnue,394,177,13733,12195,9781,1699,946,230,523,3828,17093,21832,5035,4536,44.327373154,229.722158
Diplôme maximum obtenu,Aucun diplôme,600,430,9246,24831,19784,1319,3055,20,252,4581,26567,32698,3828,6853,48.742934278,263.09962035
Diplôme maximum obtenu,Secondaire - DES,163,71,362,8442,5205,414,597,1,34,1091,7481,7773,343,1957,49.948472532,223.94637472
Diplôme maximum obtenu,Secondaire - DEP,40,22,109,2200,1910,136,234,0,5,198,2266,2385,21,537,53.483336917,257.10492367
Diplôme maximum obtenu,Secondaire - ASP,5,5,14,210,174,11,16,0,0,23,171,264,0,45,53.894252874,251.79770115
Diplôme maximum obtenu,Collégial - AEC,11,4,1,659,464,45,37,0,1,115,624,597,4,169,52.5004095,199.43488943
Diplôme maximum obtenu,Collégial - DEC général,15,6,8,984,343,39,35,0,2,154,665,765,6,164,51.176923077,223.18391608
Diplôme maximum obtenu,Collégial - DEC professionnel,16,15,5,1093,516,54,49,0,2,162,943,805,7,278,51.455949657,187.78318078
Diplôme maximum obtenu,Universitaire - Certificat,5,3,1,382,186,20,24,0,5,94,330,291,0,83,53.425120773,207.66988728
Diplôme maximum obtenu,Universitaire - Baccalauréat,22,7,5,1301,539,51,78,1,24,444,1001,1002,2,329,52.775836246,182.22715926
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,7,5,0,219,114,11,15,0,5,133,185,186,0,60,54.059299191,162.90566038
Diplôme maximum obtenu,Inconnu,431,196,13757,13891,10719,1788,1104,234,566,4648,18490,23396,5064,4904,44.944062455,229.420212
Durée cumulative,Premier mois,3,0,20,70,27,16,8,1,11,6,49,95,103,144,25.930555556,1
Durée cumulative,De 2 à 5 mois,10,8,115,288,159,79,34,14,43,70,259,434,459,693,28.197691198,3.6046176046
Durée cumulative,De 6 à 11 mois,19,7,200,518,279,101,74,34,89,117,447,751,758,1198,30.213689482,8.6385642738
Durée cumulative,De 12 à 23 mois,24,21,492,996,671,172,127,68,161,298,979,1524,1437,2503,32.085097883,17.651218538
Durée cumulative,De 24 à 47 mois,71,49,1097,2565,1901,282,347,68,498,776,2590,3722,3035,1289,35.081907478,35.80608365
Durée cumulative,De 48 à 119 mois,176,144,3473,8444,6277,834,895,45,94,2782,8321,11922,3483,2946,38.5000741,84.407548288
Durée cumulative,120 mois et plus,1012,535,18111,41331,30640,2404,3759,26,0,7594,46078,51714,0,6606,51.650298593,300.40255849
