cod_geo, nom, population
04015, Mont-Saint-Pierre, 196 
04030, La Martre, 246 
08065, Saint-Léandre, 407 
09005, La Rédemption, 522 
21015, Saint-Louis-de-Gonzague-du-Cap-Tourmente, 2 
23015, Notre-Dame-des-Anges, 400 
66092, L'Île-Dorval, 6 
69055, Huntingdon, 2 451 
71100, Hudson, 5 254 
84020, Portage-du-Fort, 269 
84025, Bryson, 623 
84035, L'Île-du-Grand-Calumet, 715 
84045, Thorne, 295 
84050, Alleyn-et-Cawood, 205 
84082, L'Isle-aux-Allumettes, 1 346 
84090, Chichester, 368 
96005, Baie-Trinité, 488 
96035, Chute-aux-Outardes, 1 670 
NR020, TNO regroupés MRC Le Rocher-Percé, 0 
NR040, La Haute-Gaspésie, 204 
NR060, TNO regroupés MRC Avignon, 0 
NR972, TNO regroupés MRC de Caniapiscau, 0 
NR981, TNO regroupés MRC de Minganie, 0 
NR982, TNO regroupés MRC Le Golfe-du-Saint-Laurent, 0 
AR040, La Haute-Gaspésie, 
R1211, Régie intermunicipale de gestion des déchets solides des Anses, 
R1235, Régie de l'Est pour la gestion intermunicipale des matières résiduelles de Matawinie, 
R5211, Régie intermunicipale de la Vallée de la Rivière Sainte-Marguerite, 
T1003, Conseil intermunicipal de transport du Haut-Saint-Laurent, 
