secteur,valeur,date,heure
"Est",18,"2023-06-07",10
"Nord",74,"2023-06-07",10
"Ouest",25,"2023-06-07",10
"Centre-ville",30,"2023-06-07",9
"Est",17,"2023-06-07",9
"Nord",43,"2023-06-07",9
"Ouest",31,"2023-06-07",9
"Centre-ville",30,"2023-06-07",8
"Est",15,"2023-06-07",8
"Nord",20,"2023-06-07",8
"Ouest",27,"2023-06-07",8
"Centre-ville",24,"2023-06-07",7
"Est",14,"2023-06-07",7
"Nord",17,"2023-06-07",7
"Ouest",20,"2023-06-07",7
"Centre-ville",18,"2023-06-07",6
"Est",13,"2023-06-07",6
"Nord",15,"2023-06-07",6
"Ouest",16,"2023-06-07",6
"Centre-ville",16,"2023-06-07",5
"Est",16,"2023-06-07",5
"Nord",14,"2023-06-07",5
"Ouest",16,"2023-06-07",5
"Centre-ville",20,"2023-06-07",4
"Est",16,"2023-06-07",4
"Nord",16,"2023-06-07",4
"Ouest",17,"2023-06-07",4
"Centre-ville",24,"2023-06-07",3
"Est",17,"2023-06-07",3
"Nord",19,"2023-06-07",3
"Ouest",23,"2023-06-07",3
"Centre-ville",29,"2023-06-07",2
"Est",17,"2023-06-07",2
"Nord",22,"2023-06-07",2
"Ouest",27,"2023-06-07",2
"Centre-ville",41,"2023-06-07",1
"Est",26,"2023-06-07",1
"Nord",31,"2023-06-07",1
"Ouest",29,"2023-06-07",1
"Centre-ville",53,"2023-06-07",0
"Est",37,"2023-06-07",0
"Nord",45,"2023-06-07",0
"Ouest",39,"2023-06-07",0
"Centre-ville",59,"2023-06-06",23
"Est",47,"2023-06-06",23
"Nord",58,"2023-06-06",23
"Ouest",48,"2023-06-06",23
"Centre-ville",57,"2023-06-06",22
"Est",47,"2023-06-06",22
"Nord",57,"2023-06-06",22
"Ouest",53,"2023-06-06",22
"Centre-ville",65,"2023-06-06",21
"Est",50,"2023-06-06",21
"Nord",59,"2023-06-06",21
"Ouest",58,"2023-06-06",21
"Centre-ville",79,"2023-06-06",20
"Est",60,"2023-06-06",20
"Nord",70,"2023-06-06",20
"Ouest",65,"2023-06-06",20
"Centre-ville",93,"2023-06-06",19
"Est",71,"2023-06-06",19
"Nord",89,"2023-06-06",19
"Ouest",70,"2023-06-06",19
"Centre-ville",98,"2023-06-06",18
"Est",79,"2023-06-06",18
"Nord",104,"2023-06-06",18
"Ouest",76,"2023-06-06",18
"Centre-ville",108,"2023-06-06",17
"Est",80,"2023-06-06",17
"Nord",111,"2023-06-06",17
"Ouest",80,"2023-06-06",17
"Centre-ville",111,"2023-06-06",16
"Est",90,"2023-06-06",16
"Nord",130,"2023-06-06",16
"Ouest",87,"2023-06-06",16
"Centre-ville",98,"2023-06-06",15
"Est",86,"2023-06-06",15
"Nord",118,"2023-06-06",15
"Ouest",80,"2023-06-06",15
"Centre-ville",79,"2023-06-06",14
"Est",74,"2023-06-06",14
"Nord",95,"2023-06-06",14
"Ouest",72,"2023-06-06",14
"Centre-ville",61,"2023-06-06",13
"Est",54,"2023-06-06",13
"Nord",60,"2023-06-06",13
"Ouest",58,"2023-06-06",13
"Centre-ville",62,"2023-06-06",12
"Est",49,"2023-06-06",12
"Nord",56,"2023-06-06",12
"Ouest",70,"2023-06-06",12
"Centre-ville",74,"2023-06-06",11
"Est",48,"2023-06-06",11
