stationId,polluant,valeur,date,heure
103,"O3",16,"2025-01-11",0
103,"NO2",3,"2025-01-11",0
103,"PM",17,"2025-01-11",0
103,"O3",14,"2025-01-10",23
103,"NO2",4,"2025-01-10",23
103,"PM",15,"2025-01-10",23
103,"O3",16,"2025-01-10",22
103,"NO2",3,"2025-01-10",22
103,"PM",12,"2025-01-10",22
103,"O3",16,"2025-01-10",21
103,"NO2",3,"2025-01-10",21
103,"PM",9,"2025-01-10",21
103,"O3",16,"2025-01-10",20
103,"NO2",3,"2025-01-10",20
103,"PM",8,"2025-01-10",20
103,"O3",14,"2025-01-10",19
103,"NO2",4,"2025-01-10",19
103,"PM",7,"2025-01-10",19
103,"O3",15,"2025-01-10",18
103,"NO2",4,"2025-01-10",18
103,"PM",6,"2025-01-10",18
103,"O3",19,"2025-01-10",17
103,"NO2",2,"2025-01-10",17
103,"PM",6,"2025-01-10",17
103,"O3",20,"2025-01-10",16
103,"NO2",2,"2025-01-10",16
103,"PM",6,"2025-01-10",16
103,"O3",20,"2025-01-10",15
103,"NO2",2,"2025-01-10",15
103,"PM",6,"2025-01-10",15
103,"O3",19,"2025-01-10",14
103,"NO2",2,"2025-01-10",14
103,"PM",7,"2025-01-10",14
103,"O3",20,"2025-01-10",13
103,"NO2",2,"2025-01-10",13
103,"PM",6,"2025-01-10",13
103,"O3",19,"2025-01-10",12
103,"NO2",2,"2025-01-10",12
103,"PM",5,"2025-01-10",12
103,"O3",18,"2025-01-10",11
103,"NO2",2,"2025-01-10",11
103,"PM",4,"2025-01-10",11
103,"O3",18,"2025-01-10",10
103,"NO2",2,"2025-01-10",10
103,"PM",4,"2025-01-10",10
103,"O3",16,"2025-01-10",9
103,"NO2",3,"2025-01-10",9
103,"PM",4,"2025-01-10",9
103,"O3",15,"2025-01-10",8
103,"NO2",3,"2025-01-10",8
103,"PM",4,"2025-01-10",8
103,"O3",16,"2025-01-10",7
103,"NO2",3,"2025-01-10",7
103,"PM",4,"2025-01-10",7
103,"O3",15,"2025-01-10",6
103,"NO2",3,"2025-01-10",6
103,"PM",4,"2025-01-10",6
103,"O3",16,"2025-01-10",5
103,"NO2",3,"2025-01-10",5
103,"PM",3,"2025-01-10",5
103,"O3",17,"2025-01-10",4
103,"NO2",3,"2025-01-10",4
103,"PM",3,"2025-01-10",4
103,"O3",18,"2025-01-10",3
103,"NO2",2,"2025-01-10",3
103,"PM",4,"2025-01-10",3
103,"O3",16,"2025-01-10",2
103,"NO2",3,"2025-01-10",2
103,"PM",4,"2025-01-10",2
103,"O3",16,"2025-01-10",1
103,"NO2",4,"2025-01-11",6
103,"O3",14,"2025-01-07",17
103,"NO2",3,"2025-01-07",17
103,"PM",6,"2025-01-07",17
103,"O3",14,"2025-01-07",16
103,"NO2",3,"2025-01-07",16
103,"PM",7,"2025-01-07",16
103,"O3",14,"2025-01-07",15
103,"NO2",3,"2025-01-07",15
103,"PM",7,"2025-01-07",15
103,"O3",13,"2025-01-07",14
103,"NO2",3,"2025-01-07",14
103,"PM",6,"2025-01-07",14
103,"O3",14,"2025-01-07",13
103,"NO2",3,"2025-01-07",13
103,"PM",6,"2025-01-07",13
103,"O3",13,"2025-01-07",12
103,"NO2",3,"2025-01-07",12
103,"PM",5,"2025-01-07",12
103,"O3",11,"2025-01-07",11
103,"NO2",4,"2025-01-07",11
103,"PM",5,"2025-01-07",11
103,"O3",11,"2025-01-07",10
103,"NO2",4,"2025-01-07",10
103,"PM",5,"2025-01-07",10
103,"O3",9,"2025-01-07",9
103,"NO2",5,"2025-01-07",9
103,"PM",5,"2025-01-07",9
103,"O3",9,"2025-01-07",8
103,"NO2",5,"2025-01-07",8
103,"PM",5,"2025-01-07",18
6,"SO2",1,"2025-01-05",7
6,"O3",21,"2025-01-05",7
6,"NO2",1,"2025-01-05",7
6,"PM",4,"2025-01-05",7
31,"SO2",1,"2025-01-05",7
31,"CO",1,"2025-01-05",7
31,"O3",21,"2025-01-05",7
31,"NO2",2,"2025-01-05",7
31,"PM",4,"2025-01-05",7
80,"SO2",1,"2025-01-05",7
80,"O3",21,"2025-01-05",7
80,"NO2",1,"2025-01-05",7
80,"PM",3,"2025-01-05",7
99,"SO2",1,"2025-01-05",7
99,"O3",22,"2025-01-05",7
99,"NO2",1,"2025-01-05",7
99,"PM",3,"2025-01-05",7
6,"SO2",1,"2025-01-05",6
6,"O3",21,"2025-01-05",6
6,"NO2",1,"2025-01-05",6
6,"PM",3,"2025-01-05",6
31,"SO2",1,"2025-01-05",6
31,"CO",1,"2025-01-05",6
31,"O3",20,"2025-01-05",6
31,"NO2",1,"2025-01-05",6
31,"PM",4,"2025-01-05",6
80,"SO2",1,"2025-01-05",6
80,"O3",21,"2025-01-05",6
31,"SO2",1,"2025-01-12",9
31,"CO",1,"2025-01-12",9
31,"O3",17,"2025-01-12",9
31,"NO2",3,"2025-01-12",9
31,"PM",5,"2025-01-12",9
66,"O3",18,"2025-01-12",9
31,"SO2",0,"2025-01-03",10
66,"NO2",2,"2025-01-12",9
66,"PM",6,"2025-01-12",9
80,"SO2",1,"2025-01-12",9
80,"O3",16,"2025-01-12",9
31,"CO",1,"2025-01-03",10
31,"O3",18,"2025-01-03",10
31,"NO2",1,"2025-01-03",10
31,"PM",3,"2025-01-03",10
80,"NO2",3,"2025-01-12",9
80,"PM",5,"2025-01-12",9
99,"SO2",1,"2025-01-12",9
99,"O3",22,"2025-01-12",9
66,"O3",17,"2025-01-03",10
66,"NO2",1,"2025-01-03",10
66,"PM",1,"2025-01-03",10
80,"SO2",1,"2025-01-03",10
99,"NO2",1,"2025-01-12",9
99,"PM",5,"2025-01-12",9
80,"O3",17,"2025-01-03",10
80,"NO2",1,"2025-01-03",10
80,"PM",3,"2025-01-03",10
99,"SO2",0,"2025-01-03",10
3,"SO2",1,"2025-01-12",8
3,"O3",17,"2025-01-12",8
3,"NO2",3,"2025-01-12",8
99,"O3",19,"2025-01-03",10
99,"NO2",1,"2025-01-03",10
99,"PM",2,"2025-01-03",10
3,"PM",5,"2025-01-12",8
6,"SO2",1,"2025-01-12",8
6,"O3",16,"2025-01-12",8
6,"NO2",3,"2025-01-12",8
6,"PM",5,"2025-01-12",8
31,"SO2",1,"2025-01-12",8
31,"CO",1,"2025-01-12",8
31,"O3",17,"2025-01-12",8
31,"NO2",3,"2025-01-12",8
31,"PM",5,"2025-01-12",8
66,"O3",16,"2025-01-12",8
66,"NO2",4,"2025-01-12",8
66,"PM",6,"2025-01-12",8
80,"SO2",1,"2025-01-12",8
80,"O3",14,"2025-01-12",8
31,"SO2",0,"2025-01-03",9
31,"CO",1,"2025-01-03",9
80,"NO2",4,"2025-01-12",8
80,"PM",5,"2025-01-12",8
99,"SO2",1,"2025-01-12",8
31,"O3",17,"2025-01-03",9
17,"NO2",1,"2025-01-07",1
17,"PM",7,"2025-01-07",1
55,"O3",19,"2025-01-07",1
55,"NO2",1,"2025-01-07",1
55,"PM",7,"2025-01-07",1
103,"NO2",1,"2025-01-03",5
103,"PM",3,"2025-01-03",5
17,"O3",19,"2025-01-07",0
17,"NO2",1,"2025-01-07",0
17,"PM",8,"2025-01-07",0
55,"O3",19,"2025-01-07",0
55,"NO2",1,"2025-01-07",0
55,"PM",8,"2025-01-07",0
103,"NO2",1,"2025-01-03",4
103,"PM",2,"2025-01-03",4
17,"O3",18,"2025-01-06",23
17,"NO2",1,"2025-01-06",23
17,"PM",9,"2025-01-06",23
55,"O3",18,"2025-01-06",23
55,"NO2",1,"2025-01-06",23
55,"PM",9,"2025-01-06",23
103,"NO2",1,"2025-01-03",3
103,"PM",2,"2025-01-03",3
17,"O3",17,"2025-01-06",22
17,"NO2",2,"2025-01-06",22
17,"PM",9,"2025-01-06",22
55,"O3",17,"2025-01-06",22
55,"NO2",1,"2025-01-06",22
55,"PM",9,"2025-01-06",22
103,"NO2",1,"2025-01-03",2
103,"PM",3,"2025-01-03",2
17,"O3",17,"2025-01-06",21
17,"NO2",2,"2025-01-06",21
17,"PM",10,"2025-01-06",21
55,"O3",18,"2025-01-06",21
55,"NO2",1,"2025-01-06",21
55,"PM",9,"2025-01-06",21
103,"NO2",1,"2025-01-03",1
103,"PM",3,"2025-01-03",1
17,"O3",16,"2025-01-06",20
17,"NO2",2,"2025-01-06",20
17,"PM",10,"2025-01-06",20
55,"O3",17,"2025-01-06",20
55,"NO2",1,"2025-01-06",20
55,"PM",8,"2025-01-06",20
103,"NO2",1,"2025-01-03",0
103,"PM",3,"2025-01-03",0
17,"O3",17,"2025-01-06",19
17,"NO2",2,"2025-01-06",19
17,"PM",9,"2025-01-06",19
55,"O3",18,"2025-01-06",19
55,"NO2",1,"2025-01-06",19
55,"PM",8,"2025-01-06",19
103,"NO2",1,"2025-01-02",23
103,"PM",3,"2025-01-02",23
17,"O3",16,"2025-01-06",18
17,"NO2",3,"2025-01-06",18
17,"PM",9,"2025-01-06",18
55,"O3",18,"2025-01-06",18
55,"NO2",1,"2025-01-06",18
55,"PM",7,"2025-01-06",18
103,"NO2",2,"2025-01-02",22
103,"PM",4,"2025-01-02",22
17,"O3",15,"2025-01-06",17
17,"NO2",3,"2025-01-06",17
17,"PM",9,"2025-01-06",17
55,"O3",17,"2025-01-06",17
55,"NO2",1,"2025-01-06",17
55,"PM",7,"2025-01-06",17
103,"NO2",1,"2025-01-02",21
103,"PM",4,"2025-01-02",21
17,"O3",16,"2025-01-06",16
17,"NO2",2,"2025-01-06",16
17,"PM",8,"2025-01-06",16
55,"O3",18,"2025-01-06",16
55,"NO2",1,"2025-01-06",16
55,"PM",6,"2025-01-06",16
103,"NO2",2,"2025-01-02",20
103,"PM",4,"2025-01-02",20
17,"O3",16,"2025-01-06",15
17,"NO2",2,"2025-01-06",15
17,"PM",8,"2025-01-06",15
55,"O3",18,"2025-01-06",15
55,"NO2",1,"2025-01-06",15
55,"PM",6,"2025-01-06",15
103,"NO2",2,"2025-01-02",19
103,"PM",3,"2025-01-02",19
17,"O3",16,"2025-01-06",14
17,"NO2",2,"2025-01-06",14
17,"PM",7,"2025-01-06",14
103,"PM",3,"2025-01-03",6
28,"CO",1,"2025-01-08",2
28,"O3",19,"2025-01-08",2
28,"NO2",1,"2025-01-08",2
28,"PM",5,"2025-01-08",2
50,"PM",4,"2025-01-08",2
66,"O3",19,"2025-01-08",22
66,"NO2",2,"2025-01-08",22
66,"PM",4,"2025-01-08",22
6,"SO2",1,"2025-01-10",4
6,"O3",21,"2025-01-10",4
6,"NO2",2,"2025-01-10",4
6,"PM",3,"2025-01-10",4
28,"CO",1,"2025-01-01",20
28,"O3",8,"2025-01-01",20
28,"NO2",2,"2025-01-01",20
28,"PM",10,"2025-01-01",20
50,"PM",9,"2025-01-01",20
66,"O3",8,"2025-01-01",20
66,"NO2",3,"2025-01-01",20
66,"PM",8,"2025-01-01",20
80,"SO2",1,"2025-01-01",20
80,"O3",9,"2025-01-01",20
80,"NO2",2,"2025-01-01",20
80,"PM",10,"2025-01-01",20
31,"NO2",1,"2025-01-03",9
31,"PM",2,"2025-01-03",9
66,"O3",17,"2025-01-03",9
66,"NO2",1,"2025-01-03",9
103,"O3",11,"2025-01-07",7
103,"NO2",4,"2025-01-07",7
103,"PM",5,"2025-01-07",7
103,"O3",13,"2025-01-07",6
66,"PM",1,"2025-01-03",9
80,"SO2",1,"2025-01-03",9
80,"O3",16,"2025-01-03",9
80,"NO2",1,"2025-01-03",9
