secteur,valeur,date,heure
"Est",31,"2025-01-22",23
"Nord",22,"2025-01-22",23
"Ouest",19,"2025-01-22",23
"Centre-ville",19,"2025-01-22",22
"Est",31,"2025-01-22",22
"Nord",23,"2025-01-22",22
"Ouest",17,"2025-01-22",22
"Centre-ville",14,"2025-01-22",9
"Est",26,"2025-01-22",9
"Nord",29,"2025-01-22",9
"Ouest",17,"2025-01-22",9
"Centre-ville",24,"2025-01-22",15
"Est",33,"2025-01-22",15
"Nord",32,"2025-01-22",15
"Ouest",24,"2025-01-22",15
"Centre-ville",18,"2025-01-22",23
"Centre-ville",19,"2025-01-22",0
"Est",41,"2025-01-22",0
"Nord",37,"2025-01-22",0
"Ouest",25,"2025-01-22",0
"Centre-ville",18,"2025-01-22",11
"Est",35,"2025-01-22",11
"Nord",38,"2025-01-22",11
"Ouest",21,"2025-01-22",11
"Centre-ville",20,"2025-01-22",21
"Est",31,"2025-01-22",21
"Nord",25,"2025-01-22",21
"Ouest",18,"2025-01-22",21
"Centre-ville",16,"2025-01-22",20
"Est",31,"2025-01-22",20
"Nord",26,"2025-01-22",20
"Ouest",18,"2025-01-22",20
"Centre-ville",21,"2025-01-22",13
"Est",41,"2025-01-22",13
"Nord",47,"2025-01-22",13
"Ouest",21,"2025-01-22",13
"Centre-ville",15,"2025-01-22",3
"Est",60,"2025-01-22",3
"Nord",23,"2025-01-22",3
"Ouest",13,"2025-01-22",3
"Centre-ville",20,"2025-01-22",12
"Est",44,"2025-01-22",12
"Nord",48,"2025-01-22",12
"Ouest",20,"2025-01-22",12
"Centre-ville",16,"2025-01-22",10
"Centre-ville",15,"2025-01-22",4
"Est",72,"2025-01-22",4
"Nord",37,"2025-01-22",4
"Ouest",14,"2025-01-22",4
"Est",28,"2025-01-22",10
"Nord",27,"2025-01-22",10
"Ouest",19,"2025-01-22",10
"Centre-ville",20,"2025-01-22",18
"Est",26,"2025-01-22",18
"Nord",24,"2025-01-22",18
"Ouest",20,"2025-01-22",18
"Centre-ville",23,"2025-01-22",16
"Est",31,"2025-01-22",16
"Nord",27,"2025-01-22",16
"Ouest",23,"2025-01-22",16
"Centre-ville",19,"2025-01-22",19
"Est",28,"2025-01-22",19
"Nord",27,"2025-01-22",19
"Ouest",17,"2025-01-22",19
"Centre-ville",12,"2025-01-22",7
"Est",48,"2025-01-22",7
"Nord",50,"2025-01-22",7
"Ouest",12,"2025-01-22",7
"Centre-ville",14,"2025-01-22",6
"Est",58,"2025-01-22",6
"Nord",54,"2025-01-22",6
"Ouest",14,"2025-01-22",6
"Centre-ville",23,"2025-01-22",14
"Centre-ville",22,"2025-01-22",17
"Est",37,"2025-01-22",14
"Nord",40,"2025-01-22",14
"Ouest",23,"2025-01-22",14
"Est",27,"2025-01-22",17
"Nord",23,"2025-01-22",17
"Ouest",22,"2025-01-22",17
"Centre-ville",25,"2025-01-13",13
"Est",27,"2025-01-13",13
"Nord",35,"2025-01-13",13
"Ouest",30,"2025-01-13",13
"Centre-ville",24,"2025-01-13",12
"Est",27,"2025-01-13",12
"Nord",34,"2025-01-13",12
"Ouest",28,"2025-01-13",12
"Centre-ville",22,"2025-01-13",11
"Est",26,"2025-01-13",11
"Nord",33,"2025-01-13",11
"Ouest",24,"2025-01-13",11
"Centre-ville",22,"2025-01-13",10
"Est",27,"2025-01-13",10
"Nord",32,"2025-01-13",10
"Ouest",19,"2025-01-13",10
"Centre-ville",20,"2025-01-13",9
"Est",26,"2025-01-13",9
"Nord",31,"2025-01-13",9
"Ouest",16,"2025-01-13",9
"Centre-ville",18,"2025-01-13",8
"Est",26,"2025-01-13",8
"Nord",28,"2025-01-13",8
"Ouest",16,"2025-01-13",8
"Centre-ville",18,"2025-01-13",7
"Est",23,"2025-01-13",7
"Nord",25,"2025-01-13",7
"Ouest",16,"2025-01-13",7
"Centre-ville",18,"2025-01-13",6
"Est",23,"2025-01-13",6
"Nord",23,"2025-01-13",6
"Ouest",17,"2025-01-13",6
"Centre-ville",18,"2025-01-13",5
"Est",20,"2025-01-13",5
"Nord",21,"2025-01-13",5
"Ouest",16,"2025-01-13",5
"Centre-ville",18,"2025-01-13",4
"Est",17,"2025-01-13",4
"Nord",18,"2025-01-13",4
"Ouest",15,"2025-01-13",4
"Centre-ville",17,"2025-01-13",3
"Est",19,"2025-01-13",3
"Nord",16,"2025-01-13",3
"Ouest",15,"2025-01-13",3
"Centre-ville",15,"2025-01-13",2
"Est",21,"2025-01-13",2
"Nord",15,"2025-01-13",2
"Ouest",16,"2025-01-13",2
"Centre-ville",16,"2025-01-13",1
"Est",23,"2025-01-13",1
"Nord",15,"2025-01-13",1
"Ouest",17,"2025-01-13",1
"Centre-ville",15,"2025-01-13",0
"Est",19,"2025-01-13",0
"Nord",14,"2025-01-13",0
"Ouest",17,"2025-01-13",0
"Centre-ville",15,"2025-01-12",23
"Est",16,"2025-01-12",23
"Nord",15,"2025-01-12",23
"Ouest",15,"2025-01-12",23
"Centre-ville",16,"2025-01-12",22
"Est",17,"2025-01-12",22
"Nord",16,"2025-01-12",22
"Ouest",17,"2025-01-12",22
"Centre-ville",14,"2025-01-12",21
"Est",18,"2025-01-12",21
"Nord",16,"2025-01-12",21
"Ouest",18,"2025-01-12",21
"Centre-ville",15,"2025-01-12",20
"Est",17,"2025-01-12",20
"Nord",15,"2025-01-12",20
"Ouest",19,"2025-01-12",20
"Centre-ville",17,"2025-01-12",19
"Est",18,"2025-01-12",19
"Nord",15,"2025-01-12",19
"Ouest",20,"2025-01-12",19
"Centre-ville",17,"2025-01-12",18
"Est",20,"2025-01-12",18
"Nord",16,"2025-01-12",18
"Ouest",21,"2025-01-12",18
"Centre-ville",19,"2025-01-12",17
"Est",21,"2025-01-12",17
"Nord",20,"2025-01-12",17
"Ouest",22,"2025-01-12",17
"Centre-ville",22,"2025-01-12",16
"Centre-ville",14,"2025-01-22",8
"Est",38,"2025-01-22",8
"Nord",43,"2025-01-22",8
"Ouest",11,"2025-01-22",8
"Centre-ville",15,"2025-01-22",5
"Est",67,"2025-01-22",5
"Nord",51,"2025-01-22",5
"Ouest",16,"2025-01-22",5
"Ouest",18,"2025-01-18",11
"Centre-ville",18,"2025-01-18",10
"Est",18,"2025-01-18",10
"Nord",16,"2025-01-18",10
"Ouest",17,"2025-01-18",10
"Centre-ville",17,"2025-01-18",9
"Est",18,"2025-01-18",9
"Nord",16,"2025-01-18",11
"Nord",16,"2025-01-18",9
"Ouest",17,"2025-01-18",9
"Centre-ville",17,"2025-01-18",8
"Est",16,"2025-01-18",8
"Nord",16,"2025-01-18",8
"Ouest",17,"2025-01-18",8
"Centre-ville",17,"2025-01-18",7
"Est",16,"2025-01-18",7
"Nord",17,"2025-01-18",7
"Ouest",17,"2025-01-18",7
"Centre-ville",18,"2025-01-18",6
"Est",17,"2025-01-18",6
"Nord",19,"2025-01-18",6
"Ouest",17,"2025-01-18",6
"Centre-ville",21,"2025-01-18",5
"Est",20,"2025-01-18",5
"Nord",21,"2025-01-18",5
"Ouest",18,"2025-01-18",5
"Centre-ville",25,"2025-01-18",4
"Est",24,"2025-01-18",4
"Nord",23,"2025-01-18",4
"Ouest",20,"2025-01-18",4
"Centre-ville",27,"2025-01-18",3
"Est",27,"2025-01-18",3
"Nord",24,"2025-01-18",3
"Ouest",21,"2025-01-18",3
"Centre-ville",27,"2025-01-18",2
"Est",28,"2025-01-18",2
"Nord",23,"2025-01-18",2
"Ouest",19,"2025-01-18",2
"Centre-ville",26,"2025-01-18",1
"Est",27,"2025-01-18",1
