"Désignation","Membre ","Titre ","Arrondissement/ville liée","Parti"
"Commission sur la culture, le patrimoine et les sports","Anne-Marie SIGOUIN","Présidente","Le Sud-Ouest","Projet Montréal - Équipe Valérie Plante"
"Commission sur la culture, le patrimoine et les sports","Robert COUTU","Vice-président","Montréal-Est",
"Commission sur la culture, le patrimoine et les sports","Benoit LANGEVIN","Vice-président","Pierrefonds-Roxboro","Ensemble Montréal"
"Commission sur la culture, le patrimoine et les sports","Younes BOUKALA","Membre","Lachine","Projet Montréal - Équipe Valérie Plante"
"Commission sur la culture, le patrimoine et les sports","Michèle FLANNERY","Membre","Lachine","Projet Montréal - Équipe Valérie Plante"
"Commission sur la culture, le patrimoine et les sports","Christine GOSSELIN","Membre","Rosemont - La Petite-Patrie","Projet Montréal - Équipe Valérie Plante"
"Commission sur la culture, le patrimoine et les sports","Stephanie WATT","Membre ","Rosemont - La Petite-Patrie","Projet Montréal - Équipe Valérie Plante"
"Commission sur la culture, le patrimoine et les sports","Mindy POLLAK","Membre","Outremont","Projet Montréal - Équipe Valérie Plante"
"Commission sur la culture, le patrimoine et les sports","Chantal ROSSI","Membre","Montréal-Nord","Ensemble Montréal"
"Commission sur la culture, le patrimoine et les sports","Christina SMITH","Membre","Westmount",
"Commission sur la culture, le patrimoine et les sports","Alain VAILLANCOURT","Membre","Le Sud-Ouest","Projet Montréal - Équipe Valérie Plante"
"Commission sur le développement économique et urbain et l’habitation","Richard RYAN","Président","Le Plateau-Mont-Royal","Projet Montréal - Équipe Valérie Plante"
"Commission sur le développement économique et urbain et l’habitation","Robert COUTU","Vice-président","Montréal-Est",
"Commission sur le développement économique et urbain et l’habitation","Dominic PERRI","Vice-président","Saint-Léonard","Ensemble Montréal"
"Commission sur le développement économique et urbain et l’habitation","Luc GAGNON","Membre","Verdun","Projet Montréal - Équipe Valérie Plante"
"Commission sur le développement économique et urbain et l’habitation","Yves GIGNAC","Membre","Pierrefonds-Roxboro","Ensemble Montréal"
"Commission sur le développement économique et urbain et l’habitation","Fanny MAGINI","Membre","Outremont","Projet Montréal - Équipe Valérie Plante"
"Commission sur le développement économique et urbain et l’habitation","Christan LAROCQUE","Membre","L'Île-Bizard - Sainte-Geneviève","Projet Montréal - Équipe Valérie Plante"
"Commission sur le développement économique et urbain et l’habitation","Yves SARAULT","Membre","L'Île-Bizard - Sainte-Geneviève","Projet Montréal - Équipe Valérie Plante"
"Commission sur le développement économique et urbain et l’habitation","Christina SMITH","Membre","Westmount",
"Commission sur le développement économique et urbain et l’habitation","Véronique TREMBLAY","Membre","Verdun","Projet Montréal - Équipe Valérie Plante"
"Commission sur le développement économique et urbain et l’habitation","Maeva VILAIN","Membre","Le Plateau-Mont-Royal","Projet Montréal - Équipe Valérie Plante"
"Commission sur le développement social et la diversité montréalaise ","Renée-Chantal BELINGA","Présidente","Montréal-Nord","Indépendante"
"Commission sur le développement social et la diversité montréalaise ","Robert COUTU","Vice-président","Montréal-Est",
"Commission sur le développement social et la diversité montréalaise ","Mary DEROS","Vice-présidente","Villeray - Saint-Michel - Parc-Extension","Ensemble Montréal"
"Commission sur le développement social et la diversité montréalaise ","Nancy BLANCHET","Membre","LaSalle","Équipe Barbe Team"
"Commission sur le développement social et la diversité montréalaise ","Josefina BLANCO","Membre","Le Plateau-Mont-Royal","Projet Montréal - Équipe Valérie Plante"
"Commission sur le développement social et la diversité montréalaise ","Josué CORVIL","Membre","Villeray - Saint-Michel - Parc-Extension","Ensemble Montréal"
"Commission sur le développement social et la diversité montréalaise ","Suzanne DÉCARIE","Membre","Rivière-des-Praires - Pointe-aux-Trembles","Ensemble Montréal"
"Commission sur le développement social et la diversité montréalaise ","Sterling DOWNEY","Membre","Verdun","Projet Montréal - Équipe Valérie Plante"
"Commission sur le développement social et la diversité montréalaise ","Mindy POLLAK","Membre","Outremont","Projet Montréal - Équipe Valérie Plante"
"Commission sur le développement social et la diversité montréalaise ","Christina SMITH","Membre","Westmount",
"Commission sur le développement social et la diversité montréalaise ","Stephanie WATT","Membre","Rosemont - La Petite-Patrie","Projet Montréal - Équipe Valérie Plante"
"Commission sur l’eau, l’environnement, le développement durable et les grands parcs ","Valérie PATREAU","Présidente","Outremont","Projet Montréal - Équipe Valérie Plante"
"Commission sur l’eau, l’environnement, le développement durable et les grands parcs ","Francesco MIELE","Vice-président","Saint-Laurent","Ensemble Montréal"
"Commission sur l’eau, l’environnement, le développement durable et les grands parcs ","Mitchell BROWNSTEIN","Vice-président","Côte-Saint-Luc",
"Commission sur l’eau, l’environnement, le développement durable et les grands parcs ","Josefina BLANCO","Membre","Le Plateau-Mont-Royal","Projet Montréal - Équipe Valérie Plante"
"Commission sur l’eau, l’environnement, le développement durable et les grands parcs ","Julie BRISEBOIS","Membre","Senneville",
"Commission sur l’eau, l’environnement, le développement durable et les grands parcs ","Lisa CHRISTENSEN","Membre","Rivière-des-Praires - Pointe-aux-Trembles","Projet Montréal - Équipe Valérie Plante"
"Commission sur l’eau, l’environnement, le développement durable et les grands parcs ","Catherine CLÉMENT-TALBOT","Membre","Pierrefonds-Roxboro","Ensemble Montréal"
"Commission sur l’eau, l’environnement, le développement durable et les grands parcs ","Gilles DÉZIEL","Membre ","Rivière-des-Praires - Pointe-aux-Trembles","Ensemble Montréal"
"Commission sur l’eau, l’environnement, le développement durable et les grands parcs ","Fanny MAGINI","Membre","Outremont","Projet Montréal - Équipe Valérie Plante"
"Commission sur l’eau, l’environnement, le développement durable et les grands parcs ","Jérôme NORMAND","Membre","Ahuntsic-Cartierville","Projet Montréal - Équipe Valérie Plante"
"Commission sur l’eau, l’environnement, le développement durable et les grands parcs ","Maeva VILAIN","Membre","Le Plateau-Mont-Royal","Projet Montréal - Équipe Valérie Plante"
"Commission sur l’examen des contrats","Karine BOIVIN ROY","Présidente","Mercier - Hochelaga-Maisonneuve","Ensemble Montréal"
"Commission sur l’examen des contrats","Sophie THIÉBAUT","Vice-présidente","Le Sud-Ouest","Projet Montréal - Équipe Valérie Plante"
"Commission sur l’examen des contrats","Julie BRISEBOIS","Vice-présidente","Senneville",
"Commission sur l’examen des contrats","Paola HAWA","Membre","Sainte-Anne-de-Bellevue",
"Commission sur l’examen des contrats","Christan LAROCQUE","Membre","L'Île-Bizard – Sainte-Geneviève","Projet Montréal - Équipe Valérie Plante"
"Commission sur l'examen des contrats","Jérôme NORMAND","Membre","Ahuntsic-Cartierville","Projet Montréal - Équipe Valérie Plante"
"Commission sur l’examen des contrats","Younes BOUKALA","Membre","Lachine","Projet Montréal - Équipe Valérie Plante"
"Commission sur l’examen des contrats","Giovanni RAPANÀ","Membre ","Rivière-des-Praires - Pointe-aux-Trembles","Ensemble Montréal"
"Commission sur l’examen des contrats","Micheline ROULEAU","Membre","Lachine","Projet Montréal - Équipe Valérie Plante"
"Commission sur l’examen des contrats","Robert SAMOSZEWSKI","Membre","L'Île-Bizard - Sainte-Geneviève","Projet Montréal - Équipe Valérie Plante"
"Commission sur l’examen des contrats","Lili-Anne TREMBLAY","Membre","Saint-Léonard","Indépendante"
"Commission sur les finances et l’administration","Richard DESCHAMPS","Président","LaSalle","Équipe Barbe Team"
"Commission sur les finances et l’administration","Georges BOURELLE","Vice-président","Beaconsfield",
"Commission sur les finances et l’administration","Alan DESOUSA","Vice-président","Saint-Laurent","Ensemble Montréal"
"Commission sur les finances et l’administration","Alex BOTTAUSCI","Membre","Dollard-des-Ormeaux",
