organisme,type_cr,specialite_regroupement,niveau_classe,categorie,internes,vacants,externes
R̩gie r̩gionale de la sant̩ et des services sociaux du Nunavik (Donn̩es non conformes),,,,,0,0,0
Minist̬re de la Culture et des Communications,CRTI,Administration de donn̩es,St.,Professionnel,2,0,0
Minist̬re de la Culture et des Communications,CRTI,Administration g̩n̩rale,C.N.,Technicien,2,0,0
Minist̬re de la Culture et des Communications,CRTI,Administration g̩n̩rale,St.,Professionnel,4,0,0
Minist̬re de la Culture et des Communications,CRTI,Analyse en d̩veloppement de syst̬me,Exp. C.E.,Professionnel,1,0,0
Minist̬re de la Culture et des Communications,CRTI,Analyse en d̩veloppement de syst̬me,St.,Professionnel,7,0,0
Minist̬re de la Culture et des Communications,CRTI,Analyse en d̩veloppement de syst̬me,,Professionnel,0,0,9
Minist̬re de la Culture et des Communications,CRTI,Architecture d'affaires,Exp. C.E.,Professionnel,1,0,0
Minist̬re de la Culture et des Communications,CRTI,Architecture d'affaires,,Professionnel,0,0,1
Minist̬re de la Culture et des Communications,CRTI,Architecture de donn̩es et d'information,St.,Professionnel,0,2,0
Minist̬re de la Culture et des Communications,CRTI,Architecture d'entreprise,Exp.,Professionnel,0,1,0
Minist̬re de la Culture et des Communications,CRTI,Architecture d'infrastructures technologiques,Exp.,Professionnel,1,0,0
Minist̬re de la Culture et des Communications,CRTI,Architecture fonctionnelle,St.,Professionnel,0,1,0
Minist̬re de la Culture et des Communications,CRTI,Architecture organique,St.,Professionnel,0,1,0
Minist̬re de la Culture et des Communications,CRTI,Architecture organique,,Professionnel,0,0,1
Minist̬re de la Culture et des Communications,CRTI,Conseil strat̩gique,Exp.,Professionnel,1,0,0
Minist̬re de la Culture et des Communications,CRTI,Conseil strat̩gique,St.,Professionnel,1,0,0
Minist̬re de la Culture et des Communications,CRTI,Conseil strat̩gique,,Professionnel,0,0,2
Minist̬re de la Culture et des Communications,CRTI,Gestion de projet,Exp. C.E.,Professionnel,2,0,0
Minist̬re de la Culture et des Communications,CRTI,Infrastructures technologiques & g̩n̩ral,St.,Professionnel,3,0,0
Minist̬re de la Culture et des Communications,CRTI,Infrastructures technologiques & g̩n̩ral,,Professionnel,0,0,4
