ï»¿Organisme,Categorie_de_specialite,Domaine,Secteur,Specialite,Interne,Poste_vacant,Externe
ITHQ,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,0,0,0
ITHQ,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,1,0,0
ITHQ,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
MAMOT,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,1,0,0
MAMOT,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
MAMOT,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
MAMOT,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,2,0,0
MAMOT,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
MAMOT,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
MAPAQ,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
MAPAQ,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,1,0,0
MAPAQ,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
MAPAQ,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,2,0,0
MAPAQ,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
MAPAQ,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
MCC,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
MCC,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
MCC,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
MCC,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,1,0,0
MCC,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
MCC,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
MCE,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
MCE,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
MCE,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
MCE,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,1,0,0
MCE,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
MCE,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
MEER,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,4,0,0
MEER,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,2,0,0
MEER,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,1,0,0
MEER,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,2,2,0
MEER,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,1,0,0
MEER,TI,Personnel_encadrement,Technologies_de_information,Autres,3,1,0
MDDELCC,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,1,0,0
MDDELCC,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,1,0,0
MDDELCC,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
MDDELCC,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,2,0,0
MDDELCC,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,2,0,0
MDDELCC,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
MERN (DGTA seul),TI,Personnel_encadrement,Technologies_de_information,Developpement_application,2,1,0
MERN (DGTA seul),TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,1,0,0
MERN (DGTA seul),TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
MERN (DGTA seul),TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,1,0,0
MERN (DGTA seul),TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
MERN (DGTA seul),TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
MERN,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,1,0,0
MERN,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
MERN,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,1,0,0
MERN,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,6,0,0
MERN,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,1,0,0
MERN,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
MFA,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,1,1,0
MFA,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
MFA,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
MFA,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,1,1,0
MFA,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
MFA,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
