id_dis,arr_1,arr_2,ID_TRC,id_stt,sens_releve,date_releve,type_dis,configuration,codification,longueur,geometry
1037,L'Île-Bizard-Sainte-Geneviève,,1622927.0,,S-N,2023-11-16,glissiere,droite,GSR/W/BE,31,"LINESTRING Z (-73.86007139367088 45.50723100976961 27.3336949482964, -73.85989157126129 45.50748008546808 27.4014412482479)"
1038,L'Île-Bizard-Sainte-Geneviève,,1622926.0,,S-N,2023-11-16,glissiere,droite,GSR/W/BE,103,"LINESTRING Z (-73.85983831579975 45.5075642918088 27.8393733082796, -73.8592189090275 45.508379103945416 27.5266475011139)"
1039,L'Île-Bizard-Sainte-Geneviève,,4006787.0,,E-O,2023-11-16,glissiere,droite,GSR/W/BE,503,"LINESTRING Z (-73.87281173799153 45.5195130144856 24.235499999995227, -73.87317492602345 45.51955476749433 22.942699999999604, -73.87363198105221 45.51957050634212 24.480200000005425, -73.87400052563542 45.51958097357574 24.589099999997416, -73.87436330185072 45.51959613425777 24.37249999999767, -73.87460656920551 45.51961762365429 23.65951200500435, -73.87479689814475 45.51964337806233 23.09320000000298, -73.87523063820936 45.51968976264709 25.025800000003073, -73.87544769184753 45.51970876495856 26.176399999996647, -73.87593866263953 45.5197365726236 25.85580000000482, -73.87629879421038 45.51974017892928 26.03859999999986, -73.87709400682559 45.519740884366605 26.37149999999383, -73.87771391939924 45.519741957722694 25.523700000005192, -73.87810156714518 45.51974379615757 24.302700000000186, -73.87849333167476 45.5197518736 25.172399999995832, -73.87922688758526 45.51976857967792 26.794599999993807)"
1040,L'Île-Bizard-Sainte-Geneviève,,4010382.0,,E-O,2023-11-16,glissiere,droite,GSR/W/B,31,"LINESTRING Z (-73.87008049152884 45.519231702115114 25.8812218627586, -73.87024725176946 45.51927114983758 26.0400684874239, -73.87046396213734 45.51930977005513 26.3935217598216)"
1041,L'Île-Bizard-Sainte-Geneviève,,4010383.0,,E-O,2023-11-16,glissiere,droite,GR/BC,8,"LINESTRING Z (-73.86774391992948 45.518330951699134 26.1484570395847, -73.86777427109742 45.5183013133044 26.0477513233118, -73.86781995785363 45.51832090765552 26.0480723338984)"
1043,Lachine,,1604654.0,,E-O,2024-03-14,glissiere,gauche,GR/BC,2,"LINESTRING Z (-73.71170221601172 45.43627677735147 22.943899999998393, -73.71172616418464 45.43628205790144 22.96)"
1044,Lachine,,1604654.0,,E-O,2024-03-14,glissiere,gauche,GR/BC,2,"LINESTRING Z (-73.71163937688937 45.436268064036646 23.2, -73.71166268523105 45.43627355494911 22.98)"
1045,Lachine,,1604654.0,,E-O,2024-03-14,glissiere,gauche,GR/BC,2,"LINESTRING Z (-73.71145973205377 45.436245983478805 22.999800000005052, -73.71148802246823 45.436248493598995 22.62)"
1047,Saint-Laurent,,1608969.0,,E-O,2023-11-15,glissiere,droite,GR/BC,20,"LINESTRING Z (-73.77176584730567 45.48099170690268 29.7764833773762, -73.77180835055786 45.480972271873775 29.7433987685584, -73.77183378198075 45.48096166486394 29.7403407482546, -73.77187054951202 45.480944953956154 29.5525191605467, -73.77188397283277 45.48093839319611 29.5466820391931, -73.77191608456953 45.480924961037296 29.4477947501565, -73.77193501134651 45.48091450428058 29.5884517373386, -73.77197193334958 45.48089104822167 29.6603242051788)"
1048,Pierrefonds-Roxboro,,1622146.0,,E-O,2023-11-17,glissiere,mediane,GR/BC,4,"LINESTRING Z (-73.81224321788802 45.510819597409984 24.6015049930587, -73.81229273249711 45.510822215186124 24.5146427678382)"
1049,Saint-Laurent,,4010179.0,,S-N,2023-11-15,glissiere,droite,GR/BC,4,"LINESTRING Z (-73.76392095515297 45.47780364063209 0, -73.76395722932594 45.477830894176606 0)"
1050,Lachine,,1604724.0,,N-S,2024-03-14,glissiere,mediane,GR/BC,4,"LINESTRING Z (-73.72045913679646 45.44739383308117 29.2365765788181, -73.7204643988826 45.4474274870635 29.2850523718195)"
1051,Saint-Laurent,,4010179.0,,O-E,2024-03-25,glissiere,droite,GR/BC,4,"LINESTRING Z (-73.76395634613404 45.477858161507946 31.57, -73.76390998500906 45.47785664890552 31.32)"
1052,Lachine,,1604724.0,,N-S,2024-03-14,glissiere,droite,GSR/T/A,52,"LINESTRING Z (-73.72047208222736 45.44743889549173 29.1947315891973, -73.72059960617274 45.44789394331064 31.6465224382431)"
1053,Saint-Laurent,,4007799.0,,N-S,2023-11-15,glissiere,gauche,GR/BC,16,"LINESTRING Z (-73.76001699842149 45.47744245044125 32.2696811329183, -73.76008068485156 45.47758136645809 32.322975282692)"
1059,Saint-Laurent,,4008001.0,,E-O,2023-11-15,attenuateur,droite,inertiel,2,"LINESTRING Z (-73.75901145124075 45.47871727403203 32.39163598410744, -73.75904249979695 45.47871410725127 32.17793598410742)"
1060,Lachine,,1604748.0,,N-S,2023-12-17,glissiere,droite,GR/BC,2,"LINESTRING Z (-73.71899239957041 45.45311577467901 0, -73.71898572104291 45.453095340626135 0)"
