ï»¿ID,MUNICIPALITE,MODELE,COULEUR,MISEAJOUR,LONGITUDE,LATITUDE,DATEENTRETIEN,PRESSIONDYNAMIQUE
,60013,McAvity M67 Brigadier,Rouge,2022-12-01,-73.46575150816996,45.71856199149552,2023-10-17,40
,60013,McAvity M67 Brigadier,Rouge,2022-12-01,-73.46463234936837,45.71942950268556,2023-10-17,40
,60013,AVK Model 27-80,Rouge,2023-04-13,-73.46694798399386,45.71946772031703,2023-10-17,42
,60013,McAvity M59M,Rouge,2019-08-21,-73.46897398329538,45.71915367840085,2023-10-17,40
,60013,Concord D67M,Rouge,2018-04-13,-73.46864798567445,45.719529132263645,2023-10-17,44
,60013,AVK Model 27-80,Rouge,2019-03-06,-73.46350449374475,45.720848623850834,2023-10-17,47
,60013,McAvity M67,Noire,2019-01-23,-73.46233026110708,45.721257286022585,2023-10-17,40
,60013,AVK Model 27-80,Rouge,2023-04-13,-73.46381018536654,45.721181395604425,2023-10-17,42
,60013,AVK Model 27-80,Rouge,2023-04-13,-73.4650268192249,45.72053018937038,2023-10-17,42
,60013,McAvity M67,Rouge,2018-04-13,-73.46942424629049,45.72038261324547,2023-10-17,42
,60013,Concord D67M,Rouge,2019-03-25,-73.46814589080991,45.72011943887278,2023-10-17,42
,60013,McAvity M67,Rouge,2018-04-13,-73.46757495355232,45.72075564092972,2023-10-17,42
,60013,McAvity M67,Rouge,2018-04-13,-73.4688104811032,45.72133889886173,2023-10-17,42
,60013,McAvity M67 Brigadier,Rouge,2019-03-25,-73.46654591829181,45.72084327377302,2023-10-17,42
,60013,Concord D67M,Rouge,2018-04-13,-73.46315601011592,45.72226867002244,2023-10-17,44
,60013,Concord D67M,Rouge,2018-04-13,-73.46495079498847,45.72251638505746,2023-10-17,44
,60013,Concord D67M,Rouge,2018-04-13,-73.46596941423441,45.72348594842753,2023-10-17,44
,60013,McAvity M67,Rouge,2018-04-13,-73.46237261699928,45.72374254353981,2023-10-17,42
,60013,Concord D67M,Rouge,2018-04-13,-73.46330605890559,45.72311008404409,2023-10-17,44
,60013,Concord D67M,Rouge,2018-04-13,-73.46473873201158,45.724831463124055,2023-10-17,38
,60013,Concord D67M,Rouge,2018-04-13,-73.4644576444395,45.72550942626166,2023-10-17,48
