ï»¿objectid,nom,adresse,url
1,Piscine extÃ©rieure de la Station plein-air Val-Mauricie,"1700, rue Val-Mauricie",http://www.shawinigan.ca/Citoyens/piscines-exterieures_130.html
2,Piscine extÃ©rieure du parc St-Maurice,"202, avenue Broadway",http://www.shawinigan.ca/Citoyens/piscines-exterieures_130.html
3,Piscine extÃ©rieure du parc Antoine-St-Onge,"2143, boulevard Royal",http://www.shawinigan.ca/Citoyens/piscines-exterieures_130.html
4,Piscine extÃ©rieure du parc Frank-Gauthier,"1250, 3e Avenue",http://www.shawinigan.ca/Citoyens/piscines-exterieures_130.html
