,,"Groupe intervention vidéo de Montréal inc.",,"Plateau-Mont-Royal",1 136 $
,,"Imago théâtre, inc.",,"Plateau-Mont-Royal",522 $
,,"Impro Montréal",,"Plateau-Mont-Royal",2 757 $
,,"Infinithéâtre",,"Plateau-Mont-Royal",252 $
,,"La société de cinéma répertoire de Montréal",,"Plateau-Mont-Royal",5 000 $
,,"La société des arts libres et actuels",,"Plateau-Mont-Royal",945 $
,,"La vie des arts",,"Plateau-Mont-Royal",1 038 $
,,"L'atelier circulaire",,"Plateau-Mont-Royal",3 865 $
,,"Le groupe de la veillée",,"Plateau-Mont-Royal",346 $
,,"Le groupe enfin l'hiver",,"Plateau-Mont-Royal",785 $
,,"Le MEG : Le Montréal Électronique Groove inc. ",,"Plateau-Mont-Royal",132 $
,,"Le MEG : Le Montréal Électronique Groove inc. ",,"Plateau-Mont-Royal",122 $
,,"Le mois de la photo à Montréal",,"Plateau-Mont-Royal",849 $
,,"Le Palace, atelier d'artistes",,"Plateau-Mont-Royal",3 087 $
,,"Le théâtre de la manufacture inc.",,"Plateau-Mont-Royal",1 154 $
,,"Le théâtre de la source inc.",,"Plateau-Mont-Royal",144 $
,,"Les 7doigts de la main",,"Plateau-Mont-Royal",3 081 $
,,"Les Filles électriques",,"Plateau-Mont-Royal",920 $
,,"Les Grands Ballets Canadiens",,"Plateau-Mont-Royal",5 000 $
,,"Les Grands Ballets Canadiens",,"Plateau-Mont-Royal",2 180 $
,,"Les productions nuits d'Afrique inc.",,"Plateau-Mont-Royal",1 680 $
,,"Les7ateliers",,"Plateau-Mont-Royal",2 486 $
,,"L'orchestre de chambre I Musici de Montréal",,"Plateau-Mont-Royal",1 686 $
,,"Mainfilm",,"Plateau-Mont-Royal",2 640 $
,,"Oboro Goboro",,"Plateau-Mont-Royal",5 000 $
,,"On est 10, coop de solidarité",,"Plateau-Mont-Royal",1 010 $
,,"Optica - un centre au service de l'art contemporain",,"Plateau-Mont-Royal",1 747 $
,,"Perte de signal",,"Plateau-Mont-Royal",872 $
,,"Piknic Electronik",,"Plateau-Mont-Royal",1 360 $
,,"Playwrights' Workshop (Montréal) inc.",,"Plateau-Mont-Royal",1 512 $
,,"Productions Ciel Variable",,"Plateau-Mont-Royal",494 $
,,"Radio-Ville-Marie",,"Plateau-Mont-Royal",2 500 $
,,"Regroupement Pied Carré",,"Plateau-Mont-Royal",321 $
,,"Rencontres internationales du documentaire de Montréal",,"Plateau-Mont-Royal",665 $
,,"Sibyllines",,"Plateau-Mont-Royal",1 432 $
,,"Société d'histoire et de généalogie du Plateau Mont-Royal",,"Plateau-Mont-Royal",294 $
,,"Studio XX",,"Plateau-Mont-Royal",1 291 $
,,"Théâtre de la Pire Espèce",,"Plateau-Mont-Royal",340 $
,,"Théâtre de l'esquisse",,"Plateau-Mont-Royal",1 197 $
,,"Théâtre de l'oeil inc.",,"Plateau-Mont-Royal",690 $
,,"Théâtre de quat'sous",,"Plateau-Mont-Royal",173 $
,,"Théâtre de quat'sous",,"Plateau-Mont-Royal",74 $
,,"Théâtre du rideau vert",,"Plateau-Mont-Royal",1 043 $
,,"Théâtre du rideau vert",,"Plateau-Mont-Royal",276 $
,,"Théâtre la chapelle inc.",,"Plateau-Mont-Royal",4 252 $
,,"Théâtre l'avant-pays inc.",,"Plateau-Mont-Royal",1 683 $
,,"Théâtre le clou",,"Plateau-Mont-Royal",1 498 $
,,"Théâtre Youtheatre inc.",,"Plateau-Mont-Royal",168 $
,,"Théâtre Youtheatre inc.",,"Plateau-Mont-Royal",1 436 $
,,,"Sous-total Plateau-Mont-Royal",,108 830 $
,,"ARCMTL",,"Rosemont--La-Petite-Patrie",1 276 $
,,"Atelier du geste",,"Rosemont--La-Petite-Patrie",870 $
,,"Festival interculturel du conte de Montréal",,"Rosemont--La-Petite-Patrie",221 $
,,"Fleur d'asphalte",,"Rosemont--La-Petite-Patrie",875 $
,,"Le centre des textiles contemporains de Montréal",,"Rosemont--La-Petite-Patrie",4 655 $
,,"Le repaire des 100 talents",,"Rosemont--La-Petite-Patrie",782 $
,,"Les productions drôle de monde",,"Rosemont--La-Petite-Patrie",1 610 $
,,"L'illusion, théâtre de marionnettes",,"Rosemont--La-Petite-Patrie",3 698 $
,,"Regroupement arts et culture Rosemont - Petite Patrie",,"Rosemont--La-Petite-Patrie",695 $
,,"Théâtre pigeons international",,"Rosemont--La-Petite-Patrie",906 $
,,"Toxique Trottoir",,"Rosemont--La-Petite-Patrie",484 $
,,,"Sous-total Rosemont-La-Petite-Patrie",,16 072 $
,,"Dynamo théâtre inc.",,"Saint-Laurent",229 $
,,"Dynamo théâtre inc.",,"Saint-Laurent",219 $
,,,"Sous-total Saint-Laurent",,448 $
,,"Opéra de Montréal",,"Saint-Léonard",5 000 $
,,,"Sous-total Saint-Léonard",,5 000 $
,,"Atelier Helios Makerspace",,"Sud-Ouest",1 004 $
,,"Bach-Académie de Montréal",,"Sud-Ouest",237 $
,,"Centre de recherche et de design en impression textile de Montréal",,"Sud-Ouest",5 000 $
,,"Compagnie la Otra Orilla",,"Sud-Ouest",1 196 $
,,"Fondation métropolis bleu",,"Sud-Ouest",1 042 $
,,"Friperie la gaillarde",,"Sud-Ouest",1 287 $
,,"Institut culturel Avataq inc.",,"Sud-Ouest",1 164 $
,,"Musée David  M. Stewart",,"Sud-Ouest",2 505 $
,,"Musée du château Ramezay",,"Sud-Ouest",1 848 $
,,"Musée du costume et du textile du Québec",,"Sud-Ouest",539 $
,,"Radio-Ville-Marie",,"Sud-Ouest",2 535 $
,,"Société des directeurs des musées montréalais",,"Sud-Ouest",5 000 $
,,,"Sous-total Sud-Ouest",,23 357 $
,,"14 lieux",,"Ville-Marie",91 $
,,"Archives gaies du Québec",,"Ville-Marie",614 $
,,"Arprim, centre d'essai en art imprimé",,"Ville-Marie",827 $
,,"Association des galeries d'art contemporain (Montréal)",,"Ville-Marie",859 $
,,"Association des libraires du Québec",,"Ville-Marie",840 $
,,"Biennale de Montréal",,"Ville-Marie",1 261 $
,,"Bouge de là inc.",,"Ville-Marie",261 $
,,"C.M.C. concours de musique du Canada inc.",,"Ville-Marie",880 $
,,"Centre de musique canadienne au Québec",,"Ville-Marie",1 692 $
,,"Centre des arts actuels Skol",,"Ville-Marie",1 813 $
,,"Centre des auteurs dramatiques (Montréal) (CEAD) inc.",,"Ville-Marie",2 096 $
,,"Centre éducatif pour le théâtre à Montréal",,"Ville-Marie",971 $
,,"Chants libres : compagnie lyrique de création",,"Ville-Marie",449 $
,,"Circa art actuel",,"Ville-Marie",1 742 $
,,"Circuit-Est",,"Ville-Marie",679 $
,,"Circuit-Est",,"Ville-Marie",2 442 $
,,"Compagnie de théâtre le carrousel",,"Ville-Marie",3 024 $
,,"Compagnie Flak",,"Ville-Marie",643 $
,,"Compagnie Flak",,"Ville-Marie",1 843 $
,,"Concours international d'orgue du Canada",,"Ville-Marie",440 $
,,"Conseil québécois du théâtre",,"Ville-Marie",1 505 $
,,"Daniel Léveillé nouvelle danse inc.",,"Ville-Marie",541 $
,,"Ecole de danse contemporaine de Montréal",,"Ville-Marie",5 000 $
,,"École nationale de l'humour / National Comedy School",,"Ville-Marie",5 000 $
,,"Festival transamériques",,"Ville-Marie",3 148 $
,,"Fondation de danse Margie Gillis",,"Ville-Marie",209 $
,,"Fondation Québec Cinéma",,"Ville-Marie",1 447 $
,,"Fondation québécoise pour la danse contemporaine",,"Ville-Marie",301 $
,,"Galerie B-312",,"Ville-Marie",1 260 $
,,"Galerie les territoires",,"Ville-Marie",760 $
,,"Guilde canadienne des métiers d'art",,"Ville-Marie",5 000 $
,,"Illustration Québec",,"Ville-Marie",198 $
,,"KINO00",,"Ville-Marie",596 $
,,"La troupe du théâtre de quartier",,"Ville-Marie",748 $
,,"La troupe du théâtre de quartier",,"Ville-Marie",520 $
,,"L'association québécoise des auteurs dramatiques (A.Q.A.D.)",,"Ville-Marie",737 $
,,"Le Cabinet, espace de production photographique",,"Ville-Marie",258 $
,,"Le festival international de jazz de Montréal inc.",,"Ville-Marie",5 000 $
,,"Le festival international de jazz de Montréal inc.",,"Ville-Marie",1 703 $
,,"Le festival international de jazz de Montréal inc.",,"Ville-Marie",5 000 $
,,"Le nouveau théâtre expérimental",,"Ville-Marie",2 196 $
,,"Le nouveau théâtre expérimental",,"Ville-Marie",239 $
,,"Le théâtre de l'Opsis inc.",,"Ville-Marie",725 $
,,"Les éditions ESSE",,"Ville-Marie",558 $
,,"Les escales improbables de Montréal",,"Ville-Marie",271 $
,,"Les francofolies de Montréal inc.",,"Ville-Marie",4 006 $
,,"Les productions Ondinnok inc.",,"Ville-Marie",908 $
,,"L'illusion, théâtre de marionnettes",,"Ville-Marie",370 $
,,"Montréal danse",,"Ville-Marie",1 067 $
,,"Omnibus, le corps du théâtre",,"Ville-Marie",2 235 $
,,"Omnibus, le corps du théâtre",,"Ville-Marie",489 $
,,"Opéra de Montréal",,"Ville-Marie",5 000 $
,,"Orchestre métropolitain",,"Ville-Marie",2 842 $
,,"Possibles Éditions",,"Ville-Marie",472 $
,,"Productions Traquen'art inc",,"Ville-Marie",270 $
,,"Regroupement des artistes en arts visuels du Québec, R.A.A.V.",,"Ville-Marie",547 $
,,"SBC Galerie d'art contemporain",,"Ville-Marie",1 032 $
,,"Société d'art vocal de Montréal",,"Ville-Marie",847 $
,,"Société de développement des périodiques culturels québécois (SODEP)",,"Ville-Marie",670 $
,,"Société de promotion et de diffusion des arts et de la culture (S.P.D.A.C.) inc.",,"Ville-Marie",334 $
,,"Société pour les arts en milieu de santé",,"Ville-Marie",233 $
,,"Sodrac 2003 inc.",,"Ville-Marie",3 830 $
,,"Studio 303",,"Ville-Marie",2 070 $
,,"Tangente inc.",,"Ville-Marie",1 023 $
,,"Tenon mortaise, compagnie de théâtre-danse",,"Ville-Marie",195 $
,,"Théâtre de quat'sous",,"Ville-Marie",361 $
,,"Voies culturelles des faubourgs",,"Ville-Marie",173 $
,,"Vues d'Afrique",,"Ville-Marie",1 238 $
,,"Vues et voix",,"Ville-Marie",4 574 $
,,,"Sous-total Ville-Marie",,101 173 $
,,"Café l'Artère coopérative de solidarité",,"Villeray--Saint-Michel--Parc-Extension",2 241 $
,,"Centre de production et d'exposition Eastern Bloc",,"Villeray--Saint-Michel--Parc-Extension",1 523 $
,,"Centre des métiers du cuir de Montréal",,"Villeray--Saint-Michel--Parc-Extension",774 $
,,"Conseil du loisir scientifique de la région métropolitaine",,"Villeray--Saint-Michel--Parc-Extension",1 628 $
,,"Dynamo théâtre inc.",,"Villeray--Saint-Michel--Parc-Extension",611 $
,,"Espace culturel Centre Nord",,"Villeray--Saint-Michel--Parc-Extension",2 615 $
,,"Espace projet",,"Villeray--Saint-Michel--Parc-Extension",479 $
,,"Le Corrid'Art / The Long Haul",,"Villeray--Saint-Michel--Parc-Extension",3 732 $
,,"Maison de la poésie de Montréal",,"Villeray--Saint-Michel--Parc-Extension",606 $
,,"Théâtre Aux Écuries",,"Villeray--Saint-Michel--Parc-Extension",5 000 $
,,"Théâtre bouches décousues",,"Villeray--Saint-Michel--Parc-Extension",1 127 $
,,"Théâtre de la Pire Espèce",,"Villeray--Saint-Michel--Parc-Extension",318 $
,,"Théâtre de l'oeil inc.",,"Villeray--Saint-Michel--Parc-Extension",1 878 $
,,,"Sous-total Villeray-Saint-Michel-Parc-Extension",,22 532 $
,,"204 organismes ","Grand total aide financière aux OBNL locataires","11 arrondissements",311 328 $
,,,,,
"Ententes de partenariat",,"Nom de l'organisme","Titre du projet",,"Montant octroyé"
,,"Association montréalaise pour le développement des loisirs des tout-petits","Services d'animation pour les groupes de tout-petits et de formation en loisir pour les intervenants de la petite enfance ",,12 175 $
,,"Bureau du cinéma et de la télévision du Québec (BCTQ)","Soutenir la mission de BCTQ notamment au niveau de la promotion internationale ",,100 000 $
,,"Association montréalaise des arts et traditions populaires","Organisation et animation des danses folkloriques en plein air sur le mont Royal ",,5 500 $
,,"Culture Montréal ","Entente de partenariat triennale 2014-16",,100 000 $
,,"MAI (Montréal, arts interculturels)","Entente de partenariat 2015-17",,200 000 $
,"*","MAI (Montréal, arts interculturels)","Plan d'action",,150 000 $
,"*","Maison québécoise du théâtre pour l'enfance et la jeunesse ","Découvertes théâtrales ",,25 000 $
,"*","Société des directeurs des musées montréalais","Plan d'action",,160 000 $
,,"Bibliothèque et centre d'informatique Atwater ","Aide au fonctionnement",,20 700 $
,,"Montreal Children's Library, succursale Vega ","Aide au fonctionnement",,31 700 $
,,"Grands Ballets Canadiens","Centre national de danse-thérapie phase 2 de 3",,50 000 $
,,"United Irish Societies of Montreal","Défilé de la Saint-Patrick",,25 000 $
,,"Pointe-à-Callière, Musée d'histoire et d'archéologie de Montréal ","Aide au fonctionnement",,1 550 000 $
,"*","Société du Château Dufresne","Plan d'action ",,90 000 $
,"*","Diversité artistique (DAM)","Plan d'action",,30 000 $
,,"Héritage Montréal ","Entente 2013-2015",,25 000 $
,"*","Montréal en Histoires",,,4 200 000 $
,"*","Tourisme Montréal","Entente de partenariat pour le développement du tourisme culturel (2015-2016)",,140 000 $
,,"ArtsGames","ArtsGames",,500 000 $
,,"21 organismes","Sous-total",,7 415 075 $
"Soutien hors programme",,"Nom de l'organisme","Titre du projet","Arrondissement","Montant octroyé"
,,"United Irish Society","Défilé de la Saint-Patrick","Ville-Marie",25 000 $
,,"Centre de diffusion des arts et des musiques émergentes","Microfaune/Centre de diffusion des musiques émergentes",,25 000 $
,,"La TOHU","La Falla",,30 000 $
,,"Association des festivités culturelles des Caraïbes","Carifiesta","Ville-Marie",30 000 $
,,"Comité de la fête nationale","Fête Nationale ","Ville-Marie / Le Plateau Mont-Royal",105 000 $
,,"Montréal en Fêtes ","Montréal en Fêtes","Ville-Marie",125 000 $
,,"Fierté Montréal",,"Ville-Marie",30 000 $
,,"Techno Culture Club","Muséomix",,5 000 $
,,"Cité Mémoire","Montréal en Histoires",,300 000 $
"Ateliers d'artistes",,"Ateliers créatifs Montréal",,"Hochelaga-Maisonneuve",1 750 914 $
,,"Ateliers créatifs Montréal","Avenue du Parc",,465 000 $
,,,,,
,,,,,
"Projet pilote pour la réalisation de murales",,"Arrondissement Saint-Laurent","Avenue du collège",,36 000 $
,"*","MU","Maison culturelle  communautaire",,49 850 $
,"*","Festival Mural","Rue Saint-Urbain",,35 000 $
,"*","Mu","OMHM",,25 000 $
,"*","SODER","Papineau et Fleurimont",,16 500 $
,"*","MU","Saint-Laurent/Saint-Viateur",,30 000 $
,,,"Sous-total",,3 083 264 $
"Ententes de partenariats en culture à partir de la Stratégie de développement économique 
«Imaginer - Réaliser Montréal 2025 »  (**)",,"Nom de l'organisme","Titre du projet","Arrondissement","Montant octroyé"
,"**","Festival international de jazz de Montréal inc.",,,575 000 $
,"**","Festival Juste pour rire/ Just for Laughs",,,575 000 $
,"**","Festival Montréal en lumière inc.",,,575 000 $
,"**","Tohu - Cité des arts du cirque",,,575 000 $
,"**","Les FrancoFolies de Montréal inc.",,,290 000 $
,"**","Festival TransAmériques inc.",,,290 000 $
,"**","Festival du nouveau cinéma de Montréal",,,150 000 $
,"**","Fondation Québec cinéma",,,125 000 $
,"**","Festival Mode & Design Montréal",,,110 000 $
,"**","Productions Nuits d'Afrique",,,90 000 $
,"**","La Vitrine Culturelle","Entente de partenariat 2015-16-17",,400 000 $
,"**","Société des arts technologiques","Réalisation de son Programme",,250 000 $
,,,"Sous-total "," ",4 005 000 $
"Fonds de soutien aux marchés et vitrines culturels et créatifs ",,"Nom de l'organisme","Titre du projet",,
,"**","Alliance numérique du Québec","Sommet international du jeu vidéo de Montréal (MIGS)",,25 000 $
,"**","Association des galeries d'art contemporain","Foire Papier 15",,30 000 $
,"**","Association nationale des éditeurs de livres / Québec Édition","Rendez-vous / Fellowship- 2e édition",,15 000 $
,"**","Conférence internationale des arts de la scène (CINARS)","IPAY",,20 000 $
,"**","Festival Montréal Mundial","Mundial - 5e édition",,20 000 $
,"**","M pour Montréal","M pour Montréal -10e édition",,30 000 $
,"**","Mondial des Jeux","Mondial des Jeux- 2e édition",,10 000 $
,"**","La danse sur les routes du Québec","Parcours danse- 15e édition",,20 000 $
,,,"Sous-total ",,170 000 $
,,,"Grand total «Imaginer - Réaliser Montréal 2025 » (Ententes de partenariats et Fonds de soutien marchés et vitrines)",,4 175 000 $
"Prix et bourses ",,"Nom du lauréat","Nom de l'œuvre ou du projet",,"Bourse octroyée"
"Grand Prix du livre de Montréal ",,"Dominique Robert, lauréate","La cérémonie du Maître",,15 000 $
,,"Carole David, finaliste","L'année de ma disparition",,1 000 $
,,"Monique Deland, finaliste","La nuit, tous les dieux sont noirs",,1 000 $
,,"Roger Des Roches, finaliste","Le corps encaisse ",,1 000 $
,,"Dominique Scali, finaliste"," À la recherche de New Babylon",,1 000 $
"Prix Accès culture 2015",,"Edgar Bori",,,"Tournée "
"Prix du livre jeunesse des bibliothèques de Montréal ",,"Manon Gauthier et Julie Pearson","Elliot",,5 000 $
"Prix François-Houdé - métiers d'art ",,"Anastasia Radevich",,,5 000 $
"Prix Janine-Sutto - catégorie individu-artistes",,"Gilles Grégoire",,,500 $
"Prix Janine-Sutto - catégorie projet",,"Montréal Atypique",,,1 000 $
"Prix Louis-Comtois - arts visuels ",,"Nicolas Baier",,,7 500 $
"Prix Paul-Buisonneau ",,"Françoise Tremblay","Troupe ""La cour à côté""",,1 000 $
"Prix Pierre-Ayot - arts visuels ",,"Jon Rafman",,,5 000 $
"Prix de l'action culturelle",,"PPS Danse","Les chaises, de l'idée à la création",,2 500 $
,,"Patsy Van Roost- La Fée du Mile-End","Un dessin à la fenêtre",,500 $
,,"Circuit-Est centre chorégraphique","Alors, on crée ?",,500 $
"Prix Création Mon Rêve",,"La Gang à Rambrou",,,1 000 $
"Grand Prix de la danse de Montréal",,"Alain Platel",,,10 000 $
"1er Prix Concours musical international de Montréal ",,"Keonwoo Kim",,,30 000 $
"Bourse Phylis-Lambert ",,"Pelletier de Fontenay","Architectures de la nature captive",,10 000 $
,,,"Sous-total",,98 500 $
,,,,,
,,,,,
,,,,,
"NOTES : Sommes octroyées entre le 1er janvier et le 31 décembre 2015",,,,,
"Les projets identifiés d'un astérisque * sont soutenus dans le cadre de l'Entente sur le développement culturel de Montréal entre la Ville de Montréal et le ministère de la Culture et des Communications",,,,,
"Les projets identifiés de deux astérisques** sont soutenus dans le cadre de l'Entente Imaginer-Réaliser Montréal 2025 entre la Ville de Montréal et le Secrétariat à la région métropolitaine",,,,,
,,,,,
,,,,,
"Subvention aux artistes en arts visuels et en métiers d’art 2014***",,,,,
,,,"Nombre d'ateliers",,
,,,8,"Ahuntsic-Cartierville",5 646 $
,,,4,"Côte-des-Neiges–Notre-Dame-de-Grâce",1 336 $
,,,1,"La Salle",1 462 $
,,,10,"Mercier–Hochelaga-Maisonneuve",8 518 $
,,,9,"Outremont",7 349 $
" ",,,100,"Plateau-Mont-Royal (Le)",71 117 $
,,,1,"Rivière-des-Prairies--Pointe-aux-Trembles",1 000 $
,,,74,"Rosemont–La Petite-Patrie",48 530 $
,,,49,"Sud-Ouest (Le)",33 343 $
,,,1,"Verdun",800 $
,,,68,"Ville-Marie",27 495 $
,,,20,"Villeray–Saint-Michel–Parc-Extension",13 106 $
,,"Total",367,"12 arrondissements",219 702 $
,,,,,
"***NOTE : Sommes versées en 2014 et 2015 pour l'année 2014.",,"**pas dans les données ouvertes 2015 seulement sur le site web pour 2014",,,
