,"*",,"des arrondissements montréalais","Petite-Patrie",
,"*",,"Plan de médiation  culturelle","Saint-Laurent",23 000 $
,"*",,"Plan de médiation culturelle","Saint-Léonard",16 240 $
,"*",,"Plan de médiation culturelle ","Verdun",15 000 $
,"*",,"Plan de médiation culturelle","Villeray – ",30 000 $
,,,,"Saint-Michel – Parc-Ex",
,"*",,"Projet De choses et d'autres","Villeray – ",10 000 $
,,,,"Saint-Michel – Parc-Ex"," "
,"*",,"Projet L'éveil de la petite enfance aux arts de la  marionnette","Outremont",9 970 $
,"*",,"Plan de médiation culturelle","Outremont",7 000 $
,"*",,"Plan de médiation culturelle","Plateau-Mont-Royal",20 000 $
,"*",,"Projet Le Sud-Ouest en chœur","Sud-Ouest",9 000 $
,"*",,"Projet 3 lieux…3 temps","Sud-Ouest",10 000 $
,,,"Sous-total",,349 000 $
"Artistes-animateurs en milieu de loisir",,"Nom de l'organisme  ","Titre du projet, de l'événements ou de l'œuvre",,"Montant octroyé"
,"*","Centre récréatif Poupart","Ateliers exploratoires d’art du cirque",,5 200 $
,"*","École de cirque de Verdun","Ateliers exploratoires d’art du cirque",,11 772 $
,"*","Centre de Loisirs communautaires Lajeunesse","Station création",,6 934 $
,"*","École de joaillerie de Montréal","Station création",,12 034 $
,"*","Centre culturel Georges-Vanier","Introduction aux arts textiles",,7 475 $
,"*","Galerie et atelier la centrale électrique","Introduction aux arts textiles",,12 500 $
,,,"Sous-total",,55 915 $
"Artistes-amateurs de 55 ans et plus",,"Nom de l'organisme  ","Titre du projet, de l'événements ou de l'œuvre",,"Montant octroyé"
,"*","Carrefour Montrose","Slam ta vie",,2 820 $
,"*","Coopérative de solidarité Mosaïque","Je me souviens…du folklore d’ici et d’ailleurs",,4 500 $
,"*","Club social Henri-Julien","Les fins de semaine des arts",,3 860 $
,"*","Compagnons de Montréal","Éveil musical : On découvre la musique",,4 500 $
,,,"Sous-total",,15 680 $
"Programme Inclusion et innovation",,"Nom de l'organisme","Titre du projet",,"Montant octroyé"
,"*","Gestion Multisports St-Léonard",,,"6 100 $"
,"*","La maison des familles de Mercier-Est",,,"5 500 $"
,"*","Association pour le développement jeunesse de Loyola",,,"5 000 $"
,"*","Association des familles du Centre-Sud",,,"6 500 $"
,"*","La maison des jeunes de Pointe St-Charles",,,"8 000 $"
,"*","Association sportive et communautaire du Centre-Sud",,,"1 580 $"
,"*","Carrefour des 6-12 ans de Pierrefonds-Est inc.",,,"7 500 $"
,"*","Coopérative de solidarité Mosaïques",,,"6 000 $"
,"*","Société de développement environnemental de Rosemont (SODER) ",,,"4 127 $"
,"*","Centre culturel Georges-Vanier",,,"12 000 $"
,"*","Centre Le Beau Voyage inc.",,,"5 000 $"
,,,,,
,"*","Compagnons de Montréal",,,9 000 $
,"*","Oxy-Jeunes",,,10 000 $
,"*","Euréka! Art et dialogue interculturel",,,8 062 $
,"*","L'Hôte Maison",,,7 510 $
,"*","Centre culturel Georges-Vanier",,,9 000 $
,"*","Centre communautaire Hochelaga",,,7 050 $
,"*","Cloverdale Multi-Ressources",,,8 620 $
,,,"Sous-total",,126 549 $
"Soutien aux festivals et aux événements culturels -
Volet 1 : budget de plus de 500 000 $",,"Nom de l'organisme ","Événements",,"Montant octroyé"
,,"Alchimies, Créations et Cultures ","16e Festival du Monde Arabe de Montréal ",,30 000 $
,,"Art Souterrain ","7e Festival Art Souterrain - 2015",,30 000 $
,,"Association pr la création et la recherche électro-acoustiques du Québec ","16e Festival Elektra",,30 000 $
,,"Coup de coeur francophone","29e Coup de cœur francophone",,40 000 $
,,"Créations Etc... ","Festival Vue sur la relève, 20e édition.",,15 000 $
,,"Festi Blues ","18e FestiBlues International de Montréal",,5 000 $
,,"Festival de musique de chambre de Montréal - 20e édition","20e Festival de musique de chambre de Montréal",,30 000 $
,,"Festival Fantasia ","19e Festival International de films Fantasia",,50 000 $
,,"Festival international de la littérature (FIL) - 21e édition","21e Festival international de la littérature (FIL)",,25 000 $
,,"Festival international de musique Pop Montréal - 14e édition","14e Festival International de musique Pop Montréal",,45 000 $
,,"Festival international du film pour enfants de Montréal","17e Festival international du film pour enfant (FIFEM)",,25 000 $
,,"Festival international du Film sur l'Art (FIFA)","33e édition-Festival international du Film sur l'Art (FIFA)",,60 000 $
,,"Le Mois de la Photo à Montréal ",,,60 000 $
,,"Fondation Métropolis Bleu ","17e Festival littéraire international Métropolis Bleu",,25 000 $
,,"Festival ZooFest ","7e édition",,15 000 $
,,"Le MEG : Le Montréal Électronique Groove inc. ","17e Festival MEG Montréal",,15 000 $
,,"Mutek ","Mutek -  16e édition.",,50 000 $
,,"Petits Bonheurs diffusion culturelle ","Petits bonheurs, le rendez-vous des tout-petits - 11e édition",,15 000 $
,,"Rencontres internationales du documentaire de Montréal ","18e Rencontres internationales du documentaire de Montréal",,40 000 $
,,"Société de musique contemporaine du Québec ","7e édition Festival Montréal/Nouvelles Musiques (MNM)",,30 000 $
