,,"Pointe-à-Callière, Musée d'histoire et d'archéologie de Montréal ","L'éperon, la Douane, la crypte et le tunnel du Musée Pointe-à-Callière (Ville-Marie)","1 860 671,61 $",,,,,,,,,,,
,,"L'Autre Montréal","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","13 662,42 $",,,,,,,,,,,
,,"Le Groupe le Vivier","100, Sherbrooke Est - Chapelle historique du Bon-Pasteur (Ville-Marie)","5 250,00 $",,,,,,,,,,,
,,"Les Amis de la Montagne ","Maison Smith du parc du Mont-Royal","225 500,00 $",,,,,,,,,,,
,,"Montréal Arts interculturels (MAI)","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","233 953,50 $",,,,,,,,,,,
,,"Pachyderm","5300, rue Saint-Dominique - Bain Saint-Michel (Le Plateau Mont-Royal)","106,00 $",,,,,,,,,,,
,,"Production M E de l'art","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","1 033,14 $",,,,,,,,,,,
,,"Production GPI ","5300, rue Saint-Dominique - Bain Saint-Michel (Le Plateau Mont-Royal)","344,00 $",,,,,,,,,,,
,,"Projet Locomotion ","5300, rue Saint-Dominique - Bain Saint-Michel (Le Plateau Mont-Royal)","660,00 $",,,,,,,,,,,
,,"Regroupement québécois de la Danse (RQD)","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","6 732,00 $",,,,,,,,,,,
,,"Teesri Duniya ","5300, rue Saint-Dominique - Bain Saint-Michel (Le Plateau Mont-Royal)","803,00 $",,,,,,,,,,,
,,"Théâtre Black Theatre Workshop","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","36 851,28 $",,,,,,,,,,,
,,"Théâtre Mainline-Festival Fringe","5300, rue Saint-Dominique - Bain Saint-Michel (Le Plateau Mont-Royal)","835,00 $",,,,,,,,,,,
,,"Van Grimde Corps Secrets","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","2 861,55 $",,,,,,,,,,,
,,"24 organismes","Sous-total","2 600 575,78 $",,,,,,,,,,,
,,"Arrondissement","Adresse (arrondissement)","Montant octroyé",,,,,,,,,,,
"Aide à la restauration des immeubles reconnus en vertu de la Loi sur les biens culturels","*","Ahuntsic-Cartierville","Gouin Est, 2161, 2165, 2171","60 250,60 $",,,,,,,,,,,
,"*","Ahuntsic-Cartierville","Gouin Est, 2354","5 162,13 $",,,,,,,,,,,
,"*","Côte-des-Neiges - Notre-Dame-de-Grâce","Du Piedmont, 4920-4922","1 275,00 $",,,,,,,,,,,
,"*","Côte-des-Neiges - Notre-Dame-de-Grâce","Du Piedmont, 4920-4922","9 312,91 $",,,,,,,,,,,
,"*","Ville-Marie","Boulevard (The), 3219","117 224,85 $",,,,,,,,,,,
,"*","Ville-Marie","Boulevard (The), 3219","132 775,15 $",,,,,,,,,,,
,"*","Ville-Marie","Côte-des-Neiges, 3510","250 000,00 $",,,,,,,,,,,
,"*","Ville-Marie","Jacques Cartier, 431-433","40 327,48 $",,,,,,,,,,,
,"*","Ville-Marie","Jeanne-Mance, 2078","2 693,46 $",,,,,,,,,,,
,"*","Ville-Marie","Notre-Dame Est, 280","1 683,66 $",,,,,,,,,,,
,"*","Ville-Marie","Notre-Dame Est, 280","3 506,30 $",,,,,,,,,,,
,"*","Ville-Marie","Notre-Dame Est, 280","35 115,54 $",,,,,,,,,,,
,"*","Ville-Marie","Notre-Dame Est, 280","40 005,00 $",,,,,,,,,,,
,"*","Ville-Marie","Notre-Dame Est, 280","45 152,49 $",,,,,,,,,,,
,"*","Ville-Marie","Récollets (des), 410","250 000,00 $",,,,,,,,,,,
,"*","Ville-Marie","Saint-Antoine Est, 338","77 749,26 $",,,,,,,,,,,
,"*","Ville-Marie","Saint-Jacques, 360","250 000,00 $",,,,,,,,,,,
,"*","Ville-Marie","Saint-Marc, 2295 / 1850, Sherbrooke Ouest","62 593,54 $",,,,,,,,,,,
,"*","Ville-Marie","Saint-Paul Est, 28-30 / 29 de la Commune Est","47 145,05 $",,,,,,,,,,,
,"*","Ville-Marie","Saint-Paul Est, 79 / 415, St-Gabriel","84 325,54 $",,,,,,,,,,,
,"*","Ville-Marie","Saint-Paul Ouest, 180-194","5 664,80 $",,,,,,,,,,,
,"*","Ville-Marie","Saint-Paul Ouest, 180-194","13 207,08 $",,,,,,,,,,,
,"*","Ville-Marie","Trafalgar, 3021","30 120,00 $",,,,,,,,,,,
,,"3 arrondissements","Sous-total","1 565 289,84 $",,,,,,,,,,,
"Acquisition d'œuvres d'art (2 volets)",,,,,,,,,,,,,,,
,,"Titre de l'œuvre et artiste","Arrondissement",,,,,,,,,,,,
"Volet 1 - développement de l'art public (contrat octoyé en 2012)",,"Les environs, Mathieu Gaudet                                                                         ","Saint-Laurent, Centre sportif de Saint-Laurent ",,,,,,,,,,,,
,,"Chromazone, Hal Ingberg ","Côte-des-Neiges–Notre-Dame -de-Grâce, Centre culturel de Notre-Dame-de-Grâce ",,,,,,,,,,,,
,,"Sans titre, Adad Hannah ","Rosemont–La Petite-Patrie,  Bibliothèque Marc-Favreau",,,,,,,,,,,,
,,"Sous-total volet 1 : 3 projets","3 arrondissements, 3 œuvres","428 130,88 $",,,,,,,,,,,
,,"Nom de l'artiste","Titre de l'œuvre",,,,,,,,,,,,
"Volet 2 - patrimoine artistique : Collection d'oeuvres d'art ",,"Alain Chagnon ","Frisé pointant du doigt",,,,,,,,,,,,
,,"Alain Chagnon ","Les travailleurs de Labatt, le stérilisateur",,,,,,,,,,,,
,,"Alain Chagnon ","Rassemblement créditiste au Centre Paul-Sauvé",,,,,,,,,,,,
,,"Alexis Lavoie ","En pièces (10)",,,,,,,,,,,,
,,"Alexis Lavoie ","En pièces (17)",,,,,,,,,,,,
,,"Annie Baillargeon ","Brasier (triptyque)",,,,,,,,,,,,
,,"Catherine Plaisance ","Sans titre (Jacmel, Haïti)",,,,,,,,,,,,
,,"Catherine Plaisance ","Sans titre (Lystrup, Danemark)",,,,,,,,,,,,
,,"Catherine Plaisance ","Sans titre (Sendai, Japon)",,,,,,,,,,,,
,,"Claire Beaugrand-Champagne","Daniel et Christian Houde à l'encan de M. Huppé",,,,,,,,,,,,
,,"Claire Beaugrand-Champagne","Ti-Noir Lajeunesse, le violonneux aveugle à la Saint-Jean-Baptiste, Disraeli",,,,,,,,,,,,
,,"Clara Gutsche ","Cuisine (robe blanche)",,,,,,,,,,,,
,,"Clara Gutsche ","Père soulevant des poids",,,,,,,,,,,,
,,"David Miller ","3581-3 Hutchison",,,,,,,,,,,,
,,"David Miller ","Prince Arthur",,,,,,,,,,,,
,,"Émilie Trudel (lauréate 2012, prix François-Houdé)","Orientation Mystique",,,,,,,,,,,,
,,"Gabor Szilasi","Michel Campeau",,,,,,,,,,,,
,,"Gabor Szilasi","Montréal (Croix Corrid'art)",,,,,,,,,,,,
,,"Gabor Szilasi","Montréal (Julep)",,,,,,,,,,,,
,,"Gabor Szilasi","Roger Charbonneau, Claire Beaugrand-Champagne",,,,,,,,,,,,
,,"Ianick Raymond ","Décomposition 6",,,,,,,,,,,,
,,"Jacynthe Carrier (lauréate 2012, prix Pierre-Ayot)","Cabane, 2012",,,,,,,,,,,,
,,"Jacynthe Carrier ","Course, 2012",,,,,,,,,,,,
,,"Jacynthe Carrier ","Main, 2012",,,,,,,,,,,,
,,"Jacynthe Carrier ","Pas, 2012",,,,,,,,,,,,
,,"Jacynthe Carrier ","Parcours, 2012 (vidéo)",,,,,,,,,,,,
,,"Jacynthe Carrier ","Rôdeur 3, 2012",,,,,,,,,,,,
,,"Jacynthe Carrier ","Rôdeur 4, 2012",,,,,,,,,,,,
,,"Jacynthe Carrier ","Rôdeur 6, 2012",,,,,,,,,,,,
,,"Jacynthe Carrier ","Souffle, 2012",,,,,,,,,,,,
,,"Jean Lauzon ","Au comptoir du restaurant du magasin Zeller's de la place Drummond"," Transcanadienne Sortie 109",,,,,,,,,,,
,,"Jean Lauzon ","Ouvrier de l'usine Venture Carper",,,,,,,,,,,,
,,"Jeanie Riddle ","Chronic",,,,,,,,,,,,
,,"Jean-Pierre Gauthier","Les Envoûtés: Erotomanie",,,,,,,,,,,,
,,"Jean-Pierre Gauthier","Les Envoûtés: Les fleurs ont mal",,,,,,,,,,,,
,,"Jean-Pierre Gauthier","Les Envoûtés: Phobique",,,,,,,,,,,,
,,"Jean-Pierre Gauthier (lauréat 2012, prix Louis-Comtois)","Les Envoûtés: Derida",,,,,,,,,,,,
,,"Julie Trudel, ","Ellipse MCMY",,,,,,,,,,,,
,,"Julie Trudel, ","Ellipses en transit YCM (diptyque)",,,,,,,,,,,,
,,"Louise Lemieux-Bérubé","Rodin et Claudel no 2 ",,,,,,,,,,,,
,,"Marik Boudreau ","Easter Parade, New York",,,,,,,,,,,,
,,"Marik Boudreau ","Marché Jean-Talon",,,,,,,,,,,,
,,"Marik Boudreau ","Parade des Canadiens 1977",,,,,,,,,,,,
,,"Michel Campeau ","Sur les aveugles, 1973-1975. Dans les ateliers de l'Association Canadienne-Française pour les aveugles",,,,,,,,,,,,
,,"Michel Campeau ","Sur les aveugles, 1973-1975. Dans les ateliers de l'Association Canadienne-Française pour les aveugles, 24 février 1974",,,,,,,,,,,,
,,"Normand Rajotte ","Chez Ernest Restaurant",,,,,,,,,,,,
,,"Normand Rajotte ","Kiosque de tirs à la tombola St Charles",,,,,,,,,,,,
,,"Pierre Blanchette","Peinture Nº521",,,,,,,,,,,,
,,"Pierre Gaudard ","Les Ouvriers, Montréal",,,,,,,,,,,,
,,"Pierre Gaudard ","Les Prisons, Pénitenciers Leclerc, novembre 1975",,,,,,,,,,,,
,,"Roger Charbonneau ","Quartier Saint Édouard",,,,,,,,,,,,
,,"Roger Charbonneau ","Vitrine du garage Dumais",,,,,,,,,,,,
,,"Sous-total volet 2 : 22 artistes ","55 oeuvres"," 147 872,00  $ ",,,,,,,,,,,
,,"25 artistes et 55 œuvres ","Sous-total acquisition d'œuvres d'art (incluant le volet 1 et 2)","576 002,88 $",,,,,,,,,,,
,,"Arrondissement","Nombre d'ateliers","Montant octroyé",,,,,,,,,,,
"Subvention aux artistes en arts visuels et en métiers d’art 2012***",,"Ahuntsic-Cartierville",5,"4 309,00 $",,,,,,,,,,,
,,"Côte-des-Neiges–Notre-Dame-de-Grâce",4,"1 351,00 $",,,,,,,,,,,
,,"La Salle",1,"1 462,00 $",,,,,,,,,,,
,,"Mercier–Hochelaga-Maisonneuve",3,"1 841,00 $",,,,,,,,,,,
,,"Outremont",3,"4 711,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal",39,"45 018,00 $",,,,,,,,,,,
,,"Rosemont–La Petite-Patrie",30,"24 251,00 $",,,,,,,,,,,
,,"Sud-Ouest",22,"17 987,00 $",,,,,,,,,,,
,,"Verdun",,"0,00 $",,,,,,,,,,,
,,"Ville-Marie",23,"15 372,00 $",,,,,,,,,,,
,,"Villeray–Saint-Michel–Parc-Extension",10,"8 492,00 $",,,,,,,,,,,
,,"Grand total Subvention aux artistes professionnels des arts visuels et des  métiers d'art - 11 arrondissements",140,"124 794,00 $",,,,,,,,,,,
"*** Sommes versées en 2012 pour l'année 2011",,,,,,,,,,,,,,,
,,"Arrondissement","Nom de l'organisme","Montant octroyé",,,,,,,,,,,
"Aide financière aux OBNL locataires dans des immeubles non résidentiels imposables - volet art et culture ",,"Ahuntsic-Cartierville","Alchimies, Créations et Cultures","387,00 $",,,,,,,,,,,
,,"Ahuntsic-Cartierville","Association des médias écrits communautaires du Québec","929,00 $",,,,,,,,,,,
,,"Ahuntsic-Cartierville","Association pour le métissage artistique et culturel (AMETAC)","1 037,00 $",,,,,,,,,,,
,,"Ahuntsic-Cartierville","Communication-Jeunesse","1 539,00 $",,,,,,,,,,,
,,"Ahuntsic-Cartierville","Diffusion aire libre","698,00 $",,,,,,,,,,,
,,"Ahuntsic-Cartierville","La troupe de théâtre de Shakespeare de Montréal","1 001,00 $",,,,,,,,,,,
,,,"Sous-total Ahuntsic-Cartierville","5 591,00 $",,,,,,,,,,,
,,"Côte-des-Neiges–Notre-Dame-de-Grâce","Ballet Ouest inc./Ballet West Inc.","599,00 $",,,,,,,,,,,
,,"Côte-des-Neiges–Notre-Dame-de-Grâce","Festival de musique de chambre Montréal","516,00 $",,,,,,,,,,,
,,,"Sous-total Côte-des-Neiges–Notre-Dame-de-Grâce","1 115,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Alliance des chorales du Québec Inc.","511,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Association des cinémas paralleles du Québec","571,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Espace Go inc.","625,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Fédération des astronomes amateurs du Québec","98,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Fédération des harmonies et des orchestres symphoniques du Québec","271,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Fédération des sociétés d'histoire du Québec","333,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Fédération des sociétés d'horticulture et d'écologie du Québec","144,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Fédération québécoise des jeux récréatifs","402,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Festival orgue et couleurs","556,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","La compagnie Jean Duceppe","3 690,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","La fédération des associations musicales du Québec","194,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","La fondation du théâtre du nouveau monde","3 171,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Le nouveau théâtre expérimental","117,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Le théâtre petit à petit","1 044,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Radio amateur DU-OF Québec, inc.","349,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Regroupement Québecoiseaux","757,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Science pour tous","220,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Société des fêtes et festivals du Québec - Festivals et événements Québec","4 068,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Société d'étude et de conférences","206,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Théâtre bouches décousues","734,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Théatre du rideau vert","978,00 $",,,,,,,,,,,
,,,"Sous-total Mercier-Hochelaga-Maisonneuve","19 039,00 $",,,,,,,,,,,
,,"Outremont","ATSA","338,00 $",,,,,,,,,,,
,,"Outremont","Corporation Wapikoni mobile","1 078,00 $",,,,,,,,,,,
,,"Outremont","La brique et le fanal","1 484,00 $",,,,,,,,,,,
,,,"Sous-total Outremont","2 900,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Occurrence, espace d'art et d'essai contemporains","1 860,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Amicale de la culture indépendante (A.C.I.) inc.","987,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Archives gaies du Québec","526,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Articule","1 196,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Association lurelu","660,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Atelier Graff inc.","1 549,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Atelier le fil d'Ariane inc.","2 654,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Ateliers X13","937,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Centre d'art et diffusion Clark","2 178,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Centre de céramique-poterie Bonsecours inc.","1 112,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Cercle d'expression artistique Nyata Nyata","3 773,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Cinema Politica","202,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Collectif liberté inc.","174,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Compagnie de danse tango libre","1 529,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Conférence internationale des arts de la scène de Montréal","1 517,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Constantinople","579,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Coopérative de solidarité le cabaret du Mile End","3 811,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Corporation Lucie Grégoire danse","1 408,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Dazibao, centre d'animation et d'exposition photo","239,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Diagonale, centre des arts et des fibres du Québec","1 023,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Diagramme gestion culturelle inc.","1 762,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Dulcinée Langfelder et cie","1 694,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Ecole de danse tango libre","1 445,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Ensemble contemporain de Montréal","579,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Espace Freestanding","324,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Festival du nouveau cinéma de Montréal","3 238,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Festival international de musique pop Montréal","512,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Festival international de musique pop Montréal","1 046,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Festival international du film pour enfants de Montréal","379,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Festival international du film sur l'art (FIFA)","2 984,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Galerie & atelier la centrale électrique/Powerhouse Gallery & Studio","2 486,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Galerie Fokus","452,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Geordie productions inc.","2 280,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Groupe intervention vidéo de Montréal inc.","1 443,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Imago théâtre, inc.","1 694,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","La société de cinéma répertoire de Montréal","5 000,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","La société des arts libres et actuels","718,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","La vie des arts","1 026,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","L'atelier circulaire","2 902,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Le groupe de la veillée","342,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Le groupe enfin l'hiver","765,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Le MEG : Montréal Electronique Groove inc.","265,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Le théâtre de la manufacture inc.","868,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Le théâtre de la source inc.","145,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Les 7doigts de la main","2 649,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Les productions nuits d'Afrique inc.","1 680,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Les7ateliers","1 767,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","L'illusion, théâtre de marionnettes","1 398,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Lock-danseurs inc. / LA LA LA Human Steps","1 316,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Lock-danseurs inc. / LA LA LA Human Steps","5 000,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","L'orchestre de chambre I Musici de Montréal","996,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","L'orchestre de chambre I Musici de Montréal","656,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Mainfilm","2 470,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Oboro Goboro","5 000,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Organisation internationale nouvelle acropole Canada","958,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Piknic Electronik","1 358,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Playwrights' Workshop (Montréal) inc.","1 506,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Productions Flamenco Montréal","2 035,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Rencontres internationales du documentaire de Montréal","661,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Sibyllines","1 010,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Société d'histoire et de généalogie du Plateau Mont-Royal","292,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Studio XX","1 269,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Théâtre de l'esquisse","1 188,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Théâtre de quat'sous","219,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Théâtre du rideau vert","942,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Théâtre la chapelle inc.","4 376,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Théâtre l'avant-pays inc.","2 802,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Théâtre le clou","1 416,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Théâtre Mainline","1 400,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Théâtre Youtheatre inc.","1 411,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","YMCA du grand Montréal - centre du Parc (ÂME-ART)","530,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Zeugma, collectif de folklore urbain","801,00 $",,,,,,,,,,,
,,,"Sous-total Plateau-Mont-Royal","109 369,00 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","ARCMTL","1 232,00 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","Atelier du geste","849,00 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","Fleur d'asphalte","866,00 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","L'autre théâtre / The other theatre","1 174,00 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","Le centre des textiles contemporains de Montréal","4 533,00 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","Les productions drôle de monde","1 260,00 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","Orbite gauche","773,00 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","Théâtre de quat'sous","688,00 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","Théâtre pigeons international","1 750,00 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","Théâtre ubu inc.","431,00 $",,,,,,,,,,,
,,,"Sous-total Rosemont-La-Petite-Patrie","13 556,00 $",,,,,,,,,,,
,,"Saint-Laurent","Dynamo théâtre inc.","194,00 $",,,,,,,,,,,
,,"Saint-Laurent","Dynamo théâtre inc.","218,00 $",,,,,,,,,,,
,,"Saint-Laurent","Le musée des maîtres et artisans du Québec","2 587,00 $",,,,,,,,,,,
,,,"Sous-total Saint-Laurent","2 999,00 $",,,,,,,,,,,
,,"Saint-Léonard","Opéra de Montréal","5 000,00 $",,,,,,,,,,,
,,,"Sous-total Saint-Léonard","5 000,00 $",,,,,,,,,,,
,,"Sud-Ouest","Académie de radio-télé","523,00 $",,,,,,,,,,,
,,"Sud-Ouest","Centre de recherche et de design en impression textile de Montréal","5 000,00 $",,,,,,,,,,,
,,"Sud-Ouest","Compagnie la Otra Orilla","891,00 $",,,,,,,,,,,
,,"Sud-Ouest","Fondation métropolis bleu","1 002,00 $",,,,,,,,,,,
,,"Sud-Ouest","Friperie la gaillarde","1 261,00 $",,,,,,,,,,,
,,"Sud-Ouest","Institut culturel Avataq inc.","1 164,00 $",,,,,,,,,,,
,,"Sud-Ouest","Le mois de la photo à Montréal","1 226,00 $",,,,,,,,,,,
,,"Sud-Ouest","Musée David  M. Stewart","5 000,00 $",,,,,,,,,,,
,,"Sud-Ouest","Musée des beaux-arts de Montréal","5 000,00 $",,,,,,,,,,,
,,"Sud-Ouest","Musée du château Ramezay","1 711,00 $",,,,,,,,,,,
,,"Sud-Ouest","Musée du costume et du textile du Québec","539,00 $",,,,,,,,,,,
,,"Sud-Ouest","Radio-Ville-Marie","3 653,00 $",,,,,,,,,,,
,,"Sud-Ouest","Société des directeurs des musées montréalais","5 000,00 $",,,,,,,,,,,
,,,"Sous-total Sud-Ouest","31 970,00 $",,,,,,,,,,,
,,"Ville-Marie","Chants libres : compagnie lyrique de création","445,00 $",,,,,,,,,,,
,,"Ville-Marie","Arprim, regroupement pour la promotion de l'art imprimé","833,00 $",,,,,,,,,,,
,,"Ville-Marie","Art souterrain","259,00 $",,,,,,,,,,,
,,"Ville-Marie","Association des galeries d'art contemporain (Montréal)","853,00 $",,,,,,,,,,,
,,"Ville-Marie","Association des libraires du Québec","411,00 $",,,,,,,,,,,
,,"Ville-Marie","Association des libraires du Québec","408,00 $",,,,,,,,,,,
,,"Ville-Marie","Association des professionnels de l'industrie de l'humour (A.P.I.H.)","445,00 $",,,,,,,,,,,
,,"Ville-Marie","Association pour la création et la recherche électro-acoustiques du Québec","695,00 $",,,,,,,,,,,
,,"Ville-Marie","C.M.C. concours de musique du Canada inc.","841,00 $",,,,,,,,,,,
,,"Ville-Marie","Cahiers de théâtre jeu inc.","487,00 $",,,,,,,,,,,
,,"Ville-Marie","Centre de musique canadienne","1 453,00 $",,,,,,,,,,,
,,"Ville-Marie","Centre de musique canadienne","610,00 $",,,,,,,,,,,
,,"Ville-Marie","Centre des arts actuels Skol","1 789,00 $",,,,,,,,,,,
,,"Ville-Marie","Centre des auteurs dramatiques (Montréal) (CEAD) inc.","2 076,00 $",,,,,,,,,,,
,,"Ville-Marie","Centre d'exposition Circa","2 342,00 $",,,,,,,,,,,
,,"Ville-Marie","Centre éducatif pour le théâtre à Montréal","932,00 $",,,,,,,,,,,
,,"Ville-Marie","Circuit-Est","2 878,00 $",,,,,,,,,,,
,,"Ville-Marie","Compagnie de théâtre le carrousel","2 997,00 $",,,,,,,,,,,
,,"Ville-Marie","Compagnie Flak","553,00 $",,,,,,,,,,,
,,"Ville-Marie","Compagnie Flak","1 647,00 $",,,,,,,,,,,
,,"Ville-Marie","Conseil québécois du théâtre","1 505,00 $",,,,,,,,,,,
,,"Ville-Marie","Daniel Léveillé nouvelle danse inc.","209,00 $",,,,,,,,,,,
,,"Ville-Marie","Dazibao, centre d'animation et d'exposition photo","230,00 $",,,,,,,,,,,
,,"Ville-Marie","Ecole de danse contemporaine de Montréal","5 000,00 $",,,,,,,,,,,
,,"Ville-Marie","École nationale de l'humour / National Comedy School","5 000,00 $",,,,,,,,,,,
,,"Ville-Marie","English Language Arts Networks","371,00 $",,,,,,,,,,,
,,"Ville-Marie","Fédération d'art dramatique du Québec/The Quebec Drama Federation","591,00 $",,,,,,,,,,,
,,"Ville-Marie","Festival transamériques","2 584,00 $",,,,,,,,,,,
,,"Ville-Marie","Fondation québécoise pour la danse contemporaine","609,00 $",,,,,,,,,,,
,,"Ville-Marie","Galerie B-312","1 233,00 $",,,,,,,,,,,
