,,"Diversité Artistique Montréal (DAM)","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","16 036,00 $",,,,,,,,,,,
,,"Écomusée du fier Monde  ","1250, rue Amherst - (Ville-Marie)","29 119,00 $",,,,,,,,,,,
,,"infiniTheatre","5300, rue Saint-Dominique - Bain Saint-Michel (Le Plateau Mont-Royal)","4 560,00 $",,,,,,,,,,,
,,"Pointe-à-Callière, Musée d'histoire et d'archéologie de Montréal ","L'éperon, la Douane, la crypte et le tunnel du Musée Pointe-à-Callière (Ville-Marie)","1 267 134,00 $",,,,,,,,,,,
,,"L'Autre Montréal","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","12 691,00 $",,,,,,,,,,,
,,"Le Groupe le Vivier","100, Sherbrooke Est - Chapelle historique du Bon-Pasteur (Ville-Marie)","5 250,00 $",,,,,,,,,,,
,,"Les Amis de la Montagne ","Maison Smith du parc du Mont-Royal","225 500,00 $",,,,,,,,,,,
,,"Montréal Arts interculturels (MAI)","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","226 864,00 $",,,,,,,,,,,
,,"Production M E de l'art","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","785,00 $",,,,,,,,,,,
,,"Regroupement québécois de la Danse (RQD)","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","5 005,00 $",,,,,,,,,,,
,,"Théâtre Black Theatre Workshop","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","35 165,00 $",,,,,,,,,,,
,,"Théâtre Le Mimésis","5300, rue Saint-Dominique - Bain Saint-Michel (Le Plateau Mont-Royal)","900,00 $",,,,,,,,,,,
,,"Théâtre Mainline-Festival Fringe","5300, rue Saint-Dominique - Bain Saint-Michel (Le Plateau Mont-Royal)","1 040,00 $",,,,,,,,,,,
,,"Van Grimde Corps Secrets","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","2 488,00 $",,,,,,,,,,,
,,"Viva! Art Action ","5300, rue Saint-Dominique - Bain Saint-Michel (Le Plateau Mont-Royal)","585,00 $",,,,,,,,,,,
,,"18 organismes","Sous-total","1 997 199,00 $",,,,,,,,,,,
,,"Arrondissement","Adresse (arrondissement)","Montant octroyé",,,,,,,,,,,
"Aide à la restauration des immeubles reconnus en vertu de la Loi sur les biens culturels",,"Ahuntsic-Cartierville","Du Pressoir, 10838","3 034,72 $",,,,,,,,,,,
,,"Ahuntsic-Cartierville","Gouin Est, 2186-2190A","6 771,07 $",,,,,,,,,,,
,,"Ahuntsic-Cartierville","Sacré-Coeur, 10755","11 187,64 $",,,,,,,,,,,
,,"Ahuntsic-Cartierville","Sacré-Coeur, 10757","10 105,51 $",,,,,,,,,,,
,,"Le Plateau-Mont-Royal","Saint-Urbain, 3840","109 000,00 $",,,,,,,,,,,
,,"Rivière-des-Prairies--Pointe-aux-Trembles","Gouin Est, 12930","59 746,97 $",,,,,,,,,,,
,,"Ville-Marie","Cedar, 2985","10 034,34 $",,,,,,,,,,,
,,"Ville-Marie","Cedar, 2991","12 262,82 $",,,,,,,,,,,
,,"Ville-Marie","Cedar, 3031","2 112,24 $",,,,,,,,,,,
,,"Ville-Marie","Cedar, 3035","27 988,47 $",,,,,,,,,,,
,,"Ville-Marie","Cedar, 3053","18 167,64 $",,,,,,,,,,,
,,"Ville-Marie","De Bleury, 1401-1403","104 138,10 $",,,,,,,,,,,
,,"Ville-Marie","Le Boulevard, 3091","12 098,84 $",,,,,,,,,,,
,,"Ville-Marie","Notre-Dame Ouest, 231-233","39 987,79 $",,,,,,,,,,,
,,"Ville-Marie","Notre-Dame Ouest, 84-88","103 661,99 $",,,,,,,,,,,
,,"Ville-Marie","Place d'Youville, 285","40 373,00 $",,,,,,,,,,,
,,"Ville-Marie","Place Jacques Cartier, 431-433","40 000,00 $",,,,,,,,,,,
,,"Ville-Marie","Place Jacques Cartier, 431-433","44 337,65 $",,,,,,,,,,,
,,"Ville-Marie","Place Royale, 359 / 134 St-Paul Ouest","70 617,45 $",,,,,,,,,,,
,,"Ville-Marie","Place Royale, 360","347,00 $",,,,,,,,,,,
,,"Ville-Marie","Place Royale, 360","11 927,00 $",,,,,,,,,,,
,,"Ville-Marie","Place Royale, 360","56 515,41 $",,,,,,,,,,,
,,"Ville-Marie","Saint-Marc, 2295 / 1850, Sherbrooke Ouest","31 918,60 $",,,,,,,,,,,
,,"Ville-Marie","Saint-Marc, 2295 / 1850, Sherbrooke Ouest","45 034,72 $",,,,,,,,,,,
,,"Ville-Marie","Saint-Paul Est, 111-115 / 400 St-Vincent","5 531,64 $",,,,,,,,,,,
,,"Ville-Marie","Saint-Paul Est, 111-115 / 400 St-Vincent","40 000,00 $",,,,,,,,,,,
,,"Ville-Marie","Saint-Paul Ouest, 389","103 714,27 $",,,,,,,,,,,
,,"Ville-Marie","Sherbrooke Ouest, 81","139 341,35 $",,,,,,,,,,,
,,"Ville de Westmount","Côte-Saint-Antoine, 561-563","76 334,00 $",,,,,,,,,,,
,,"Ville de Westmount","Côte-Saint-Antoine, 561-563","91 725,86 $",,,,,,,,,,,
,,"4 arrondissements - 1 ville","Sous-total","1 328 016,09 $",,,,,,,,,,,
"Acquisition d'œuvres d'art (2 volets)",,,,,,,,,,,,,,,
,,"Titre de l'œuvre et artiste","Arrondissement, emplacement",,,,,,,,,,,,
"Volet développement de l'art public (contrat octoyé en 2011)",,"Mélangez le tout, de Cooke-Sasseville ","Ville-Marie, au Centre Jean-Claude Malépart ",,,,,,,,,,,,
,,"L'Étreinte, de Luce Pelletier ","Ville-Marie, au parc Toussaint-Louverture",,,,,,,,,,,,
,,"La Façade, de Guillaume Lachapelle","Ville-Marie, à la Bibliothèque Père- Ambroise",,,,,,,,,,,,
,,"3 projets ","1 arrondissement","286 391,00 $",,,,,,,,,,,
,,"Nom de l'artiste","Titre de l'œuvre","Montant octroyé",,,,,,,,,,,
"Volet patrimoine artistique : collection d'oeuvres d'art ",,"Jessica Beauchemin (lauréate 2011, prix François-Houdé) ","Collection Bestiaire, triptyque, 2011",,,,,,,,,,,,
,,"Olivia Boudreau (lauréate 2011, prix Pierre-Ayot)","BOX, séquence HD, 2009",,,,,,,,,,,,
,,"Marie-Claude Bouthiller (lauréate 2011, prix Louis-Comtois) ","Nous deux - Résister, se dissoudre, diptyque, 2003 ",,,,,,,,,,,,
,,"ATSA et Bo Huang","Visages, 2009",,,,,,,,,,,,
,,"Julien Boily ","VHS Blues (PANASONIC), 2011",,,,,,,,,,,,
,,"Julien Boily ","VHS Blues (SANYO), 2011",,,,,,,,,,,,
,,"Julien Boily ","VHS Blues (SAMSUNG), 2011",,,,,,,,,,,,
,,"Carl Bouchard","Être réellement rempli par tous les trous, 2009",,,,,,,,,,,,
,,"Thomas Corriveau","Mots blancs: tache, 2009",,,,,,,,,,,,
,,"Thomas Corriveau","Sortie du mur blanc, 1997",,,,,,,,,,,,
,,"Michèle Drouin","L’ordre se défait, 1994",,,,,,,,,,,,
,,"Raymond Dupuis","Tipis de briques (détail), 2010",,,,,,,,,,,,
,,"Cynthia Girard","Louis Cyr, l'homme le plus fort du monde, 2002",,,,,,,,,,,,
,,"Georges Nadra","Trêve I, triptyque, 1997",,,,,,,,,,,,
,,"Yann Pocreau ","Le poids de l'absence de couleur dans mon travail 1, 2, 3, 4",,,,,,,,,,,,
,,"Carlos et Jason Sanchez","Pink Bathroom, 2002",,,,,,,,,,,,
,,"Martine Savard ","Bienvenue/ Welcome, 2009",,,,,,,,,,,,
,,"Martine Savard ","Matagami : toponymie de l'Abitibi-Témiscamingue",,,,,,,,,,,,
,,"Marc Séguin ","Sans titre, 2010",,,,,,,,,,,,
,,"Angèle Verret","«…dire ce qu’il faut pour les rattacher…», diptyque, 2010",,,,,,,,,,,,
,,"Chih-Chien Wang","White Cans and Pineapple, 2009",,,,,,,,,,,,
,,"Chih-Chien Wang","Watermelon, Coffee and Detergent, 2009",,,,,,,,,,,,
,,"17 artistes ","22 œuvres","138 817,00 $",,,,,,,,,,,
,,"Sous-total 20 artistes - 25 œuvres ","Sous-total acquisition d'œuvres d'art (volet 1 et 2) ","425 208,00 $",,,,,,,,,,,
,,"Arrondissement","Nombre d'ateliers","Montant octroyé",,,,,,,,,,,
"Subvention aux artistes en arts visuels et en métiers d’art 2011***",,"Ahuntsic-Cartierville",3,"3 357,00 $",,,,,,,,,,,
,,"Côte-des-Neiges–Notre-Dame-de-Grâce",6,"1 751,00 $",,,,,,,,,,,
,,"La Salle",1,"680,00 $",,,,,,,,,,,
,,"Mercier–Hochelaga-Maisonneuve",7,"6 517,00 $",,,,,,,,,,,
,,"Outremont",8,"7 457,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal",100,"89 733,00 $",,,,,,,,,,,
,,"Rosemont–La Petite-Patrie",73,"44 109,00 $",,,,,,,,,,,
,,"Sud-Ouest",56,"39 549,00 $",,,,,,,,,,,
,,"Verdun",2,"832,00 $",,,,,,,,,,,
,,"Ville-Marie",73,"31 531,00 $",,,,,,,,,,,
,,"Villeray–Saint-Michel–Parc-Extension",19,"11 893,00 $",,,,,,,,,,,
,,"Grand total  - 11 arrondissements",348,"237 409,00 $",,,,,,,,,,,
"*** Sommes versées en 2011 et 2012 pour l'année 2011",,,,,,,,,,,,,,,
,,"Arrondissement","Nom de l'organisme","Montant octroyé",,,,,,,,,,,
"Aide financière aux OBNL locataires dans des immeubles non résidentiels imposables - 
Volet art et culture",,"Ahuntsic-Cartierville","Alchimies, Créations et Cultures","655,19 $",,,,,,,,,,,
,,"Ahuntsic-Cartierville","Association des médias écrits communautaires du Québec","1 569,04 $",,,,,,,,,,,
,,"Ahuntsic-Cartierville","Communication-Jeunesse","2 549,16 $",,,,,,,,,,,
,,"Ahuntsic-Cartierville","Festi Blues","568,94 $",,,,,,,,,,,
,,"Ahuntsic-Cartierville","La troupe de théâtre de Shakespeare de Montréal","1 716,81 $",,,,,,,,,,,
,,,"Sous-total Ahuntsic-Cartierville","7 059,14 $",,,,,,,,,,,
,,"Côte-des-Neiges–Notre-Dame-de-Grâce","Académie de ballet Sona Vartanian (S.V.) inc.","1 260,00 $",,,,,,,,,,,
,,"Côte-des-Neiges–Notre-Dame-de-Grâce","Ballet Ouest inc./Ballet West Inc.","992,83 $",,,,,,,,,,,
,,"Côte-des-Neiges–Notre-Dame-de-Grâce","Festival culturel ibéro-latino américian de Montréal","701,04 $",,,,,,,,,,,
,,"Côte-des-Neiges–Notre-Dame-de-Grâce","Festival de musique de chambre Montréal","439,65 $",,,,,,,,,,,
,,,"Sous-total Côte-des-Neiges–Notre-Dame-de-Grâce","3 393,52 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Alliance des chorales du Québec Inc.","876,30 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Association des cinémas paralleles du Québec","978,05 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Association québécoise des « loisirs folkloriques »","356,66 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Espace Go inc.","1 043,27 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Fédération des astronomes amateurs du Québec","231,18 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Fédération des harmonies et des orchestres symphoniques du Québec","464,10 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Fédération des sociétés d'histoire du Québec","653,28 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Fédération des sociétés d'horticulture et d'écologie du Québec","247,29 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Fédération québécoise des jeux récréatifs","689,24 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Fédération québécoise du loisir littéraire","389,91 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Festival orgue et couleurs","945,26 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Kéroul","2 055,70 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","La compagnie Jean Duceppe","6 129,25 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","La fédération des associations musicales du Québec","333,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","La fondation du théâtre du nouveau monde","5 303,49 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Le théâtre petit à petit","1 862,01 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Radio amateur DU-OF Québec, inc.","429,00 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Société des fêtes et festivals du Québec - Festivals et événements Québec","6 306,85 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Société d'étude et de conférences","352,67 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Théâtre bouches décousues","1 179,43 $",,,,,,,,,,,
,,"Mercier-Hochelaga-Maisonneuve","Théatre du rideau vert","1 647,36 $",,,,,,,,,,,
,,,"Sous-total Mercier-Hochelaga-Maisonneuve","32 473,30 $",,,,,,,,,,,
,,"Outremont","ATSA","567,94 $",,,,,,,,,,,
,,"Outremont","Création danse Lynda Gaudreau","3 350,88 $",,,,,,,,,,,
,,"Outremont","La brique et le fanal","2 206,31 $",,,,,,,,,,,
,,,"Sous-total Outremont","6 125,13 $",,,,,,,,,,,
,,"Pierrefonds--Roxboro","Source inspiration","1 263,60 $",,,,,,,,,,,
,,,"Sous-total Pierrefonds--Roxboro","1 263,60 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Occurrence, espace d'art et d'essai contemporains","3 060,36 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Amicale de la culture indépendante (A.C.I.) inc.","1 701,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Archives gaies du Québec","901,44 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Articule","1 916,94 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Association lurelu","1 111,87 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Atelier Graff inc.","2 653,56 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Atelier le fil d'Ariane inc.","4 700,05 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Ateliers X13","1 594,15 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Centre d'art et diffusion Clark","3 733,83 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Centre de céramique poterie Bonsecours inc.","2 143,92 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Centre du cinéma parallèle inc.","329,82 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Centre international d'art contemporain de Montréal (CIAC)","2 938,15 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Cercle d'expression artistique Nyata Nyata","6 475,46 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Collectif liberté inc.","586,08 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Compagnie de danse tango libre","2 622,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Conférence internationale des arts de la scène de Montréal","1 127,80 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Conférence internationale des arts de la scène de Montréal","1 486,17 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Constantinople","882,36 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Coopérative de solidarité le cabaret du Mile End","6 115,20 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Corporation Lucie Grégoire danse","2 289,26 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Diagonale, centre des arts et des fibres du Québec","1 702,81 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Diagramme gestion culturelle inc.","2 882,94 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Dulcinée Langfelder et cie","2 814,74 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Ecole de danse tango libre","2 476,40 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Ensemble contemporain de Montréal","960,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Festival du nouveau cinéma de Montréal","5 550,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Festival international de musique pop Montréal","2 635,20 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Festival international du film pour enfants de Montréal","624,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Festival international du film sur l'art (FIFA)","4 794,06 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Galerie & atelier la centrale électrique/Powerhouse Gallery & Studio","4 081,49 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Galerie Fokus","856,01 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Geordie productions inc.","3 842,68 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Groupe intervention vidéo de Montréal inc.","2 387,30 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Imago théâtre, inc.","2 814,74 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","La société de cinéma répertoire de Montréal","7 500,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","La société des arts libres et actuels","1 136,33 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","La vie des arts","1 663,04 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","L'atelier circulaire","4 557,17 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Le groupe de la veillée","591,99 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Le groupe enfin l'hiver","1 298,71 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Le théâtre de la manufacture inc.","1 479,69 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Le théâtre de la manufacture inc.","475,21 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Le théâtre de la source inc.","248,14 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Les 7doigts de la main","4 446,06 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Les productions nuits d'Afrique inc.","2 880,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Les7ateliers","2 900,99 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","L'illusion, théâtre de marionnettes","2 414,90 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Lock-danseurs inc. / LA LA LA Human Steps","2 584,05 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Lock-danseurs inc. / LA LA LA Human Steps","7 500,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","L'orchestre de chambre I Musici de Montréal","2 863,80 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Mainfilm","4 559,78 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Oboro Goboro","7 500,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Organisation internationale nouvelle acropole Canada","1 680,67 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Piknic Electronik","2 328,02 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Playwrights' Workshop (Montréal) inc.","2 588,30 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Productions Flamenco Montréal","3 488,64 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Rencontres internationales du documentaire de Montréal","622,84 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Sibyllines","1 336,08 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Société d'histoire et de généalogie du Plateau Mont-Royal","470,40 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Studio XX","2 138,63 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Théâtre de l'esquisse","2 034,78 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Théâtre de quat'sous","365,90 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Théâtre du rideau vert","1 614,96 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Théâtre la chapelle inc.","6 353,40 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Théâtre l'avant-pays inc.","4 502,41 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Théâtre le clou","2 355,95 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Théâtre Mainline","2 400,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Théâtre Youtheatre inc.","2 325,00 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","YMCA du grand Montréal - centre du Parc (ÂME-ART)","924,91 $",,,,,,,,,,,
,,"Plateau-Mont-Royal","Zeugma, collectif de folklore urbain","1 343,62 $",,,,,,,,,,,
,,,"Sous-total Plateau-Mont-Royal","182 266,16 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","ARCMTL","1 983,23 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","Atelier du geste","1 413,92 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","Fleur d'asphalte","1 485,29 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","Le centre des textiles contemporains de Montréal","7 500,00 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","Les productions drôle de monde","2 160,00 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","Orbite gauche","1 325,51 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","Théâtre de quat'sous","1 152,98 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","Théâtre pigeons international","2 881,71 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","Théâtre ubu inc.","738,55 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","Toxique trottoir","830,40 $",,,,,,,,,,,
,,"Rosemont–La-Petite-Patrie","Vidéographe inc.","2 270,32 $",,,,,,,,,,,
,,,"Sous-total Rosemont-La-Petite-Patrie","23 741,91 $",,,,,,,,,,,
,,"Saint-Laurent","Centre international d'art contemporain de Montréal (CIAC)","738,89 $",,,,,,,,,,,
,,"Saint-Laurent","Le musée des maîtres et artisans du Québec","4 297,03 $",,,,,,,,,,,
,,,"Sous-total Saint-Laurent","5 035,92 $",,,,,,,,,,,
,,"Saint-Léonard","Opéra de Montréal","7 500,00 $",,,,,,,,,,,
,,,"Sous-total Saint-Léonard","7 500,00 $",,,,,,,,,,,
,,"Sud-Ouest","Académie de radio-télé","896,63 $",,,,,,,,,,,
,,"Sud-Ouest","Association mondiale des radiodiffuseurs communautaires","2 523,76 $",,,,,,,,,,,
,,"Sud-Ouest","Centre de recherche et de design en impression textile de Montréal","7 500,00 $",,,,,,,,,,,
,,"Sud-Ouest","Compagnie la Otra Orilla","2 007,46 $",,,,,,,,,,,
,,"Sud-Ouest","Fondation métropolis bleu","2 903,03 $",,,,,,,,,,,
,,"Sud-Ouest","Friperie la gaillarde","2 162,52 $",,,,,,,,,,,
,,"Sud-Ouest","Groupe Molior","1 334,49 $",,,,,,,,,,,
,,"Sud-Ouest","Institut culturel Avataq inc.","1 995,12 $",,,,,,,,,,,
,,"Sud-Ouest","Le mois de la photo à Montréal","2 100,96 $",,,,,,,,,,,
,,"Sud-Ouest","MuséeDavid  M. Stewart","7 500,00 $",,,,,,,,,,,
,,"Sud-Ouest","Musée du château Ramezay","2 737,74 $",,,,,,,,,,,
,,"Sud-Ouest","Radio-Ville-Marie","6 411,70 $",,,,,,,,,,,
,,"Sud-Ouest","Société des directeurs des musées montréalais","7 500,00 $",,,,,,,,,,,
,,,"Sous-total Sud-Ouest","47 573,41 $",,,,,,,,,,,
,,"Ville-Marie","Chants libres : compagnie lyrique de création","754,62 $",,,,,,,,,,,
,,"Ville-Marie","Arprim, regroupement pour la promotion de l'art imprimé","1 438,00 $",,,,,,,,,,,
,,"Ville-Marie","Association des galeries d'art contemporain (Montréal)","1 418,15 $",,,,,,,,,,,
,,"Ville-Marie","Association des libraires du Québec","1 935,92 $",,,,,,,,,,,
,,"Ville-Marie","Association des professionnels de l'industrie de l'humour (A.P.I.H.)","721,71 $",,,,,,,,,,,
,,"Ville-Marie","Association pour la création et la recherche électro-acoustiques du Québec","1 195,76 $",,,,,,,,,,,
,,"Ville-Marie","C.M.C. concours de musique du Canada inc.","638,18 $",,,,,,,,,,,
,,"Ville-Marie","C.M.C. concours de musique du Canada inc.","575,24 $",,,,,,,,,,,
,,"Ville-Marie","Cahiers de théâtre jeu inc.","835,08 $",,,,,,,,,,,
,,"Ville-Marie","Centre de musique canadienne","4 167,31 $",,,,,,,,,,,
,,"Ville-Marie","Centre des arts actuels Skol","3 180,47 $",,,,,,,,,,,
,,"Ville-Marie","Centre des auteurs dramatiques (Montréal) (CEAD) inc.","3 479,76 $",,,,,,,,,,,
,,"Ville-Marie","Centre d'exposition Circa","3 874,59 $",,,,,,,,,,,
,,"Ville-Marie","Centre d'information Artexte Information Centre","3 441,15 $",,,,,,,,,,,
,,"Ville-Marie","Centre éducatif pour le théâtre à Montréal","1 543,12 $",,,,,,,,,,,
,,"Ville-Marie","Centre international de recherche et d'action artistique et multimédia","593,04 $",,,,,,,,,,,
,,"Ville-Marie","Circuit-Est","3 961,66 $",,,,,,,,,,,
,,"Ville-Marie","Compagnie de théâtre le carrousel","5 188,74 $",,,,,,,,,,,
,,"Ville-Marie","Compagnie Flak","873,77 $",,,,,,,,,,,
,,"Ville-Marie","Compagnie Flak","2 921,20 $",,,,,,,,,,,
,,"Ville-Marie","Conseil québécois du théâtre","2 584,48 $",,,,,,,,,,,
,,"Ville-Marie","Daniel Léveillé nouvelle danse inc.","351,79 $",,,,,,,,,,,
,,"Ville-Marie","Dazibao, centre d'animation et d'exposition photo","787,68 $",,,,,,,,,,,
,,"Ville-Marie","École nationale de l'humour National Comedy School","7 500,00 $",,,,,,,,,,,
,,"Ville-Marie","English Language Arts Networks","438,13 $",,,,,,,,,,,
,,"Ville-Marie","Fédération d'art dramatique du Québec/The Quebec Drama Federation","1 013,10 $",,,,,,,,,,,
,,"Ville-Marie","Festival transamériques","4 247,83 $",,,,,,,,,,,
,,"Ville-Marie","Fondation québécoise pour la danse contemporaine","1 700,60 $",,,,,,,,,,,
,,"Ville-Marie","Galerie B-312","2 020,85 $",,,,,,,,,,,
,,"Ville-Marie","Galerie les territoires","1 197,52 $",,,,,,,,,,,
,,"Ville-Marie","Guilde canadienne des métiers d'art","7 500,00 $",,,,,,,,,,,
,,"Ville-Marie","Héritage maritime Canada","562,32 $",,,,,,,,,,,
,,"Ville-Marie","Illustration Québec","1 500,60 $",,,,,,,,,,,
,,"Ville-Marie","KINO00","1 006,56 $",,,,,,,,,,,
,,"Ville-Marie","La compagnie de théâtre « ll va sans dire... »","955,93 $",,,,,,,,,,,
,,"Ville-Marie","La magnétothèque","7 500,00 $",,,,,,,,,,,
,,"Ville-Marie","La troupe du théâtre de quartier","1 234,21 $",,,,,,,,,,,
,,"Ville-Marie","La troupe du théâtre de quartier","823,84 $",,,,,,,,,,,
,,"Ville-Marie","LADMMI - l'école de danse contemporaine","7 500,00 $",,,,,,,,,,,
,,"Ville-Marie","L'association québécoise des auteurs dramatiques (A.Q.A.D.)","1 238,40 $",,,,,,,,,,,
,,"Ville-Marie","Lautre marchéE","180,72 $",,,,,,,,,,,
,,"Ville-Marie","Le festival international de jazz de Montréal inc.","7 500,00 $",,,,,,,,,,,
,,"Ville-Marie","Le festival international de jazz de Montréal inc.","2 718,75 $",,,,,,,,,,,
,,"Ville-Marie","Le festival international de jazz de Montréal inc.","7 500,00 $",,,,,,,,,,,
,,"Ville-Marie","Le nouveau théâtre expérimental","3 720,01 $",,,,,,,,,,,
,,"Ville-Marie","Le nouveau théâtre expéromental","397,70 $",,,,,,,,,,,
,,"Ville-Marie","Le théâtre de l'Opsis inc.","1 164,90 $",,,,,,,,,,,
,,"Ville-Marie","Les éditions ESSE","947,36 $",,,,,,,,,,,
