NO_RGA,DESCR,TYPE_TERRI,TYPE_DROIT,SUPERFICIE,DATE_PUBLI
02,Région d'approvisionnement garantie 02,RGA,GA,7552490.5,2023-04-01
09,Région d'approvisionnement garantie 09,RGA,GA,6619677.7,2023-04-01
12,Région d'approvisionnement garantie 12,RGA,GA,137464.7,2023-04-01
03,Région d'approvisionnement garantie 03,RGA,GA,786316.9,2023-04-01
10,Région d'approvisionnement garantie 10,RGA,GA,6395037.7,2023-04-01
04,Région d'approvisionnement garantie 04,RGA,GA,3019854.2,2023-04-01
08,Région d'approvisionnement garantie 08,RGA,GA,3931492.3,2023-04-01
01,Région d'approvisionnement garantie 01,RGA,GA,902987.5,2023-04-01
14,Région d'approvisionnement garantie 14,RGA,GA,484588.5,2023-04-01
05,Région d'approvisionnement garantie 05,RGA,GA,42969.4,2023-04-01
07,Région d'approvisionnement garantie 07,RGA,GA,2638562.1,2023-04-01
15,Région d'approvisionnement garantie 15,RGA,GA,1356742.2,2023-04-01
11,Région d'approvisionnement garantie 11,RGA,GA,1430212.8,2023-04-01
