ï»¿PI_VITR_AUTOR,WKT
Oui,"POLYGON  (( 279591.81750000 5047543.80930000, 279552.94600000 5047594.47460000, 279672.45840000 5047677.51380000, 279674.81640000 5047679.15220000, 279625.56490000 5047744.05010000, 279620.73190000 5047750.41870000, 279616.48700000 5047756.02090000, 279592.50020000 5047787.67740000, 279586.60610000 5047779.44380000, 279509.04560000 5047671.09780000, 279501.86010000 5047661.06020000, 279499.29420000 5047657.47590000, 279494.90370000 5047651.34270000, 279409.67050000 5047532.27870000, 279444.26800000 5047486.69010000, 279499.78120000 5047413.54100000, 279500.40010000 5047412.73130000, 279592.62370000 5047292.90890000, 279687.06470000 5047170.20540000, 279709.67080000 5047140.15850000, 279714.57460000 5047133.64060000, 279715.45580000 5047132.48110000, 279732.67550000 5047110.05020000, 279767.18500000 5047063.51180000, 279772.19410000 5047056.75690000, 279829.46540000 5046979.66990000, 279886.98890000 5046899.92730000, 279889.90700000 5046896.01760000, 279914.20340000 5046864.54630000, 279950.52040000 5046816.29820000, 279959.68830000 5046804.11850000, 279978.85660000 5046778.65310000, 279992.90170000 5046760.10200000, 279995.28340000 5046756.95610000, 280190.85590000 5046498.64430000, 280213.53410000 5046468.69110000, 280324.85320000 5046321.66160000, 280343.44060000 5046297.11140000, 280348.16300000 5046290.87410000, 280401.74450000 5046220.63310000, 280431.62100000 5046181.46740000, 280411.43830000 5046173.24170000, 280409.38510000 5046172.38710000, 280405.77340000 5046170.79590000, 280382.95000000 5046160.37980000, 280273.78430000 5046110.55930000, 280289.79760000 5046087.17650000, 280325.82280000 5046038.30260000, 280364.85430000 5045984.53400000, 280404.50990000 5045929.90550000, 280414.53920000 5045916.18100000, 280437.65420000 5045884.54970000, 280447.70090000 5045870.80150000, 280451.65980000 5045865.38400000, 280453.52950000 5045862.82540000, 280527.52090000 5045896.59330000, 280548.41990000 5045905.11080000, 280620.67280000 5045934.55810000, 280667.91940000 5045873.26290000, 280752.27720000 5045763.82160000, 280758.98380000 5045755.12070000, 281001.11240000 5045435.61420000, 281061.79530000 5045355.11080000, 281085.82390000 5045323.23400000, 281087.20340000 5045321.40390000, 281087.72280000 5045320.71900000, 281099.19780000 5045305.67690000, 281162.06240000 5045223.27070000, 281213.00550000 5045156.21790000, 281230.93800000 5045132.61470000, 281330.22120000 5044999.37700000, 281330.90440000 5044998.46730000, 281401.71770000 5044904.92540000, 281448.44370000 5044843.20390000, 281459.49640000 5044828.53420000, 281466.80040000 5044818.84020000, 281473.21580000 5044810.32920000, 281529.29620000 5044736.08500000, 281543.66170000 5044717.06660000, 281544.42000000 5044716.07140000, 281630.44970000 5044604.13150000, 281717.24170000 5044662.25080000, 281753.24070000 5044686.28370000, 281942.36890000 5044437.28880000, 281900.45930000 5044385.68960000, 281887.61110000 5044369.88950000, 281878.14890000 5044360.15060000, 281870.02930000 5044352.22730000, 281862.01030000 5044344.79710000, 281852.20000000 5044336.15890000, 281844.86500000 5044330.01700000, 281841.07340000 5044326.92100000, 281917.90660000 5044223.64730000, 282029.07300000 5044063.81960000, 282214.96780000 5043795.88360000, 282247.65520000 5043748.77030000, 282387.89430000 5043546.63950000, 282437.69660000 5043474.85790000, 282438.04570000 5043474.35690000, 282556.32930000 5043305.34450000, 282894.04650000 5042822.78860000, 282912.21140000 5042796.70220000, 283011.63890000 5042653.91570000, 283016.70380000 5042646.64210000, 283017.07010000 5042646.11800000, 283020.46250000 5042641.28610000, 283023.65210000 5042636.74310000, 283024.36750000 5042636.89050000, 283024.42610000 5042636.90260000, 283026.93560000 5042637.37420000, 283027.55970000 5042637.48430000, 283027.68850000 5042637.50580000, 283029.95050000 5042637.88010000, 283030.07890000 5042637.90130000, 283032.55260000 5042638.26630000, 283032.60500000 5042638.27400000, 283035.08710000 5042638.59630000, 283035.13720000 5042638.60270000, 283035.24920000 5042638.61530000, 283037.52770000 5042638.87060000, 283037.67480000 5042638.88710000, 283040.15420000 5042639.12130000, 283040.21690000 5042639.12720000, 283042.71300000 5042639.31910000, 283042.76280000 5042639.32280000, 283042.85760000 5042639.32850000, 283045.14640000 5042639.46420000, 283045.31180000 5042639.47400000, 283047.80710000 5042639.57840000, 283047.86310000 5042639.58070000, 283050.39110000 5042639.64220000, 283050.41570000 5042639.64280000, 283050.49290000 5042639.64330000, 283052.93000000 5042639.66020000, 283052.96920000 5042639.66050000, 283055.52250000 5042639.63350000, 283055.58060000 5042639.63190000, 283058.07490000 5042639.56190000, 283058.13430000 5042639.55920000, 283060.62580000 5042639.44590000, 283060.68480000 5042639.44220000, 283063.17420000 5042639.28530000, 283063.23120000 5042639.28070000, 283065.71930000 5042639.08030000, 283065.76080000 5042639.07620000, 283068.26060000 5042638.83090000, 283068.31680000 5042638.82440000, 283070.79710000 5042638.53720000, 283070.85070000 5042638.53000000, 283073.32810000 5042638.19920000, 283073.35170000 5042638.19560000, 283075.85280000 5042637.81720000, 283075.91930000 5042637.80590000, 283078.37050000 5042637.39110000, 283078.42450000 5042637.38100000, 283080.88030000 5042636.92120000, 283080.88620000 5042636.92000000, 283083.38160000 5042636.40750000, 283083.44700000 5042636.39290000, 283085.87350000 5042635.85030000, 283085.92290000 5042635.83830000, 283088.34390000 5042635.25240000, 283088.35530000 5042635.24960000, 283088.36960000 5042635.24590000, 283090.82620000 5042634.60570000, 283090.88570000 5042634.58910000, 283093.28560000 5042633.91880000, 283093.32940000 5042633.90570000, 283095.70430000 5042633.19750000, 283095.73260000 5042633.18910000, 283095.75840000 5042633.18090000, 283098.16640000 5042632.41670000, 283098.21390000 5042632.40070000, 283100.58640000 5042631.60210000, 283100.62570000 5042631.58810000, 283102.94730000 5042630.76120000, 283102.99180000 5042630.74530000, 283103.01400000 5042630.73690000, 283103.72790000 5042630.46850000, 283105.38190000 5042629.84670000, 283105.44270000 5042629.82260000, 283107.75600000 5042628.90640000, 283107.79080000 5042628.89190000, 283110.05320000 5042627.94990000, 283110.11330000 5042627.92490000, 283110.12840000 5042627.91830000, 283112.45310000 5042626.90250000, 283112.51170000 5042626.87570000, 283114.77470000 5042625.83930000, 283114.93500000 5042625.76250000, 283117.00260000 5042624.77160000, 283117.07740000 5042624.73570000, 283117.11300000 5042624.71800000, 283119.36040000 5042623.59230000, 283119.41950000 5042623.56140000, 283121.62320000 5042622.40900000, 283121.76370000 5042622.33240000, 283123.77660000 5042621.23470000, 283123.86500000 5042621.18640000, 283123.89850000 5042621.16750000, 283126.08510000 5042619.92500000, 283126.13580000 5042619.89500000, 283128.28280000 5042618.62500000, 283128.40400000 5042618.55040000, 283130.35670000 5042617.34890000, 283130.45750000 5042617.28680000, 283130.49640000 5042617.26200000, 283132.60860000 5042615.91090000, 283132.66180000 5042615.87560000, 283134.73530000 5042614.49770000, 283134.83780000 5042614.42700000, 283136.72490000 5042613.12490000, 283136.83700000 5042613.04740000, 283136.87180000 5042613.02260000, 283138.91310000 5042611.56090000, 283138.96340000 5042611.52350000, 283140.96290000 5042610.03830000, 283141.04740000 5042609.97320000, 283142.86390000 5042608.57410000, 283142.98580000 5042608.48000000, 283143.03100000 5042608.44410000, 283144.98130000 5042606.88690000, 283145.03430000 5042606.84300000, 283146.94860000 5042605.25910000, 283147.01610000 5042605.20120000, 283148.88720000 5042603.59710000, 283148.92090000 5042603.56720000, 283150.79650000 5042601.90170000, 283150.84130000 5042601.86050000, 283152.67600000 5042600.17320000, 283152.72750000 5042600.12420000, 283154.38770000 5042598.54280000, 283154.52480000 5042598.41200000, 283154.56920000 5042598.36840000, 283156.34290000 5042596.61890000, 283156.37980000 5042596.58120000, 283158.12930000 5042594.79440000, 283158.16590000 5042594.75570000, 283159.88360000 5042592.93900000, 283159.92930000 5042592.88900000, 283161.60520000 5042591.05320000, 283161.64170000 5042591.01180000, 283163.29360000 5042589.13760000, 283163.31660000 5042589.11060000, 283164.94840000 5042587.19290000, 283164.98540000 5042587.14780000, 283166.56900000 5042585.21960000, 283166.59860000 5042585.18220000, 283168.15480000 5042583.21840000, 283168.16560000 5042583.20420000, 283169.70560000 5042581.18980000, 283169.74300000 5042581.13900000, 283171.22070000 5042579.13430000, 283171.24930000 5042579.09400000, 283172.69960000 5042577.05280000, 283219.32530000 5042510.20320000, 283226.42560000 5042500.02320000, 283227.37500000 5042498.66210000, 283246.50270000 5042471.23760000, 283293.14990000 5042512.09150000, 283231.47260000 5042600.68640000, 283189.73300000 5042660.64230000, 283178.90820000 5042676.19130000, 283164.83730000 5042696.40310000, 283142.17780000 5042728.94400000, 283139.85030000 5042732.28650000, 283139.80480000 5042732.35180000, 283139.94250000 5042732.42370000, 283143.46820000 5042734.26530000, 283151.56740000 5042738.49590000, 283182.25170000 5042754.52350000, 283197.34570000 5042762.40770000, 283226.82000000 5042777.83300000, 283236.67420000 5042782.99020000, 283251.75190000 5042790.88110000, 283273.79070000 5042802.41500000, 283273.86490000 5042802.45380000, 283265.99070000 5042813.66910000, 283262.90480000 5042818.06340000, 283262.59920000 5042818.50070000, 283257.83150000 5042825.34850000, 283140.03630000 5042994.51230000, 282871.97550000 5043377.53800000, 282869.31310000 5043375.65300000, 282864.53150000 5043372.26760000, 282861.29550000 5043376.93340000, 282850.48110000 5043392.52630000, 282819.56180000 5043437.10750000, 282818.25160000 5043438.99670000, 282813.08540000 5043446.44550000, 282820.36970000 5043451.27640000, 282684.00760000 5043646.12090000, 282528.58500000 5043870.13620000, 282521.65830000 5043867.25310000, 282520.90130000 5043866.93800000, 282510.06280000 5043862.35540000, 282500.02320000 5043858.10830000, 282499.37830000 5043857.83550000, 282488.69990000 5043853.31600000, 282478.01340000 5043848.81250000, 282467.32330000 5043844.30870000, 282456.63330000 5043839.80500000, 282445.94320000 5043835.30140000, 282435.56720000 5043831.05260000, 282420.79980000 5043852.22540000, 282410.81340000 5043866.54350000, 282417.44050000 5043869.34640000, 282503.79330000 5043905.86930000, 282275.45790000 5044234.97600000, 282162.82460000 5044396.91280000, 282160.02930000 5044400.79790000, 282101.33920000 5044479.68500000, 282094.84200000 5044474.28400000, 282086.50940000 5044467.35720000, 282070.80690000 5044485.41940000, 282048.93170000 5044467.48890000, 282025.35850000 5044448.16660000, 282024.36140000 5044449.32450000, 282012.65540000 5044438.79040000, 282000.02320000 5044457.80570000, 281995.58030000 5044464.49370000, 281992.89690000 5044468.72020000, 281989.28850000 5044474.40360000, 281988.86790000 5044475.06620000, 281982.86780000 5044484.51650000, 281978.95690000 5044492.16450000, 281975.48870000 5044500.02320000, 281975.20350000 5044500.72710000, 281975.09510000 5044500.99520000, 281972.35780000 5044508.36750000, 281970.00810000 5044515.87240000, 281968.66020000 5044520.93930000, 281966.65760000 5044530.61240000, 281965.31230000 5044540.39860000, 281964.63040000 5044550.25320000, 281964.61510000 5044560.13150000, 281965.26640000 5044569.98820000, 281966.58140000 5044579.77850000, 281977.03580000 5044641.12200000, 281996.27440000 5044618.78640000, 281882.25200000 5044768.70380000, 281879.30470000 5044772.57890000, 281874.78250000 5044778.52470000, 281874.32410000 5044779.12430000, 281869.25710000 5044785.71730000, 281782.66840000 5044898.38460000, 281712.69020000 5044991.02790000, 281706.38440000 5044999.39340000, 281699.09960000 5045009.06220000, 281687.83980000 5045024.00620000, 281640.90790000 5045086.00020000, 281570.43910000 5045179.08690000, 281471.07830000 5045312.42880000, 281470.23810000 5045313.54540000, 281451.88310000 5045337.70470000, 281400.76110000 5045404.99280000, 281337.71760000 5045487.63370000, 281326.50380000 5045502.33350000, 281325.38490000 5045503.81780000, 281301.35830000 5045535.69200000, 281240.61830000 5045616.27110000, 281240.31260000 5045616.67590000, 281168.51280000 5045711.42100000, 280997.71220000 5045936.80490000, 280996.96610000 5045937.78110000, 280989.88420000 5045946.96880000, 280933.24510000 5046020.44940000, 280908.16870000 5046052.98220000, 281278.01030000 5046206.92270000, 281276.70760000 5046208.66190000, 281217.73700000 5046287.39020000, 281185.68550000 5046330.18040000, 281164.01590000 5046321.18190000, 281131.82350000 5046363.91570000, 281117.46500000 5046382.97590000, 281070.39650000 5046445.45690000, 280719.10450000 5046299.23730000, 280672.29510000 5046360.60020000, 280606.89510000 5046446.33370000, 280587.01520000 5046472.39440000, 280430.03630000 5046679.73190000, 280234.46380000 5046938.04390000, 280218.29080000 5046959.40510000, 280190.20800000 5046996.71380000, 280156.50740000 5047041.48630000, 280153.34040000 5047045.69370000, 280152.22980000 5047047.15050000, 280128.86450000 5047077.41570000, 280085.85210000 5047137.04210000, 280073.18940000 5047154.59590000, 280072.15180000 5047156.03430000, 280071.53540000 5047156.88890000, 280070.90690000 5047157.73480000, 280013.08830000 5047235.55840000, 280010.72130000 5047238.75050000, 279972.16310000 5047290.74860000, 279953.86500000 5047314.58430000, 279925.80450000 5047351.88100000, 279739.42230000 5047594.03980000, 279737.11200000 5047592.42600000, 279723.55070000 5047582.95280000, 279618.23080000 5047509.38210000, 279591.81750000 5047543.80930000))"
Oui,"POLYGON  (( 283883.21670000 5047387.26800000, 283849.26600000 5047433.46150000, 283816.46830000 5047478.81700000, 283816.40900000 5047478.89820000, 283800.98880000 5047500.02330000, 283757.51170000 5047559.58520000, 283610.29840000 5047498.23600000, 283443.83970000 5047428.86640000, 283499.30970000 5047353.14860000, 283457.36630000 5047338.22930000, 283405.53900000 5047327.92270000, 283355.60850000 5047336.88680000, 283290.10450000 5047364.79910000, 283271.92660000 5047357.22370000, 283152.41530000 5047307.41890000, 282941.81710000 5047220.60270000, 282784.82830000 5047155.88620000, 282773.75020000 5047151.31940000, 282688.84740000 5047116.31930000, 282720.13910000 5047074.62120000, 282721.50960000 5047072.79500000, 282743.43100000 5047043.58350000, 282749.42520000 5047035.59590000, 282781.87320000 5046992.35710000, 282768.34840000 5046986.83830000, 282768.34440000 5046986.83670000, 282697.31540000 5046957.85350000, 282665.58140000 5047000.79310000, 282647.33400000 5047025.18250000, 282629.02080000 5047049.65970000, 282605.01140000 5047081.75060000, 282605.00660000 5047081.75700000, 282579.72620000 5047071.33550000, 282564.57980000 5047065.05990000, 282070.58250000 5046860.37500000, 282018.84910000 5046838.93960000, 281548.58650000 5046644.08910000, 281333.38970000 5046554.92350000, 281130.91680000 5046470.64740000, 281137.30770000 5046462.02370000, 281176.59940000 5046409.00460000, 281179.13330000 5046405.58530000, 281191.77110000 5046388.80930000, 281203.86210000 5046372.75920000, 281223.96340000 5046346.07570000, 281271.17470000 5046365.68060000, 281303.32950000 5046322.93310000, 281362.66460000 5046244.05080000, 281363.74850000 5046242.60980000, 281448.44890000 5046277.86500000, 281663.42250000 5046366.93810000, 281787.01440000 5046418.14760000, 282110.76590000 5046552.29210000, 282195.79280000 5046587.52250000, 282202.43810000 5046590.27600000, 282209.53800000 5046593.21780000, 282210.57580000 5046594.64330000, 282291.39930000 5046628.32820000, 282391.72850000 5046670.14260000, 282391.20440000 5046670.85070000, 282426.14620000 5046685.41400000, 282455.07430000 5046697.12860000, 282500.02320000 5046715.84660000, 282531.43780000 5046728.92840000, 282535.13610000 5046730.34700000, 282538.91180000 5046731.54440000, 282545.20230000 5046733.02110000, 282545.21190000 5046733.02300000, 282548.06160000 5046733.48470000, 282548.06670000 5046733.48540000, 282679.41560000 5046787.90870000, 282694.31250000 5046794.08120000, 282700.51690000 5046796.63890000, 282899.16510000 5046878.52880000, 283117.27350000 5046968.44100000, 283117.24550000 5046968.54050000, 283116.73980000 5046969.31430000, 283077.46530000 5047110.02550000, 283099.01180000 5047119.07110000, 283109.13540000 5047123.32120000, 283149.52470000 5047140.27730000, 283198.55700000 5047160.86190000, 283205.28640000 5047163.68700000, 283240.82370000 5047116.41610000, 283296.43760000 5047042.44000000, 283297.55150000 5047042.89440000, 283627.83960000 5047180.53780000, 283725.69980000 5047221.31980000, 283939.65210000 5047310.48180000, 283883.21670000 5047387.26800000))"
