ï»¿OBJECTID,MUNICIPALITE,NOM,CONSEILLER,SHAPE.STArea(),SHAPE.STLength()
1,86042,D'Aiguebelle,StÃ©phane Girard,1396446755.57594,213948.722291259
2,86042,Noranda-Nord/Lac-Dufault,Daniel Camden,64105070.9904813,43625.8617782472
3,86042,Kekeko,CÃ©dric Laplante,1474273333.02767,185073.406622702
4,86042,Granada/Bellecombe,Yves Drolet,859730418.942395,142981.645113796
5,86042,McWatters/Cadillac,Benjamin Tremblay,2402499456.08816,265205.218632031
6,86042,Ãvain,Samuelle Ramsay-Houle,207169670.071939,82922.4726475999
7,86042,de l'UniversitÃ©,Louis Dallaire,2281586.47003937,6608.35266939325
8,86042,Marie-Victorin/Du Sourire,SÃ©bastien CÃ´tÃ©,41705966.7192928,30189.3037496392
9,86042,Noranda,RÃ©al Beauchamp,10475709.4534574,13674.9297768014
10,86042,Centre-Ville,Claudette Carignan,1186058.74137378,4529.45164153082
11,86042,Rouyn-Noranda-Ouest,Sylvie Turgeon,25243712.1745104,22940.3854347204
12,86042,Rouyn-Sud,Guillaume Beaulieu,4181553.68962261,9281.33605128829
