ï»¿objectid,MUNICIPALITE,ID,NOM,adresse,secteur,TYPE,superficie
1,36033,751-702-00,Parc Ãtienne-Bellemare,Chemin de Saint-Jean-des-Piles,Saint-Jean-des-Piles,Parc,38177
57,36033,751-224-00,Parc Forman,Avenue Forman,Grand-MÃ¨re,Espace vert,18786
58,36033,751-223-00,Parc Florence-Lawless-Lacroix,10e et 11e Avenue / 13e et 14e Rue,Grand-MÃ¨re,Parc,6769
59,36033,751-202-00,Parc Manfredo-De-Vito,11e Avenue / 13e Rue,Grand-MÃ¨re,Parc,11055
60,36033,751-119-00,Place du Capitaine-J.-Marcel-Girardeau,Avenue de Vimy,Shawinigan,Espace vert,2066
20,36033,751-404-00,Parc Turcotte,Chemin des Daniel,Saint-Georges-de-Champlain,Parc,41013
14,36033,751-303-00,Parc multisports RÃ©al-Dufresne,"925, 129e Rue",Shawinigan-Sud,Parc,78099
55,36033,751-219-00,Parc de la RiviÃ¨re-Grand-MÃ¨re,7e Rue / 11e Avenue,Grand-MÃ¨re,Parc,181450
15,36033,751-111-00,Parc Georges-Vanier,Avenue du CollÃ¨ge / Rue du Parc,Shawinigan,Parc,10521
36,36033,751-601-00,Parc Pierre-Garceau,Chemin des GenÃ©vriers,Saint-GÃ©rard-des-Laurentides,Parc,22955
38,36033,751-101-00,Parc Antoine-St-Onge,"Rue St-Paul, rue St-Joseph, boul. Royal, boul. des HÃªtres",Shawinigan,Parc,28831
41,36033,751-312-00,Parc Morand,Rue Morand,Shawinigan-Sud,Parc,3140
42,36033,751-304-00,Parc Ludger-Gerbeau,"75, 119e Rue / 101e Avenue",Shawinigan-Sud,Parc,10264
64,36033,751-215-00,Espace vert 7e Rue/16e Avenue,7e Rue / 16e Avenue,Grand-MÃ¨re,Espace vert,3840
84,36033,751-221-00,Parc du Lac-Bournival,Rue des Immortelles,Grand-MÃ¨re,Parc,1564
65,36033,751-212-00,Espace vert 5e Avenue/26e Rue,5e Avenue / 26e Rue,Grand-MÃ¨re,Espace vert,1624
9,36033,751-128-00,Parc Jacques-Plante,Avenue des CÃ¨dres / Rue Jacques-Plante,Shawinigan,Parc,59697
61,36033,751-109-00,Parc des VÃ©tÃ©rans,Promenade du Saint-Maurice,Shawinigan,Parc,7256
62,36033,751-133-00,Parc Sylva-Boisclair,Avenue des Grands-Jardins / 87e Rue,Shawinigan,Parc,4070
