OBJECTID,ID_AIRE_CO,TYPE,ORIGINE,GEOM
2,ZC-8,Aire t risque de glissement - Ville,Plan Z09-4039,Polygone
3,ZC-12,Aire Z risque de glissement - Ville,Plan LVM,Polygone
4,ZC-2,Aire L risque de glissement - Ville,Plan LVM,Polygone
5, ,Plaine inondable - MRC,Schema MRC,Polygone
6, ,Plaine inondable - MRC,Schema MRC,Polygone
7, ,Plaine inondable - MRC,Schema MRC,Polygone
8, ,Plaine inondable - MRC,Schema MRC,Polygone
9, ,Plaine inondable - MRC,Schema MRC,Polygone
10, ,Plaine inondable - MRC,Schema MRC,Polygone
11, ,Plaine inondable - MRC,Schema MRC,Polygone
12, ,Plaine inondable - MRC,Schema MRC,Polygone
13, ,Plaine inondable - MRC,Schema MRC,Polygone
14, ,Plaine inondable - MRC,Schema MRC,Polygone
15, ,Plaine inondable - MRC,Schema MRC,Polygone
16, ,Plaine inondable - MRC,Schema MRC,Polygone
17, ,Aire à risque d'érosion - MRC,Schema MRC,Polygone
18, ,Aire à risque d'érosion - MRC,Schema MRC,Polygone
19, ,Aire à risque d'érosion - MRC,Schema MRC,Polygone
20, ,Plaine inondable - MRC,Schema MRC,Polygone
21, ,Plaine inondable - MRC,Schema MRC modifier par Ville,Polygone
22, ,Plaine inondable - MRC,Schema MRC,Polygone
23, ,Plaine inondable - MRC,Schema MRC modifier par Ville,Polygone
24, ,Plaine inondable - MRC,Schema MRC,Polygone
25, ,Plaine inondable - MRC,Schema MRC,Polygone
26, ,Plaine inondable - MRC,Schema MRC,Polygone
27, ,Plaine inondable - MRC,Schema MRC,Polygone
28, ,Aire à risque d'érosion - MRC,Schema MRC,Polygone
29, ,Aire à risque d'érosion - MRC,Schema MRC,Polygone
30, ,Aire à risque d'érosion - MRC,Schema MRC,Polygone
31, ,Aire à risque d'érosion - MRC,Schema MRC modifier par Ville,Polygone
32, ,Aire à risque d'érosion - MRC,Schema MRC,Polygone
33, ,Aire a risque de glissement - MRC,Schema MRC,Polygone
34, ,Aire à risque d'érosion - MRC,Plan  Y2013-4901-3D,Polygone
35, ,Aire à risque d'érosion - MRC,Plan  Y2013-4901-3D,Polygone
36, ,Aire   risque d'-rosion - Ville,Plan  Y2013-4901-1A,Polygone
37, ,Aire   risque d'-rosion - Ville,Plan  Y2013-4901-1A,Polygone
38, ,Aire   risque d'-rosion - Ville,Plan  Y2013-4901-1A,Polygone
39, ,Aire   risque d'-rosion - Ville,Plan  Y2013-4901-1A,Polygone
40, ,Aire   risque d'-rosion - Ville,Plan  Y2013-4901-5A,Polygone
