Année,Secteur,N° de référence du GPC,Portée,Catégorie,Sous-catégorie,Activité,Description,CO2,CH4,N2O,Total en t éq.CO2,CO2(b),Qualité données
1990,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Gaz naturel,Consommation de gaz naturel pour le chauffage résidentiel,770717,378,4260,775355,0,H
1990,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Gasoil,Consommation de fioul léger pour le chauffage résidentiel,1657182,391,1076,1658649,0,M
1990,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Bois ou déchets de bois,Consommation de bois de chauffage pour le chauffage résidentiel,0,157919,20079,177998,714217,M
1990,Sources fixes,I.1.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Électricité,Consommation d'électricité,0,0,0,143456,0,H
1990,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Gaz naturel,Consommation de gaz naturel pour le chauffage,1549698,760,8566,1559024,0,H
1990,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Gasoil,Consommation de fioul léger pour le chauffage,469738,111,1576,471425,0,M
1990,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Autre,Consommation de fioul lourd pour le chauffage,83646,38,505,84189,0,M
1990,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Propane,Consommation de propane,52203,21,1109,53333,0,L
1990,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Institutionnel,Boues d'épuration,Incinération des boues d'épuration pour le chauffage,21357,79,35797,57234,59693,H
1990,Sources fixes,I.2.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Électricité,Consommation d'électricité,0,0,0,138209,0,H
1990,Sources fixes,I.3.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Industries manufacturières et construction (1.A.2),Autre,Tout le carburant consommé pour la fabrication et la construction,1115508,578,6141,1451494,9124,H
1990,Sources fixes,I.3.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Industries manufacturières et construction (1.A.2),Électricité,Électricité consommée pour la fabrication et la construction,6750,0,168,54462,0,H
1990,Sources fixes,I.4.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Autres industries énergétiques (1.A.1.c.ii),Autre,Tous les combustibles fossiles consommés,2158815,2716,9952,2171482,0,H
1990,Sources fixes,I.8.1,1,Émissions provenant d'émissions fugitives à l'intérieur des limites de la ville,Gaz naturel,Distribution (1.B.2.b.iii.5),Émissions fugitives de distribution de gaz naturel,10,14468,0,14478,0,M
1990,Sources fixes,I.8.1,1,Émissions provenant d'émissions fugitives à l'intérieur des limites de la ville,Pétrole,Production (1.B.2.b.iii.2),Émissions fugitives de la production pétrolière et de la torchère,135081,38,215,135333,0,H
2015,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Gaz naturel,Consommation de gaz naturel pour le chauffage résidentiel,765513,368,4146,770026,0,H
