Poste,3,7,13,17,28,50,55,66,80,99,Smog
Date,,,,,,,,,,,
2014-01-04,,,x,,,,,,,,non
2014-01-05,,x,x,x,x,x,x,x,,x,oui
2014-01-10,x,x,x,x,x,x,x,x,x,x,oui
2014-01-11,x,x,x,x,x,x,x,x,x,x,oui
2014-01-14,,,x,,,,,,,,non
2014-01-15,,,x,,,,,,,,non
2014-01-17,,,x,,,x,,,,,non
2014-01-18,,x,x,,,,x,,,,non
2014-01-31,,,x,,,,,,,,non
2014-02-02,,x,x,,,,,,,,non
2014-02-04,,,x,,,,,,,,non
2014-02-09,x,x,,x,x,,x,,,,non
2014-02-10,,x,,x,x,x,,x,x,,oui
2014-02-12,,,x,,x,,x,,,,oui
2014-02-13,,,x,,x,x,,x,x,,oui
2014-02-17,,,x,,,,,,,,non
2014-02-19,,,x,,,,,,,,non
2014-02-20,,,x,x,,x,x,,,,oui
2014-02-21,,,,x,,,,,,,non
2014-02-28,,,x,,,,,,,,non
2014-03-01,,,x,,,,,,,,non
2014-03-07,,,,x,x,x,x,x,x,,oui
2014-03-08,,,,,,,x,,,,non
2014-03-11,,,x,x,x,x,x,,x,,oui
2014-03-17,,,x,,,,,,,,non
2014-03-28,,,x,,,,,,,,non
2014-04-02,,,x,,,,,,,,non
2014-04-14,,,x,,x,,,,,,non
2014-05-26,,,x,,,,,,,,non
2014-06-02,,,x,,,,,,,,non
2014-06-03,,,x,,,,,,,,non
2014-06-08,,,x,,,,,,,,non
2014-06-17,,,x,,,,,,,,non
2014-06-27,,,x,,,,,,,,non
2014-07-02,,,x,,,,,,,,non
2014-07-03,,,x,,,,,,,,non
2014-07-08,,,x,,,,,,,,non
2014-07-12,,,,,,x,,,,,non
2014-07-13,,,,,,x,,,,,non
2014-07-14,,,x,,,,,,,,non
2014-07-22,,,x,,,,,,,,non
2014-07-23,,,x,,,,,,,,non
2014-07-25,,,x,,,,,,,,non
2014-07-26,,,x,,,,,,,,non
2014-08-04,,,x,,,,,,,,non
2014-08-05,,,x,,,,,,,,non
2014-08-09,,,x,,,,,,,,non
2014-08-10,,,x,,,,,,,,non
2014-08-15,,,x,,,,,,,,non
2014-09-05,,,x,,,,,x,,,non
2014-09-16,,,x,,,,,,,,non
2014-09-24,,,,,x,,,,,,non
2014-09-25,,,x,,,,,,,,non
2014-09-26,,,x,,,,,,,,non
2014-09-27,,,x,,,,,,,,non
2014-10-17,,,x,,,,,,,,non
2014-10-24,,,x,,,,,,,,non
2014-10-25,,,x,,,,,,,,non
2014-11-15,,,x,,,,,,,,non
2014-11-23,,,,,,,x,,,,non
2014-12-06,,x,x,x,,,x,,,,oui
2014-12-20,,,x,,,,x,,,,non
2014-12-27,,,x,,,,,,,,non
