Poste,3,6,7,17,28,31,50,55,66,80,99,103,Smog
Date,,,,,,,,,,,,,
2019-01-05,x,,,x,x,,x,x,,,,,non
2019-01-10,,,,,,,,,,,,x,non
2019-01-13,x,,x,,,,,x,,,,,non
2019-01-14,x,,,x,,,,,,,,,non
2019-01-15,,,,,,,,,,x,,,non
2019-01-18,,,,,x,,,,,,,,non
2019-01-20,,,,,,,x,,,,,,non
2019-01-23,,,,,x,,,,,,,,non
2019-01-24,,,,,x,,,,,,,x,non
2019-02-02,,,,x,,,,,,,,,non
2019-02-03,,,,x,x,,,,,,,,non
2019-02-04,,,,,x,,,,,,,,non
2019-02-05,,,,,x,,x,,,,,,non
2019-02-19,,,,,,,,,,,,x,non
2019-02-20,,,,,x,,,,,,,x,non
2019-02-21,,,,,,,,,,,,x,non
2019-02-22,,,,,,,,,,,,x,non
2019-02-28,,,,,x,,,,,,,,non
2019-03-01,,,,,x,,x,,,,,,non
2019-03-02,,,,x,,,x,,,,x,,oui
2019-03-07,,,,,x,,,,,,,,non
2019-03-09,,,,,x,,,,,,,,non
2019-03-13,,,,,,,,x,,,,,non
2019-03-14,,,,,,,,x,,,,,non
2019-03-20,,,,,,,x,,,,,x,non
2019-05-23,,,,x,,,,,,,,,non
2019-06-06,,,,,,,,,,,,x,non
2019-06-18,,,,,,,,,,,,x,non
2019-07-02,,,,,x,,,,,,,x,non
2019-07-03,,,,,,,,,,,,x,non
2019-07-09,x,,,x,x,x,,x,,,,x,oui
2019-07-10,,,,,,,x,x,,,,,non
2019-07-11,,,,x,,,,,,,,,non
2019-08-15,,,,,,,,x,,,,,non
2019-09-10,,,,x,,,,,,,,,non
2019-10-20,,,,,,,,,,,,x,non
2019-10-21,,,,x,,,,,,,,x,non
2019-11-26,,,,,,,,,,,,x,non
2019-11-27,,,,,,,,,,,,x,non
2019-12-04,,,,,x,x,,,,,,x,non
2019-12-05,x,x,,x,x,x,,x,x,,x,x,oui
2019-12-21,,,,,,,,,,,x,,non
2019-12-22,,x,,x,x,,,x,,,,x,oui
