Poste,3,7,13,28,29,50,55,66,80,99,smog
Date,,,,,,,,,,,
2012-01-01,,,,,x,,,,,,non
2012-01-07,x,x,x,x,x,x,x,x,x,x,oui
2012-01-16,,,x,,,,,,,,non
2012-01-17,,,x,x,x,x,,x,x,x,oui
2012-01-21,x,,,,x,,x,x,,x,oui
2012-01-22,x,,x,x,x,x,x,x,x,x,oui
2012-01-23,x,,x,x,x,x,x,x,x,x,oui
2012-02-01,,,x,,,,,,,,non
2012-02-05,,,x,,,,,,,,non
2012-02-14,,x,x,x,x,x,x,x,x,,oui
2012-02-15,x,x,x,,x,x,x,,,,oui
2012-02-21,,,,,x,,,,,x,non
2012-02-29,,,,,,,,,x,,non
2012-03-13,,,x,,,,,,,,non
2012-03-16,,,x,,,,,,,,non
2012-03-17,,,,,x,,,,,,non
2012-03-18,,,,,x,,,,,,non
2012-03-19,,x,x,,x,x,,,x,,oui
2012-03-20,x,x,,x,x,,,,,,non
2012-03-21,,,x,,,,,,,,non
2012-04-19,,,x,,,,,,,,non
2012-05-26,x,x,x,x,,x,x,x,x,x,oui
2012-05-29,,,x,,,,,,,,non
2012-06-07,,,x,,,,,,,,non
2012-06-21,x,,x,x,,,,,,,oui
2012-06-29,,,x,,,,,,,,non
2012-07-06,,,x,,,,,,,,non
2012-07-14,,,x,,,,,,,,non
2012-09-14,,,x,,,,,,,,non
2012-10-04,,,x,x,,,,x,x,x,oui
2012-10-20,,,x,,,,,,,,non
2012-10-26,,,,,,x,,,,,non
2012-10-27,,,,,,,,x,,x,non
2012-11-12,,,,x,,,,,,,non
2012-11-16,,,x,,,,,,,,non
2012-11-18,,,,,,,,,,x,non
2012-11-19,x,x,x,x,x,x,x,x,x,x,oui
2012-11-20,x,x,x,x,x,x,x,x,x,x,oui
2012-11-21,x,x,x,x,x,x,x,x,x,x,oui
2012-11-22,x,x,x,x,x,x,x,x,x,x,oui
2012-11-27,,,,,,,x,,,,non
2012-11-28,,,,,,,x,,,,non
2012-12-03,,,x,,,,,,,,non
2012-12-04,,,x,,,,,,,,non
2012-12-07,,,,,x,,x,,,,non
2012-12-08,,,,,x,,x,,,,non
2012-12-12,,,x,x,,x,,,,,non
2012-12-13,x,x,x,x,x,x,x,x,x,,oui
2012-12-31,,,,,,,x,,,,non
