Poste,3,6,17,28,31,50,55,66,80,99,103,Smog
Date,,,,,,,,,,,,
2020-01-15,,,,x,,,,,,,x,non
2020-01-23,,,,,,,,,x,,,non
2020-01-24,,,x,,,,,,,,,non
2020-01-31,x,x,x,x,x,x,,x,x,x,x,oui
2020-02-01,x,x,x,x,x,x,x,x,x,x,x,oui
2020-02-02,x,x,x,x,x,x,x,x,x,x,x,oui
2020-02-03,x,x,x,x,x,x,x,x,x,x,x,oui
2020-02-10,,x,,x,,,,,,,x,oui
2020-02-11,x,x,x,x,x,x,x,x,x,x,x,oui
2020-02-25,,,x,,,,x,,,,,non
2020-03-02,x,x,x,,,,x,,x,,,non
2020-03-03,x,x,x,,,,x,,,,,non
2020-03-09,,,,x,,,,,,,,non
2020-03-10,,,,x,,,,x,,,,non
2020-06-11,,,,,x,,,,,,,non
2020-06-21,x,x,x,x,x,x,,x,x,,x,oui
2020-09-15,,,,,,,,,,,x,non
2020-12-18,x,,,,,x,,,,,,non
2020-12-19,x,,x,,,x,x,,,,,oui
2020-12-21,x,x,,x,,x,x,x,,,,oui
2020-12-22,x,x,x,x,,x,x,x,x,x,x,oui
