Poste,3,7,17,28,31,50,55,66,80,99,103,Smog
Date,,,,,,,,,,,,
2017-01-02,x,,x,,,,x,,,,,non
2017-01-06,,,,,,,x,,,,,non
2017-01-07,x,x,x,x,x,,x,x,,x,,oui
2017-01-08,x,x,x,x,x,,x,x,x,x,,oui
2017-01-12,,,,,,x,,x,,,,non
2017-01-21,,,x,x,,x,,,,,x,non
2017-02-01,,,,x,,,,,,,,non
2017-02-02,,,x,x,,,,,,x,x,oui
2017-02-21,,x,,x,,x,,,,,,non
2017-02-22,x,x,x,x,,x,,,,x,x,oui
2017-02-23,x,x,x,x,x,x,x,x,x,x,x,oui
2017-03-14,,,,,,x,,,,,,non
2017-03-17,,,x,,,,x,,,,,non
2017-03-18,,,x,,,,,,,,,non
2017-03-19,x,,,,,,,,,,,non
2017-03-20,x,,,x,,x,,,,,,oui
2017-03-24,,,x,x,,,x,,,,,non
2017-03-25,,,x,x,,,x,,,,,non
2017-03-27,,,,,,x,,,,,,non
2017-03-28,,,,,,x,,,,,,non
2017-04-06,,,,,,,,x,,,,non
2017-04-27,,,,,,x,,,,,,non
2017-09-18,,,x,,,,,x,,x,,non
2017-10-22,,,,x,,,,,,,,non
2017-11-12,x,,,,,,x,,,x,,non
2017-11-13,,,,,,,,,,x,,non
2017-11-21,,,,,,,x,,,,,non
2017-12-12,,,,,,,,,,,x,non
2017-12-13,,,,,,,,,,,x,non
2017-12-17,,,x,,,,,,,,x,non
2017-12-18,,,x,,,,,,,,,non
2017-12-19,x,x,x,x,x,x,,x,x,,x,oui
2017-12-30,,,x,x,,,,,,,,non
2017-12-31,,,x,,,,,,,,,non
