Année,Total MQA,Smog,Autre MQA
2008,68,31,37
2009,68,32,36
2010,65,25,40
2011,69,19,50
2012,49,16,33
2013,53,15,38
2014,63,10,53
2015,64,7,57
2016,29,8,21
2017,34,7,27
2018,41,6,35
2019,43,4,39
2020,21,10,11
2021,27,7,20
2022,33,4,29
2023,34,12,22
