Poste,3,6,17,28,31,50,55,66,80,99,103,Smog
Date,,,,,,,,,,,,
2021-01-14,,,,,,,x,,,,,non
2021-01-15,x,,,,,x,x,,,x,,oui
2021-01-20,x,,,x,,,,x,,,,non
2021-01-31,,,,,,,,,,x,,non
2021-02-09,x,x,x,x,,,x,x,,,,oui
2021-02-10,x,x,x,x,,,x,x,,,,oui
2021-02-18,,,,,,,x,,,,,non
2021-02-19,,,,,,,x,,,,,non
2021-02-23,x,,,,,,,,,,,non
2021-03-23,,,,,,x,,,,,,non
2021-05-16,,,x,,,,,,,,,non
2021-05-25,,,,x,,,,,,,,non
2021-05-26,,,,x,,,,,,,,non
2021-06-03,,,,x,,,,,,,,non
2021-06-21,,,,x,,,,,,,,non
2021-06-26,,,,x,,,,,,,,non
2021-07-19,x,x,x,x,x,x,x,x,x,x,x,oui
2021-07-20,x,x,x,x,x,x,x,x,,x,x,oui
2021-07-26,x,x,x,x,x,x,x,x,x,x,x,oui
2021-07-29,,,,x,,,,,,,,non
2021-08-06,x,x,,x,,,,x,,x,x,oui
2021-09-13,,,,x,,,,,,,,non
2021-09-17,,,x,,,,,,,,,non
2021-10-07,,,,x,,,,,,,,non
2021-10-21,,,,x,,,,,,,,non
2021-12-30,,,,x,,,,,,,,non
2021-12-31,x,,,x,,,,,,,x,non
