Poste,3,7,13,17,28,29,50,55,66,80,99,Smog
Date,,,,,,,,,,,,
2013-01-09,,,,,,x,x,x,,,,oui
2013-01-12,,,,,,x,,,,,,non
2013-01-13,,,,,,x,,x,,,,non
2013-01-14,,,,,,x,,,,,,non
2013-01-19,,,x,,x,,x,,,,x,oui
2013-02-09,x,,,,,,,x,,,,non
2013-02-10,x,,,,,x,,x,,,,non
2013-02-11,,,,,x,,,,,,,non
2013-02-14,,,x,,,,,,,,,non
2013-02-26,,x,,,,,x,,x,x,,oui
2013-03-08,,,x,,,,,,,,,non
2013-03-09,,x,,,x,,x,,,,,oui
2013-03-10,,x,,,x,,x,x,x,,,oui
2013-04-10,,,x,,,,,,,,,non
2013-05-01,,x,,,,,x,,,,,non
2013-05-05,,,,,,,,x,,,,non
2013-06-23,,x,x,,x,,x,,x,x,,oui
2013-06-24,x,x,x,,,,x,,x,x,x,oui
2013-06-25,,,x,,,,,,,,,non
2013-06-27,,,,,,,,,x,,,non
2013-07-01,x,x,x,x,x,,x,x,x,x,x,oui
2013-07-02,x,x,x,x,x,,x,x,x,x,x,oui
2013-07-03,,x,x,x,x,,x,x,x,x,x,oui
2013-07-04,,,x,,,,,,,x,,non
2013-07-05,,,x,,,,,,,,,non
2013-07-17,,,x,,,,,,,,,non
2013-07-31,,,,,,,x,,,,,non
2013-08-01,,,,,,,x,,,,,non
2013-08-09,,,x,,,,,,,,,non
2013-08-20,,,x,,,,,,,,,non
2013-08-21,,,x,,,,,,,,,non
2013-08-22,,,x,,,,,,,,,non
2013-08-26,,,x,,,,,,,,,non
2013-08-28,,,x,,,,,,,,,non
2013-08-30,,,x,,,,,,,,,non
2013-09-11,,,x,,,,,,,,,non
2013-09-18,,,,,,,x,,,,,non
2013-10-10,,,x,,,,,,,,,non
2013-10-11,,x,,,,,,,x,,,non
2013-10-29,,,x,,,,,,,,,non
2013-10-30,,,x,,,,,,,,,non
2013-11-22,,,,x,,,,,,,,non
2013-11-30,,,,x,,,,,,,,non
2013-12-03,,x,x,x,x,,x,,x,x,,oui
2013-12-04,,,,x,,,,,,,,non
2013-12-05,,,x,,,,,,,,,non
2013-12-18,,x,x,x,x,,x,x,x,x,,oui
2013-12-19,x,x,x,x,,,,x,,,,oui
2013-12-20,,,,,,,,x,,,,non
2013-12-23,,,x,,,,,,,,,non
2013-12-26,x,,x,,x,,x,,x,,,oui
2013-12-27,,x,x,,x,,x,x,x,,,oui
2013-12-28,,,x,,,,,,,,,non
