Poste,3,7,17,28,31,50,55,66,80,99,103,Smog
Date,,,,,,,,,,,,
2018-01-02,,,,x,,,,,,,,non
2018-01-03,,x,x,x,x,,,x,x,x,x,oui
2018-01-04,,x,x,x,,,,x,,x,x,oui
2018-01-05,,,,,,x,,,,,,non
2018-01-08,,x,,x,,,,,,,x,non
2018-01-11,,,x,,,,,,,,,non
2018-01-12,,,,,,x,,,,,,non
2018-01-14,,,x,x,,,x,,,,,non
2018-01-15,,,,x,,,,x,,x,,non
2018-01-17,x,,,x,x,x,x,,,,x,oui
2018-01-19,,,,x,,x,,,,,,non
2018-01-27,,,x,,,,,,,,,non
2018-02-01,,,,x,,,,,,,,non
2018-02-07,x,,,,,,,,,,,non
2018-02-10,x,x,x,x,x,x,x,x,x,,x,oui
2018-02-11,x,,x,x,x,x,x,x,,,x,oui
2018-02-13,x,,x,,,,,,,,,non
2018-02-14,x,,x,x,,,,,,,,non
2018-02-15,,,,x,,,x,,,,,non
2018-02-19,,,,,,x,,,,,,non
2018-02-20,,,,,,x,,x,,,,non
2018-03-20,,,,,,,x,,,,,non
2018-03-29,,,,,,x,,,,,,non
2018-05-04,,,,,,x,,,,,,non
2018-06-21,,,,x,,,,,,,,non
2018-06-23,x,,,,,,,,,,,non
2018-07-11,,x,,,,x,,,,,,non
2018-07-12,,x,,,,,,,,,,non
2018-07-14,,x,,,,x,,,,,,non
2018-07-15,,x,,,,,,,,,,non
2018-07-21,,,,,,,,,x,,,non
2018-09-14,,,,,,x,,,,,,non
2018-11-01,,,,,,x,,,,,,non
2018-11-13,,,x,,,,,,,,,non
2018-11-19,,,,x,,,,,,,,non
2018-12-13,,,,,,,,,x,,,non
2018-12-14,,x,x,x,,,,x,x,,x,oui
2018-12-20,,,x,x,,x,,,,,,non
2018-12-21,,,,x,,,,,,,,non
2018-12-28,,,,,,x,,,,,,non
2018-12-29,,,,,,x,,,,,,non
