ï»¿Poste,3,6,17,28,31,50,55,66,80,99,103,Smog
Date,,,,,,,,,,,,
2022-01-01,x,x,x,x,x,x,x,x,x,x,x,Smog
2022-01-05,,x,x,,,,,,,,,
2022-01-13,,,,,,,,,,,x,oui
2022-01-14,,,,,,,,,,,x,non
2022-01-21,x,,,,,,,,,,,non
2022-01-22,x,x,x,x,x,,x,x,x,x,x,non
2022-01-23,x,,,x,x,,,,,x,x,non
2022-01-24,x,,,,,,,,,,,oui
2022-01-29,,,,,,,,,,,x,oui
2022-02-01,,,,,,,,,,,x,non
2022-02-08,x,,,,,,,,,,,non
2022-03-05,,,,,,,x,,,,,non
2022-03-06,,x,,,,,,,,,,non
2022-03-18,x,x,,x,x,x,x,,x,,x,non
2022-04-08,,,x,,,,,,,,,non
2022-05-03,,,,x,,,,,,,,oui
2022-05-12,,,,,,,,,x,,,non
2022-05-16,,,,x,,,,,,,,non
2022-05-21,,,,x,,,,,,,,non
2022-06-25,,,,,,x,,,,,,non
2022-06-26,x,,,,,,,,,,,non
2022-07-20,,,,,,,,,x,,,non
2022-07-27,,,,,,x,,,,,,non
2022-08-03,,x,,,,x,,,,,,non
2022-08-04,,x,,,,,,,,,,non
2022-09-22,,,,x,,,,,,,,non
2022-09-30,,,,x,,,,,,,,non
2022-10-23,,,,,x,,,,x,,x,non
2022-10-24,,,,,,,,,,,x,non
2022-10-30,,,,,,,x,,,,,non
2022-11-01,,,,x,x,,,,,,,non
2022-12-29,,,,x,,,,,,x,,non
2022-12-31,,,,,,,,,,,x,non
