"Lieu";"Description : ";"Jour et heure : ";"latitude";"longitude"
"Complexe aquatique Marcelin-Wilson";"Près des tables à pique-nique";"Lundi de 13 h à 16 h";"45.538847";"-73.689119"
"HLM André-Grasset";"Dans la cour intérieure, derrière la tour à logements";"Lundi de 15 h 15 à 16 h 45";"45.5577569";"-73.6342349"
"Parc Saint-Benoît";"Près des jeux et des jeux d'eau";"Lundi de 17 h 30 à 19 h 30";"45.540910";"-73.667333"
"Parc Louisbourg";"Près des jeux";"Mardi de 16 h à 17 h 30";"45.527858";"-73.708654"
"Parc de Mésy";"Près des jeux";"Mardi de 18 h à 19 h 30";"45.530135";"-73.718430"
"Domaine Anjou";"Près du bureau de location";"Mercredi de 13 h 30 à 15 h";"45.5938811";"-73.5501263"
"Parc du Roseraies";"7070, avenue de la Nantaise";"Mardi de 15 h 30 à 17 h 30";"45.593390";"-73.555354"
"Parc Jean-Brillant";"Rue Jean-Brillant/Gatineau";"Jeudi de 14 h 30 à 16 h";"45.496824";"-73.620540"
"Parc Van-Horne";"Près des jeux";"Jeudi de 16 h 30 à 18 h 30";"45.491916";"-73.638019"
"Parc Lasalle";"En face du chalet central, près du terrain de balle";"Mardi de 15 h 30 à 17 h 30";"45.439862";"-73.671145"
"HLM Boyce-Viau";"Espace vert près du 2625 rue Théodore";"Lundi de 15 h 30 à 17 h";"45.560686";"-73.544522"
"La Pépinière";"Cour centrale du 6155 rue Du Quesne";"Lundi de 17 h 30 à 19 h";"45.582420";"-73.559014"
"Habitations Dupéré";"Cour centrale du 4970 Saint-Donat";"Mercredi de 15 h 30 à 17 h 30";"45.601556";"-73.535715"
"Habitations Thomas-Chapais";"Cour derrière le 4355 allée Dumont";"Lundi de 15 h 30 à 17 h";"45.606741";"-73.530790"
"Habitations Thomas-Chapais";"Cour derrière le 4900 allée Dumont";"Lundi de 17 h 30 à 19 h";"45.606936";"-73.531654"
"Place Normandie";"Derrière la Place, entre Langelier et Rolland";"Lundi de 16 h à 18 h 30";"45.622912";"-73.624516"
"Parc Laurier";"Rue de Mentana, au nord de l'avenue Laurier Est, Près de l'aire de jeux";"Mardi de 16 h à 18 h 30";"45.531101";"-73.587845"
"Parc Alexis-Carrel";"Près de la piscine";"Jeudi de 13 h à 15 h 30";"45.6438558";"-73.5889828"
"Parc Saint-Jean-Baptiste";"Entre René-Lévesque et de La Gauchetière";"Jeudi de 13 h 30 à 15 h";"45.641170";"-73.500306"
"Parc Richelieu";"40e et rue Richelieu";"Jeudi de 15 h 30 à 17 h";"45.6634509";"-73.5048678"
"Parc Lafond";"Près des tables à pique-nique";"Mardi de 15 h 30 à 17 h";"45.5522927";"-73.5691718"
"Parc Étienne-Desmarteau";"20e avenue et rue Beaubien";"Mardi de 17 h 30 à 19 h 30";"45.560699";"-73.580156"
"Parc Hartenstein";"Les 24 juin, 15, 29 juillet et le 12 août";"Mercredi de 15h15 à 16 h 45";"45.5179002";"-73.6908591"
"Parc Beaulac";"Les 1, 8, 22 juillet et le 5 août";"Mercredi de 15h15 à 16 h 45";"45.520175";"-73.677560"
"Parc Painter";"Près de la piscine";"Mercredi de 17 h 15 à 18 h 45";"45.529142";"-73.676227"
"Parc Delorme";"6060, rue Honfleur";"Mardi de 13 h à 14 h 30";"45.593109";"-73.590982"
"Parc Pirandello";"Près des jeux";"Mardi de 15 h à 16 h 30";"45.5781534";"-73.603496"
"Parc Sir-Georges-Étienne-Cartier";"Rues Notre-Dame et Sir George-Étienne Cartier";"Mardi de 13 h à 14 h 30";"45.474085";"-73.587370"
"HLM Workman-Delisle";"Quadrilatère des rues Atwater-Charlevoix et Workman-Délisle";"Mardi de 15 h à 16 h 30";"45.482681";"-73.577708"
"Parc Riverain";"Hauteur de la 5e avenue, proche des jeux";"Mercredi de 15 h à 16 h 30";"45.455779";"-73.5635876"
"Parc Willibrord";"Derrière la mairie de l'arrondissement de Verdun";"Mardi de 17 h à 18 h 30";"45.459256";"-73.575655"
"Parc Sainte-Lucie";"Près des tables à pique-nique";"Lundi de 13 h 30 à 15 h";"45.574639";"-73.625165"
"Parc François-Perrault";"Près des jeux";"Mercredi de 15 h 30 à 17 h 30";"45.5620387";"-73.6001861"
"Parc Nicolas-Tillemont";"Rues Tillemont et Villeray";"Jeudi de 15 h 15 à 16 h 45";"45.554968";"-73.612269"
"Parc Howard";"Près des jeux d'eau";"Jeudi de 17 h 30 à 19 h 30";"45.533993";"-73.641977"
