Lieu;Description : ;Jour et heure : ;latitude;longitude
Complexe aquatique Marcelin-Wilson;Près des tables à pique-nique;Lundi de 13 h à 16 h 30;45.538847;-73.689119
HLM André-Grasset;Dans la cour intérieure, derrière la tour à logements;Lundi de 15 h 30 à 17 h;45.5577569;-73.6342349
Parc Saint-Benoît;Près des jeux et des jeux d'eau;Lundi de 17 h 30 à 19 h 30;45.540910;-73.667333
Parc Louisbourg;Près des jeux;Jeudi de 16 h à 17 h 30;45.527858;-73.708654
Parc de Mésy;Près des jeux;Jeudi de 18 h à 19 h 30;45.530135;-73.718430
Parc André-Laurendeau;Près de l'aire de jeux et de la pataugeoire;Mardi de 13 h 15 à 15 h;45.605078;-73.570667
Parc du Roseraies;7070, avenue de la Nantaise;Mardi de 15 h 30 à 17 h 15;45.593390;-73.555354
Parc Jean-Brillant;Rue Jean-Brillant/Gatineau;Jeudi de 15 h 30 à 17 h 30;45.496824;-73.620540
Parc Van-Horne;Près des jeux;Jeudi de 18 h à 19 h 30;45.491916;-73.638019
Parc Lasalle;En face du chalet central, près du terrain de balle;Mardi de 15 h 30 à 18 h;45.439862;-73.671145
HLM Boyce-Viau;Espace vert près du 2625 rue Théodore;Lundi de 15 h 30 à 17 h;45.560686;-73.544522
La Pépinière;Cour centrale du 6155 rue Du Quesne;Lundi de 17 h 30 à 19 h;45.582420;-73.559014
Habitations Dupéré;Cour centrale du 4970 Saint-Donat;Mercredi de 15h30 à 17h30;45.601556;-73.535715
Coopérative d'habitation Hermandad;Cour arrière, au fond du stationnement;Mercredi de 18 h à 19 h 30;45.607261;-73.515303
Habitations Thomas-Chapais;Cour derrière le 4355 allée Dumont;Lundi de 15 h 30 à 17 h;45.606741;-73.530790
Habitations Thomas-Chapais;Cour derrière le 4900 allée Dumont;Lundi de 17 h 30 à 19 h;45.606936;-73.531654
Ruelle du Dr Julien;Ruelle du 1600, rue Aylwin (coin Adam);Mercredi de 13 h 30 à 15 h;45.543003;-73.541916
Parc Edmond-Hamelin;Rues Sainte-Catherine et Joliette;Mercredi de 15 h 30 à 17 h;45.5431981;-73.5382661
Place Normandie;Derrière la Place, entre Langelier et Rolland;Lundi de 16 h à 18 h;45.622912;-73.624516
Parc Jeanne-Mance;Au niveau de la rue Duluth, Près de l'aire de jeux et de la pataugeoire;Mardi de 14 h 30 à 16 h;45.514707;-73.583629
Parc Laurier;Rue de Mentana, au nord de l'avenue Laurier Est, Près de l'aire de jeux;Mardi de 16 h 30 à 18 h 30;45.531101;-73.587845
Parc Alexis-Carrel;Près de la piscine;Jeudi de 13 h à 15 h 30;45.6438558;-73.5889828
Parc Saint-Jean-Baptiste;Entre René-Lévesque et de La Gauchetière;Jeudi de 13 h à 15 h;45.641170;-73.500306
Parc Étienne-Desmarteau;20e avenue et rue Beaubien;Jeudi de 17 h à 19 h 30;45.560699;-73.580156
HLM du Parc Royal;En face du 1455 rue Élizabeth;Mercredi de 14 h à 15 h 30;45.522975;-73.682066
Parc Beaulac;Près des jeux d'eau;Mercredi de 16 h à 18 h;45.520175;-73.677560
Parc Painter;Près de la piscine;Mardi de 15 h 30 à 17 h;45.529142;-73.676227
Parc Saint-Laurent;845, rue Poirier, à l'intersection de la rue Barré;Mardi de 17 h 30 à 19 h;45.526751;-73.686667
Habitations Robert;Boulevard Viau et rue D'Artagnan, Près de la roulotte;Mercredi de 15 h à 16 h 30;45.581633;-73.603254
Parc Delorme;6060, rue Honfleur;Mercredi de 13 h à 14 h 30;45.593109;-73.590982
Parc Sir-Georges-Étienne-Cartier;Rues Notre-Dame et Sir George-Étienne Cartier;Mardi de 13 h à 14 h 30;45.474085;-73.587370
HLM Workman-Delisle;Quadrilatère des rues Atwater-Charlevoix et Workman-Délisle;Mardi de 15 h à 16 h 30;45.482681;-73.577708
Parc Oscar-Peterson;Entre les rues Canning et des Seigneurs, au nord de Terrasse Coursol;Mercredi de 13 h à 14 h 30;45.489810;-73.574341
Parc Le Ber;Près du 255 rue Ash (YMCA);Mercredi de 15 h à 16 h 30;45.478127;-73.552260
Habitations de L'Église;Dans la cour centrale, derrière le 1946 rue Galt;Mercredi de 15 h 30 à 17 h 30;45.462636;-73.591034
Natatorium;Sous l'arbre près de la piste cyclable;Mardi de 13 h à 15 h;45.444159;-73.575686
Parc Willibrord;Derrière la mairie de l'arrondissement de Verdun;Mardi de 15 h 30 à 17 h;45.459256;-73.575655
Parc Sainte-Lucie;Près de la piscine;Lundi de 15 h 30 à 17 h;45.574639;-73.625165
Parc Joseph-Robin;Rue Everett et Avenue Léonard-de-Vinci;Lundi de 17 h 30 à 19 h 30;45.564667;-73.596207
Parc Nicolas-Tillemont;Rues Tillemont et Villeray;Jeudi de 15 h 30 à 17 h;45.554968;-73.612269
Parc Howard;Près des jeux d'eau;Jeudi de 17 h 30 à 19 h;45.533993;-73.641977
