NOM_CLIENT_PARTENAIRE,NOM_CORPORATION_CLIENT_PARTENAIRE,TYPE_CLIENT_PARTENAIRE,STATUT,SOUS_PROGRAMME,CATEGORIE_INSTITUTION,CHAMP_INTERVENTION,SECTEUR_INTERVENTION,NO_CIVIQUE ET RUE,MUNICIPALITE,CODE_REGION_ADMIN,REGION_ADMIN,PROVINCE,PAYS,CODE_POSTAL,URL_WEB,LONGITUDE,LATITUDE
L'Îlot des Palais ,Société du patrimoine urbain de Québec (SPUQ),"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1, côte de la Fabrique",Québec ,3,Québec,Québec,Canada,G1R 3V6,http://ilotdespalais.ca/,-71.207108646217435,46.813877923389185
L'observatoire du CÉGEP de Trois-Rivières,Cégep de Trois-Rivières CEGEP,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","300, route Sainte-Marie",Champlain ,4,Mauricie,Québec,Canada,G9A 5E6,http://www.observatoire.qc.ca/,-72.324473590707996,46.477452877274231
L'Odyssée des bâtisseurs,Société d'histoire du Lac-Saint-Jean inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1671, avenue du Pont Nord",Alma ,2,Saguenay-Lac-Saint-Jean,Québec,Canada,G8B 5G2,http://www.odysseedesbatisseurs.com/,-71.631928627374762,48.58169615340892
La Cité de l'énergie,La Cité de l'Énergie inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1000, avenue Melville, (C.P. 156)",Shawinigan ,4,Mauricie,Québec,Canada,G9N 6T9,http://www.citedelenergie.com,-72.757634701652321,46.536467618855383
La Cité de l'Or ,La Corporation du Village minier de Bourlamaque (Cité de l'Or),"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","90, avenue Perreault",Val-d'Or,8,Abitibi-Témiscamingue,Québec,Canada,J9P 4P3, http://www.citedelor.com ,-77.765709232782385,48.094135196338875
La Maison des Jésuites de Sillery ,Ville de Québec,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","2320, chemin du Foulon",Québec ,3,Québec,Québec,Canada,G1T 1X4,http://www.maisonsdupatrimoine.com/fr/patrimoine-et-architecture/maisons-des-jesuites-de-sillery.html,-71.258111393340045,46.768607359592401
La Maison du Granit ,"Corporation de développement de la Maison du Granit
(CDMG)","Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","301, route du Morne",Mont Saint-Sébastien                   Lac-Drolet Mont Saint-Sébastien,5,Estrie,Québec,Canada,G0Y 1C0, http://www.maisondugranit.ca ,-70.921726792883774,45.750121843129037
La Maison Dumulon,Corporation de La maison Dumulon,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","191, avenue du Lac (C.P. 242)",Rouyn-Noranda,8,Abitibi-Témiscamingue,Québec,Canada,J9X 5C3, http://www.maison-dumulon.ca/ ,-79.015670583969353,48.239498777137406
La Maison Léon-Provancher,La Maison Léon-Provancher,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1435, rue Provancher",Québec ,3,Québec,Québec,Canada,G1Y 1R9, http://www.maisonleonprovancher.com ,-71.343537122234366,46.750930879901489
La Maison Trestler,La Fondation de la maison Trestler,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","85, chemin de la Commune",Vaudreuil-Dorion,16,Montérégie,Québec,Canada,J7V 2C3,http://www.trestler.qc.ca/,-74.00709551070166,45.388186582582229
La Pulperie de Chicoutimi,La Corporation du Musée du Saguenay-Lac-Saint-Jean et du site de la Pulperie,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","300, rue Dubuc",Saguenay Arr. Chicoutimi ,2,Saguenay-Lac-Saint-Jean,Québec,Canada,G7J 4M1, http://www.pulperie.com ,-71.084648544693493,48.421692327260807
La Seigneurie des Aulnaies,La Corporation touristique de la Seigneurie des Aulnaies,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","525, route de la Seigneurie",St-Roch-des-Aulnaies,12,Chaudière-Appalaches,Québec,Canada,G0R 4E0, http://www.laseigneuriedesaulnaies.qc.ca ,-70.14438749814073,47.313575160781163
Le Dispensaire de la Garde à La Corne,Le Dispensaire de la garde,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","339, route 111",La Corne,8,Abitibi-Témiscamingue,Québec,Canada,J0Y 1R0, http://www.dispensairedelagarde.com ,-77.996186276161325,48.356289305673535
Les Moulins de l'Isle-aux-Coudres,Les Moulins de l'Isle-aux-Coudres,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","36, chemin du Moulin",Isle-aux-Coudres ,3,Québec,Québec,Canada,G0A 1X0,http://www.lesmoulinsdelisleauxcoudres.com/,-70.399467063908929,47.372785950618564
Les Musées de la civilisation - Maison historique Chevalier,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","50, rue du Marché-Champlain",Québec,3,Québec,Québec,Canada,G1K 4E9,https://www.mcq.org/fr/informations/mhc,-71.203120023096133,46.8123359150703
Les Musées de la civilisation - Musée de l'Amérique francophone,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","2, côte de la Fabrique",Québec,3,Québec,Québec,Canada,G1R 3V6,https://www.mcq.org/fr/informations/maf,-71.20649362870688,46.814019445430176
Les Musées de la civilisation - Musée de la civilisation,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","85, rue Dalhousie ",Québec ,3,Québec,Québec,Canada,G1K 8R2,http://www.mcq.org/,-71.202461333409801,46.815083853422408
Les Musées de la civilisation - Musée de la Place-Royale,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","27, rue Notre-Dame",Québec,3,Québec,Québec,Canada,G1K 4E9,https://www.mcq.org/fr/informations/mpr,-71.20304765677632,46.813062276176076
Maison Alphonse-Desjardins,Société historique Alphonse-Desjardins,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","6, rue du Mont-Marie",Lévis,12,Chaudière-Appalaches,Québec,Canada,G6V 1V9,https://www.desjardins.com/a-propos/desjardins/qui-nous-sommes/notre-histoire-musee/,-71.181908550567968,46.809504455540974
Maison Chapais,Association patrimoniale de Saint-Denis-de-la-Bouteillerie,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","2, route 132 Est",Saint-Denis-de-la-Bouteillerie,1,Bas Saint-Laurent,Québec,Canada,G0L 2R0, http://www.maisonchapais.com ,-69.937523419661488,47.503286767407872
Maison de la culture Côtes-des-Neiges,Ville de Montréal,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","5290, chemin de la Côte-des-Neiges",Montréal ,6,Montréal,Québec,Canada,H3T 1Y2,http://ville.montreal.qc.ca/culture/maison-de-la-culture-de-cote-des-neiges,-73.622237226630574,45.495915588693308
Maison de la culture Frontenac,Ville de Montréal,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","2550, Ontario Est",Montréal ,6,Montréal,Québec,Canada,H2K 1W7,http://ville.montreal.qc.ca/culture/maison-de-la-culture-frontenac,-73.551438383757912,45.532881423113551
Maison de la culture Marie-Uguay,Ville de Montréal,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","6052, boulevard Monk",Montréal ,6,Montréal,Québec,Canada,H4E 3H6,http://ville.montreal.qc.ca/culture/maison-de-la-culture-marie-uguay,-73.595494744616872,45.457638544900703
Maison de la culture Mercier,Ville de Montréal,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","8105, rue Hochelaga",Montréal ,6,Montréal,Québec,Canada,H1L 2K9,http://ville.montreal.qc.ca/culture/maison-de-la-culture-mercier,-73.523809948177032,45.59545601971346
Maison de la culture Notre-Dame-de-Grâce,Ville de Montréal,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","3755, rue Botrel",Montréal ,6,Montréal,Québec,Canada,H4A 3G8,http://ville.montreal.qc.ca/culture/maison-de-la-culture-de-notre-dame-de-grace,-73.614668904797796,45.475554078787042
Maison de la culture Plateau-Mont-Royal,Ville de Montréal,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","465, avenue du Mont-Royal Est",Montréal ,6,Montréal,Québec,Canada,H2J 1W3,http://ville.montreal.qc.ca/culture/maison-de-la-culture-du-plateau-mont-royal,-73.582684963893996,45.524943776545797
Maison de la Culture Roland-Jomphe,La Municipalité de Havre-Saint-Pierre,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,Muséologie/multiple,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","957, rue de la Berge",Havre-Saint-Pierre,9,Côte-Nord,Québec,Canada,G0G 1P0,http://www.havresaintpierre.com/fr/s.php?s=1666642730&sn=maison-culture-roland-jomphe-bureau-information-touristique,-63.608307841973712,50.237776477697302
Maison de la culture Rosemont,Ville de Montréal,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","6707, avenue De Lorimier",Montréal ,6,Montréal,Québec,Canada,H2G 2P8,http://ville.montreal.qc.ca/culture/maison-de-la-culture-rosemont-la-petite-patrie,-73.597999910805115,45.547280286544634
Maison de nos Aïeux,La Fondation François Lamy Inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","3907, chemin Royal","Sainte-Famille, Île d'Orléans ",3,Québec,Québec,Canada,G0A 3P0, http://www.fondationfrancoislamy.org ,-74.216865439890086,45.386144783379024
Maison Déry (Site de pêche Déry),Corporation des lieux historiques de Pont-Rouge,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","125, chemin du Roy",Pont-Rouge ,3,Québec,Québec,Canada,G3H 2G7, http://maisondery.pont-rouge.org/  ,-71.69517796539219,46.743972775919993
Maison Drouin,La Fondation François Lamy Inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","2958, chemin Royal","Sainte-Famille, Île d'Orléans ",3,Québec,Québec,Canada,G0A 3P0,http://www.maisondrouin.com,-70.9008327,47.0022486
Maison du Frère-Moffet,Société d'histoire du Témiscamingue,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","7, rue Notre-Dame-de-Lourdes",Ville-Marie,8,Abitibi-Témiscamingue,Québec,Canada,J9V 1X7, http://www.maisondufreremoffet.com/ ,-79.443037060235099,47.331804105863753
Maison Girardin,Société d'art et d'histoire de Beauport ,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","600, avenue Royale ",Québec ,3,Québec,Québec,Canada,G1E 7G3,http://sahb.ca/maisongirardin/,-71.191966569744153,46.859140048871609
Maison Hamel-Bruneau,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","2608, chemin Saint-Louis C.P. 218",Québec ,3,Québec,Québec,Canada,G1V 4E1,http://www.maisonsdupatrimoine.com/fr/patrimoine-et-architecture/maison-hamel-bruneau.html,-71.272983979478113,46.767128069158424
Maison Henry-Stuart ,Action patrimoine,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","82, Grande Allée Ouest",Québec ,3,Québec,Québec,Canada,G1R 2G6,http://actionpatrimoine.ca/activites/le-the-chez-les-stuart/,-71.223940415634388,46.802454023780179
Maison nationale des Patriotes,Maison nationale des Patriotes (autre nom) Les patriotes du pays inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","610, chemin des Patriotes",Saint-Denis-sur-Richelieu,16,Montérégie,Québec,Canada,J0H 1K0, http://www.mndp.qc.ca ,-73.159778457408137,45.784847760235529
Maison Rodolphe-Duguay,Maison Rodolphe-Duguay de Nicolet-Sud,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Arts,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","195, rang Saint-Alexis",Nicolet ,17,Centre-du-Québec,Québec,Canada,J3T 1T5, http://www.rodolpheduguay.com ,-72.617889348881263,46.221298895497533
Maison Saint-Gabriel,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","2146, place Dublin, Pointe-Saint-Charles",Montréal ,6,Montréal,Québec,Canada,H3K 2A2, http://www.maisonsaint-gabriel.qc.ca ,-73.556234018655687,45.476252044377091
Manoir LeBoutillier,Le Centre socio-culturel Manoir LeBoutillier,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","578, boulevard du Griffon",Gaspé (L'Anse-au-Griffon),11,Gaspésie-Iles-de-la-Madeleine,Québec,Canada,G4X 6A4,http://manoirleboutillier.ca/,-64.301872584982746,48.93202781877703
Monastère des Augustines ,Les Augustines de la Miséricorde de Jésus du Monastère de l'Hôtel-Dieu de Québec,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","32, rue Charlevoix",Québec ,3,Québec,Québec,Canada,G1R 5C4,http://monastere.ca/fr/pages/museum,-71.209312714518717,46.815448208920728
Moulin à laine d'Ulverton,Corporation du Vieux moulin d'Ulverton inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","210, chemin Porter",Ulverton ,5,Estrie,Québec,Canada,J0B 2B0, http://www.moulin.ca ,-72.269520581812714,45.690310026253584
Moulin Bernier,La Corporation du Moulin Bernier,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","100, rue du Moulin",Courcelles ,5,Estrie,Québec,Canada,G0M 1C0, http://www.moulinbernier.ca ,-70.984995785255222,45.871450134422126
Moulin de la Chevrotière,Culture et patrimoine Deschambault-Grondines,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","109, rue de Chavigny",Deschambault ,3,Québec,Québec,Canada,G0A 1S0,http://www.culture-patrimoine-deschambault-grondines.ca/,-71.988886900032227,46.628236200995232
Moulin des Jésuites,Corporation du Moulin des Jésuites,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","7960, boulevard Henri-Bourrassa",Québec ,3,Québec,Québec,Canada,G1H 3G3,http://www.moulindesjesuites.org,-71.266969280678879,46.862620429863028
Moulin des Pionniers,Corporation du Moulin des pionniers de La Doré inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","4205, chemin des Pionniers",La Doré ,2,Saguenay-Lac-Saint-Jean,Québec,Canada,G8J 1E4,http://moulindespionniers.com/,-72.6488494,48.6997052
Moulin Michel de Gentilly,Société des amis du moulin Michel inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","675, boulevard Bécancour",Bécancour,17,Centre-du-Québec,Québec,Canada,G9H 3S9,http://moulinmichel.qc.ca/,-72.24748592762154,46.41281650494976
Moulin seigneurial de Pointe-du-Lac,Moulin seigneurial de Pointe-du-Lac inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","11930, rue Notre-Dame Ouest",Trois-Rivières ,4,Mauricie,Québec,Canada,G9B 6X1,www.moulin-pointedulac.com,-72.68907540067336,46.28789908963261
Musée acadien du Québec à Bonaventure,La Corporation de développement touristique de Bonaventure,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","95, avenue Port-Royal",Bonaventure,11,Gaspésie-Iles-de-la-Madeleine,Québec,Canada,G0C 1E0, http://www.museeacadien.com ,-65.491768172414055,48.044705403567072
Musée amérindien de Mashteuiatsh,Société d'histoire et d'archéologie de Mashteuiatsh,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1787, rue Amishk",Mashteuiatsh ,2,Saguenay-Lac-Saint-Jean,Québec,Canada,G0W 2H0, http://www.museeilnu.ca ,-72.232648832670449,48.580123662004866
Musée Armand-Frappier,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","531, boulevard des Prairies",Laval,13,Laval,Québec,Canada,H7V 1B7,http://www.musee-afrappier.qc.ca/,-73.721149951508608,45.543199977024614
Musée Beaulne,Musée Beaulne inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","96, rue de l'Union",Coaticook ,5,Estrie,Québec,Canada,J1A 1Y9, http://www.museebeaulne.qc.ca ,-71.807958691921016,45.130341354455418
Musée Colby-Curtis,Société historique de Stanstead,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","535, rue Dufferin",Stanstead ,5,Estrie,Québec,Canada,JOB 3E0,https://colbycurtis.ca/fr/,-72.093732785626159,45.016528288196902
Musée d'art contemporain,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","185, rue Sainte-Catherine Ouest",Montréal,6,Montréal,Québec,Canada,H2X 3X5,http://www.macm.org/,-73.56651913058198,45.50776905762504
Musée d'art contemporain de Baie-Saint-Paul,Musée d'art contemporain de Baie-Saint-Paul,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Arts,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","23, rue Ambroise-Fafard",Baie-Saint-Paul ,3,Québec,Québec,Canada,G3Z 2J2, http://www.macbsp.com ,-70.505596080500581,47.440351514472304
Musée d'art contemporain des Laurentides,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Arts,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","101, place du Curé-Labelle",Saint-Jérôme,15,Laurentides,Québec,Canada,J7Z 1X6, http://www.museelaurentides.ca/ ,-74.003160961189963,45.778786294755456
Musée d'art de Joliette,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Arts,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","145, rue du Père-Wilfrid-Corbeil",Joliette,14,Lanaudière,Québec,Canada,J6E 4T4,http://www.museejoliette.org/fr/,-73.436232417079069,46.024209919803241
Musée Daniel Weetaluktuk,Institut culturel Avataq inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)",,Inukjuak,10,Nord-du-Québec,Québec,Canada,J0M 1M0,www.avataq.qc.ca/fr/content/view/full/313 ,-78.1051029,58.455121
Musée de Charlevoix,Musée de Charlevoix Inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","10, chemin du Havre",La Malbaie ,3,Québec,Québec,Canada,G5A 2Y8, http://www.museedecharlevoix.qc.ca ,-70.141939129499789,47.630414732488759
Musée de Guérin,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","932, rue Principale Nord",Guérin,8,Abitibi-Témiscamingue,Québec,Canada,J0Z 2E0,http://www.museedeguerin.com/,-79.31395382971688,47.659748989788795
Musée de l'accordéon,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","301, boulevard Taché Est",Montmagny,12,Chaudière-Appalaches,Québec,Canada,G5V 1C5,http://www.accordeonmontmagny.com/musee-de-laccordeon-2/,-70.546949119076572,46.985454368737223
Musée de la Défense aérienne de Bagotville,Musée de la défense aérienne de Bagotville,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","6513, chemin Saint-Anicet, ", Saguenay Arr. La Baie (Alouette) ,2,Saguenay-Lac-Saint-Jean,Québec,Canada,G0V 1A0,www.museebagotville.ca,-73.655728467882483,45.477823720164906
Musée de la Gare (anciennement Gare de Témiscaming),Société historique P.E. Gendreau,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","15, rue Humphrey",Témiscaming,8,Abitibi-Témiscamingue,Québec,Canada,J0Z 3R0,www.museedelagare.com/,-79.09352063855836,46.721136601126624
Musée de la Gaspésie,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","80, boulevard de Gaspé",Gaspé,11,Gaspésie-Iles-de-la-Madeleine,Québec,Canada,G4X 1A9, http://www.museedelagaspesie.ca ,-64.474456137673485,48.836893290211258
Musée de la mer,Musée de la Mer inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1023, Chemin de la Grave       ","Havre-Aubert, Îles-de-la-Madeleine",11,Gaspésie-Iles-de-la-Madeleine,Québec,Canada,G4T 9C8,http://www.museedelamer-im.com/,-61.832257829259206,47.238740650331422
Musée de la mode ,Musée du costume et du textile du Québec inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)",385 rue de la Commune Est,Montréal,6,Montréal,Québec,Canada,H2Y 1J3, http://www.mctq.org ,-73.551498807241629,45.508980867007359
Musée de la nature et des sciences de Sherbrooke,Musée de la nature et des sciences inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Sciences naturelles et environnementales,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","225, rue Frontenac",Sherbrooke ,5,Estrie,Québec,Canada,J1H 1K1, www.naturesciences.qc.ca ,-71.895498845912087,45.403458510008001
Musée de Lachine,Ville de Montréal,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1, chemin du Musée",Lachine ,6,Montréal,Québec,Canada,H8S 4L9,"http://ville.montreal.qc.ca/portal/page?_pageid=3156,3575643&_dad=portal&_schema=PORTAL",-73.666459787200054,45.429945505276876
