NOM_CLIENT_PARTENAIRE,NOM_CORPORATION_CLIENT_PARTENAIRE,TYPE_CLIENT_PARTENAIRE,STATUT,SOUS_PROGRAMME,CATEGORIE_INSTITUTION,CHAMP_INTERVENTION,SECTEUR_INTERVENTION,NO_CIVIQUE ET RUE,MUNICIPALITE,CODE_REGION_ADMIN,REGION_ADMIN,PROVINCE,PAYS,CODE_POSTAL,URL_WEB,LONGITUDE,LATITUDE
Centre d'exposition de Rouyn-Noranda,Centre d'exposition de Rouyn-Noranda inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Centre d'exposition,Arts,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","201, ave. Dallaire, local 154",Rouyn-Noranda,8,Abitibi-Témiscamingue,Québec,Canada,J9X 4T5, http://www.cern.ca/ ,-79.0220564933894,48.237025605378342
Centre d'exposition de Val-d'Or,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","600, 7e Rue",Val-d'Or,8,Abitibi-Témiscamingue,Québec,Canada,J9P 3P3, www.expovd.ca  ,-77.790629029356879,48.096826124631157
Centre d'exposition du centre des arts de Shawinigan (autre nom : Centre d'exposition Léo-Ayotte),Corporation culturelle de Shawinigan,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","2100, boulevard des Hêtres",Shawinigan ,4,Mauricie,Québec,Canada,G9N 8R8, http://www.cultureshawinigan.ca ,-72.746644583288031,46.559879463988182
Centre d'exposition l'Imagier,Le Centre d'exposition l'Imagier,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,Arts,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","9, rue Front",Gatineau,7,Outaouais,Québec,Canada,J9H 4W8, http://www.limagier.qc.ca ,-75.8569317,45.3953227
Centre d'exposition Raymond-Lasnier,Corporation de développement culturel de Trois-Rivières,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1425, place de l'Hôtel-de-Ville",Trois-Rivières ,4,Mauricie,Québec,Canada,G9A 5H3,http://www.cer-l.com/,-72.542644891650653,46.343595143478204
Centre d'histoire de Montréal,Ville de Montréal,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","335, place d'Youville",Montréal ,6,Montréal,Québec,Canada,H2Y 3T1,http://ville.montreal.qc.ca/portal/page?_pageid=8757%2C97305573&_dad=portal&_schema=PORTAL,-73.55538170000888,45.50122240816377
Centre d'histoire et d'archéologie de la Métabetchouane,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,"Histoire,ethnologie et archéologie","Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","243, rue Hébert",Desbiens ,2,Saguenay-Lac-Saint-Jean,Québec,Canada,G0W 1N0,,-71.963273730513549,48.420157575954079
Centre d'histoire Sir-William-Price,Centre d'histoire Sir-William-Price,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1994, rue Price",Saguenay Arr. Jonquière ,2,Saguenay-Lac-Saint-Jean,Québec,Canada,G7X 5S1, www.sirwilliamprice.com ,-71.24387013237336,48.42392167266523
Centre d'initiation au patrimoine - La Grande Ferme,Corporation du Centre d'initiation au patrimoine - La Grande Ferme,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","800, chemin du Cap-Tourmente",Saint-Joachim ,3,Québec,Québec,Canada,G0A 3X0, http://www.lagrandeferme.qc.ca ,-70.818040979794688,47.051857084108633
Centre d'interprétation de l'agriculture et de la ruralité,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,"Histoire,ethnologie et archéologie","Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","281, rue Saint-Louis",Métabetchouan-Lac-à-la-Croix ,2,Saguenay-Lac-Saint-Jean,Québec,Canada,G8G 2C8, http://www.ciar-lacalacroix.com ,-71.778973910377104,48.40443154551992
