ï»¿id,municipalite,etat,type,localisation,arrondissement,description,date_debut,date_fin,geom
1,94068,Circulation locale,ActivitÃ© diverse,Rue Ball,JonquiÃ¨re,"L'Ã©vÃ¨nement KÃ©nogami en FÃªte se dÃ©roulera du vendredi 21 aoÃ»t au dimanche 25 aoÃ»t, au Parc Ball. Il y aura circulation locale seulement sur la rue Price vers le sud Ã  partir de du Roi-Georges et fermeture complÃ¨te en la rue Ball et Bradet. La rue Montcalm sera fermÃ©e entre la rue Price et le stationnement de la bibliothÃ¨que. Il y aura sens unique vers l'ouest sur la Ball et une circulation locale sur la rue Bradet . Nous vous prions de respecter la signalisation ainsi que les bÃ©nÃ©voles en place. ",2024-08-21T06:00:00,2024-08-26T17:00:00,"LINESTRING (-71.24271904126488 48.42416654683026,-71.24419718122083 48.42431661496936)"
2,94068,Circulation locale,ActivitÃ© diverse,Rue Bradet,JonquiÃ¨re,"L'Ã©vÃ¨nement KÃ©nogami en FÃªte se dÃ©roulera du vendredi 21 aoÃ»t au dimanche 25 aoÃ»t, au Parc Ball. Il y aura circulation locale seulement sur la rue Price vers le sud Ã  partir de du Roi-Georges et fermeture complÃ¨te en la rue Ball et Bradet. La rue Montcalm sera fermÃ©e entre la rue Price et le stationnement de la bibliothÃ¨que. Il y aura sens unique vers l'ouest sur la Ball et une circulation locale sur la rue Bradet . Nous vous prions de respecter la signalisation ainsi que les bÃ©nÃ©voles en place. ",2024-08-21T06:00:00,2024-08-26T17:00:00,"LINESTRING (-71.24288473361273 48.42351175029544,-71.24435455667532 48.423658196086)"
3,94068,Circulation locale,ActivitÃ© diverse,Rue De Montcalm,JonquiÃ¨re,"L'Ã©vÃ¨nement KÃ©nogami en FÃªte se dÃ©roulera du vendredi 21 aoÃ»t au dimanche 25 aoÃ»t, au Parc Ball. Il y aura circulation locale seulement sur la rue Price vers le sud Ã  partir de du Roi-Georges et fermeture complÃ¨te en la rue Ball et Bradet. La rue Montcalm sera fermÃ©e entre la rue Price et le stationnement de la bibliothÃ¨que. Il y aura sens unique vers l'ouest sur la Ball et une circulation locale sur la rue Bradet . Nous vous prions de respecter la signalisation ainsi que les bÃ©nÃ©voles en place. ",2024-08-21T06:00:00,2024-08-26T17:00:00,"LINESTRING (-71.2414740574128 48.42371173231915,-71.24206896624052 48.4237947092014,-71.24278709767005 48.423891135794385)"
4,94068,Circulation locale,ActivitÃ© diverse,Rue Price,JonquiÃ¨re,"L'Ã©vÃ¨nement KÃ©nogami en FÃªte se dÃ©roulera du vendredi 21 aoÃ»t au dimanche 25 aoÃ»t, au Parc Ball. Il y aura circulation locale seulement sur la rue Price vers le sud Ã  partir de du Roi-Georges et fermeture complÃ¨te en la rue Ball et Bradet. La rue Montcalm sera fermÃ©e entre la rue Price et le stationnement de la bibliothÃ¨que. Il y aura sens unique vers l'ouest sur la Ball et une circulation locale sur la rue Bradet . Nous vous prions de respecter la signalisation ainsi que les bÃ©nÃ©voles en place. ",2024-08-21T06:00:00,2024-08-26T17:00:00,"MULTILINESTRING ((-71.24257148923175 48.42475997026307,-71.24271904126488 48.42416654683026),(-71.24271904126488 48.42416654683026,-71.24278709767005 48.423891135794385),(-71.24278709767005 48.423891135794385,-71.24288473361273 48.42351175029544))"
5,94068,Fermeture complÃ¨te,Travaux d'urgence,Chemin Saint-Charles,La Baie,"Ã la suite dâun signalement, une vÃ©rification du sol a Ã©tÃ© effectuÃ©e par le Service du gÃ©nie et des experts externes sur le chemin Saint-Charles, Ã  La Baie. Celle-ci a menÃ© Ã  la fermeture immÃ©diate du chemin Ã  la hauteur du sentier NÃ©rÃ©-GagnÃ© en raison dâun petit affaissement dâune moitiÃ© de la chaussÃ©e. Les travaux correctifs sont en Ã©valuation.

LâaccÃ¨s et la sortie se feront uniquement par le chemin Saint-Bruno jusquâÃ  ce quâil soit de nouveau possible de circuler par lâautre extrÃ©mitÃ© du chemin Saint-Charles.
",2024-08-01T14:20:57.533,2024-12-31T00:00:00,"MULTILINESTRING ((-70.79609909242701 48.33704679808225,-70.79595561204253 48.336915196973884,-70.79566054948809 48.336426021681795,-70.79548621210851 48.3362463554434,-70.79540428015783 48.33618086400535,-70.79507936284612 48.336110331679244,-70.79440495218748 48.336126785568496,-70.79410388737945 48.33606751824586,-70.79380922077657 48.33593913219444,-70.79359318204183 48.33574484284977,-70.79341759819008 48.335494376975525,-70.79323803530228 48.33469791382747,-70.7932100015886 48.33454958918826,-70.7933283930936 48.333863946351215,-70.79334811062736 48.33374721810541,-70.79305799073443 48.33322347291934,-70.79248341453281 48.33256904677417,-70.7923462353212 48.33234736743846,-70.79227178267891 48.33180494805356,-70.79213807015407 48.33159458755125,-70.79180840433955 48.331281639651245,-70.79159915450148 48.33100690141879,-70.79151158008999 48.33084315052082,-70.7914141060238 48.3306562030712,-70.79134803097756 48.33053856008132,-70.7912938710015 48.33042485142537,-70.79127033318358 48.3303178106911,-70.79127858476468 48.33023272471179,-70.79129361592841 48.33015674056101,-70.79133666927314 48.33004780253683,-70.7914062002144 48.329944031018066,-70.79148428768744 48.329860399584355,-70.79158443537969 48.32977436744575,-70.79185652920728 48.3295930853948,-70.7923914577087 48.32935046776067,-70.79251999603784 48.329269429837794,-70.79264320278317 48.32915594694505,-70.7927236992984 48.329039674755094,-70.79277112158461 48.328913577121405,-70.79279782307117 48.328731467308295,-70.79273218109458 48.328383246072335,-70.79276695293113 48.32818528179893,-70.7930346173194 48.32766150458975,-70.79315891290885 48.32725975026183,-70.79319005396651 48.327026899301885,-70.7932083693872 48.32685677630884,-70.79308259250297 48.32635173275416,-70.79307251075615 48.32603930637051,-70.79311316376447 48.32592909297119,-70.79316636019418 48.32583080239689,-70.79334214654314 48.325622376315586,-70.79348988682288 48.32550578090608,-70.79363234721819 48.32542010662969,-70.79385305814974 48.32532224960153,-70.79402773290555 48.32523680821838,-70.79407067895939 48.325215799994304,-70.79417205142374 48.325154880811716,-70.794262097545 48.325075896404904,-70.79434911859646 48.324932966996094,-70.79442455713176 48.324805767976095,-70.79466692207743 48.324468432991026,-70.7950339762388 48.32406921743545,-70.79519845613237 48.32382396186305,-70.79528771088026 48.32356392688624,-70.79528632666006 48.32326780320728,-70.79527263038108 48.3231232041553,-70.79524660559187 48.32303007249666,-70.79521230551985 48.322956743460566,-70.79502658958346 48.32269833862692,-70.7947092920097 48.32251898973429,-70.79448022889275 48.32236605790942,-70.79433377854738 48.322235385752165,-70.79422967543726 48.32211146930601,-70.79414220769821 48.321967411341674,-70.79408448063337 48.32185011985197,-70.79403017323742 48.32169964343662,-70.79398250541847 48.32160201942973,-70.79396794114106 48.321432136679704,-70.79397725041434 48.321231264352825),(-70.83116484437919 48.29629847932021,-70.83060362811352 48.29629359754734,-70.82818131006225 48.296381684763965,-70.82575898207197 48.29646972098323,-70.82552575764137 48.29649592710812,-70.82528955643444 48.29655263096948,-70.82509094194687 48.29662559995525,-70.82490646933022 48.29675021558458,-70.82463780657875 48.29695395349425,-70.8221310125821 48.29909236998302,-70.82132097900015 48.29973806818074,-70.82090605473887 48.30003885295929,-70.82040697549436 48.30045431795388,-70.81903986871015 48.301626568900026,-70.81706542752246 48.30329951371785,-70.81624023501148 48.30398599718548,-70.81354825950629 48.306221588334125,-70.81204570019065 48.30750517313862,-70.81098764734178 48.308316858402584,-70.80977913620325 48.30938551865209,-70.8094697336758 48.3096095129019,-70.80895457687963 48.310068549365674,-70.80823111940578 48.31062443001172,-70.8080022696073 48.31083234521308,-70.80779291699056 48.31099498857235,-70.8074641409106 48.31128803756527,-70.80618159036977 48.31235289271871,-70.80532503360905 48.31309715314375,-70.8035728637634 48.314543614392406,-70.80299148081336 48.31507666085532,-70.8025218016379 48.315491368739686),(-70.79397725041434 48.321231264352825,-70.7940614524893 48.321100969839335,-70.79417706687985 48.320981868901484,-70.79427809871436 48.32089438757577,-70.79457847839547 48.32060703124244,-70.7950184988737 48.32033176552186,-70.79541425046698 48.32003848800143,-70.79568913456065 48.319697942526645,-70.79602397705877 48.319153338203705,-70.79645737973907 48.318618673561815,-70.79677699723416 48.31837996159361,-70.79717342105153 48.31820675329242,-70.79735653020094 48.31815190591925,-70.79794336730802 48.31801218547045,-70.79820452879129 48.317944673345316,-70.79854855212166 48.317815774670095,-70.79904988000051 48.3175765845512,-70.80066791590338 48.316619116142256,-70.8009151003591 48.31648706551687,-70.80175782486664 48.31602391762329,-70.8019519131468 48.315922374099685,-70.80211672741765 48.31579995830412,-70.8025218016379 48.315491368739686))"
6,94068,Fermeture complÃ¨te,Travaux d'urgence,Chemin Saint-Joseph,La Baie,"En raison de travaux de rÃ©fection effectuÃ© sur le ponceau face au 3883, le chemin Saint-Joseph sera fermÃ© Ã  la circulation, jusqu'Ã  la fin des travaux prÃ©vue Ã  la mi-septembre.
",2024-05-15T07:00:00,2024-09-13T17:00:00,"LINESTRING (-70.93982926601797 48.39516854882516,-70.93812775687249 48.394361547911124,-70.93655957671407 48.39362052763713,-70.93467431488695 48.39272830601542,-70.93432446228036 48.392561968298764,-70.93310869419595 48.391983915551485,-70.93191769163407 48.391421945078925,-70.93140327203315 48.39117046465556,-70.93076405805428 48.39086479147162,-70.93012000110217 48.3905700082596,-70.92981542189467 48.39043273750832,-70.92885413132575 48.3899725665545,-70.92882119162614 48.389956652298025,-70.92747795849418 48.389307685129,-70.92556600140104 48.388388008585515,-70.92333132437346 48.387337028478626,-70.92283720247839 48.38710462795465,-70.9210700010844 48.38628600793215,-70.92040153994306 48.38598269368146,-70.91823700061911 48.38495700867588,-70.91780146211218 48.38476143469597,-70.91700507456744 48.384403816505596,-70.91575194134852 48.3838021529986,-70.91486145268676 48.38338689596936,-70.91388982219841 48.38292760375304,-70.91301029087043 48.38251717213466,-70.91228371716761 48.38217504406194,-70.91132291120478 48.3817226067359,-70.91088057712987 48.381515735322886,-70.90792700105787 48.38013500814033,-70.90676075924992 48.37958607255766,-70.90661726476056 48.3795185291158,-70.90476925968863 48.37864638838224,-70.90404037513981 48.37827959897337,-70.90363700119013 48.37809100842938,-70.9032641531017 48.37797756699785,-70.90307363691774 48.37793682752125,-70.90288700052746 48.37791500814293,-70.90186900077722 48.37778800831247,-70.90131100145665 48.37767100787878,-70.90086920915832 48.37753500676004,-70.89989699043961 48.377235711499154,-70.89849800068602 48.3768360083917,-70.89810200027601 48.37670700797072,-70.89779116925575 48.37659292045575,-70.89767600084897 48.376516008655166,-70.8975485826359 48.37640908408051,-70.89749200111287 48.37629500821105,-70.89723773758489 48.37542389954888,-70.89708155527862 48.37509342635518,-70.8968791372708 48.374909743081865,-70.89661217623637 48.37476729066663,-70.8959816566677 48.37446968699211,-70.89540648390035 48.37419989582555,-70.89521765284812 48.374137034065846,-70.89501877024834 48.374083038542985,-70.89475196563494 48.37403345882634,-70.89340500070537 48.37387900792172,-70.89298400123725 48.3738140086422,-70.89264244252269 48.373752281232754,-70.89230901133323 48.3736429382361,-70.89173059697632 48.3734397379473,-70.89082300155471 48.37306600799513,-70.89054393651146 48.37291823480089,-70.89021395781974 48.37267836493539,-70.89004443347426 48.37256004908682,-70.88928500085537 48.372030008140726,-70.88902400137944 48.37190800786483,-70.88879287550672 48.371814455467195,-70.88858700063524 48.37176300873228,-70.88795373748177 48.37163178488034,-70.88777314977166 48.37158436073886,-70.88754879681943 48.37150230333267,-70.88736916421539 48.371416780657114,-70.88724800041786 48.37134400856617,-70.8871061355498 48.37125756597945,-70.88659400148774 48.37083300823007,-70.88526510429965 48.36963671534402,-70.88520868932696 48.36958589337708,-70.88438037530857 48.36883968974547,-70.8838030005639 48.36836800861514,-70.88356552990334 48.36824200594095,-70.88314150597886 48.36804880546938,-70.88301056761607 48.367990443633566,-70.88011392515932 48.36672334214499,-70.87807285372372 48.365830417183226,-70.87675621707932 48.36525669271932,-70.87646662088379 48.3651267942718,-70.87634900036552 48.365062008148776,-70.87614279241916 48.364946904499746,-70.87599000027129 48.36484300864155,-70.87577580913336 48.36468661767101,-70.87554500033772 48.36448100815878,-70.87525000046186 48.36416200874364,-70.8750574195162 48.36386506960586,-70.87489200127243 48.36361000823721,-70.87476892962763 48.36336567425496,-70.87471328752878 48.363195936606466,-70.87466061217816 48.36296728435508,-70.87460557515288 48.362716141419625,-70.87458207835039 48.36247877700263,-70.87460100051119 48.362310007948494,-70.87464613413864 48.36214624679724,-70.87475200110681 48.36200200791382,-70.87484882018299 48.36191340435392)"
7,94068,Fermeture complÃ¨te,Travaux d'urgence,Route de l'Anse-Ã -Benjamin,La Baie,"En raison de travaux de rÃ©fection sur le ponceau P-093, la route de l'Anse-Ã -Benjamin sera fermÃ© Ã  la circulation Ã  la hauteur du1762,  pour une durÃ©e indÃ©terminÃ©e.",2024-05-15T07:00:00,2024-12-31T17:00:00,"LINESTRING (-70.8881225147906 48.395553083132036,-70.88825541495068 48.39442926533016,-70.88821416752376 48.393910989341194,-70.8881288119709 48.393478988519675,-70.8880300012284 48.393203008694506,-70.88789600100105 48.39289000802529,-70.88682166393401 48.390903323453834,-70.88646375167187 48.39027182797151,-70.88625372508251 48.38994255969283,-70.88586417814766 48.38944338776925,-70.88494983372766 48.388388484610864,-70.88406416768358 48.38718164771696,-70.88350900061337 48.386385008242264,-70.8833978771437 48.386222544859166,-70.88321960587889 48.38593441555584,-70.88312889475182 48.38574441022774,-70.88303392924826 48.38551026520557,-70.88299508290572 48.38533288720549,-70.88297827435203 48.38525613430179,-70.88297639171144 48.38515457688441,-70.88300100080689 48.3850800083335,-70.88303950359251 48.38493703083867,-70.88326384530527 48.38446504437922,-70.88340729516025 48.38409187958379,-70.88349895013123 48.38370862519234,-70.88353833528815 48.383570372651384,-70.88355969881019 48.38343531455272,-70.8835526891793 48.38317895215216,-70.88352453262524 48.38305697168337,-70.88347522739066 48.38294782135693,-70.88341362078864 48.38285610262691,-70.88332844312431 48.38277591884158,-70.88321100089077 48.38270100856498,-70.88177904870918 48.38172781450904,-70.88136842762053 48.381451669220965,-70.88060500093056 48.380909007919385,-70.88004600111718 48.380387008065846,-70.87975388908077 48.38001433578377,-70.8795470010371 48.37966600785506,-70.87933668938621 48.37927716873997,-70.87916700046183 48.37889900872831,-70.87905378169087 48.3785260668486,-70.87897800089328 48.378155008060645,-70.87883150476739 48.37767430068647,-70.87873500100079 48.37743900835296,-70.87872740587072 48.3774211984167,-70.87824916730847 48.37629983692974,-70.87796372149126 48.375668131931775,-70.87781354296777 48.37538243865835,-70.8767343789031 48.37312248517544,-70.87644684365947 48.37263013570579,-70.87573006330757 48.371529413455086,-70.87515111487888 48.37058794595454,-70.87480910680357 48.370192017440054,-70.87465357119306 48.369965978686295,-70.87455024587344 48.36977379108198,-70.87430260642618 48.369275831492985,-70.87416667166846 48.368968414150345,-70.87406700115245 48.36874300860229,-70.87372506374446 48.36814118654348,-70.87341772655553 48.367739499214004,-70.87302656835305 48.36718281519583,-70.87291757285966 48.36700622911297)"
8,94068,Circulation en alternance avec feu ou signaleur,Travaux prÃ©vus,Chemin Saint-Martin,La Baie,"En raison de travaux de pavage sur le chemin Saint-Martin, entre le chemin de la Ligne-Bagot et le numÃ©ro civique 5882, il y aura une circulation en alternance avec signaleurs, de mardi 20 aoÃ»t 7 h jusqu'Ã  vendredi 30 aoÃ»t 17 h.",2024-08-20T07:00:00,2024-08-30T17:00:00,"LINESTRING (-70.88916975399312 48.412090676390335,-70.88945788161193 48.412145584017644,-70.88975224362878 48.41217845282553,-70.89007736754803 48.41218696284553,-70.89034942010103 48.4121733714974,-70.89058210538899 48.41210719830097,-70.89085701758425 48.4120451613839,-70.89132684513767 48.411849859133454,-70.89186482622115 48.41155633650327,-70.892170203345 48.41140719771546,-70.89247676189736 48.41131754131374,-70.89276611402741 48.41125527248946,-70.89305893111708 48.41123338615285,-70.89333622597906 48.41122677425197,-70.8936810687803 48.41126249676814,-70.89403675761413 48.411333741958806,-70.8944181084258 48.41142855105861,-70.89614785507766 48.411904025356655,-70.89725900529616 48.41209375241098,-70.89816729419098 48.41218544881782,-70.90167051521325 48.41245225475442,-70.90211540448387 48.41249771181601,-70.90251065888924 48.412560332006784,-70.90290856014545 48.412634835959174,-70.90333669683503 48.4127670037523,-70.90359953596321 48.412868032992634,-70.90409470040372 48.413083788362016,-70.90456772021433 48.413296222474415,-70.90543521530759 48.413685110958795,-70.90595293731747 48.41395402070529,-70.9060778590455 48.4140425031478,-70.90615320542743 48.41410227485926,-70.9062285397963 48.414160346723044,-70.90631693216817 48.414255754522834,-70.90645118400275 48.41444728677532,-70.90686728810047 48.41513800008682,-70.90700799302628 48.4153456303434,-70.90730177628137 48.41569826723552,-70.90756739206257 48.415917134905705,-70.90790285660407 48.41617303931998,-70.90833708349273 48.41642297654844,-70.90880280447388 48.4166351888216,-70.90920781923143 48.41679162113273,-70.9095084636117 48.41689489654391,-70.91008830798197 48.417081690872834,-70.91050093872565 48.41718330268969,-70.9110167667205 48.4172755496989,-70.91153019549589 48.41735973818247,-70.91394903392565 48.41765578026926,-70.91442450138297 48.41774015984969,-70.91526405986309 48.41783599627173)"
9,94068,Circulation en alternance avec feu ou signaleur,Travaux prÃ©vus,Rue du Havre,Chicoutimi,"En raison de travaux de forages, il y aura circulation en alternance avec signaleurs pour les rues Sainte-Anne (entre les rues Price et Racine), Racine (entre les rues Sainte-Anne et Riverin) et du Havre (entre les rues Racine et Salaberry), les forages se feront successivement sur les trois rues, l'une Ã  la suite de l'autre, de mardi 6 aoÃ»t 7 h jusqu'au vendredi 30 aoÃ»t 17 h.",2024-08-06T07:00:00,2024-08-30T17:00:00,"MULTILINESTRING ((-71.05912584558273 48.42756092601362,-71.05895355603211 48.42761067977071,-71.05770365466611 48.42807499706867,-71.05713167792584 48.42832710020436,-71.05561967439617 48.429019060604816),(-71.05561967439617 48.429019060604816,-71.05519762569054 48.42918751022596,-71.05457444053913 48.42932188952234,-71.05345492468442 48.429451806641396))"
10,94068,Circulation en alternance avec feu ou signaleur,Travaux prÃ©vus,Rue Jeanne-Mance,Chicoutimi,"En raison de travaux d'installation d'un puisard, la circulation se fera en alternance sur la rue Jeanne-Mance, Ã  l'ntrÃ©e de la rue, le lundi 26 aoput, de 7 h Ã  17 h.",2024-08-26T17:00:00,2024-08-26T17:00:00,"LINESTRING (-71.10780984537354 48.4132292013652,-71.10786321943215 48.41336172061098,-71.10787115797297 48.413409781636105,-71.10785778916649 48.41347648175446,-71.10782856147958 48.41352180800554,-71.10780227858936 48.413572319864514,-71.10780855115908 48.413623201184706,-71.10783287149839 48.4136643070352,-71.10803008099028 48.413993499414815,-71.1080429719591 48.414040598887794,-71.10802607025042 48.41408814539781,-71.10799293958237 48.41412069309537,-71.10795024968364 48.41414354730279,-71.10790141752796 48.41415582114677,-71.1077114603995 48.41421591895966,-71.10766055491304 48.41423810773025,-71.1076269173727 48.41426782851821,-71.10760669209755 48.414313822180844,-71.10760714146238 48.41435153481292,-71.10764054346076 48.41440226747648,-71.10804655363347 48.414845503997334,-71.10809955227555 48.414893325971256,-71.10816911962011 48.414930567170565,-71.10828479739212 48.414968430687956,-71.10835672679653 48.41497364101872,-71.10842273708583 48.41496637749062,-71.10849941300214 48.4149396855701)"
