"genre","annee","temps-utilisation","nombre-connexion"
"Homme","2016","74491","142462"
"Femme","2016","51949","102754"
"Ind̩termin̩","2016","2471","4554"
"Homme","2017","81350","158561"
"Femme","2017","59398","119158"
"Ind̩termin̩","2017","2545","4605"
"Homme","2018","77882,169166666601","151556"
"Femme","2018","60293,910833333299","119745"
"Ind̩termin̩","2018","1274,28416666666","2287"
"Homme","2019","74713,851388888797","146263"
"Femme","2019","59008,317499999997","118402"
"Ind̩termin̩","2019","1334,4366666666599","2237"
