"lieu","annee","mois","temps-utilisation","nombre-connexion","nombre-reservation"
"LC","2019","Avr","1407,7840000000001","2810","102"
"LC","2019","Mai","1491,114","2923","86"
"LC","2019","Juin","1224,421","2548","24"
"LC","2019","Juil","1124,771","2391","18"
"LC","2019","AoÃ»t","1076,7660000000001","2299","12"
"LC","2019","Sept","1088,7139999999999","2287","19"
"LC","2019","Oct","1136,7080000000001","2353","23"
"LC","2019","Nov","992,202","2052","14"
"LC","2019","DÃ©c","878,66099999999994","1824","15"
"MB","2019","Janv","481,04300000000001","921","63"
"MB","2019","FÃ©vr","482,77100000000002","971","72"
"MB","2019","Mars","738,56399999999996","1408","148"
"MB","2019","Avr","599,85000000000002","1181","145"
"MB","2019","Mai","622,43600000000004","1300","107"
"MB","2019","Juin","563,88999999999999","1128","60"
"MB","2019","Juil","618,96100000000001","1189","53"
"MB","2019","AoÃ»t","611,61199999999997","1294","64"
"MB","2019","Sept","541,59299999999996","1157","40"
"MB","2019","Oct","662,17399999999998","1330","84"
"MB","2019","Nov","600,78599999999994","1209","108"
"MB","2019","DÃ©c","414,07299999999998","827","37"
"MC","2019","Janv","2133,598","4081","136"
"MC","2019","FÃ©vr","2295,9090000000001","4260","200"
"MC","2019","Mars","2696,5720000000001","5332","221"
"MC","2019","Avr","2476,8339999999998","4606","161"
"MC","2019","Mai","2595,5169999999998","4974","111"
"MC","2019","Juin","2263,069","4393","96"
"MC","2019","Juil","2443,7359999999999","4676","67"
"MC","2019","AoÃ»t","2238,6170000000002","4372","44"
"MC","2019","Sept","2290,4969999999998","4473","77"
"MC","2019","Oct","2677,1640000000002","5081","170"
"MC","2019","Nov","2490,0239999999999","4802","67"
"MC","2019","DÃ©c","2124,8209999999999","4015","92"
"PP","2019","Janv","502,06700000000001","958","92"
"PP","2019","FÃ©vr","496,62900000000002","898","98"
"PP","2019","Mars","628,84299999999996","1193","149"
"PP","2019","Avr","618,95399999999995","1172","143"
"PP","2019","Mai","641,279","1193","121"
"PP","2019","Juin","605,26400000000001","1126","135"
"PP","2019","Juil","606,827","1164","120"
"PP","2019","AoÃ»t","582,99900000000002","1139","95"
"PP","2019","Sept","526,29399999999998","1068","81"
"PP","2019","Oct","695,67100000000005","1327","130"
"PP","2019","Nov","625,15499999999997","1183","146"
"PP","2019","DÃ©c","480,52100000000002","901","94"
"SG","2019","Janv","546,52599999999995","1066","13"
"SG","2019","FÃ©vr","597,33199999999999","1188","20"
"SG","2019","Mars","792,20299999999997","1519","22"
"SG","2019","Avr","666,83900000000006","1286","25"
"SG","2019","Mai","702,04700000000003","1361","15"
"SG","2019","Juin","530,55399999999997","1011","22"
"SG","2019","Juil","607,99199999999996","1218","11"
"SG","2019","AoÃ»t","590,83900000000006","1241","3"
"SG","2019","Sept","353,36500000000001","716","8"
"SG","2019","Oct","638,21900000000005","1314","6"
"SG","2019","Nov","711,10799999999995","1398","15"
"SG","2019","DÃ©c","468,02600000000001","939","14"
"YT","2019","Janv","460,49700000000001","890","27"
"YT","2019","FÃ©vr","431,40199999999999","842","19"
"YT","2019","Mars","592,351","1161","26"
"YT","2019","Avr","593,83500000000004","1173","31"
"YT","2019","Mai","713,27099999999996","1344","35"
"YT","2019","Juin","472,14600000000002","1010","20"
"YT","2019","Juil","473,36500000000001","948","6"
"YT","2019","AoÃ»t","496,42399999999998","1042","14"
"YT","2019","Sept","475,423","962","11"
"YT","2019","Oct","544,75","1126","23"
"YT","2019","Nov","518,31200000000001","1079","30"
"YT","2019","DÃ©c","414,73899999999998","804","31"
"EN-ADO","2019","Janv","438,94600000000003","852","13"
"EN-ADO","2019","FÃ©vr","423,40899999999999","803","15"
"EN-ADO","2019","Mars","579,83299999999997","1084","53"
"EN-ADO","2019","Avr","506,94600000000003","946","42"
"EN-ADO","2019","Mai","491,48599999999999","938","12"
"EN-ADO","2019","Juin","459,31099999999998","930","7"
"EN-ADO","2019","Juil","457,94099999999997","916","2"
"EN-ADO","2019","AoÃ»t","459,214","944","4"
"EN-ADO","2019","Sept","462,11599999999999","948","6"
"EN-ADO","2019","Oct","520,346","1053","6"
"EN-ADO","2019","Nov","462,22800000000001","898","9"
"EN-ADO","2019","DÃ©c","356,18400000000003","670","14"
"LC-ADO","2019","Janv","458,678","831","0"
"LC-ADO","2019","FÃ©vr","620,93600000000004","1151","0"
"LC-ADO","2019","Mars","643,62099999999998","1231","1"
"LC-ADO","2019","Avr","654,97199999999998","1259","1"
"LC-ADO","2019","Mai","704,75","1320","0"
"LC-ADO","2019","Juin","610,64099999999996","1199","0"
"LC-ADO","2019","Juil","365,58800000000002","705","0"
"LC-ADO","2019","AoÃ»t","596,11000000000001","1210","0"
"LC-ADO","2019","Sept","629,29200000000003","1337","0"
"LC-ADO","2019","Oct","721,84900000000005","1445","25"
"LC-ADO","2019","Nov","569,50300000000004","1173","2"
"LC-ADO","2019","DÃ©c","574,03800000000001","1150","1"
"GR-ADO","2019","Janv","203,768","394","0"
"GR-ADO","2019","FÃ©vr","275,541","513","0"
"GR-ADO","2019","Mars","297,214","560","0"
"GR-ADO","2019","Avr","296,45100000000002","574","0"
"GR-ADO","2019","Mai","236,32400000000001","450","0"
"GR-ADO","2019","Juin","246,42099999999999","468","0"
"GR-ADO","2019","Juil","214,595","390","0"
"GR-ADO","2019","AoÃ»t","213,21700000000001","417","0"
"GR-ADO","2019","Sept","331,58600000000001","674","1"
"GR-ADO","2019","Oct","386,37","806","0"
"GR-ADO","2019","Nov","288,30799999999999","579","0"
"GR-ADO","2019","DÃ©c","283,21899999999999","591","0"
"GG-ADO","2019","Janv","333,34800000000001","671","41"
"GG-ADO","2019","FÃ©vr","350,185","678","51"
"GG-ADO","2019","Mars","377,358","770","42"
"GG-ADO","2019","Avr","396,59800000000001","775","37"
"GG-ADO","2019","Mai","471,52999999999997","915","38"
"GG-ADO","2019","Juin","357,92599999999999","690","52"
"GG-ADO","2019","Juil","260,16399999999999","508","35"
"GG-ADO","2019","AoÃ»t","330,97800000000001","646","52"
"GG-ADO","2019","Sept","364,31299999999999","730","42"
"GG-ADO","2019","Oct","374,17000000000002","756","38"
"GG-ADO","2019","Nov","353,12099999999998","685","36"
"GG-ADO","2019","DÃ©c","274,55799999999999","553","29"
"YT-ADO","2019","Janv","133,935","254","2"
"YT-ADO","2019","FÃ©vr","139,54599999999999","289","0"
"YT-ADO","2019","Mars","186,12","357","0"
"YT-ADO","2019","Avr","176,458","355","0"
"YT-ADO","2019","Mai","213,50299999999999","432","1"
"YT-ADO","2019","Juin","153,93899999999999","311","0"
"YT-ADO","2019","Juil","110,63800000000001","204","0"
"YT-ADO","2019","AoÃ»t","185,011","362","4"
"YT-ADO","2019","Sept","180,18899999999999","350","0"
"YT-ADO","2019","Oct","167,637","340","1"
"YT-ADO","2019","Nov","176,37799999999999","355","2"
"YT-ADO","2019","DÃ©c","141,93299999999999","257","2"
"MC-ADO","2019","Janv","384,99099999999999","702","6"
"MC-ADO","2019","FÃ©vr","391,69","717","7"
"MC-ADO","2019","Mars","568,03899999999999","1070","2"
"MC-ADO","2019","Avr","522,69600000000003","987","4"
"MC-ADO","2019","Mai","471,577","886","0"
"MC-ADO","2019","Juin","510,59399999999999","922","0"
"MC-ADO","2019","Juil","548,39599999999996","972","0"
"MC-ADO","2019","AoÃ»t","604,36599999999999","1138","1"
"MC-ADO","2019","Sept","482,91800000000001","904","1"
"MC-ADO","2019","Oct","573,11800000000005","1098","2"
"MC-ADO","2019","Nov","524,00999999999999","990","1"
"MC-ADO","2019","DÃ©c","444,279","802","8"
