ï»¿Age_de_lenfant,Nombre_denfants_beneficiaires_en_1975,Nombre_denfants_beneficiaires_en_1980,Nombre_denfants_beneficiaires_en_1985,Nombre_denfants_beneficiaires_en_1990,Nombre_denfants_beneficiaires_en_1995,Nombre_denfants_beneficiaires_en_2000,Nombre_denfants_beneficiaires_en_2005,Nombre_denfants_beneficiaires_en_2010,Nombre_denfants_beneficiaires_en_2015,Nombre_denfants_beneficiaires_en_2020
Moins_de_1 an,86634,94788,84054,96523,87156,47856,73944,85970,84380,77530
1_an,89535,97636,87724,91036,89891,50947,72374,87870,86280,81030
2_ans,88084,93513,87418,86306,92324,52481,72790,87280,87550,81420
3_ans,87042,93992,90328,83843,96500,54792,72439,84640,87910,83290
4_ans,92544,92965,94401,85559,97419,58523,73807,81760,88640,87080
5_ans,94209,92123,95863,87146,97948,60530,72702,77800,89140,87870
6_ans,95922,88252,97142,89350,92286,61816,73904,75230,90430,89250
7_ans,96904,86660,93143,88839,87666,62814,76418,75250,89370,90170
8_ans,100034,85279,93343,91842,85183,65153,80655,74610,86370,90870
9_ans,108101,90475,92564,95908,86929,65990,85330,75710,83340,91040
10_ans,118850,92273,91481,97262,88597,66101,88249,74560,79120,91580
11_ans,126570,93745,87871,98436,90679,62519,90467,75570,76450,92280
12_ans,129321,94870,86141,94495,90097,58565,92570,78010,76370,91360
13_ans,130672,97965,84786,94605,93016,56430,95967,81560,75530,88020
14_ans,131876,105860,89750,93574,96805,56227,96965,86110,76550,84730
15_ans,133119,116064,91490,92457,97958,56141,97411,88730,75220,79950
16_ans,134341,123688,92834,88626,98946,55963,91886,90840,76060,77600
17_ans,128762,125495,93428,86401,94619,54851,86688,92175,77823,76941
