ï»¿Nombre_de_familles_beneficiaires,Nombre_de_familles_beneficiaires_en_1975,Nombre_de_familles_beneficiaires_en_1980,Nombre_de_familles_ beneficiaires_en _1985,Nombre_de_familles_beneficiaires_en_1990,Nombre_de_familles_beneficiaires_en_1995,Nombre_de_familles_beneficiaires_en_2000,Nombre_de_familles_beneficiaires_en_2005,Nombre_de_familles_beneficiaires_en_2010,Nombre_de_familles_beneficiaires_en_2015,Nombre_de_familles_beneficiaires_en_2020
1_enfant,355433,408963,417528,432806,441521,272091,408890,409400,382800,371900
2_enfants,323850,368676,374565,384031,380771,205056,344574,349200,356100,377300
3_enfants,155526,135503,116298,111442,112471,83175,93773,96100,107100,117800
4_enfants_ou_plus,107346,48403,27609,24910,28598,26631,25871,27723,31905,37140
