ï»¿Type_de_familles,Nombre_enfants_dans_la_famille,Moy_mens_AF_pour_fam_revenu_familial_moins_25k,Moy_mens_AF_pour_fam_revenu_familial_entre_25k_et_49999,Moy_mens_AF_pour_fam_revenu_familial_entre_50k_et_74999,Moy_mens_AF_pour_fam_revenu_familial_75k_plus
Familles_biparentales,1,209,208,163,85
Familles_biparentales,2,417,416,370,207
Familles_biparentales,3,625,622,573,370
Familles_biparentales,4_ou_plus,952,931,846,587
Familles_monoparentales,1,262,233,157,91
Familles_monoparentales,2,440,375,274,184
Familles_monoparentales,3,642,553,422,303
Familles_monoparentales,4_ou_plus,916,786,601,454
