CODEID,DT_DEM,DEMANDEUR,DEMANDE,DESCRIP,ÉTAT,URL,DT_SUIVI
20131117001,2013-11-17,Eric L.,Évaluations,Données des évaluations foncières,,,
20131117002,2013-11-17,Eric L.,Taxes,Données des taxes municipales,,,
20131117003,2013-11-17,Eric L.,Appels d'offres,Données liées aux appels d'offres de la Ville de Sherbrooke,,,
20131117004,2013-11-17,Eric L.,Consommation et production énergétique,Données d'Hydro-Sherbrooke sur la consommation et la production énergétique,,,
20131118001,2013-11-18,Peter S.,Entraves à la mobilité urbaine,Données sur les chantiers entravant la mobilité urbaine, notamment l'endroit, la durée et le type d'entrave (circulation automobile, piétonnière, cyclable),,,
20131118002,2013-11-18,Steve T.,Lien WFS,Lien WFS pour faire des requêtes spatiales sans que l'usager ait à télécharger les données.,,,
20131123001,2013-11-23,Jean-François R.,Égoûts et aqueduc,Réseau d'égouts (sanitaire, pluviale) et aqueduc,,,
20131123002,2013-11-23,Jean-François R.,Débits permis dans les points de rejet,Plan directeur pour identifier les débits permis dans diverse points de rejet.,,,
20131123002,2013-11-23,Jean-François R.,Normes de conception,Normes de conception de la Ville de Sherbrooke pour égouts et bassin de rétention.,,,
20131123003,2013-11-23,Jean-François R.,Pluviomètres,Pluviomètres disponible à la Ville mais non accessible par le site d'Environnement Canada,,,
20131202001,2013-12-02,Jonathan,Cadastres,Cadastres de la Ville, particulièrement en format graphique SHP. Cela pourrait grandement faciliter une recherche dans le fichier du rôle d'évaluation pour un lot n'ayant pas d'adresse civique entre autres.,,,
20140224001,2014-02-24,Yannick D.,Horaires des autobus de la STS,Horaires des autobus de la STS,Libéré,http://donnees.ville.sherbrooke.qc.ca/dataset/transpo,2014-02-20
