Sub_ID,ORG_ID,ORG_Nom,ORG_Type,Ben_type,Ben_Nom,Ben_Mun,Sub_Date,Sub_type,Sub_Description,Copie_0,Premier_Marche,Format,Categorie_Production,Langue_VO,Emission_Enfant,Pays_ou_prov_coproduction,Nbre_episodes,Duree_minutage,Nbre_episodes_et_duree,Majoritaire,Copro_Oui_Non
SUB_SODEC_CRICIN,539.00,SODEC,Public,Entreprise,Films IDL (Sac de billes) inc.,Montr̩al,2017-04-07,Cr̩dit d'imp̫t,Un sac de billes,2016-08-12,Salles,Long M̩trage,Fiction, Fran̤ais,FAUX,France,1,100,(1 x 100),Non,Oui
SUB_SODEC_CRICIN,539.00,SODEC,Public,Entreprise,6732500 Canada inc.,Gatineau,2017-06-05,Cr̩dit d'imp̫t,Vert d'envie!- cycle II,2017-03-31,T̩l̩vision,S̩rie,Documentaire, Fran̤ais,FAUX,,10,30,(10 x 30),Non,Non
SUB_SODEC_CRICIN,539.00,SODEC,Public,Entreprise,9044-3946 Qu̩bec inc.,Montr̩al,2017-06-26,Cr̩dit d'imp̫t,"Un homme de danse (ex:Vincent Warren, la vie la danse)",2016-03-01,Salles,Long M̩trage,Documentaire, Fran̤ais,FAUX,,1,83,(1 x 83),Non,Non
SUB_SODEC_CRICIN,539.00,SODEC,Public,Entreprise,Saturne 5 inc.,Qu̩bec,2017-04-12,Cr̩dit d'imp̫t,De par chez nous (Titre ant̩rieur : Gens du pays),2017-01-31,T̩l̩vision,S̩rie,Documentaire, Fran̤ais,FAUX,,13,30,(13 x 30),Non,Non
SUB_SODEC_CRICIN,539.00,SODEC,Public,Entreprise,Attraction Images Productions II inc.,Montr̩al,2017-05-05,Cr̩dit d'imp̫t,Truck non stop - cycle II,2017-01-31,T̩l̩vision,S̩rie,Documentaire, Fran̤ais,FAUX,,10,30,(10 x 30),Non,Non
SUB_SODEC_CRICIN,539.00,SODEC,Public,Entreprise,Attraction Images Productions II inc.,Montr̩al,2017-04-06,Cr̩dit d'imp̫t,Belles ordures (titre ant̩rieur: Chasseurs de vidanges),2017-04-03,T̩l̩vision,S̩rie,Documentaire, Fran̤ais,FAUX,,10,30,(10 x 30),Non,Non
SUB_SODEC_CRICIN,539.00,SODEC,Public,Entreprise,Attraction Images Productions III inc.,Montr̩al,2017-04-03,Cr̩dit d'imp̫t,"Challenge, Le",2016-07-12,T̩l̩vision,S̩rie,Vari̩t̩s, Fran̤ais,FAUX,,10,3,(10 x 3),Non,Non
SUB_SODEC_CRICIN,539.00,SODEC,Public,Entreprise,9249-7189 Qu̩bec inc.,Montr̩al,2017-05-17,Cr̩dit d'imp̫t,Mon Yiddish papi,2017-03-17,Salles,Court M̩trage,Animation, Fran̤ais,FAUX,,1,8,(1 x 8),Oui,Oui
SUB_SODEC_CRICIN,539.00,SODEC,Public,Entreprise,Attraction Images Productions II inc.,Montr̩al,2017-04-06,Cr̩dit d'imp̫t,Rapides et dangereuses (titre ant̩rieur: Fast et furieuses),2017-04-03,T̩l̩vision,S̩rie,Documentaire, Fran̤ais,FAUX,,10,30,(10 x 30),Non,Non
SUB_SODEC_CRICIN,539.00,SODEC,Public,Entreprise,Rivage 3 inc.,Mont-Saint-Hilaire,2017-04-07,Cr̩dit d'imp̫t,Du haut des airs,2015-08-19,T̩l̩vision,S̩rie,Magazine, Fran̤ais,FAUX,,8,30,(8 x 30),Non,Non
