Type;AnneeSource;Nom;FGDB;SHP
Extraction automatique RNCan;2015;Autobuilding_QC_2015_600014-47_MTM09;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_2015_600014-47_MTM09_fgdb.zip;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_2015_600014-47_MTM09_shp.zip
Extraction automatique RNCan;2013;Autobuilding_QC_R02_2013_F07_UG24;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_R02_2013_F07_UG24_fgdb.zip;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_R02_2013_F07_UG24_shp.zip
Extraction automatique RNCan;2013;Autobuilding_QC_R02_2013_F07_2451;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_R02_2013_F07_2451_fgdb.zip;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_R02_2013_F07_2451_shp.zip
Extraction automatique RNCan;2014;Autobuilding_QC_Mauricie_Sud;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_Mauricie_Sud_fgdb.zip;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_Mauricie_Sud_shp.zip
Extraction automatique RNCan;2014;Autobuilding_QC_Mauricie_Nord;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_Mauricie_Nord_fgdb.zip;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_Mauricie_Nord_shp.zip
Extraction automatique RNCan;2015;Autobuilding_QC_2015_600014-47_MTM08;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_2015_600014-47_MTM08_fgdb.zip;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_2015_600014-47_MTM08_shp.zip
Extraction automatique RNCan;2015;Autobuilding_QC_2015_600014-45_MTM09;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_2015_600014-45_MTM09_fgdb.zip;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_2015_600014-45_MTM09_shp.zip
Extraction automatique RNCan;2015;Autobuilding_QC_2015_600014-44_MTM09;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_2015_600014-44_MTM09_fgdb.zip;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_2015_600014-44_MTM09_shp.zip
Extraction automatique RNCan;2015;Autobuilding_QC_2015_600014-43_MTM09;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_2015_600014-43_MTM09_fgdb.zip;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_2015_600014-43_MTM09_shp.zip
Extraction automatique RNCan;2015;Autobuilding_QC_2015_600014-42_MTM09;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_2015_600014-42_MTM09_fgdb.zip;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_2015_600014-42_MTM09_shp.zip
