NO_SICOS,MTM8_X,MTM8_Y,LATITUDE,LONGITUDE
OBFT1011,263682.25305,5028076.47801,45.39142090,-74.02512880
OBFT1021,269635.27279,5028869.41566,45.39888024,-73.94915980
OBFT1031,276139.71261,5031801.47978,45.42556058,-73.86625080
OBFT1041,276134.50484,5036980.98164,45.47216724,-73.86661920
OBFT1051,286172.52441,5027088.92078,45.38349372,-73.73786450
OBFT1061,288177.91988,5040727.64499,45.50627169,-73.71271750
OBFT1071,284568.51493,5033591.52983,45.44196284,-73.75861380
OBFT1081,292223.95951,5039477.23235,45.49510467,-73.66090730
OBFT1091,296706.95325,5042938.33840,45.52631549,-73.60360580
OBFT1101,295391.34611,5047647.35200,45.56867228,-73.62053840
OBFT1111,294129.39218,5050470.94255,45.59406154,-73.63676750
OBFT1121,304883.31784,5054307.55830,45.62866626,-73.49893140
OBFT1131,303020.51691,5058999.55226,45.67088348,-73.52283920
OBFT1141,285416.74417,5057660.46702,45.65856569,-73.74872460
OBFT1151,294900.94274,5060945.37653,45.68832389,-73.62709130
OBFT1161,300083.29265,5055497.64375,45.63935890,-73.56050370
OBFT1211,290013.11870,5033103.71501,45.43770961,-73.68900260
OBFT1221,291535.89670,5036900.20005,45.47190271,-73.66964130
OBFT1231,295516.24129,5031638.09827,45.42461595,-73.61863550
OBFT1241,293978.32133,5036372.13029,45.46719301,-73.63839230
OBFT1251,288859.65899,5043880.29443,45.53465624,-73.70409570
OBFT1261,297312.21659,5035324.76112,45.45781198,-73.59574110
OBFT1271,295254.52734,5039717.01337,45.49731036,-73.62213670
OBFT1281,300289.99153,5043148.55849,45.52823953,-73.55773830
OBFT1291,294925.30460,5045161.17136,45.54629437,-73.62645890
OBFT1301,292878.87142,5047723.39377,45.56931803,-73.65272860
OBFT1311,298913.51017,5047466.31253,45.56708193,-73.57541230
OBFT1321,302291.04230,5047512.47048,45.56751765,-73.53214270
OBFT1331,303052.37406,5051266.24746,45.60129759,-73.52240250
OBFT1341,298815.56869,5056834.58500,45.65137919,-73.57678200
OBFT1351,304481.39232,5059139.65605,45.67214636,-73.50408930
OBFT1361,297114.86288,5049346.36327,45.58398166,-73.59848440
OBFT1401,276533.58979,5045647.49074,45.55016682,-73.86201480
OBFT1411,290910.94774,5041447.07012,45.51280513,-73.67776270
OBFT1431,299860.39007,5035559.81902,45.45994981,-73.56316180
OBFT1441,300109.80644,5039302.02376,45.49362563,-73.56000830
OBFT1461,280843.67750,5041119.71368,45.50958631,-73.80659390
OBFT1471,300364.61112,5046168.05685,45.55541055,-73.55681030
OBFT1481,295357.32716,5053005.25174,45.61688364,-73.62107790
OBFT1491,300171.00437,5051461.46378,45.60304098,-73.55934030
OBFT1501,293714.24206,5038914.67953,45.49006785,-73.64182690
OBFT1521,298981.65905,5042864.05511,45.52566976,-73.57448450
OBFT1531,269623.94213,5030962.71870,45.41771585,-73.94945390
OBFT1541,276974.59970,5034429.69763,45.44924394,-73.85573060
OBFT1551,275345.24702,5039375.58978,45.49368172,-73.87685690
OBFT1561,280841.03709,5039362.43631,45.49377370,-73.80654180
OBFT1571,279985.18416,5034264.17794,45.44786791,-73.81723440
OBFT1581,285673.31257,5039381.48955,45.49409433,-73.74471690
OBFT1591,293775.72328,5041729.81562,45.51540055,-73.64110360
OBFT1601,301500.61946,5049385.52237,45.58436865,-73.54228160
OBFT1611,298148.09548,5051946.55197,45.60738952,-73.58527910
