Production principale,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013
Grandes cultures,30,37,25,30,31
Horticulture,56,68,70,75,62
Laitière,227,183,194,199,178
Bovine,38,28,27,36,28
Porcine,30,15,17,16,16
Avicole,13,8,9,15,12
Ovine,22,23,20,14,5
Acériculture,21,26,20,15,29
Autres,29,39,18,26,21
