NOM_BATIMENT,USAGE,ADRESSE,SUPERFICIE,DATE_CREATION,LONGITUDE,LATITUDE 
,Résidentiel et commercial,133 Boulevard de L'Assomption,203.6,2013-01-01,-73.4816217009762,45.72759874973865
,Résidentiel et commercial,135 Boulevard de L'Assomption,100.04,2013-01-01,-73.48161767306412,45.727712417341884
,Résidentiel et commercial,137 Boulevard de L'Assomption,124.71,2013-01-01,-73.4816403120743,45.727889164475535
,Résidentiel et commercial,139 Boulevard de L'Assomption,153.5,2013-01-01,-73.48169055159221,45.72805482035629
,Résidentiel et commercial,59 Rue Augustin,124.94,2013-01-01,-73.4769112665347,45.72608955713546
,Résidentiel et commercial,61 Rue Augustin,171.13,2013-01-01,-73.47666385747945,45.72608640646693
,Résidentiel et commercial,63 Rue Augustin,137.15,2013-01-01,-73.47643095423139,45.72604190619628
,Résidentiel et commercial,81 Rue Augustin,126.64,2013-01-01,-73.47599862489399,45.72597830727962
,Résidentiel et commercial,83 Rue Augustin,118.52,2013-01-01,-73.47575546635112,45.7259554756011
,Résidentiel et commercial,85 Rue Augustin,130.32,2013-01-01,-73.47549828548033,45.725933037008005
,Résidentiel et commercial,207 Boulevard de La Rochelle,178.96,2013-01-01,-73.4752178684996,45.7259352486941
,Résidentiel et commercial,82 Rue Simard,128.68,2013-01-01,-73.47680213918376,45.72647320022899
,Résidentiel et commercial,84 Rue Simard,146.8,2013-01-01,-73.47657218131114,45.7264388299059
,Résidentiel et commercial,86 Rue Simard,132.28,2013-01-01,-73.47634155666769,45.726420424906564
,Résidentiel et commercial,88 Rue Simard,160.95,2013-01-01,-73.47610566066965,45.726382112981945
,Résidentiel et commercial,90 Rue Simard,94.28,2013-01-01,-73.4758685181951,45.726364248431075
,Résidentiel et commercial,92 Rue Simard,137.98,2013-01-01,-73.47566122873003,45.726342059272696
,Résidentiel et commercial,94 Rue Simard,160.63,2013-01-01,-73.47541755627373,45.72630245884013
,Résidentiel et commercial,96 Rue Simard,201.51,2013-01-01,-73.47517660406126,45.72626606559137
,Résidentiel et commercial,209 Boulevard de La Rochelle,180.63,2013-01-01,-73.47489030934415,45.72621669788226
,Résidentiel et commercial,12 Croissant de La Rochelle,145.74,2013-01-01,-73.47446407611335,45.72591269270148
,Résidentiel et commercial,14 Croissant de La Rochelle,181.38,2013-01-01,-73.47423421689028,45.7261240142011
,Résidentiel et commercial,16 Croissant de La Rochelle,126.88,2013-01-01,-73.47396259964239,45.7260810578793
,Résidentiel et commercial,18 Croissant de La Rochelle,147.6,2013-01-01,-73.47372631982459,45.726179598328386
,Résidentiel et commercial,20 Croissant de La Rochelle,180.44,2013-01-01,-73.47355764763812,45.72631466400581
,Résidentiel et commercial,22 Croissant de La Rochelle,182.67,2013-01-01,-73.4734857711045,45.72652153951889
,Résidentiel et commercial,24 Croissant de La Rochelle,183.57,2013-01-01,-73.47361509875115,45.72668851571503
,Résidentiel et commercial,212 Boulevard de La Rochelle,115.96,2013-01-01,-73.47340356231165,45.72689096135371
,Résidentiel et commercial,33 Rue Villebon,218.38,2013-01-01,-73.47312389432177,45.72618270386213
,Résidentiel et commercial,29 Rue Villebon,119.79,2013-01-01,-73.47292565503543,45.72632828637778
,Résidentiel et commercial,27 Rue Villebon,91.97,2013-01-01,-73.47281349682412,45.726439317808335
,Résidentiel et commercial,23 Rue Villebon,217.85,2013-01-01,-73.4725744732888,45.7266276230811
,Résidentiel et commercial,82 Rue Champigny,130.21,2013-01-01,-73.47262336374659,45.72700562891916
,Résidentiel et commercial,80 Rue Champigny,188.18,2013-01-01,-73.47238618815875,45.726914988463236
,Résidentiel et commercial,78 Rue Champigny,180.85,2013-01-01,-73.47213261928329,45.72680013108243
,Résidentiel et commercial,76 Rue Champigny,189.92,2013-01-01,-73.471909969296,45.72670265434323
,Résidentiel et commercial,74 Rue Champigny,185.08,2013-01-01,-73.47166702516523,45.72658940072042
,Résidentiel et commercial,21 Rue Villebon,223.9,2013-01-01,-73.47220587768116,45.72651319588801
,Résidentiel et commercial,17 Rue Villebon,184.5,2013-01-01,-73.47189533661923,45.72637307827297
,Résidentiel et commercial,11 Rue Villebon,216.67,2013-01-01,-73.47154699083518,45.72620791187882
,Résidentiel et commercial,90 Rue Raoul-Jobin,194.7,2013-01-01,-73.47207460414303,45.72602952945412
,Résidentiel et commercial,30 Rue Villebon,147.01,2013-01-01,-73.47245022194531,45.726189157179036
,Résidentiel et commercial,72 Rue Champigny,133.03,2013-01-01,-73.47143531630128,45.72651038862562
,Résidentiel et commercial,70 Rue Champigny,230.76,2013-01-01,-73.47118264785766,45.726392532447925
,Résidentiel et commercial,68 Rue Champigny,129.28,2013-01-01,-73.47096574331682,45.72631258629644
,Résidentiel et commercial,7 Rue Villebon,218.98,2013-01-01,-73.47120856782094,45.72606431911848
,Résidentiel et commercial,217 Rue Martigny,157.82,2013-01-01,-73.47084086072681,45.72594225986133
,Résidentiel et commercial,219 Rue Martigny,157.43,2013-01-01,-73.4706734340786,45.72612995640268
,Résidentiel et commercial,220 Rue Martigny,183.76,2013-01-01,-73.47006878970872,45.72604314962156
,Résidentiel et commercial,222 Rue Martigny,134.96,2013-01-01,-73.46986461140801,45.72624841345927
,Résidentiel et commercial,223 Rue Martigny,173.33,2013-01-01,-73.47029803568623,45.72651503474329
,Résidentiel et commercial,67 Rue Champigny,153.95,2013-01-01,-73.47062569148659,45.726641356708534
,Résidentiel et commercial,69 Rue Champigny,116.85,2013-01-01,-73.47083149788388,45.72671601057625
,Résidentiel et commercial,71 Rue Champigny,157.59,2013-01-01,-73.47109831168511,45.72684237214953
,Résidentiel et commercial,73 Rue Champigny,161.46,2013-01-01,-73.47134781378118,45.72694841215785
,Résidentiel et commercial,75 Rue Champigny,168.85,2013-01-01,-73.47156998684683,45.72702637010434
,Résidentiel et commercial,77 Rue Champigny,193.87,2013-01-01,-73.47180873727699,45.72712709987391
,Résidentiel et commercial,79 Rue Champigny,127.51,2013-01-01,-73.47202694396313,45.72721801777088
,Résidentiel et commercial,81 Rue Champigny,147.34,2013-01-01,-73.47229408471605,45.72733619102684
,Résidentiel et commercial,218 Boulevard de La Rochelle,180.93,2013-01-01,-73.4726126339929,45.72746097560149
,Résidentiel et commercial,220 Boulevard de La Rochelle,150.05,2013-01-01,-73.47245123638518,45.727575732882435
,Résidentiel et commercial,222 Boulevard de La Rochelle,149.2,2013-01-01,-73.47227730235353,45.72768186286165
,Résidentiel et commercial,224 Boulevard de La Rochelle,137.8,2013-01-01,-73.47206602664161,45.72779061541238
,Résidentiel et commercial,226 Boulevard de La Rochelle,151.61,2013-01-01,-73.47189109460234,45.727888778014346
,Résidentiel et commercial,228 Boulevard de La Rochelle,144.42,2013-01-01,-73.47176611005585,45.72802685191562
,Résidentiel et commercial,230 Boulevard de La Rochelle,159.52,2013-01-01,-73.4716405386509,45.7281690639104
,Résidentiel et commercial,214 Boulevard de La Rochelle,120.72,2013-01-01,-73.47324164839108,45.727040598879036
,Résidentiel et commercial,216 Boulevard de La Rochelle,138.05,2013-01-01,-73.47307650296146,45.72717785054346
,Résidentiel et commercial,67 Rue Simard,113.25,2013-01-01,-73.47811555429203,45.7269479020449
,Résidentiel et commercial,63 Rue Simard,106.36,2013-01-01,-73.47833299596074,45.726968803762844
,Résidentiel et commercial,59 Rue Simard,99.64,2013-01-01,-73.4785334575728,45.726993042310724
,Résidentiel et commercial,55 Rue Simard,115.27,2013-01-01,-73.47906966179181,45.727053123795464
,Résidentiel et commercial,49 Rue Simard,111.85,2013-01-01,-73.47930824899544,45.72708050327324
,Résidentiel et commercial,37 Rue Simard,152.75,2013-01-01,-73.48002148771411,45.72716964336566
,Résidentiel et commercial,31 Rue Simard,110.91,2013-01-01,-73.48026338915307,45.72719426773839
,Résidentiel et commercial,130 Boulevard de L'Assomption,169.97,2013-01-01,-73.48091975773892,45.72732475744998
,Résidentiel et commercial,140 Boulevard de L'Assomption,107.35,2013-01-01,-73.48106890130508,45.72782336333936
,Résidentiel et commercial,213 Rue de Capri,110.17,2013-01-01,-73.48042364237013,45.727542305573685
,Résidentiel et commercial,211 Rue de Capri,107.24,2013-01-01,-73.4801636567501,45.72751196351576
,Résidentiel et commercial,209 Rue de Capri,135.88,2013-01-01,-73.47994629191834,45.72748628934692
,Résidentiel et commercial,210 Rue Côté,107.8,2013-01-01,-73.47947212582841,45.72736789930031
,Résidentiel et commercial,211 Rue Gagnon,107.88,2013-01-01,-73.47898246637976,45.72730850826455
,Résidentiel et commercial,213 Rue Gagnon,108.98,2013-01-01,-73.47894648340673,45.72745893729897
,Résidentiel et commercial,215 Rue Gagnon,113.78,2013-01-01,-73.47891245114211,45.7276050545955
,Résidentiel et commercial,217 Rue Gagnon,115.02,2013-01-01,-73.47887897926985,45.72775025096153
,Résidentiel et commercial,212 Rue Côté,113.19,2013-01-01,-73.47943812360747,45.727516476139286
,Résidentiel et commercial,214 Rue Côté,107.54,2013-01-01,-73.47940163904504,45.72766537603108
,Résidentiel et commercial,216 Rue Côté,109.62,2013-01-01,-73.47936635680433,45.72781135904121
,Résidentiel et commercial,218 Rue Côté,106.11,2013-01-01,-73.47933282353192,45.7279587301368
,Résidentiel et commercial,220 Rue Côté,107.76,2013-01-01,-73.47929616834502,45.728104555853974
,Résidentiel et commercial,219 Rue Gagnon,114.19,2013-01-01,-73.47883939685896,45.72790279453036
,Résidentiel et commercial,221 Rue Gagnon,106.52,2013-01-01,-73.4788087633136,45.72804857450459
,Résidentiel et commercial,223 Rue Gagnon,123.62,2013-01-01,-73.47878479699615,45.72819078236881
,Résidentiel et commercial,225 Rue Gagnon,109.35,2013-01-01,-73.47874155608932,45.72833917764698
,Résidentiel et commercial,227 Rue Gagnon,109.78,2013-01-01,-73.4787070582618,45.72848646941973
,Résidentiel et commercial,217 Rue de Capri,188.98,2013-01-01,-73.48076917984089,45.72784938541643
,Résidentiel et commercial,142 Boulevard de L'Assomption,109.29,2013-01-01,-73.48108054107841,45.727958349927356
,Résidentiel et commercial,219 Rue de Capri,160.77,2013-01-01,-73.48072639654917,45.7280548528921
,Résidentiel et commercial,144 Boulevard de L'Assomption,110.65,2013-01-01,-73.4810945069521,45.72813381572246
,Résidentiel et commercial,221 Rue de Capri,109.65,2013-01-01,-73.4806830926743,45.72822986231975
,Résidentiel et commercial,146 Boulevard de L'Assomption,106.5,2013-01-01,-73.48108832663539,45.72828756292543
,Résidentiel et commercial,141 Boulevard de L'Assomption,130.17,2013-01-01,-73.48169234776522,45.72822767615708
,Résidentiel et commercial,148 Boulevard de L'Assomption,112.46,2013-01-01,-73.48107860392025,45.72844264928728
,Résidentiel et commercial,223 Rue de Capri,107.76,2013-01-01,-73.4806485766967,45.72838060776499
,Résidentiel et commercial,210 Rue Gagnon,129.64,2013-01-01,-73.47849014060863,45.727246138800204
,Résidentiel et commercial,212 Rue Gagnon,107.86,2013-01-01,-73.47846712226377,45.72739985203209
,Résidentiel et commercial,214 Rue Gagnon,109.46,2013-01-01,-73.47843033513537,45.727549689126704
,Résidentiel et commercial,216 Rue Gagnon,107.28,2013-01-01,-73.47839933549494,45.7276961080914
,Résidentiel et commercial,218 Rue Gagnon,110.86,2013-01-01,-73.47836474012333,45.727843731695636
,Résidentiel et commercial,220 Rue Gagnon,116.74,2013-01-01,-73.47833385999596,45.72798884282509
,Résidentiel et commercial,222 Rue Gagnon,111.77,2013-01-01,-73.47829412203636,45.72813700435613
,Résidentiel et commercial,224 Rue Gagnon,110.43,2013-01-01,-73.47826403700704,45.728283906361675
,Résidentiel et commercial,216 Rue de Capri,133.56,2013-01-01,-73.48027845571669,45.72788250804066
,Résidentiel et commercial,217 Rue Côté,113.85,2013-01-01,-73.47985519718947,45.727831955024534
,Résidentiel et commercial,218 Rue de Capri,111.03,2013-01-01,-73.48023154509322,45.72803233503953
,Résidentiel et commercial,219 Rue Côté,108.74,2013-01-01,-73.47982211852474,45.72798624952375
,Résidentiel et commercial,220 Rue de Capri,118.74,2013-01-01,-73.4802009375578,45.72818526698237
,Résidentiel et commercial,221 Rue Côté,106.61,2013-01-01,-73.47978493767712,45.72813707592476
,Résidentiel et commercial,222 Rue de Capri,110.4,2013-01-01,-73.4801665893058,45.72833608170824
,Résidentiel et commercial,223 Rue Côté,121.09,2013-01-01,-73.47975020957728,45.72828220838831
,Résidentiel et commercial,225 Rue Côté,111.74,2013-01-01,-73.4797156952001,45.728434423412516
,Résidentiel et commercial,224 Rue de Capri,109.35,2013-01-01,-73.48012711299405,45.728485445337746
,Résidentiel et commercial,225 Rue de Capri,114.04,2013-01-01,-73.48061239015523,45.72853460645896
,Résidentiel et commercial,150 Boulevard de L'Assomption,115.56,2013-01-01,-73.48106998931169,45.72860117534502
,Résidentiel et commercial,143 Boulevard de L'Assomption,179.38,2013-01-01,-73.48175512276192,45.72842074391609
,Résidentiel et commercial,145 Boulevard de L'Assomption,216.98,2013-01-01,-73.48178511523692,45.72863422565527
,Résidentiel et commercial,147 Boulevard de L'Assomption,143.15,2013-01-01,-73.48172644231505,45.72879503394232
,Résidentiel et commercial,151 Boulevard de L'Assomption,170.88,2013-01-01,-73.48171326948348,45.72899210099374
,Résidentiel et commercial,153 Boulevard de L'Assomption,130.41,2013-01-01,-73.48167896293042,45.72916135379223
,Résidentiel et commercial,159 Boulevard de L'Assomption,180.76,2013-01-01,-73.48160162595644,45.729335000297844
,Résidentiel et commercial,152 Boulevard de L'Assomption,111.58,2013-01-01,-73.4810599819967,45.72875333211536
,Résidentiel et commercial,227 Rue de Capri,112.07,2013-01-01,-73.48057456270224,45.728685606644845
,Résidentiel et commercial,229 Rue de Capri,117.53,2013-01-01,-73.48053796769656,45.72883673229118
,Résidentiel et commercial,231 Rue de Capri,110.26,2013-01-01,-73.48050424234874,45.72899009673799
,Résidentiel et commercial,154 Boulevard de L'Assomption,130.88,2013-01-01,-73.48103294911098,45.72892339271279
,Résidentiel et commercial,156 Boulevard de L'Assomption,117,2013-01-01,-73.48102600840681,45.7290919534063
,Résidentiel et commercial,38 Rue Cloutier,109.68,2013-01-01,-73.48097171071245,45.729346714520794
,Résidentiel et commercial,40 Rue Cloutier,109.69,2013-01-01,-73.48077520393366,45.72932426342899
,Résidentiel et commercial,233 Rue de Capri,110.54,2013-01-01,-73.48047101381596,45.729142710036946
,Résidentiel et commercial,235 Rue de Capri,129.82,2013-01-01,-73.4804275496862,45.729274133815686
,Résidentiel et commercial,226 Rue de Capri,111.67,2013-01-01,-73.48008998647177,45.7286350856657
,Résidentiel et commercial,227 Rue Côté,112.58,2013-01-01,-73.47968033861954,45.72858695520469
,Résidentiel et commercial,228 Rue de Capri,131.74,2013-01-01,-73.48006477221868,45.728785795013174
,Résidentiel et commercial,229 Rue Côté,111.39,2013-01-01,-73.47964454287667,45.72873696108904
,Résidentiel et commercial,230 Rue de Capri,118.09,2013-01-01,-73.48002257760514,45.72893504190378
,Résidentiel et commercial,231 Rue Côté,109.39,2013-01-01,-73.47961011086343,45.72888807021785
,Résidentiel et commercial,232 Rue de Capri,108.8,2013-01-01,-73.47998494288194,45.72908581100804
,Résidentiel et commercial,233 Rue Côté,117.9,2013-01-01,-73.47957138906928,45.72903957293704
,Résidentiel et commercial,222 Rue Côté,129.64,2013-01-01,-73.4792556107407,45.7282460720296
,Résidentiel et commercial,224 Rue Côté,110.19,2013-01-01,-73.47922896966915,45.72839853207216
,Résidentiel et commercial,226 Rue Côté,110.19,2013-01-01,-73.47919300407835,45.72854507207185
,Résidentiel et commercial,228 Rue Côté,108.17,2013-01-01,-73.47915969619211,45.728690818142546
,Résidentiel et commercial,230 Rue Côté,115.49,2013-01-01,-73.47912951792351,45.72883652837352
,Résidentiel et commercial,232 Rue Côté,126.94,2013-01-01,-73.4790953632395,45.728986459255594
,Résidentiel et commercial,234 Rue Côté,116.53,2013-01-01,-73.47905896921792,45.72912356612581
,Résidentiel et commercial,235 Rue Gagnon,118.98,2013-01-01,-73.47856804899106,45.72905925905972
,Résidentiel et commercial,233 Rue Gagnon,106.97,2013-01-01,-73.47860344437346,45.7289263906755
,Résidentiel et commercial,231 Rue Gagnon,121.08,2013-01-01,-73.47863820672822,45.72877519647171
,Résidentiel et commercial,229 Rue Gagnon,115.63,2013-01-01,-73.47866776706235,45.728635210737565
,Résidentiel et commercial,226 Rue Gagnon,111.12,2013-01-01,-73.4782250177184,45.7284309859597
,Résidentiel et commercial,229 Rue Chaumont,111.72,2013-01-01,-73.4777039597513,45.728522077492435
,Résidentiel et commercial,231 Rue Chaumont,111.65,2013-01-01,-73.47766861244568,45.72866804730876
,Résidentiel et commercial,233 Rue Chaumont,109.65,2013-01-01,-73.47763282134558,45.72881936203154
,Résidentiel et commercial,228 Rue Gagnon,113.49,2013-01-01,-73.47819015012762,45.728577497157886
,Résidentiel et commercial,230 Rue Gagnon,110.48,2013-01-01,-73.47815519930006,45.72872497588091
,Résidentiel et commercial,232 Rue Gagnon,111.92,2013-01-01,-73.47812295861259,45.72887001951593
,Résidentiel et commercial,234 Rue Gagnon,110.89,2013-01-01,-73.47809148651731,45.72900090403861
,Résidentiel et commercial,235 Rue Chaumont,114.94,2013-01-01,-73.47760244982668,45.728944288388135
,Résidentiel et commercial,234 Rue de Capri,109.53,2013-01-01,-73.47995282045036,45.729217446772786
,Résidentiel et commercial,235 Rue Côté,121.43,2013-01-01,-73.47954094038808,45.72916771834426
,Résidentiel et commercial,28 Rue Cloutier,122.35,2013-01-01,-73.48184603240828,45.72944221376778
,Résidentiel et commercial,79 Rue Caron,162.13,2013-01-01,-73.47661438758242,45.72848742261027
,Résidentiel et commercial,76 Rue Cloutier,105.54,2013-01-01,-73.47679922186255,45.72885554604398
,Résidentiel et commercial,78 Rue Cloutier,110.01,2013-01-01,-73.47656612735136,45.72883201640268
,Résidentiel et commercial,234 Rue Champigny,150.29,2013-01-01,-73.4758831227365,45.728935485593496
,Résidentiel et commercial,224 Rue Champigny,149.15,2013-01-01,-73.47520874388863,45.728542041501406
,Résidentiel et commercial,222 Rue Champigny,170.11,2013-01-01,-73.47496404277817,45.728443323767905
,Résidentiel et commercial,220 Rue Champigny,142.2,2013-01-01,-73.4747423794373,45.728353646203594
,Résidentiel et commercial,218 Rue Champigny,122.93,2013-01-01,-73.4745140568655,45.72824962963103
,Résidentiel et commercial,216 Rue Champigny,152.39,2013-01-01,-73.47429129536,45.728159290330225
,Résidentiel et commercial,214 Rue Champigny,166.2,2013-01-01,-73.47407441790313,45.72807138044762
,Résidentiel et commercial,212 Rue Champigny,176.51,2013-01-01,-73.47384326200691,45.72796668294498
,Résidentiel et commercial,210 Rue Champigny,170.75,2013-01-01,-73.47362800286221,45.72787486100356
,Résidentiel et commercial,208 Rue Champigny,172.01,2013-01-01,-73.47338271645262,45.72778816979362
,Résidentiel et commercial,206 Rue Champigny,146.02,2013-01-01,-73.4731629090461,45.72769062075635
,Résidentiel et commercial,37 Rue Cloutier,108.41,2013-01-01,-73.48086256888404,45.72968145951167
,Résidentiel et commercial,39 Rue Cloutier,112.94,2013-01-01,-73.4806573413043,45.72965641088193
,Résidentiel et commercial,41 Rue Cloutier,111.72,2013-01-01,-73.48043744454831,45.72963125056616
,Résidentiel et commercial,43 Rue Cloutier,147.6,2013-01-01,-73.48022945141798,45.72961686181284
,Résidentiel et commercial,45 Rue Cloutier,106.89,2013-01-01,-73.48001148417363,45.72958140711664
,Résidentiel et commercial,47 Rue Cloutier,111.39,2013-01-01,-73.479797210194,45.729557702052496
,Résidentiel et commercial,49 Rue Cloutier,108.55,2013-01-01,-73.4795837355599,45.72953404036293
,Résidentiel et commercial,51 Rue Cloutier,109.09,2013-01-01,-73.47937274117957,45.72950924814093
,Résidentiel et commercial,53 Rue Cloutier,118.27,2013-01-01,-73.47916224962546,45.72948164308595
,Résidentiel et commercial,55 Rue Cloutier,122.16,2013-01-01,-73.47895057882893,45.729455809328805
,Résidentiel et commercial,57 Rue Cloutier,109.32,2013-01-01,-73.47873236360306,45.72943350497226
,Résidentiel et commercial,59 Rue Cloutier,108.21,2013-01-01,-73.47851925421074,45.7294092995859
,Résidentiel et commercial,61 Rue Cloutier,111.7,2013-01-01,-73.47830459907189,45.729385044025705
,Résidentiel et commercial,63 Rue Cloutier,109.59,2013-01-01,-73.47809218862992,45.72935888684644
,Résidentiel et commercial,65 Rue Cloutier,107.43,2013-01-01,-73.4778787085052,45.72933490256844
,Résidentiel et commercial,67 Rue Cloutier,107.52,2013-01-01,-73.47766629025888,45.729309395785215
,Résidentiel et commercial,69 Rue Cloutier,107.42,2013-01-01,-73.47745158457595,45.72928410795341
,Résidentiel et commercial,71 Rue Cloutier,108.44,2013-01-01,-73.47723297052605,45.72925882191535
,Résidentiel et commercial,73 Rue Cloutier,110.33,2013-01-01,-73.47699644460306,45.72923431041873
,Résidentiel et commercial,75 Rue Cloutier,142.29,2013-01-01,-73.47677431989962,45.729197641626804
,Résidentiel et commercial,77 Rue Cloutier,112.35,2013-01-01,-73.47654131980553,45.72917981786812
,Résidentiel et commercial,236 Rue Champigny,111.08,2013-01-01,-73.47597677189901,45.72921487827815
,Résidentiel et commercial,235 Rue Benjamin-Moreau,252.6,2013-01-01,-73.47560006933976,45.729146917428295
,Résidentiel et commercial,237 Rue Benjamin-Moreau,156.72,2013-01-01,-73.47548768327032,45.729320627848146
,Résidentiel et commercial,88 Rue Clermont,140.89,2013-01-01,-73.4746012636611,45.72884777011442
,Résidentiel et commercial,84 Rue Clermont,159.26,2013-01-01,-73.47454172949668,45.72867593125399
,Résidentiel et commercial,80 Rue Clermont,161.85,2013-01-01,-73.47434213352362,45.72854865938466
,Résidentiel et commercial,76 Rue Clermont,130.78,2013-01-01,-73.47411645596054,45.72844656987408
,Résidentiel et commercial,72 Rue Clermont,128.39,2013-01-01,-73.47389192509247,45.728361189705986
,Résidentiel et commercial,68 Rue Clermont,120.14,2013-01-01,-73.47366853420495,45.728264326921106
,Résidentiel et commercial,64 Rue Clermont,139.22,2013-01-01,-73.47344382067604,45.7281845110134
,Résidentiel et commercial,60 Rue Clermont,144.18,2013-01-01,-73.47315999982312,45.72815788383662
,Résidentiel et commercial,56 Rue Clermont,154.66,2013-01-01,-73.4729240126404,45.728243175038116
,Résidentiel et commercial,52 Rue Clermont,158.64,2013-01-01,-73.47267905249534,45.72836784597925
,Résidentiel et commercial,48 Rue Clermont,151.41,2013-01-01,-73.47250149848853,45.72853966571572
,Résidentiel et commercial,221 Boulevard de La Rochelle,258.66,2013-01-01,-73.47282301218694,45.727874108835834
,Résidentiel et commercial,225 Boulevard de La Rochelle,184.84,2013-01-01,-73.47261413355992,45.728037431208456
,Résidentiel et commercial,227 Boulevard de La Rochelle,231.44,2013-01-01,-73.4721653249751,45.72826001139715
,Résidentiel et commercial,231 Boulevard de La Rochelle,174.1,2013-01-01,-73.47201116023489,45.72845401182933
,Résidentiel et commercial,233 Boulevard de La Rochelle,130.88,2013-01-01,-73.47188248984,45.72858962828527
,Résidentiel et commercial,232 Boulevard de La Rochelle,134.35,2013-01-01,-73.47150636402796,45.72831878319601
,Résidentiel et commercial,234 Boulevard de La Rochelle,147.33,2013-01-01,-73.47139414856171,45.72844466891761
,Résidentiel et commercial,236 Boulevard de La Rochelle,133.11,2013-01-01,-73.47125373885358,45.72859628990031
,Résidentiel et commercial,235 Boulevard de La Rochelle,146.27,2013-01-01,-73.47174847840941,45.7287584898385
,Résidentiel et commercial,238 Boulevard de La Rochelle,148.17,2013-01-01,-73.47114618550587,45.72872726310852
,Résidentiel et commercial,44 Rue Clermont,140.99,2013-01-01,-73.47255925422154,45.72871048132114
,Résidentiel et commercial,242 Rue François-Grenier,142.91,2013-01-01,-73.47212867999484,45.72914846414112
,Résidentiel et commercial,244 Rue François-Grenier,132.38,2013-01-01,-73.4720465320653,45.72928712517581
,Résidentiel et commercial,237 Boulevard de La Rochelle,146.33,2013-01-01,-73.47160988848393,45.72888406803524
,Résidentiel et commercial,239 Boulevard de La Rochelle,140.9,2013-01-01,-73.47148054364143,45.72902252367559
,Résidentiel et commercial,240 Boulevard de La Rochelle,142.53,2013-01-01,-73.4710112933259,45.72886286283099
,Résidentiel et commercial,242 Boulevard de La Rochelle,161.39,2013-01-01,-73.47088342971759,45.728986263005666
,Résidentiel et commercial,225 Rue Martigny,129.67,2013-01-01,-73.47011791540129,45.72668509178678
,Résidentiel et commercial,4 Rue Leroy,129.21,2013-01-01,-73.47040124931173,45.72685949157559
,Résidentiel et commercial,6 Rue Leroy,151.07,2013-01-01,-73.4706177218658,45.72694687176419
,Résidentiel et commercial,8 Rue Leroy,190.35,2013-01-01,-73.47083728181018,45.72706682481344
,Résidentiel et commercial,10 Rue Leroy,170.6,2013-01-01,-73.47107830197598,45.72716463438952
,Résidentiel et commercial,12 Rue Leroy,132.2,2013-01-01,-73.47131560294089,45.727272883237106
,Résidentiel et commercial,14 Rue Leroy,157.2,2013-01-01,-73.47152377672093,45.72735282226404
,Résidentiel et commercial,16 Rue Leroy,134.73,2013-01-01,-73.47160232583623,45.727564589308784
,Résidentiel et commercial,30 Rue Leroy,158.94,2013-01-01,-73.4705582761783,45.72865432955776
,Résidentiel et commercial,36 Rue Leroy,149.59,2013-01-01,-73.47012103748834,45.72909723864851
,Résidentiel et commercial,40 Rue Leroy,117.98,2013-01-01,-73.46985236190703,45.72938618159193
,Résidentiel et commercial,33 Rue Leroy,200.9,2013-01-01,-73.4696968787032,45.72890934650911
,Résidentiel et commercial,35 Rue Leroy,161.87,2013-01-01,-73.46956479953934,45.72905232245359
,Résidentiel et commercial,37 Rue Leroy,171.48,2013-01-01,-73.46940431099358,45.72921574420843
,Résidentiel et commercial,41 Rue Leroy,162.48,2013-01-01,-73.46913952590855,45.729531742237114
,Résidentiel et commercial,43 Rue Leroy,105.11,2013-01-01,-73.46899405167622,45.72968851839032
,Résidentiel et commercial,45 Rue Leroy,131.78,2013-01-01,-73.4688737505121,45.72982676708867
,Résidentiel et commercial,88 Rue Justin-Mercure,133.7,2013-01-01,-73.47063523558985,45.72737949182522
,Résidentiel et commercial,80 Rue Justin-Mercure,161.76,2013-01-01,-73.47003749226509,45.727995414365175
,Résidentiel et commercial,68 Rue Justin-Mercure,163.05,2013-01-01,-73.46916712079526,45.72889927107674
,Résidentiel et commercial,66 Rue Justin-Mercure,173.84,2013-01-01,-73.46902716030802,45.72906262844666
,Résidentiel et commercial,64 Rue Justin-Mercure,102.58,2013-01-01,-73.46886730013456,45.729231751588806
,Résidentiel et commercial,62 Rue Justin-Mercure,171.06,2013-01-01,-73.46872442309972,45.72937576291949
,Résidentiel et commercial,60 Rue Justin-Mercure,167.14,2013-01-01,-73.46846752211077,45.72952449751149
,Résidentiel et commercial,58 Rue Justin-Mercure,220.23,2013-01-01,-73.46815131138955,45.72947118871769
,Résidentiel et commercial,89 Rue Justin-Mercure,158.79,2013-01-01,-73.47020054360118,45.72717720966857
,Résidentiel et commercial,229 Rue Martigny,168.11,2013-01-01,-73.46983186673516,45.72700545661487
,Résidentiel et commercial,231 Rue Martigny,159.21,2013-01-01,-73.46969151083694,45.72714964454264
,Résidentiel et commercial,87 Rue Justin-Mercure,163.7,2013-01-01,-73.47006804310253,45.727342469129084
,Résidentiel et commercial,85 Rue Justin-Mercure,179.47,2013-01-01,-73.46991658159364,45.72749721842463
,Résidentiel et commercial,233 Rue Martigny,126.82,2013-01-01,-73.46949473382558,45.727323725366034
,Résidentiel et commercial,235 Rue Martigny,158.31,2013-01-01,-73.46935664801835,45.72749368835856
,Résidentiel et commercial,237 Rue Martigny,172.32,2013-01-01,-73.46919913103574,45.72762805974812
,Résidentiel et commercial,83 Rue Justin-Mercure,204.81,2013-01-01,-73.46977137549052,45.72763801762707
,Résidentiel et commercial,239 Rue Martigny,128.16,2013-01-01,-73.46903198860473,45.72780137417056
