ï»¿ID,LONGUEUR,TYPE,DATE_CREATION,DATE_MODIFICATION,MUNICIPALITE,GEOM
1001904,8,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001905,5,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001906,10,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001907,8,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001910,78,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001912,2,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001913,13,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001914,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001915,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001917,6,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001918,4,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001919,27,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001920,85,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001921,93,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001922,30,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001923,21,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001924,14,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001925,24,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001926,7,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001927,26,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001928,50,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001930,66,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001932,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001937,94,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001938,11,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001939,6,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001941,9,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001942,5,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001943,297,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001944,108,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001946,67,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001948,203,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001949,11,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001951,23,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001952,41,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001953,122,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001954,87,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001955,32,1,2013-11-18,2023-03-29,Repentigny,Ligne
1001956,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001959,162,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001963,164,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001964,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001965,277,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001966,13,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001967,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001968,311,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001969,9,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001970,36,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001971,11,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001972,138,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001973,41,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001974,10,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001975,143,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001980,9,1,2013-11-18,2013-11-18,Repentigny,Ligne
1001984,59,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001985,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001986,178,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001988,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001989,171,1,2013-11-18,2023-04-04,Repentigny,Ligne
1001992,18,1,2013-11-18,2023-03-29,Repentigny,Ligne
1001993,14,1,2013-11-18,2023-03-29,Repentigny,Ligne
1001994,23,1,2013-11-18,2023-03-29,Repentigny,Ligne
1001995,123,1,2013-11-18,2023-03-29,Repentigny,Ligne
1001996,15,1,2013-11-18,2023-03-29,Repentigny,Ligne
1001998,114,1,2013-11-18,2023-03-29,Repentigny,Ligne
1001999,14,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002000,13,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002001,6,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002002,25,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002003,72,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002004,52,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002005,12,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002006,14,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002007,61,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002008,14,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002009,73,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002013,1,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002014,113,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002015,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002016,14,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002021,15,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002022,15,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002023,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002024,189,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002025,81,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002026,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002028,362,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002029,15,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002030,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002031,180,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002032,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002033,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002034,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002035,48,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002036,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002037,15,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002038,14,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002039,464,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002040,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002042,39,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002043,44,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002044,133,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002045,61,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002047,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002048,27,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002049,191,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002050,109,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002051,146,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002052,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002053,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002054,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002055,13,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002056,50,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002058,105,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002059,18,1,2013-11-18,2023-04-04,Repentigny,Ligne
