ï»¿OBJECTID,MUNICIPALITE,HYDRONYME,SUPERFICIE,SHAPE.STArea(),SHAPE.STLength()
1,86042,,6560.50005,6560.50005,383.000644940441
2,86042,,9348,9348,416.934956574406
3,86042,,4605,4605,371.40275840222
4,86042,,4631.5,4631.5,338.458572061546
5,86042,,30678.9999,30678.9999,1802.27128961184
6,86042,,13406,13406,621.445427289257
7,86042,,2067,2067,201.24398563733
8,86042,,849,849,167.39932121665
9,86042,,1804,1804,172.659434028131
10,86042,,1442.5,1442.5,194.416245238463
11,86042,,5863,5863,448.562496127927
12,86042,,6977.00035,6977.00035,369.251341967777
13,86042,,1508.49945,1508.49945,242.926184433747
14,86042,,654.5,654.5,113.353271547874
15,86042,,1499,1499,215.767157920751
16,86042,,716,716,128.783270610624
17,86042,,620,620,127.499697931614
18,86042,,5835,5835,414.867499314797
19,86042,,226242.0001,226242.0001,2635.01986044863
20,86042,Lac du SÃ©nateur,204068.0002,204068.0002,3052.79963943522
21,86042,,5606.4999,5606.4999,416.377632575266
22,86042,Lac Ãdouard,14762.5005,14762.5005,722.909476826039
23,86042,,8057.9996,8057.9996,348.966617936473
24,86042,,1971,1971,218.745139842917
25,86042,,15648,15648,634.412569146362
26,86042,,7016,7016,574.656117075336
27,86042,,23934.5,23934.5,740.905030889669
28,86042,,1416,1416,157.435651400088
29,86042,,2231.5,2231.5,247.901787069127
30,86042,,12861.5,12861.5,481.822450795581
31,86042,,893,893,144.84552982279
32,86042,Lac SÃ©guin,289071.01810158,289071.018101575,4355.69415299274
33,86042,,72990.49855,72990.49855,1422.31908983763
34,86042,,725,725,99.8242878860142
35,86042,,601.5,601.5,101.924685099645
36,86042,,5202.5,5202.5,349.145311089244
37,86042,,792.5,792.5,170.380072166456
38,86042,,1432.49985,1432.49985,270.699125984139
39,86042,,1069.29108184,1069.291081835,230.416462651426
40,86042,,55309.58135358,55309.58135358,3024.14476331958
41,86042,,29243.32079876,29243.320798755,1145.44153104509
42,86042,,18568.18640502,18568.18640502,796.815597210132
43,86042,,4701.21496987,4701.214969875,362.482696843147
44,86042,,330.41375,330.41375,73.1260578042799
45,86042,,448.25138905,448.25138905,105.332605637948
46,86042,,32.84158293,32.841582935,26.6988122532512
47,86042,,1125,1125,195.820997395376
48,86042,,3869,3869,319.345411752285
49,86042,,983.5,983.5,132.570686776931
50,86042,,7300.41769642,7300.41769642,442.117357496342
51,86042,,6387.5,6387.5,323.20180532714
52,86042,,6026.5,6026.5,378.43208648946
53,86042,,3263.5,3263.5,344.507606806619
54,86042,RiviÃ¨re Dufault,230655.06535928,230655.065359275,22410.8055108775
55,86042,,12020.5,12020.5,611.914663983363
56,86042,,4294,4294,288.20102255068
57,86042,,14871.9994,14871.9994,619.056540391275
58,86042,,5150.5,5150.5,521.698305059832
59,86042,,809.5,809.5,183.743629936143
60,86042,,2013.5,2013.5,212.362368746525
61,86042,,685,685,111.446246580613
62,86042,,971,971,125.407476308943
63,86042,,2315,2315,195.970431946931
64,86042,,3830.5,3830.5,319.618865143058
65,86042,Lac Pelletier,3156909.3279632,3156909.3279632,18734.8387019965
66,86042,,4004.5,4004.5,346.883223037425
67,86042,,738.5,738.5,111.884189840836
68,86042,,4420.5,4420.5,392.337828879668
69,86042,,6215.5,6215.5,527.700411456778
70,86042,,7047.48716287,7047.48716287,357.352569236613
71,86042,Lac de la Vase,406732.99985,406732.99985,3418.81068454033
72,86042,,3796,3796,694.764801628698
73,86042,,6727,6727,546.070842912318
74,86042,,1128,1128,128.445883048285
75,86042,,7675,7675,365.803007053835
76,86042,,3847.5,3847.5,266.01680045675
77,86042,,29833.5,29833.5,1446.77390576683
78,86042,Lac Drolet,121523,121523,3040.10989475688
79,86042,,9885.98715,9885.98715,463.545318370894
80,86042,,505812.4993,505812.4993,4140.35494495061
81,86042,,2274.5,2274.5,254.983725911847
82,86042,,18546.49985,18546.49985,621.453979893627
83,86042,,11609.99975,11609.99975,423.429773771769
84,86042,,5421.5,5421.5,268.335838758944
85,86042,,7627.5004,7627.5004,365.850098781737
86,86042,,1925.5003,1925.5003,196.439624802083
87,86042,,30482.9929,30482.9929,879.871714007957
88,86042,,14185.5,14185.5,496.397261447897
89,86042,,1842,1842,198.465109579361
90,86042,,1851,1851,182.164019439845
91,86042,,3231.5,3231.5,253.192440129594
92,86042,,1096,1096,136.025484468196
93,86042,,1593.5,1593.5,165.126028796862
94,86042,,15853.5,15853.5,906.819328555523
95,86042,,1178.5,1178.5,165.850353165266
96,86042,,3270.5,3270.5,272.873810756808
97,86042,,42.1867082,42.186708195,32.4262412980711
98,86042,,26419.50005,26419.50005,1033.70136167004
99,86042,,655,655,123.503830437596
100,86042,,3284.5,3284.5,242.391552370182
101,86042,,8931.48895,8931.48895,370.364049230491
102,86042,,3867.50105,3867.50105,264.491965839396
103,86042,Ruisseau Marlon,104010.11509591,104010.11509591,6575.59111646765
104,86042,,646.5,646.5,108.93337848296
105,86042,,704.5,704.5,123.760765874489
106,86042,,7861,7861,403.838925496271
107,86042,,1506.99994074,1506.999940735,181.582493852987
108,86042,,8154,8154,511.538299424155
109,86042,,1481.5,1481.5,160.660122882528
110,86042,,13713.5,13713.5,531.981375834795
111,86042,,927,927,145.705494230894
112,86042,,18587,18587,731.387925369778
113,86042,,1969.5,1969.5,193.620061727863
114,86042,,1903,1903,259.975034582183
115,86042,,40317,40317,820.613349852372
116,86042,,879.5,879.5,122.202575718229
