Id_Carriere,Nom,Type,Description,URL,Arrondissement
10,Carrière No 10,Carrière,Rapport géologique,https://drive.google.com/file/d/1slNc6Qj_XUWrQ4OdLHJVk6v8k-2f-ybv/view?usp=sharing,Pierrefonds — Roxboro
11,Carrière No 11,Carrière,Rapport géologique,https://drive.google.com/file/d/1XYFF95xtidFAeLH8XVSds187g3pOwsVN/view?usp=sharing,Pierrefonds — Roxboro
14,Carrière No 14,Carrière,Rapport géologique,https://drive.google.com/file/d/1ejvpRtB3iNW0LnqlMmxByPfm9ryajXUs/view?usp=sharing,Lachine
15,Carrière No 15,Carrière,Rapport géologique,https://drive.google.com/file/d/1Z509X_4kFalWpln2HOlqkmKeGBVoY7Xr/view?usp=sharing,Ville-Marie
16,Carrière No 16,Carrière,Rapport biogaz 1994,https://drive.google.com/file/d/1qrwzzbIL1l6Ah8n0c4__z9mlCaApgKHk/view?usp=sharing,Ville-Marie
16,Carrière No 16,Carrière,Rapport géologique 1,https://drive.google.com/file/d/1kkRbt_C4A3t_RDktn9gYnwo4B02_b54e/view?usp=sharing,Ville-Marie
16,Carrière No 16,Carrière,Rapport géologique 2,https://drive.google.com/file/d/1AwJ6pEMhp1-Fl25fo_IZWOdiwA25ix86/view?usp=sharing,Ville-Marie
17,Carrière No 17,Carrière,Rapport biogaz 1994,https://drive.google.com/file/d/1qrwzzbIL1l6Ah8n0c4__z9mlCaApgKHk/view?usp=sharing,Côte-des-Neiges — Notre-Dame-de-Grâce
17,Carrière No 17,Carrière,Rapport géologique,https://drive.google.com/file/d/1OC6TiYTXjQmKgGAJRH-a41kAuvdtHORj/view?usp=sharing,Côte-des-Neiges — Notre-Dame-de-Grâce
18,Carrière No 18,Carrière,Rapport biogaz 1994,https://drive.google.com/file/d/1qrwzzbIL1l6Ah8n0c4__z9mlCaApgKHk/view?usp=sharing,Côte-des-Neiges — Notre-Dame-de-Grâce
