"Soum.","Date d'annonce","Date d'ouverture","Mois de l'ouverture","No. GDD","Catégorie de travaux","4 Catégories 
Analyse de marché","Nature de travaux","Description","Arrondissement","Chargé de projet","Estimé
DGPEC","Estimé externe","Estimé DEC ou EXT 'TOTAL (B)","Adjudicataire","Valeur de la soumission retenue
(C)","% écart

(C-B)/B","Nbs de soum.","% écart

(moyenne-B)/B","% écart

(plus haute-B)/B","Moyenne des soumissions","Plus haute soumission"
286601,41610,2014-01-15,"janvier",,"Béton","Pavage","Reconstruction de la fondation et du revêtement bitumineux, construction de bordures de béton, installation d’une glissière de sécurité ","Piste cyclable de la Vérendrye du pont pour piéton Crawford au pont pour piéton Claude-Brune)","Verdun","Louis Beauchemin ","224187,26",,"224187,26","Entreprise J. Piccioni inc.","155004,7","-0,31",12,"0,19","0,67","266394,78",373355
214707,41617,2014-01-15,"janvier",,"Égout/Aqueduc","Égout/Aqueduc","Reconstruction de conduites d’égout unitaire (combiné), de conduites d’eau secondaire, construction d’un égout sanitaire, réaménagement géométrique incluant des travaux de reconstruction de trottoirs, de fourniture et de pose de bordures et pavés de granite, de pavés de béton, de travaux de feux de signalisation et d’éclairage ","là où requis, dans les rues Ottawa, De Nazareth et Wellington. - Lots 1B, 6D, 15, 19 et 21 - Projet Bonaventure  ─ ","Ville-Marie et Le Sud-Ouest","François Hubert","12970112,03",,"12970112,03","Michaudville","12953708,56",0,3,"0,08","0,14","13945615,12","14741629,29"
214708,41617,2014-01-15,"janvier",,"Égout/Aqueduc","Égout/Aqueduc","Reconstruction d'un égout collecteur, d'une conduite d'eau principale et d'une conduite d'eau secondaire","Rue William, de la rue Dalhousie à la rue Duke. Lots 17 et 18 - Projet Bonaventure","Ville-Marie et Le Sud-Ouest","Yoel Nessim","3589901,65",,"3589901,65","Michaudville",4581000,"0,28",6,"0,51","0,8","5404535,91","6466949,96"
225904,41617,2014-01-15,"janvier",,"Égout/Aqueduc","Égout/Aqueduc","Reconstruction d’un égout unitaire (combiné) et d’une conduite d’eau secondaire","Boulevard Pie-IX, de la rue Bélanger à la rue Beaubien Est","Rosemont ─ La Petite-Patrie","Yvon Gauthier","6599113,14",,"6599113,14","*Hexagone ","7809589,61","0,18",5,"0,06","0,03","6998721,83","6778546,58"
257705,41617,2014-01-15,"janvier ",,"Trottoirs","Trottoirs","Reconstruction de trottoirs, de bordures, d'îlots, de systèmes d'éclairage et de feux de circulation, travaux de planage et de revêtement bitumineux","Boulevard Henri-Bourassa, de la rue Wilfrid-Saint-Louis au boulevard Saint-Vital
","Montréal-Nord","Annie Desparois","1795750,01",,"1795750,01","*Hexagone ","1837882,25","0,02",5,"0,07","0,1","1925328,24","1971354,2"
264412,41617,2014-01-15,"janvier ",,"Planage","Pavage","Planage de la rue Notre-Dame Ouest, du boulevard Saint-Joseph à l'avenue Saint-Pierre, planage de l'avenue Saint-Pierre","Rue Camille à la rue Saint-Jacques et planage de la voie de service de l'Autoroute 20 Ouest, de l'avenue Gowans à l'avenue Saint-Pierre","Lachine","Robert Cardin","776679,96",,"776679,96","*Hexagone ","764722,3","-0,02",5,"0,12","0,24","871917,17","964646,21"
267801,41617,2014-01-15,"janvier",,"Égout/Aqueduc","Égout/Aqueduc","Reconstruction d’une conduite d’eau secondaire et d’une conduite d’égout unitaire","Rue De Contrecoeur, de la rue Notre-Dame à l’avenue Dubuisson, et dans la rue Sainte-Claire, de la rue Liébert à la rue Saint-Donat","Mercier-Hochelaga-Maisonneuve","Robert Lafontaine","1734422,49",,"1734422,49","Bucaro","1994253,79","0,15",6,"0,46","1,21","2539332,49","3836228,37"
263201,41617,2014-01-22,"janvier ",,"Réaménagement","Pavage","Réaménagement géométrique; reconstruction des bases et conduits électriques, des puisards, du mail central, des trottoirs, de la chaussée flexible du revêtement bitumineux; construction de bordures de béton, de dalle de béton armé, de dalle pour abribus; installation de nouveaux luminaires, mise à jour des systèmes de feux de circulation","Boulevard Saint-Jean-Baptiste entre le boulevard René-Lévesque et la rue Forsyth  ","Rivière-des-Prairies – Pointe-aux-Trembles","Louis Beauchemin ",6436130,,6436130,"Construction et pavages Jeskar inc.","5650130,48","-0,12",6,"-0,08",-1,"5903773,1",
220702,41624,2014-01-22,"janvier",,"Égout/Aqueduc","Égout/Aqueduc","Reconstruction d'un égout combiné (unitaire) et construction d'une conduite d'eau secondaire et d'une chambre de vanne de 900 mm et de raccords de 300 mm","Chemin de la Côte-Saint-Antoine, du boulevard Décarie à l'avenue Northcliffe. ","Côte-des-Neiges-Notre-Dame-de-Grâce","Yoel Nessim","1037253,92",,"1037253,92","Bucaro","1388455,35","0,34",5,"0,85","1,36","1918484,94","2447186,59"
256902,41624,2014-01-22,"janvier",,"Égout/Aqueduc","Égout/Aqueduc","Reconstruction des conduites d'eau secondaire et principale. Réaménagement géométrique incluant la reconstruction de la chaussée, construction de trottoirs architecturaux avec bordures de granit et fosse de plantation munies de grilles en fonte par endroits, la fourniture et l'installation de signalisation lumineuse, de mobilier d'éclairage et de mobilier urbains ","Rue Ontario, de la rue D'Iberville à la rue Lespérance. Projet de développement Pôle Frontenac, phase 1","Ville-Marie","Thu Nguyen",,"8515394,67","8515394,67","Pavage Chenail Inc.","10831872,11","0,27",5,"0,43","0,59","12181243,62","13489797,85"
