Nom,Latitude,Longitude,Date,COT (%),Gravier (%) ,Sable (%),Limon (%),Argile (%),CL50 (mg/L),IC 95% - Inf (mg/L),IC 95% - Sup (mg/L),Ligne directice,Conclusion,Al (mg/L),Ag (mg/L),As (mg/L),Ba (mg/L),Cd (mg/L),Cr (mg/L),Co (mg/L),Cu (mg/L),Sn (mg/L),Fe (mg/L),Mn (mg/L),Hg (mg/L),Ni (mg/L),Pb (mg/L),Se (mg/L),Zn (mg/L)
S-07,46.1271,-72.9905,2015-11-10,1.8,0.0,45.7,53.3,1.0,7774,3595,16814,1.0,ND,9140,< 0.5,2.5,66,0.7,27,< 10,26,< 5,15000,243,0.11,20,18,< 0.8,82
S-08,46.1458,-72.9797,2015-11-10,1.2,0.0,55.4,43.1,1.5,9583,6126,14992,1.0,ND,7860,< 0.5,< 1.5,59,0.7,24,< 10,28,< 5,13800,213,< 0.051,18,< 10,< 0.8,85
S-09,46.123,-73.0759,2015-11-10,2.9,0.0,34.7,63.6,1.7,7264,4143,12739,1.0,ND,14400,< 0.5,1.9,116,1,40,12,35,< 5,21400,366,0.092,28,13,< 0.8,116
S-10,46.1359,-73.0465,2015-11-10,2,0.0,36.7,60.5,2.8,10930,7063,16914,1.0,ND,9790,< 0.5,2.2,73,0.8,29,< 10,33,< 5,15800,249,0.14,21,18,< 0.8,115
S-11,46.1061,-73.0343,2015-11-10,2.6,0.0,37.7,61.2,1.1,5068,3206,8009,1.0,ND,12600,< 0.5,2.5,94,1.1,37,13,39,< 5,19700,323,0.093,27,14,< 0.8,132
I-01,45.4564,-73.559,2015-11-13,2.2,20.1,52.7,25.1,2.1,5740,3692,8922,1.0,ND,7130,< 0.5,2.7 ,88 ,0.9 ,18 ,< 10,22 ,< 5,15100,213 ,0.110 ,18 ,23 ,< 0.8,90.0 
I-02,45.4679,-73.5514,2015-11-13,5.4,0.0,4.8,93.7,1.5,7774,5304,11391,1.0,ND,8940,1.0 ,3.1 ,71 ,1.4 ,27 ,< 10,31 ,< 5,17200,229 ,0.210 ,23 ,28 ,< 0.8,142.0 
I-03,45.4646,-73.5564,2015-11-13,0.7,26.0,60.9,12.9,0.2,5033,3609,7022,2.0,T,3070,< 0.5,< 1.5,< 20,0.3 ,< 10,< 10,< 20,< 5,7460,114 ,< 0.051,9 ,< 10,< 0.8,32.0 
I-04,45.4679,-73.5514,2015-11-13,4.6,0.0,78.0,22.0,0.0,7769,5059,11934,1.0,ND,9010,< 0.5,3.2 ,73 ,1.4 ,26 ,< 10,32 ,< 5,17700,231 ,0.230 ,22 ,31 ,< 0.8,145.0 
S-01,46.0519,-73.1625,2015-11-13,0.9,0.0,41.2,55.3,3.5,17055,8003,36344,1.0,ND,6980,< 0.5,< 1.5,54,0.5,22,< 10,22,< 5,12700,217,< 0.051,15,< 10,< 0.8,61
S-02,46.0903,-73.0724,2015-11-13,0.7,0.0,87.6,12.4,0.0,226130,97982,521877,2.0,ND,4340,< 0.5,< 1.5,27,0.3,14,< 10,< 20,< 5,8570,142,< 0.051,11,< 10,< 0.8,32
S-03,46.0838,-73.0616,2015-11-13,0.5,0.0,64.2,35.6,0.2,9777,3636,26288,1.0,ND,3090,< 0.5,< 1.5,< 20,0.3,10,< 10,< 20,< 5,6410,100,< 0.051,7,< 10,< 0.8,29
S-04,46.1144,-73.0386,2015-11-13,1.3,0.0,54.9,44.7,0.4,9514,4481,20197,1.0,ND,8090,< 0.5,1.6,63,0.7,24,< 10,34,< 5,14700,218,0.064,18,11,< 0.8,88
S-05,46.1061,-73.0343,2015-11-13,1.1,0.0,61.3,38.7,0.0,7318,4278,12515,1.0,ND,5970,< 0.5,< 1.5,44,0.5,19,< 10,< 20,< 5,10700,166,< 0.051,13,< 10,< 0.8,64
S-06,46.1108,-72.9951,2015-11-13,1.2,0.0,60.6,39.0,0.4,7123,3286,15440,1.0,ND,5220,< 0.5,2,41,0.6,18,< 10,< 20,< 5,10100,139,0.056,12,10,< 0.8,63
S-07,46.1271,-72.9905,2015-11-13,1.7,0.0,39.3,59.8,0.9,111671,28359,439734,1.0,ND,9100,< 0.5,1.9,69,0.8,28,< 10,30,< 5,15700,238,0.084,21,15,< 0.8,91
S-08,46.1458,-72.9797,2015-11-13,0.5,0.0,87.2,12.8,0.0,6515,3075,13798,2.0,T,2510,< 0.5,< 1.5,< 20,< 0.3,31,< 10,< 20,< 5,5090,92,< 0.051,28,< 10,< 0.8,22
S-09,46.123,-73.0759,2015-11-13,3.2,0.0,36.5,61.9,1.6,9581,5041,18214,1.0,ND,15100,< 0.5,2.1,127,1.1,43,13,40,< 5,23300,411,0.13,30,17,< 0.8,121
S-10,46.1359,-73.0465,2015-11-13,3.1,0.0,34.2,64.3,1.5,8440,4388,16235,1.0,ND,14700,0.5,2.9,123,1.2,44,14,43,< 5,23200,420,0.14,32,23,< 0.8,129
S-11,46.0903,-73.0724,2015-11-13,0.5,0.0,81.2,18.8,0.0,> 254537,NA,NA,2.0,ND,3230,< 0.5,< 1.5,21,< 0.3,11,< 10,< 20,< 5,6640,102,< 0.051,8,< 10,< 0.8,20
I-01,45.4564,-73.559,2015-11-24,1.6,7.9,55.0,37.1,0.0,26822,16595,43351,1.0,ND,7180,< 0.5,3.5 ,82 ,0.8 ,19 ,< 10,21 ,< 5,15700,317 ,0.091 ,19 ,39 ,1.0 ,89
I-02,45.4679,-73.5514,2015-11-24,4.4,0.0,57.9,41.9,0.2,15347,6643,35463,1.0,ND,11400,1.1 ,5.6 ,105 ,1.5 ,37 ,11 ,45 ,< 5,22200,329 ,0.200 ,28 ,50 ,1.9 ,178
I-03,45.4646,-73.5564,2015-11-24,3.4,24.9,50.4,24.7,0.0,32223,19135,54262,1.0,ND,10700,0.6 ,5.3 ,90 ,1.2 ,29 ,< 10,29 ,< 5,19300,430 ,0.110 ,24 ,26 ,1.4 ,133
I-04,45.4679,-73.5514,2015-11-24,4.7,0.0,58.3,41.4,0.3,10070,6981,14523,1.0,ND,11300,1.1 ,5.5 ,100 ,1.5 ,36 ,10 ,45 ,18 ,21500,327 ,0.220 ,29 ,46 ,1.5 ,180
S-01,46.0519,-73.1625,2015-11-24,0.9,0.0,64.0,35.2,0.8,22485,13570,37260,1.0,ND,7080,< 0.5,< 1.5,55,0.5,21,< 10,< 20,< 5,12000,202,< 0.051,15,< 10,< 0.8,60
S-02,46.0903,-73.0724,2015-11-24,0.5,0.0,78.4,21.6,0.0,> 254537,NA,NA,1.0,ND,3510,< 0.5,< 1.5,24,< 0.3,11,< 10,< 20,< 5,6450,97,< 0.051,8,< 10,0.9,29
S-03,46.0838,-73.0616,2015-11-24,0.5,0.0,73.2,26.8,0.0,5760,3082,10767,1.0,ND,3450,< 0.5,< 1.5,23,< 0.3,12,< 10,< 20,< 5,7020,109,< 0.051,9,< 10,1.1,36
S-04,46.1144,-73.0386,2015-11-24,1.3,0.0,50.4,48.8,0.8,8245,4699,14464,1.0,ND,8050,0.6,2.1,65,0.7,26,< 10,36,< 5,14900,216,< 0.051,19,10,0.9,88
S-05,46.1061,-73.0343,2015-11-24,1.1,0.0,63.9,36.1,0.0,9357,6487,13499,1.0,ND,5740,< 0.5,1.7,45,0.5,18,< 10,23,< 5,10400,166,< 0.051,13,< 10,1.2,64
S-06,46.1108,-72.9951,2015-11-24,2.6,0.0,47.8,51.2,1.0,16774,9923,28355,1.0,ND,10800,1.0,3.9,93,1.4,41,11,40,< 5,18400,288,0.099,26,29,1.8,138
S-07,46.1271,-72.9905,2015-11-24,1.3,0.0,43.9,55.3,0.8,29911,22230,40248,1.0,ND,8090,< 0.5,2.3,65,0.6,25,< 10,21,< 5,14100,222,< 0.051,18,< 10,0.9,67
S-08,46.1458,-72.9797,2015-11-24,0.7,0.0,43.1,54.4,2.5,124390,51352,301309,1.0,ND,3890,< 0.5,1.7,32,< 0.3,11,< 10,< 20,< 5,7940,111,< 0.051,8,< 10,1.3,29
S-09,46.123,-73.0759,2015-11-24,0.4,0.0,74.4,25.6,0.0,37266,18212,76253,1.0,ND,4610,< 0.5,< 1.5,29,0.3,14,< 10,< 20,< 5,9120,147,0.067,11,< 10,< 0.8,29
S-10,46.1359,-73.0465,2015-11-24,2.3,0.0,40.4,57.9,1.7,7277,3939,13444,1.0,ND,14700,0.7,3.6,110,1.2,46,14,45,< 5,20500,386,0.18,33,40,0.9,134
S-11,46.0903,-73.0724,2015-11-24,< 0.3,0.0,98.6,1.4,0.0,> 254537,NA,NA,2.0,ND,2380,< 0.5,< 1.5,< 20,< 0.3,< 10,< 10,< 20,< 5,4700,74,< 0.051,5,< 10,< 0.8,< 20
