Organisme,Type_organisme,VD_Encadrement,VD_Continuite,VD_Projets,VND_Services_internes,VND_Services_externes,VND_Remuneration_du_personnel,VND_Acquisition_et_location_de_biens,VND_Frais_connexes,VC_Depenses_capitalisables,VC_Depenses_non_capitalisables
Tribunal des droits de la personne,Organisme budégtaire,0,0,0,0,0,0,0,0,0,0
Agence métropolitaine de transport,Organisme autre que budégtaire,734.3,9246.1,3076.9,0,6954.5,2212.6,3859.2,31,2741.4,10315.9
Bibliothèque et Archives nationales du Québec,Organisme autre que budégtaire,817.9,5456.8,2966.8,0,2620,5007.5,1462.8,151.2,4859.7,4381.8
Centre de la francophonie des Amériques,Organisme autre que budégtaire,5,120.3,0,10.5,55.2,25,34.6,0,56.5,68.8
Centre de recherche industrielle du Québec,Organisme autre que budégtaire,133,1183,0,43,99,831,305,38,158,1158
Centre de services partagés du Québec,Organisme autre que budégtaire,11654.7,356957.9,13236.8,0,68149.4,77780,37588.2,198331.8,32249.1,349600.3
Commission de la capitale nationale du Québec,Organisme autre que budégtaire,79.7,149.8,0,120.6,34.4,34.6,23.2,16.7,14.4,215.1
"Commission des normes, de l'équité, de la santé et de la sécurité du travail",Organisme autre que budégtaire,12832.1,64403.8,15567.4,0,27041.6,31068.8,12954.6,21738.3,22838.6,69964.7
Commission des services juridiques,Organisme autre que budégtaire,138.7,1025.5,0,0.8,6.8,562.1,549.2,45.3,549.2,615
Conseil de gestion de l'assurance parentale,Organisme autre que budégtaire,0,94.9,0,79.9,15,0,0,0,0,94.9
Conseil des arts et des lettres du Québec,Organisme autre que budégtaire,54.7,543.1,299.7,147.3,27.1,613.2,109.9,0,369.3,528.2
Conservatoire de musique et d'art dramatique du Québec,Organisme autre que budégtaire,89.2,1011.5,104.1,487,391.4,203.5,122.5,0.4,120.8,1084
École nationale de police du Québec,Organisme autre que budégtaire,79.7,1517.8,73,57.2,392.9,906.6,293.7,20.1,194.3,1476.2
École nationale des pompiers du Québec,Organisme autre que budégtaire,0,1,0,0,0,0,1,0,1,0
Financement-Québec,Organisme autre que budégtaire,0,0,0,0,0,0,0,0,0,0
Fondation de la faune du Québec,Organisme autre que budégtaire,0,157.8,0,0,35,111.7,1.9,9.2,5.8,152
