fraction,nom_station,métaux,date,concentration_ng_m3,statut
PM10,Station Nomade,Magnesium,1/12/2023,17.6,mesure
PM10,Station Nomade,Manganese,1/12/2023,8.2,mesure
PM10,Station Nomade,Molybdene,1/12/2023,0.0,<LDR
PM10,Station Nomade,Nickel,1/12/2023,0.0,<LDR
PM10,Station Nomade,Plomb,1/12/2023,2.5,mesure
PM10,Station Nomade,Potassium,1/12/2023,0.0,<LDR
PM10,Station Nomade,Selenium,1/12/2023,0.0,<LDR
PM10,Station Nomade,Sodium,1/12/2023,0.0,<LDR
PM10,Station Nomade,Thallium,1/12/2023,0.0,<LDR
PM10,Station Nomade,Uranium,1/12/2023,0.0,<LDR
PM10,Station Nomade,Vanadium,1/12/2023,0.0,<LDR
PM10,Station Nomade,Zinc,1/12/2023,0.0,<LDR
PST,Station Nomade,Aluminium,1/18/2023,206.1,mesure
PST,Station Nomade,Antimoine,1/18/2023,0.0,<LDR
PST,Station Nomade,Argent,1/18/2023,0.9,mesure
PST,Station Nomade,Arsenic,1/18/2023,0.0,<LDR
PST,Station Nomade,Baryum,1/18/2023,67.3,mesure
PST,Station Nomade,Beryllium,1/18/2023,0.0,<LDR
PST,Station Nomade,Cadmium,1/18/2023,0.0,<LDR
PST,Station Nomade,Calcium,1/18/2023,1279.4,mesure
PST,Station Nomade,Chrome,1/18/2023,1.8,mesure
PST,Station Nomade,Cobalt,1/18/2023,0.0,<LDR
PST,Station Nomade,Cuivre,1/18/2023,235.7,mesure
PST,Station Nomade,Etain,1/18/2023,8.1,mesure
PST,Station Nomade,Fer,1/18/2023,437.7,mesure
PST,Station Nomade,Magnesium,1/18/2023,148.1,mesure
PST,Station Nomade,Manganese,1/18/2023,9.4,mesure
PST,Station Nomade,Molybdene,1/18/2023,0.0,<LDR
PST,Station Nomade,Nickel,1/18/2023,2.8,mesure
PST,Station Nomade,Plomb,1/18/2023,27.6,mesure
PST,Station Nomade,Potassium,1/18/2023,0.0,<LDR
PST,Station Nomade,Selenium,1/18/2023,0.0,<LDR
PST,Station Nomade,Sodium,1/18/2023,1548.8,mesure
PST,Station Nomade,Thallium,1/18/2023,0.0,<LDR
PST,Station Nomade,Uranium,1/18/2023,0.0,<LDR
PST,Station Nomade,Vanadium,1/18/2023,0.0,<LDR
PST,Station Nomade,Zinc,1/18/2023,62.6,mesure
PM10,Station Nomade,Aluminium,1/18/2023,65.8,mesure
PM10,Station Nomade,Antimoine,1/18/2023,0.0,<LDR
PM10,Station Nomade,Argent,1/18/2023,0.9,mesure
PM10,Station Nomade,Arsenic,1/18/2023,0.0,<LDR
PM10,Station Nomade,Baryum,1/18/2023,0.0,<LDR
PM10,Station Nomade,Beryllium,1/18/2023,0.0,<LDR
PM10,Station Nomade,Cadmium,1/18/2023,0.0,<LDR
PM10,Station Nomade,Calcium,1/18/2023,509.1,mesure
PM10,Station Nomade,Chrome,1/18/2023,0.9,mesure
PM10,Station Nomade,Cobalt,1/18/2023,0.0,<LDR
PM10,Station Nomade,Cuivre,1/18/2023,136.6,mesure
PM10,Station Nomade,Etain,1/18/2023,0.0,<LDR
PM10,Station Nomade,Fer,1/18/2023,242.1,mesure
PM10,Station Nomade,Magnesium,1/18/2023,24.8,mesure
PM10,Station Nomade,Manganese,1/18/2023,5.3,mesure
PM10,Station Nomade,Molybdene,1/18/2023,0.0,<LDR
PM10,Station Nomade,Nickel,1/18/2023,1.9,mesure
PM10,Station Nomade,Plomb,1/18/2023,17.4,mesure
PM10,Station Nomade,Potassium,1/18/2023,0.0,<LDR
PM10,Station Nomade,Selenium,1/18/2023,0.0,<LDR
PM10,Station Nomade,Sodium,1/18/2023,434.6,mesure
PM10,Station Nomade,Thallium,1/18/2023,0.0,<LDR
PM10,Station Nomade,Uranium,1/18/2023,0.0,<LDR
PM10,Station Nomade,Vanadium,1/18/2023,0.0,<LDR
PM10,Station Nomade,Zinc,1/18/2023,0.0,<LDR
PST,Station Nomade,Aluminium,1/24/2023,102.5,mesure
PST,Station Nomade,Antimoine,1/24/2023,0.0,<LDR
PST,Station Nomade,Argent,1/24/2023,1.1,mesure
PST,Station Nomade,Arsenic,1/24/2023,4.4,mesure
PST,Station Nomade,Baryum,1/24/2023,168.6,mesure
PST,Station Nomade,Beryllium,1/24/2023,0.0,<LDR
PST,Station Nomade,Cadmium,1/24/2023,0.0,<LDR
PST,Station Nomade,Calcium,1/24/2023,1146.3,mesure
PST,Station Nomade,Chrome,1/24/2023,2.0,mesure
PST,Station Nomade,Cobalt,1/24/2023,0.0,<LDR
PST,Station Nomade,Cuivre,1/24/2023,397.8,mesure
PST,Station Nomade,Etain,1/24/2023,0.0,<LDR
PST,Station Nomade,Fer,1/24/2023,195.5,mesure
PST,Station Nomade,Magnesium,1/24/2023,168.6,mesure
PST,Station Nomade,Manganese,1/24/2023,5.9,mesure
PST,Station Nomade,Molybdene,1/24/2023,0.0,<LDR
PST,Station Nomade,Nickel,1/24/2023,1.4,mesure
PST,Station Nomade,Plomb,1/24/2023,33.0,mesure
PST,Station Nomade,Potassium,1/24/2023,0.0,<LDR
PST,Station Nomade,Selenium,1/24/2023,0.0,<LDR
PST,Station Nomade,Sodium,1/24/2023,944.0,mesure
PST,Station Nomade,Thallium,1/24/2023,0.0,<LDR
PST,Station Nomade,Uranium,1/24/2023,0.0,<LDR
PST,Station Nomade,Vanadium,1/24/2023,0.0,<LDR
PST,Station Nomade,Zinc,1/24/2023,0.0,<LDR
PM10,Station Nomade,Aluminium,1/24/2023,56.8,mesure
PM10,Station Nomade,Antimoine,1/24/2023,0.0,<LDR
PM10,Station Nomade,Argent,1/24/2023,1.1,mesure
PM10,Station Nomade,Arsenic,1/24/2023,2.4,mesure
PM10,Station Nomade,Baryum,1/24/2023,47.3,mesure
PM10,Station Nomade,Beryllium,1/24/2023,0.0,<LDR
PM10,Station Nomade,Cadmium,1/24/2023,0.0,<LDR
PM10,Station Nomade,Calcium,1/24/2023,462.1,mesure
PM10,Station Nomade,Chrome,1/24/2023,2.6,mesure
PM10,Station Nomade,Cobalt,1/24/2023,0.0,<LDR
PM10,Station Nomade,Cuivre,1/24/2023,183.7,mesure
PM10,Station Nomade,Etain,1/24/2023,0.0,<LDR
PM10,Station Nomade,Fer,1/24/2023,83.5,mesure
PM10,Station Nomade,Magnesium,1/24/2023,89.1,mesure
PM10,Station Nomade,Manganese,1/24/2023,1.9,mesure
PM10,Station Nomade,Molybdene,1/24/2023,0.0,<LDR
PM10,Station Nomade,Nickel,1/24/2023,0.0,<LDR
PM10,Station Nomade,Plomb,1/24/2023,18.9,mesure
PM10,Station Nomade,Potassium,1/24/2023,0.0,<LDR
PM10,Station Nomade,Selenium,1/24/2023,0.0,<LDR
PM10,Station Nomade,Sodium,1/24/2023,445.4,mesure
PM10,Station Nomade,Thallium,1/24/2023,0.0,<LDR
PM10,Station Nomade,Uranium,1/24/2023,0.0,<LDR
PM10,Station Nomade,Vanadium,1/24/2023,0.0,<LDR
PM10,Station Nomade,Zinc,1/24/2023,0.0,<LDR
PST,Station Nomade,Aluminium,1/30/2023,0.0,<LDR
PST,Station Nomade,Antimoine,1/30/2023,0.0,<LDR
PST,Station Nomade,Argent,1/30/2023,0.0,<LDR
PST,Station Nomade,Arsenic,1/30/2023,0.0,<LDR
PST,Station Nomade,Baryum,1/30/2023,0.0,<LDR
PST,Station Nomade,Beryllium,1/30/2023,0.0,<LDR
PST,Station Nomade,Cadmium,1/30/2023,0.0,<LDR
PST,Station Nomade,Calcium,1/30/2023,0.0,<LDR
PST,Station Nomade,Chrome,1/30/2023,0.0,<LDR
PST,Station Nomade,Cobalt,1/30/2023,0.0,<LDR
PST,Station Nomade,Cuivre,1/30/2023,78.4,mesure
PST,Station Nomade,Etain,1/30/2023,0.0,<LDR
PST,Station Nomade,Fer,1/30/2023,176.5,mesure
PST,Station Nomade,Magnesium,1/30/2023,0.0,<LDR
PST,Station Nomade,Manganese,1/30/2023,6.5,mesure
PST,Station Nomade,Molybdene,1/30/2023,0.0,<LDR
PST,Station Nomade,Nickel,1/30/2023,0.0,<LDR
PST,Station Nomade,Plomb,1/30/2023,3.2,mesure
PST,Station Nomade,Potassium,1/30/2023,0.0,<LDR
PST,Station Nomade,Selenium,1/30/2023,0.0,<LDR
PST,Station Nomade,Sodium,1/30/2023,261.5,mesure
PST,Station Nomade,Thallium,1/30/2023,0.0,<LDR
PST,Station Nomade,Uranium,1/30/2023,0.0,<LDR
PST,Station Nomade,Vanadium,1/30/2023,0.0,<LDR
PST,Station Nomade,Zinc,1/30/2023,0.0,<LDR
PM10,Station Nomade,Aluminium,1/30/2023,0.0,<LDR
PM10,Station Nomade,Antimoine,1/30/2023,0.0,<LDR
PM10,Station Nomade,Argent,1/30/2023,0.3,mesure
PM10,Station Nomade,Arsenic,1/30/2023,0.0,<LDR
PM10,Station Nomade,Baryum,1/30/2023,0.0,<LDR
PM10,Station Nomade,Beryllium,1/30/2023,0.0,<LDR
PM10,Station Nomade,Cadmium,1/30/2023,0.0,<LDR
PM10,Station Nomade,Calcium,1/30/2023,0.0,<LDR
PM10,Station Nomade,Chrome,1/30/2023,0.4,mesure
PM10,Station Nomade,Cobalt,1/30/2023,0.0,<LDR
PM10,Station Nomade,Cuivre,1/30/2023,40.4,mesure
PM10,Station Nomade,Etain,1/30/2023,0.0,<LDR
PM10,Station Nomade,Fer,1/30/2023,120.7,mesure
PM10,Station Nomade,Magnesium,1/30/2023,0.0,<LDR
PM10,Station Nomade,Manganese,1/30/2023,4.4,mesure
PM10,Station Nomade,Molybdene,1/30/2023,0.0,<LDR
PM10,Station Nomade,Nickel,1/30/2023,0.0,<LDR
PM10,Station Nomade,Plomb,1/30/2023,2.2,mesure
PM10,Station Nomade,Potassium,1/30/2023,0.0,<LDR
PM10,Station Nomade,Selenium,1/30/2023,0.0,<LDR
PM10,Station Nomade,Sodium,1/30/2023,0.0,<LDR
PM10,Station Nomade,Thallium,1/30/2023,0.0,<LDR
PM10,Station Nomade,Uranium,1/30/2023,0.0,<LDR
PM10,Station Nomade,Vanadium,1/30/2023,0.0,<LDR
PM10,Station Nomade,Zinc,1/30/2023,0.0,<LDR
PST,Station Nomade,Aluminium,2/5/2023,137.9,mesure
PST,Station Nomade,Antimoine,2/5/2023,0.0,<LDR
PST,Station Nomade,Argent,2/5/2023,0.0,<LDR
PST,Station Nomade,Arsenic,2/5/2023,0.0,<LDR
PST,Station Nomade,Baryum,2/5/2023,0.0,<LDR
PST,Station Nomade,Beryllium,2/5/2023,0.0,<LDR
PST,Station Nomade,Cadmium,2/5/2023,0.0,<LDR
PST,Station Nomade,Calcium,2/5/2023,784.4,mesure
PST,Station Nomade,Chrome,2/5/2023,3.2,mesure
PST,Station Nomade,Cobalt,2/5/2023,0.0,<LDR
PST,Station Nomade,Cuivre,2/5/2023,54.9,mesure
PST,Station Nomade,Etain,2/5/2023,0.0,<LDR
PST,Station Nomade,Fer,2/5/2023,431.4,mesure
PST,Station Nomade,Magnesium,2/5/2023,222.2,mesure
PST,Station Nomade,Manganese,2/5/2023,13.7,mesure
PST,Station Nomade,Molybdene,2/5/2023,0.0,<LDR
PST,Station Nomade,Nickel,2/5/2023,2.3,mesure
PST,Station Nomade,Plomb,2/5/2023,4.0,mesure
PST,Station Nomade,Potassium,2/5/2023,0.0,<LDR
PST,Station Nomade,Selenium,2/5/2023,0.0,<LDR
PST,Station Nomade,Sodium,2/5/2023,1568.7,mesure
PST,Station Nomade,Thallium,2/5/2023,0.0,<LDR
PST,Station Nomade,Uranium,2/5/2023,0.0,<LDR
PST,Station Nomade,Vanadium,2/5/2023,1.4,mesure
PST,Station Nomade,Zinc,2/5/2023,0.0,<LDR
PM10,Station Nomade,Aluminium,2/5/2023,114.8,mesure
PM10,Station Nomade,Antimoine,2/5/2023,0.0,<LDR
PM10,Station Nomade,Argent,2/5/2023,0.0,<LDR
PM10,Station Nomade,Arsenic,2/5/2023,0.0,<LDR
PM10,Station Nomade,Baryum,2/5/2023,0.0,<LDR
PM10,Station Nomade,Beryllium,2/5/2023,0.0,<LDR
PM10,Station Nomade,Cadmium,2/5/2023,0.0,<LDR
PM10,Station Nomade,Calcium,2/5/2023,462.8,mesure
PM10,Station Nomade,Chrome,2/5/2023,2.3,mesure
PM10,Station Nomade,Cobalt,2/5/2023,0.0,<LDR
PM10,Station Nomade,Cuivre,2/5/2023,24.6,mesure
PM10,Station Nomade,Etain,2/5/2023,0.0,<LDR
PM10,Station Nomade,Fer,2/5/2023,314.2,mesure
PM10,Station Nomade,Magnesium,2/5/2023,217.1,mesure
PM10,Station Nomade,Manganese,2/5/2023,10.3,mesure
PM10,Station Nomade,Molybdene,2/5/2023,0.0,<LDR
PM10,Station Nomade,Nickel,2/5/2023,1.6,mesure
PM10,Station Nomade,Plomb,2/5/2023,3.0,mesure
PM10,Station Nomade,Potassium,2/5/2023,0.0,<LDR
PM10,Station Nomade,Selenium,2/5/2023,0.0,<LDR
PM10,Station Nomade,Sodium,2/5/2023,742.7,mesure
PM10,Station Nomade,Thallium,2/5/2023,0.0,<LDR
PM10,Station Nomade,Uranium,2/5/2023,0.0,<LDR
PM10,Station Nomade,Vanadium,2/5/2023,1.3,mesure
PM10,Station Nomade,Zinc,2/5/2023,0.0,<LDR
PST,Station Nomade,Aluminium,2/11/2023,179.2,mesure
PST,Station Nomade,Antimoine,2/11/2023,0.0,<LDR
PST,Station Nomade,Argent,2/11/2023,0.8,mesure
PST,Station Nomade,Arsenic,2/11/2023,0.0,<LDR
PST,Station Nomade,Baryum,2/11/2023,0.0,<LDR
PST,Station Nomade,Beryllium,2/11/2023,0.0,<LDR
PST,Station Nomade,Cadmium,2/11/2023,0.0,<LDR
PST,Station Nomade,Calcium,2/11/2023,1576.8,mesure
PST,Station Nomade,Chrome,2/11/2023,2.5,mesure
PST,Station Nomade,Cobalt,2/11/2023,0.0,<LDR
PST,Station Nomade,Cuivre,2/11/2023,63.1,mesure
PST,Station Nomade,Etain,2/11/2023,0.0,<LDR
PST,Station Nomade,Fer,2/11/2023,193.5,mesure
PST,Station Nomade,Magnesium,2/11/2023,229.3,mesure
PST,Station Nomade,Manganese,2/11/2023,6.4,mesure
PST,Station Nomade,Molybdene,2/11/2023,0.0,<LDR
PST,Station Nomade,Nickel,2/11/2023,2.4,mesure
PST,Station Nomade,Plomb,2/11/2023,3.1,mesure
PST,Station Nomade,Potassium,2/11/2023,0.0,<LDR
PST,Station Nomade,Selenium,2/11/2023,0.0,<LDR
PST,Station Nomade,Sodium,2/11/2023,2795.2,mesure
PST,Station Nomade,Thallium,2/11/2023,0.0,<LDR
PST,Station Nomade,Uranium,2/11/2023,0.0,<LDR
PST,Station Nomade,Vanadium,2/11/2023,0.0,<LDR
PST,Station Nomade,Zinc,2/11/2023,0.0,<LDR
PM10,Station Nomade,Aluminium,2/11/2023,86.9,mesure
PM10,Station Nomade,Antimoine,2/11/2023,0.0,<LDR
PM10,Station Nomade,Argent,2/11/2023,0.0,<LDR
PM10,Station Nomade,Arsenic,2/11/2023,0.0,<LDR
PM10,Station Nomade,Baryum,2/11/2023,0.0,<LDR
PM10,Station Nomade,Beryllium,2/11/2023,0.0,<LDR
PM10,Station Nomade,Cadmium,2/11/2023,0.0,<LDR
PM10,Station Nomade,Calcium,2/11/2023,589.8,mesure
PM10,Station Nomade,Chrome,2/11/2023,1.9,mesure
PM10,Station Nomade,Cobalt,2/11/2023,0.0,<LDR
PM10,Station Nomade,Cuivre,2/11/2023,13.0,mesure
PM10,Station Nomade,Etain,2/11/2023,0.0,<LDR
PM10,Station Nomade,Fer,2/11/2023,80.7,mesure
PM10,Station Nomade,Magnesium,2/11/2023,105.5,mesure
PM10,Station Nomade,Manganese,2/11/2023,2.1,mesure
PM10,Station Nomade,Molybdene,2/11/2023,0.0,<LDR
PM10,Station Nomade,Nickel,2/11/2023,0.0,<LDR
PM10,Station Nomade,Plomb,2/11/2023,1.7,mesure
PM10,Station Nomade,Potassium,2/11/2023,0.0,<LDR
PM10,Station Nomade,Selenium,2/11/2023,0.0,<LDR
PM10,Station Nomade,Sodium,2/11/2023,745.0,mesure
PM10,Station Nomade,Thallium,2/11/2023,0.0,<LDR
PM10,Station Nomade,Uranium,2/11/2023,0.0,<LDR
PM10,Station Nomade,Vanadium,2/11/2023,0.0,<LDR
PM10,Station Nomade,Zinc,2/11/2023,0.0,<LDR
PST,Station Nomade,Aluminium,2/17/2023,113.2,mesure
PST,Station Nomade,Antimoine,2/17/2023,0.0,<LDR
PST,Station Nomade,Argent,2/17/2023,0.0,<LDR
PST,Station Nomade,Arsenic,2/17/2023,0.0,<LDR
PST,Station Nomade,Baryum,2/17/2023,0.0,<LDR
PST,Station Nomade,Beryllium,2/17/2023,0.0,<LDR
PST,Station Nomade,Cadmium,2/17/2023,0.0,<LDR
PST,Station Nomade,Calcium,2/17/2023,972.1,mesure
PST,Station Nomade,Chrome,2/17/2023,2.4,mesure
PST,Station Nomade,Cobalt,2/17/2023,0.0,<LDR
PST,Station Nomade,Cuivre,2/17/2023,45.1,mesure
PST,Station Nomade,Etain,2/17/2023,0.0,<LDR
PST,Station Nomade,Fer,2/17/2023,187.5,mesure
PST,Station Nomade,Magnesium,2/17/2023,173.6,mesure
PST,Station Nomade,Manganese,2/17/2023,6.2,mesure
PST,Station Nomade,Molybdene,2/17/2023,0.0,<LDR
PST,Station Nomade,Nickel,2/17/2023,0.0,<LDR
PST,Station Nomade,Plomb,2/17/2023,1.5,mesure
PST,Station Nomade,Potassium,2/17/2023,0.0,<LDR
PST,Station Nomade,Selenium,2/17/2023,0.0,<LDR
PST,Station Nomade,Sodium,2/17/2023,902.7,mesure
PST,Station Nomade,Thallium,2/17/2023,0.0,<LDR
PST,Station Nomade,Uranium,2/17/2023,0.0,<LDR
PST,Station Nomade,Vanadium,2/17/2023,0.0,<LDR
PST,Station Nomade,Zinc,2/17/2023,0.0,<LDR
PM10,Station Nomade,Aluminium,2/17/2023,0.0,<LDR
PM10,Station Nomade,Antimoine,2/17/2023,0.0,<LDR
PM10,Station Nomade,Argent,2/17/2023,0.0,<LDR
PM10,Station Nomade,Arsenic,2/17/2023,0.0,<LDR
PM10,Station Nomade,Baryum,2/17/2023,0.0,<LDR
PM10,Station Nomade,Beryllium,2/17/2023,0.0,<LDR
PM10,Station Nomade,Cadmium,2/17/2023,0.0,<LDR
PM10,Station Nomade,Calcium,2/17/2023,0.0,<LDR
PM10,Station Nomade,Chrome,2/17/2023,0.0,<LDR
PM10,Station Nomade,Cobalt,2/17/2023,0.0,<LDR
PM10,Station Nomade,Cuivre,2/17/2023,0.0,<LDR
PM10,Station Nomade,Etain,2/17/2023,0.0,<LDR
PM10,Station Nomade,Fer,2/17/2023,0.0,<LDR
PM10,Station Nomade,Magnesium,2/17/2023,0.0,<LDR
PM10,Station Nomade,Manganese,2/17/2023,0.0,<LDR
PM10,Station Nomade,Molybdene,2/17/2023,0.0,<LDR
PM10,Station Nomade,Nickel,2/17/2023,0.0,<LDR
PM10,Station Nomade,Plomb,2/17/2023,0.0,<LDR
PM10,Station Nomade,Potassium,2/17/2023,0.0,<LDR
PM10,Station Nomade,Selenium,2/17/2023,0.0,<LDR
PM10,Station Nomade,Sodium,2/17/2023,0.0,<LDR
PM10,Station Nomade,Thallium,2/17/2023,0.0,<LDR
PM10,Station Nomade,Uranium,2/17/2023,0.0,<LDR
PM10,Station Nomade,Vanadium,2/17/2023,0.0,<LDR
PM10,Station Nomade,Zinc,2/17/2023,0.0,<LDR
PST,Station Nomade,Aluminium,2/23/2023,215.8,mesure
PST,Station Nomade,Antimoine,2/23/2023,0.0,<LDR
PST,Station Nomade,Argent,2/23/2023,0.0,<LDR
PST,Station Nomade,Arsenic,2/23/2023,0.0,<LDR
PST,Station Nomade,Baryum,2/23/2023,0.0,<LDR
PST,Station Nomade,Beryllium,2/23/2023,0.0,<LDR
PST,Station Nomade,Cadmium,2/23/2023,0.0,<LDR
PST,Station Nomade,Calcium,2/23/2023,1015.4,mesure
PST,Station Nomade,Chrome,2/23/2023,2.9,mesure
PST,Station Nomade,Cobalt,2/23/2023,0.0,<LDR
PST,Station Nomade,Cuivre,2/23/2023,16.5,mesure
PST,Station Nomade,Etain,2/23/2023,0.0,<LDR
PST,Station Nomade,Fer,2/23/2023,399.8,mesure
PST,Station Nomade,Magnesium,2/23/2023,190.4,mesure
PST,Station Nomade,Manganese,2/23/2023,14.0,mesure
PST,Station Nomade,Molybdene,2/23/2023,0.0,<LDR
PST,Station Nomade,Nickel,2/23/2023,0.0,<LDR
PST,Station Nomade,Plomb,2/23/2023,0.0,<LDR
