ï»¿OBJECTID,NOMGENERIQUE,TYPERUE,CLASSEURBANISME,VITESSE,PROPRIETAIRE,TYPESENSUNIQUE,CODEMUNICIPALITE,TOPONYMIE,NUMERORUE
78175,ChÃ¢teaudun,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de ChÃ¢teaudun,284
78176,Maire-Paquin,CarrÃ©,Locale secondaire,30,Public,Pas de sens unique,37067,carrÃ© du Maire-Paquin,957
78177,Sizerins,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue des Sizerins,1400
78178,DÃ©sirÃ©,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue DÃ©sirÃ©,429
78179,JÃ©rÃ´me-Hamel,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue JÃ©rÃ´me-Hamel,770
78180,Toitures,Rue,Locale secondaire,50,Public,Pas de sens unique,37067,rue des Toitures,1436
78181,Dessureault,Rue,Collectrice principale,40,Public,Pas de sens unique,37067,rue Dessureault,433
78182,Dessureault,Rue,Collectrice principale,40,Public,Pas de sens unique,37067,rue Dessureault,433
78183,Dessureault,Rue,Collectrice principale,30,Public,Pas de sens unique,37067,rue Dessureault,433
78184,Rivard,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Rivard,1264
78185,Paul-Gauchery,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Paul-Gauchery,1145
78186,Pionniers,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue des Pionniers,1198
78187,Jean-Lesage,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Jean-Lesage,752
78188,FrÃ¨re-AndrÃ©,Rue,Locale secondaire,50,PrivÃ©,Pas de sens unique,37067,rue du FrÃ¨re-AndrÃ©,573
78189,Monseigneur-Charbonneau,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Monseigneur-Charbonneau,1043
78190,Desbiens,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Desbiens,424
78191,Antoine-Dalmas,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Antoine-Dalmas,74
78192,MÃ»riers,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue des MÃ»riers,1076
78193,Lecomte,Rue,Locale secondaire,50,PrivÃ©,Pas de sens unique,37067,rue Lecomte,868
78194,Merisiers,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue des Merisiers,1020
78195,Vermillon,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Vermillon,1466
78196,Saint-Bernard,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Saint-Bernard,1306
78197,Denise,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Denise,414
78198,Lac-Montplaisir,Rue,Locale secondaire,50,PrivÃ©,Pas de sens unique,37067,rue du Lac-Montplaisir,815
78199,VerchÃ¨res,Rue,Locale secondaire,50,PrivÃ©,Pas de sens unique,37067,rue VerchÃ¨res,1464
78200,Buisson,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Buisson,209
78203,Hains,Rue,Locale secondaire,50,PrivÃ©,Pas de sens unique,37067,rue Hains,659
78204,J.-A.-Barrette,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue J.-A.-Barrette,715
78205,ChÃ¢teaudun,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de ChÃ¢teaudun,284
78206,ChÃ¢teaudun,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de ChÃ¢teaudun,284
78207,ChÃ¢teaudun,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de ChÃ¢teaudun,284
78208,Louis-Pasteur,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Louis-Pasteur,933
78209,Thomas-Godefroy,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Thomas-Godefroy,1430
78210,Marguerite-Bourgeoys,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Marguerite-Bourgeoys,970
78211,Marguerite-Bourgeoys,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Marguerite-Bourgeoys,970
78212,Saint-Paul,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Saint-Paul,1359
78213,Saint-Paul,Rue,Locale principale,30,Public,MÃªme sens unique,37067,rue Saint-Paul,1359
78214,Saint-Paul,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Saint-Paul,1359
78215,Saint-Paul,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Saint-Paul,1359
78216,Saint-Paul,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Saint-Paul,1359
78217,Saint-Paul,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Saint-Paul,1359
78218,LanctÃ´t,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue LanctÃ´t,831
78219,LanctÃ´t,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue LanctÃ´t,831
78220,LÃ©o-Pidgeon,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue LÃ©o-Pidgeon,890
78221,Le Corbusier,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Le Corbusier,860
